SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
162,1.66711,13,0,1,0,41.937,13,8189,1,0,84,0,11.252,84,-294294508,1,0,1,-338048580228076
256,2.98094,20,0,0,0,62.504,20,8189,0,0,133,0,9.9008,217,-1825718994,1,0,1,2763542810
254,2.95777,25,0,2,0,69.287,25,8189,2,0,107,2,8.06042,324,935740826,3,0,3,2761459820
269,3.13193,29,0,3,0,92.432,29,8189,3,0,116,3,6.1385,440,-676738424,6,0,6,2682488046
289,3.36557,33,0,6,0,87.723,33,8189,6,0,104,6,5.27654,544,-1996753782,12,0,12,2974951938
299,3.48182,36,0,4,0,108.015,36,8191,4,0,106,4,5.20666,650,785865946,16,0,16,2782619728
258,3.00434,43,0,8,0,102.33,43,8190,8,0,76,8,4.74074,726,-952062610,24,0,24,2557038740
304,3.54017,73,0,15,0,158.582,73,8181,15,0,54,15,4.76403,780,1570261288,39,0,39,2522323898
45,0.524031,75,0,3,0,151.92,75,8183,3,0,4,3,4.85722,784,-2127721760,42,0,42,596984248
289,3.3656,45,0,77,0,103.179,45,8190,61,0,82,2,4.19328,866,-983592582,103,0,119,5439096474
284,3.30733,73,0,12,0,157.425,73,8184,12,0,52,12,4.11174,918,1543867220,115,0,131,2527459802
58,0.675285,73,0,73,0,157.425,2,8184,58,0,0,0,4.11174,918,1543867220,173,0,204,0
268,3.12095,37,0,3,0,90.375,37,8189,5,0,87,3,4.368,1005,-1143166046,178,0,207,5902901326
304,3.53999,59,0,9,0,121.526,62,8191,9,0,59,9,4.32141,1064,1644386204,187,0,216,2787552250
239,2.78319,78,0,16,0,147.672,78,8186,16,0,35,16,3.84384,1099,-278324184,203,0,232,2372256908
58,0.67546,78,0,78,0,147.672,2,8186,58,0,0,0,3.84384,1099,-278324184,261,0,310,0
225,2.62021,54,0,5,0,105.628,54,8191,25,0,59,5,3.97197,1158,954880358,286,0,315,5528171838
334,3.88937,78,0,12,0,183.063,78,8191,12,0,50,12,3.85549,1208,-36278710,298,0,327,3303808228
245,2.85264,85,0,29,0,149.292,85,8191,29,0,18,28,3.85549,1226,1912763364,327,0,356,1949042074
59,0.686945,85,0,85,0,149.292,2,8191,59,0,0,0,3.85549,1226,1912763364,386,0,441,0
