SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
217,1.9685,15,0,0,0,38.205,15,8189,0,0,110,0,9.79272,110,1615635581,0,0,0,-347413993970563
328,3.16362,23,0,1,0,51.742,23,8189,1,0,158,1,8.15256,268,98437293,1,0,1,2777769008
339,3.27004,28,0,2,0,66.253,28,8189,2,0,147,2,7.50614,415,-1379550789,3,0,3,2816979214
335,3.23122,33,0,3,0,79.621,33,8189,3,0,143,3,6.94656,558,1302449189,6,0,6,2681999978
298,2.87431,36,0,5,0,83.882,36,8191,5,0,88,5,6.98515,646,-280947455,11,0,11,2711570652
351,3.38562,39,0,4,0,97.382,39,8191,4,0,129,4,6.10718,775,-1760805391,15,0,15,2815109360
356,3.43346,42,0,5,0,101.554,42,8189,5,0,104,5,6.17472,879,1179295717,20,0,20,2940101108
325,3.13484,44,0,7,0,111.932,44,8189,7,0,106,7,5.59584,985,-345548643,27,0,27,2770122936
272,2.62358,45,0,8,0,103.236,45,8180,8,0,42,8,4.92048,1027,1955924125,35,0,35,2301472768
361,3.48199,47,0,5,0,117.213,47,8189,5,0,99,5,5.26781,1126,1001740499,40,0,40,3340783670
332,3.20224,49,0,7,0,128.637,49,8190,7,0,99,7,6.43522,1225,-522080960,47,0,47,2771145837
349,3.36622,51,0,4,0,109.577,51,8191,4,0,104,4,7.68946,1329,-2007181481,51,0,51,2809866775
342,3.29869,53,0,4,0,106.775,53,8189,4,0,101,4,7.35178,1430,786256705,55,0,55,2793438186
320,3.08653,55,0,3,0,85.992,55,8189,3,0,110,3,7.54474,1540,-852703503,58,0,58,2656007088
368,3.5496,57,0,6,0,110.658,57,8189,6,0,83,6,5.84669,1623,2002520435,64,0,64,2855223938
327,3.15413,58,0,8,0,135.798,58,8189,8,0,82,8,5.73091,1705,514623237,72,0,72,2807070098
341,3.28921,59,0,7,0,130.094,59,8189,7,0,76,7,5.46077,1781,-1052380653,79,0,79,2727963406
290,2.79732,59,0,3,0,148.047,60,8191,3,0,62,3,5.2871,1843,1878283951,82,0,82,2930664604
46,0.443685,61,0,3,0,140.974,61,8191,3,0,23,3,5.3257,1866,-2007016479,85,0,85,409666866
184,1.77477,30,0,62,0,96.09,30,8191,62,0,51,1,5.48971,1917,-1137493941,147,0,147,5164489834
310,2.99008,34,0,3,0,86.06,34,8179,3,0,113,3,4.54421,2030,1578788761,150,0,150,2716282702
345,3.32767,37,0,5,0,87.214,37,8189,5,0,125,5,3.95568,2155,179988347,155,0,155,2896166882
139,1.34071,39,0,3,0,83.566,39,8191,3,0,51,3,3.93638,2206,1317545635,158,0,158,1137557288
138,1.33106,20,0,39,0,69.549,20,8189,39,0,44,0,3.98462,2250,1462384227,197,0,197,4439805888
265,2.55603,25,0,1,0,71.372,25,8189,1,0,122,1,4.47667,2372,-24383339,198,0,198,2808199730
337,3.25052,30,0,2,0,63.927,30,8189,2,0,144,2,4.38019,2516,-1526648513,200,0,200,2792702122
293,2.82612,34,0,3,0,93.016,34,8191,3,0,123,3,4.0811,2639,1016030073,203,0,203,2542678586
319,3.07689,37,0,4,0,116.13,37,8189,4,0,113,4,3.98462,2752,-238449171,207,0,207,3040488052
348,3.35658,40,0,5,0,92.627,40,8151,5,0,107,5,4.17758,2859,-1806249339,212,0,212,2727167128
333,3.21189,43,0,4,0,104.991,43,8189,4,0,113,4,5.12309,2972,1022811441,216,0,216,2829060780
322,3.10575,45,0,7,0,100.983,45,8191,7,0,101,7,5.23886,3073,-439949093,223,0,223,2832206762
278,2.6814,47,0,6,0,119.372,47,8191,6,0,76,6,5.3257,3149,-2129218903,229,0,229,2605697486
