SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
397,2.76047,17,0,4,0,46.053,50,8182,4,3074.27,49,4,7.54858,49,1866404476,4,0,4,-356781066874244
351,2.68365,17,0,0,0,28.866,38,8187,0,3018.59,64,0,7.57152,113,359415968,4,0,4,2787978788
356,2.72192,13,0,0,0,32.523,37,8191,0,2955.69,64,0,7.31149,177,-1145502472,4,0,4,2790048856
363,2.7755,12,0,0,0,33.501,42,8185,0,2897.87,61,0,6.08016,238,1634141262,4,0,4,2779643734
371,2.83629,16,0,0,0,33.05,38,8189,0,2847.13,65,0,5.00179,303,154517504,4,0,4,2815343538
380,2.90544,13,0,0,0,31.111,38,8191,0,2792.28,60,0,5.01709,363,-1331402096,4,0,4,2809047696
383,2.92843,17,0,0,0,34.218,44,8188,0,2741.75,63,0,5.55245,426,1458009984,4,0,4,2789412080
390,2.98197,29,0,0,0,37.974,43,8180,0,2696.29,63,0,5.61363,489,-92383354,4,0,4,2744573958
351,2.68364,22,0,1,0,41.454,47,8185,1,2985.59,54,1,5.36125,543,-1553799272,5,0,5,2833551378
361,2.76035,20,0,0,0,47.439,54,8185,0,2933.05,56,0,5.65952,599,1256643930,5,0,5,2810443202
364,2.78313,11,0,0,0,36.777,46,8189,0,2884.82,60,0,5.88896,659,-257065110,5,0,5,2781258256
374,2.85956,23,0,0,0,35.958,40,8189,0,2839.36,57,0,5.95779,716,-1831265350,5,0,5,2720767056
378,2.89025,14,0,0,0,38.447,47,8191,0,2791.8,62,0,4.32112,778,1041716846,5,0,5,2872982196
385,2.94379,17,0,0,0,38.256,47,8191,0,2742.42,66,0,4.51997,844,-455439420,5,0,5,2797811030
391,2.98956,20,0,0,0,54.216,72,8181,0,2699.11,63,0,8.0304,907,-1965599838,5,0,5,2784806878
392,2.99719,45,0,0,0,51.818,60,8187,0,2444.74,53,0,7.83155,960,772175888,5,0,5,2737775726
414,3.16542,23,0,1,0,56.096,65,8188,1,2488.48,58,1,7.38032,1018,-700388650,6,0,6,2822402758
434,3.31833,19,0,0,0,48.103,48,8182,0,2448.27,66,0,6.61552,1084,2130804470,6,0,6,2831193120
344,2.63014,16,0,2,0,40.574,50,8189,2,3048.17,59,2,6.43962,1143,601179530,8,0,8,2765342356
351,2.68372,16,0,0,0,50.605,59,8191,0,2998.81,56,0,5.77424,1199,-872446082,8,0,8,2821341684
357,2.72981,15,0,0,0,31.242,33,8186,0,2945.81,61,0,5.86602,1260,1879036372,8,0,8,2751482454
346,2.64555,18,0,0,0,43.724,47,8182,0,2895.9,60,0,6.08781,1320,406325576,8,0,8,2822256500
361,2.76038,45,0,1,0,41.548,45,8188,1,3201,61,1,6.92144,1381,-1250409522,9,0,9,2638232198
330,2.52324,26,0,0,0,41.995,39,8191,0,3142.16,63,0,6.6767,1444,1708487454,9,0,9,2958896976
341,2.6072,22,0,0,0,39.029,49,8184,0,3081.17,57,0,6.01133,1501,118193150,9,0,9,2704672992
351,2.68373,26,0,0,0,49.737,43,8191,0,3027.99,63,0,5.06298,1564,-1350473620,9,0,9,2826300526
354,2.70668,39,0,0,0,46.91,46,8191,0,2975.28,59,0,4.42819,1623,1443075110,9,0,9,2793548730
309,2.36256,21,0,1,0,47.294,55,8188,1,3278.53,58,1,4.38995,1681,-109977486,10,0,10,2741914700
329,2.5155,16,0,0,0,50.416,54,8191,0,3213.74,62,0,4.5888,1743,-1526519890,10,0,10,2878424892
335,2.56135,12,0,0,0,40.172,41,8191,0,3151.45,61,0,4.42819,1804,1283800042,10,0,10,2810319932
342,2.61494,12,0,0,0,37.641,40,8184,0,3088.67,62,0,4.9712,1866,-215104866,10,0,10,2796062388
349,2.66841,22,0,0,0,42.576,38,8187,0,3032.47,61,0,4.36701,1927,-1813876534,10,0,10,2696195628
345,2.63788,18,0,0,0,51.411,51,8188,0,2980.94,63,0,5.04768,1990,1067316102,10,0,10,2881192636
319,2.43905,25,0,2,0,45.852,42,8190,2,3590.72,47,2,4.14522,2037,-412726746,12,0,12,2814924448
299,2.28612,10,0,0,0,45.559,59,8184,0,3518.7,58,0,5.07827,2095,-1923230388,12,0,12,2784463654
306,2.33974,28,0,0,0,49.957,52,8191,0,3453.09,55,0,5.39949,2150,875210628,12,0,12,2798441016
313,2.39331,16,0,0,0,55.474,58,8191,0,3379.57,58,0,5.79718,2208,-641293652,12,0,12,2778463016
313,2.39331,18,0,0,0,35.172,36,8191,0,3309.11,60,0,6.97498,2268,-2142487994,12,0,12,2793772954
325,2.48489,11,0,0,0,35.515,37,8191,0,3247.85,59,0,7.16618,2327,650531536,12,0,12,2793019530
337,2.57668,29,0,0,0,48.192,56,8191,0,3025.3,55,0,6.82966,2382,-862968708,12,0,12,2781467052
378,2.89016,48,0,0,0,50.911,54,8190,0,2590.37,61,0,5.64422,2443,1812172390,12,0,12,2675141098
423,3.23422,24,0,0,0,71.732,66,8182,0,2249.49,69,0,5.5448,2512,399602948,12,0,12,2882397854
453,3.46361,22,0,2,0,78.61,65,8186,2,2634.92,59,2,6.12605,2571,-1071157116,14,0,14,2824207232
406,3.10455,25,0,0,0,45.217,42,8191,0,2591.89,65,0,6.01133,2636,1748326866,14,0,14,2819483982
411,3.14243,34,0,0,0,39.706,49,8181,0,2553.18,62,0,5.26947,2698,247866950,14,0,14,2794507380
412,3.15013,14,0,0,0,51.034,60,8191,0,2516.55,65,0,4.84883,2763,-1251662190,14,0,14,2795438156
427,3.26483,25,0,0,0,53.453,65,8181,0,2480.04,65,0,4.25994,2828,1532141784,14,0,14,2783803974
435,3.32628,20,0,0,0,43.857,48,8183,0,2439.21,68,0,5.29242,2896,52455530,14,0,14,2815281042
411,3.14249,30,0,0,0,67.589,49,8191,0,2404.89,65,0,6.37078,2961,-1455960110,14,0,14,2786551656
440,3.36428,22,0,1,0,59.47,62,8191,1,2671.86,67,1,8.09158,3028,1335486660,15,0,15,2791446770
400,3.05834,46,0,0,0,39.818,60,8191,0,2631.78,59,0,6.87555,3087,-264409600,15,0,15,2695071036
404,3.08908,29,0,0,0,35.391,43,8191,0,2592.88,68,0,4.94061,3155,-1657108030,15,0,15,2902268866
413,3.15799,32,0,0,0,41.577,41,8186,0,2556.1,65,0,3.90813,3220,1044369098,15,0,15,2701477128
399,3.05083,36,0,0,0,45.737,45,8191,0,2516.54,67,0,4.59645,3287,-374431996,15,0,15,2876166202
426,3.25724,42,0,0,0,56.738,60,8191,0,2478.18,64,0,5.97309,3351,-1934280136,15,0,15,2735119156
435,3.32599,33,0,0,0,40.679,40,8190,0,2443.66,65,0,6.80672,3416,863423178,15,0,15,2797703314
426,3.25718,25,0,0,0,54.983,55,8191,0,2410.97,69,0,5.95014,3485,-614833956,15,0,15,2816710162
443,3.38712,15,0,0,0,40.012,49,8184,0,2378.28,65,0,4.73411,3550,-2100585234,15,0,15,2809216018
410,3.13484,35,0,1,0,60.38,61,8191,1,2532.69,57,1,4.71882,3607,658053810,16,0,16,2758639044
423,3.23415,46,0,0,0,43.535,56,8190,0,2494.78,61,0,5.30006,3668,-813377386,16,0,16,2823536100
402,3.07389,36,0,1,0,55.748,63,8190,1,2771.38,57,1,4.44349,3725,2010539666,17,0,17,2823917052
379,2.89802,24,0,1,0,49.898,53,8187,1,3062.54,65,1,4.2064,3790,465882592,18,0,18,2750310222
350,2.67607,22,0,0,0,37.51,51,8191,0,3009.99,56,0,5.06298,3846,-1035368730,18,0,18,2793715974
357,2.7296,28,0,0,0,50.577,57,8191,0,2959.22,61,0,5.17005,3907,1797963940,18,0,18,2833332670
362,2.7679,34,0,0,0,40.551,55,8191,0,2910.13,61,0,5.85837,3968,294891526,18,0,18,2791894882
371,2.83662,17,0,0,0,40.528,50,8185,0,2862.65,65,0,6.52374,4033,-1199568536,18,0,18,2800507234
348,2.66077,14,0,2,0,53.724,51,8189,2,3572.48,53,2,7.15853,4086,1555047776,20,0,20,2754616312
302,2.30912,19,0,0,0,38.766,40,8191,0,3501.18,60,0,7.05146,4146,22422566,20,0,20,2762342086
291,2.2251,9,0,0,0,41.685,34,8191,0,3429.15,57,0,6.52374,4203,-1411487440,20,0,20,2861057290
314,2.40098,14,0,0,0,32.451,38,8190,0,3371.91,59,0,5.23123,4262,1389011044,20,0,20,2800498484
319,2.43909,18,0,0,0,29.503,33,8190,0,3305.04,56,0,5.3689,4318,-150590730,20,0,20,2755365522
324,2.47719,19,0,0,0,55.985,57,8191,0,3247.09,62,0,6.05722,4380,-1689476544,20,0,20,2756081482
332,2.53843,10,0,0,0,32.927,41,8188,0,3140.03,60,0,6.81437,4440,1170538250,20,0,20,2860014794
371,2.83663,28,0,0,0,34.431,43,8191,0,2642.23,55,0,6.53139,4495,-371430784,20,0,20,2752998262
436,3.33363,44,0,0,0,46.255,55,8191,0,2257.5,65,0,6.73024,4560,-1838151918,20,0,20,2828246162
455,3.47888,35,0,1,0,49.187,66,8179,1,2328.91,58,1,5.93485,4618,866267464,21,0,21,2704419382
460,3.51712,26,0,0,0,50.498,176,8187,0,2297.61,66,0,6.03427,4684,-576660516,21,0,21,2852039316
443,3.3871,19,0,1,0,48.485,51,8191,1,2544.43,70,1,5.3383,4754,-2056166898,22,0,22,2815460914
