SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
293,2.58124,17,0,1,0,29.402,17,8191,1,0,145,0,8.76038,145,591994807,1,0,1,-371780367081545
617,5.95137,30,0,0,0,28.774,30,8191,0,0,304,0,9.9085,449,-908337219,1,0,1,2794635270
747,7.20518,80,0,0,0,61.364,83,8191,0,0,356,0,15.1377,805,1868619579,1,0,1,2776956798
800,7.71634,64,0,4,0,99.445,147,8189,4,0,230,4,15.5333,1035,354518161,5,0,5,2780865878
753,7.26323,58,0,1,0,91.429,210,8189,1,0,355,1,13.7388,1390,-1132551035,6,0,6,2807898100
876,8.44921,70,0,5,0,156.537,239,8189,5,0,202,5,12.1661,1592,1659975107,11,0,11,2792526142
832,8.02486,117,0,3,0,108.308,279,8189,3,0,323,3,13.4011,1915,-6433795,14,0,14,2628558394
863,8.32393,99,0,3,0,118.836,306,8191,3,0,246,3,14.9255,2161,-1335030117,17,0,17,2966370974
886,8.54583,83,0,3,0,69.625,332,8191,3,0,263,3,14.5588,2424,1463804299,20,0,20,2798834416
819,7.89939,70,0,1,0,107.399,365,8191,1,0,358,1,12.9766,2782,-57430393,21,0,21,2773732604
851,8.20845,113,0,6,0,74.085,384,8190,6,0,220,6,15.9674,3002,-1592322825,27,0,27,2760074864
737,7.10859,89,0,3,0,104.96,406,8189,3,0,272,3,15.4464,3274,1179457585,30,0,30,2771780410
866,8.35305,89,0,5,0,168.3,426,8189,5,0,257,5,10.7575,3531,-268493273,35,0,35,2847016438
836,8.06378,78,0,3,0,94.667,447,8189,3,0,293,3,12.1468,3824,-1843437219,38,0,38,2720023350
839,8.09281,71,0,6,0,64.755,462,8191,6,0,217,6,14.2115,4041,1038834171,44,0,44,2882271390
836,8.06348,102,0,2,0,83.337,484,8189,2,0,319,2,14.3755,4360,-517359703,46,0,46,2738773422
837,8.07309,66,0,2,0,175.958,504,8189,2,0,312,2,12.2916,4672,-1994653063,48,0,48,2817673936
802,7.73571,76,0,3,0,81.342,522,8189,3,0,285,3,13.1406,4957,846169061,51,0,51,2840822124
878,8.46857,73,0,3,0,63.274,542,8191,3,0,330,3,10.4584,5287,-741130559,54,0,54,2707667676
838,8.08278,79,0,4,0,71.777,558,8191,4,0,278,4,10.4584,5565,2074474401,58,0,58,2815604960
817,7.88028,136,0,6,0,129.492,571,8189,6,0,229,6,13.0055,5794,491662453,64,0,64,2712155348
857,8.26608,89,0,2,0,91.438,589,8187,2,0,325,2,17.5401,6119,-877031829,66,0,66,2926273014
877,8.45935,136,0,3,0,139.241,602,8191,3,0,249,3,11.5969,6368,1930198779,69,0,69,2807230608
863,8.32393,64,0,4,0,86.651,618,8187,4,0,303,4,17.3857,6671,418210129,73,0,73,2782978646
816,7.87059,62,0,6,0,114.212,632,8191,6,0,279,6,14.2597,6950,-1074358967,79,0,79,2802398200
831,8.01532,76,0,1,0,193.229,648,8189,1,0,325,1,17.0673,7275,1700030693,80,0,80,2774389660
868,8.3722,73,0,3,0,78.498,665,8189,3,0,336,3,16.7296,7611,195549655,83,0,83,2790486258
856,8.25638,164,0,6,0,87.599,677,8189,6,0,261,6,11.9249,7872,-1343040031,89,0,89,2756377610
872,8.41124,94,0,3,0,88.752,690,8189,3,0,273,3,10.7189,8145,1505075477,92,0,92,2848115508
839,8.09301,163,0,4,0,104.608,700,8189,4,0,228,4,13.9607,8373,-11457391,96,0,96,2778434428
880,8.48832,69,0,5,0,64.707,716,8189,5,0,334,5,15.2824,8707,-1500378437,101,0,101,2806046250
847,8.17018,155,0,2,0,121.6,729,8189,2,0,306,2,15.9964,9013,1267336993,103,0,103,2767715430
912,8.79648,87,0,4,0,79.163,743,8189,4,0,330,4,12.2144,9343,-221401497,107,0,107,2806228806
791,7.62949,72,0,4,0,104.841,753,8189,4,0,234,4,13.6423,9577,-1701579081,111,0,111,2814789712
838,8.08281,101,0,6,0,78.368,761,8189,6,0,185,6,10.5742,9762,1102970681,117,0,117,2804549762
876,8.44925,132,0,4,0,79.353,772,8189,4,0,248,4,13.8449,10010,-412509205,121,0,121,2779487410
916,8.83503,71,0,4,0,76.862,784,8189,4,0,301,4,13.2178,10311,-1913923333,125,0,125,2793553168
882,8.50795,80,0,4,0,83.504,797,8189,3,0,317,4,16.7586,10628,897969919,128,0,129,2811893252
787,7.59118,99,0,3,0,82.126,805,8189,4,0,196,3,16.4981,10824,-644101875,132,0,132,2752895502
835,8.05428,123,0,3,0,133.693,812,8191,3,0,194,3,16.9515,11018,-2101670565,135,0,135,2837398606
847,8.16968,104,0,2,0,94.734,825,8189,2,0,313,2,16.0157,11331,651520281,137,0,137,2753190846
857,8.26575,387,0,5,0,112.315,832,8189,5,0,196,5,16.0446,11527,-1584536973,142,0,142,2058910042
448,4.32109,832,0,3,0,112.315,832,8189,3,0,0,3,16.0446,11527,-1584536973,145,0,145,0
434,4.18592,69,0,832,0,75.685,96,8189,59,0,157,0,16.0253,11684,433245757,204,0,977,6312750026
829,7.9958,142,0,3,0,120.966,169,8189,3,0,304,3,15.5236,11988,-1015392685,207,0,980,2846328854
836,8.06414,73,0,6,0,83.082,211,8189,6,0,252,6,16.2279,12240,1758044723,213,0,986,2773437408
819,7.90009,145,0,3,0,92.339,244,8189,3,0,237,3,16.1411,12477,264320473,216,0,989,2801243046
898,8.66187,121,0,1,0,120.772,290,8189,1,0,379,1,17.8392,12856,-1260937433,217,0,990,2769709390
839,8.09254,81,0,7,0,119.235,321,8191,7,0,298,7,13.8449,13154,1526407645,224,0,997,2787345078
842,8.12125,83,0,5,0,89.715,339,8191,5,0,191,5,14.7807,13345,34751447,229,0,1002,2803311098
929,8.96025,113,0,1,0,94.793,374,8191,1,0,390,1,15.3886,13735,-1440651297,230,0,1003,2819564552
846,8.1597,90,0,2,0,116.949,401,8191,2,0,328,2,15.3982,14063,1365701707,232,0,1005,2806353004
835,8.05447,83,0,1,0,103.402,428,8191,1,0,342,1,14.7904,14405,-159250327,233,0,1006,2770015262
