SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
194,1.35227,14,0,1,0,26.046,14,8189,1,0,98,0,7.71683,98,871266600,1,0,1,-403713169655512
524,4.00635,27,0,0,0,37.907,27,8189,0,0,264,0,6.92144,362,-625600958,1,0,1,2798099738
518,3.96086,35,0,0,0,53.086,35,8189,0,0,258,0,6.40902,620,2125783930,1,0,1,2751384888
653,4.98915,43,0,1,0,68.101,43,8189,1,0,314,1,6.14899,934,617263808,2,0,2,2786447174
554,4.23484,48,0,4,0,59.476,48,8189,4,0,236,4,6.95203,1170,-985039864,6,0,6,2692663624
495,3.78514,51,0,3,0,64.348,51,8189,3,0,178,3,7.97686,1348,1376439732,9,0,9,2361479596
497,3.8002,54,0,4,0,77.018,54,8191,4,0,151,4,7.84685,1499,422673508,13,0,13,3341201072
508,3.88344,53,0,3,0,66.14,58,8189,3,0,180,3,6.95203,1679,-1108719638,16,0,16,2763574150
601,4.59429,59,0,4,0,68.785,61,8189,4,0,190,4,6.76083,1869,1749460428,20,0,20,2858180066
635,4.85517,64,0,6,0,71.53,64,8189,6,0,231,6,8.47398,2100,249590668,26,0,26,2791688858
562,4.29711,66,0,4,0,74.895,67,8189,4,0,162,4,9.10112,2262,-1253713684,30,0,30,2791662944
577,4.41167,69,0,5,0,91.832,69,8189,5,0,165,5,10.6154,2427,1554708226,35,0,35,2808421910
567,4.33524,72,0,6,0,94.003,72,8169,6,0,204,6,9.00934,2631,49340512,41,0,41,2789599582
0,0,72,0,0,0,94.003,72,8169,0,0,0,0,9.00934,2631,49340512,41,0,41,0
536,4.09847,40,0,74,0,60.576,40,8187,61,0,206,2,7.42621,2837,1309265516,102,0,115,5554892300
551,4.21303,46,0,0,0,80.346,46,8191,0,0,259,0,6.60787,3096,-161091774,102,0,115,2824610006
607,4.64133,51,0,3,0,71.497,51,8189,3,0,237,3,6.57728,3333,-1677536722,105,0,118,2778522348
535,4.09063,55,0,2,0,79.952,55,8137,2,0,216,2,7.0591,3549,1010391262,107,0,120,2687927984
605,4.62587,59,0,4,0,87.937,59,8190,4,0,228,4,7.0744,3777,-368074222,111,0,124,2916501812
38,0.290563,59,0,1,0,88.011,59,8154,1,0,1,1,7.01322,3778,-197900358,112,0,125,170173864
424,3.24204,33,0,59,0,52.991,33,8189,59,0,172,0,8.604,3950,888444172,171,0,184,5381311826
560,4.28195,40,0,2,0,46.796,40,8191,2,0,247,2,7.55622,4197,-572020354,173,0,186,2834502770
293,2.24039,42,0,3,0,59.949,42,8191,3,0,109,3,8.05334,4306,968123584,176,0,189,1540143938
178,1.361,22,0,42,0,35.267,22,8189,42,0,61,0,7.18147,4367,705278690,218,0,231,4032122402
494,3.77725,31,0,0,0,50.391,31,8191,0,0,248,0,7.99981,4615,-788250741,218,0,231,2801437865
532,4.06818,39,0,1,0,59.737,39,8189,1,0,263,1,7.48739,4878,1560679946,219,0,232,2348930687
556,4.25142,44,0,2,0,82.918,44,8189,2,0,222,2,6.7073,5100,514652264,221,0,234,3248939614
626,4.78672,50,0,2,0,72.051,50,8189,2,0,273,2,7.0897,5373,-987938386,223,0,236,2792376646
590,4.5112,54,0,4,0,75.737,54,8189,4,0,226,4,9.1929,5599,1740708990,227,0,240,2728647376
579,4.4271,57,0,3,0,82.944,58,8189,3,0,212,3,10.2789,5811,223008424,230,0,243,2777266730
597,4.56517,58,0,5,0,84.099,62,8189,5,0,215,5,8.80285,6026,-1212674808,235,0,248,2859284064
609,4.65677,62,0,7,0,73.156,65,8189,7,0,216,7,6.56198,6242,1586218646,242,0,255,2798893454
572,4.37403,68,0,9,0,85.63,68,8191,9,0,189,9,8.02275,6431,79202808,251,0,264,2787951458
583,4.45789,68,0,5,0,88.616,70,8189,5,0,166,5,9.56,6597,-1400807554,256,0,269,2814956934
552,4.22099,72,0,6,0,85.172,72,8152,6,0,156,6,10.6154,6753,1104439760,262,0,275,2505247314
62,0.474058,3,0,72,0,85.964,3,8119,59,0,1,0,10.516,6754,-154901876,321,0,347,3035625660
459,3.50955,40,0,1,0,66.998,40,8189,1,0,200,1,9.7359,6954,-1630952056,322,0,348,2818917116
507,3.87673,45,0,2,0,88.919,45,8191,2,0,237,2,6.38608,7191,1030016556,324,0,350,2660968612
494,3.77726,49,0,3,0,73.411,49,8189,3,0,158,3,5.5295,7349,-364179773,327,0,353,2900770967
576,4.40393,50,0,2,0,93.562,53,8189,2,0,245,2,6.56963,7594,-1809354720,329,0,355,2849792349
337,2.57672,56,0,5,0,83.655,56,8189,5,0,120,5,7.64035,7714,-232750250,334,0,360,1576604470
159,1.21573,28,0,56,0,44.022,28,8189,56,0,40,0,7.48739,7754,-528151178,390,0,416,3999566368
516,3.94551,36,0,1,0,44.803,36,8189,1,0,245,1,8.50458,7999,-2043538510,391,0,417,2779579964
567,4.33544,42,0,1,0,82.674,42,8189,1,0,269,1,7.29619,8268,760097542,392,0,418,2803636052
418,3.19599,46,0,3,0,63.005,46,8189,3,0,146,3,5.80483,8414,-787844872,395,0,421,2747024882
577,4.41181,50,0,3,0,68.041,50,8189,3,0,226,3,7.0591,8640,2056601110,398,0,424,2844445982
550,4.20528,53,0,5,0,71.31,54,8189,4,0,201,5,8.14512,8841,479342710,402,0,429,2717708896
547,4.18229,57,0,4,0,81.514,57,8189,5,0,145,4,8.86403,8986,-940133128,407,0,433,2875491458
584,4.46565,61,0,5,0,77.859,61,8158,5,0,225,5,11.4491,9211,1848169320,412,0,438,2788302448
553,4.22881,64,0,4,0,95.389,64,8190,4,0,211,4,11.1508,9422,194464752,416,0,442,2641262728
567,4.33551,67,0,3,0,93.769,67,8190,3,0,223,3,10.9902,9645,-1277536804,419,0,445,2822965740
635,4.85529,58,0,6,0,84.356,70,8189,6,0,193,6,11.5714,9838,1640313222,425,0,451,2917850026
556,4.2511,61,0,3,0,105.287,73,8189,3,0,209,3,8.77226,10047,121413458,428,0,454,2776067532
589,4.50351,75,0,7,0,85.85,75,8189,7,0,178,7,5.74365,10225,-1377384588,435,0,461,2796169250
580,4.43509,71,0,9,0,86.449,77,8189,9,0,159,9,5.69011,10384,1440743886,444,0,470,2818128474
573,4.3814,61,0,4,0,106.602,80,8190,4,0,181,4,6.27136,10565,-109579802,448,0,474,2744643608
606,4.63369,79,0,6,0,94.396,81,8191,6,0,100,6,7.09734,10665,-1560372652,454,0,480,2844174446
463,3.54038,83,0,4,0,117.046,83,8189,4,0,153,4,8.88698,10818,1064449752,458,0,484,2624822404
610,4.66401,72,0,5,0,108.956,85,8191,5,0,156,5,7.51798,10974,-308692768,463,0,489,2921824776
396,3.02783,86,0,5,0,101.959,86,8191,5,0,137,5,7.03616,11111,1680858658,468,0,494,1989551426
94,0.71875,14,0,86,0,89.649,14,8189,59,0,12,0,7.52563,11123,932475139,527,0,580,3546583777
532,4.06809,47,0,2,0,66.628,47,8191,2,0,232,2,7.64035,11355,-600189224,529,0,582,2762302933
516,3.94535,51,0,3,0,78.195,51,8191,3,0,213,3,8.70342,11568,-2005588636,532,0,585,2889567884
367,2.80611,53,0,2,0,82.849,53,8189,2,0,111,2,10.8143,11679,821907406,534,0,587,2827496042
507,3.87628,58,0,2,0,112.876,58,8189,2,0,231,2,11.0667,11910,-799593248,536,0,589,2673466642
532,4.06772,60,0,3,0,82.613,60,8189,3,0,159,3,9.34586,12069,2117753674,539,0,592,2917346922
