SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
244,2.64146,15,0,1,0,35.922,15,8189,1,0,123,0,12.1023,123,-417865428,1,0,1,-373327565168340
409,4.7625,25,0,0,0,73.706,25,8189,0,0,205,0,11.9043,328,-1911051056,1,0,1,2801781668
616,7.17342,35,0,0,0,36.538,35,8189,0,0,309,0,14.6765,637,864771966,1,0,1,2775823022
673,7.83667,95,0,3,0,89.964,105,8189,3,0,233,3,14.4785,870,-618881664,4,0,4,2811313666
669,7.79047,134,0,11,0,103.551,154,8165,11,0,198,11,16.9595,1068,2064163344,15,0,15,2683045008
444,5.17031,159,0,32,0,101.376,159,8186,32,0,26,31,17.041,1094,-586376622,47,0,47,1644427330
97,1.12942,14,0,159,0,79.533,14,8189,64,0,12,0,16.9595,1106,-832380944,111,0,206,4048962974
628,7.31319,76,0,10,0,87.238,108,8189,10,0,185,10,13.3486,1291,1890879036,121,0,216,2723259980
472,5.49609,118,0,22,0,90.672,118,8174,22,0,35,22,13.2787,1326,-436696442,143,0,238,1967391818
78,0.908369,9,0,118,0,83.141,9,8189,59,0,7,0,13.3253,1333,-1069724250,202,0,356,3661939488
652,7.59254,88,0,8,0,80.9,114,8190,8,0,210,8,13.8495,1543,1710272938,210,0,364,2779997188
679,7.90698,63,0,13,0,101.7,133,8189,13,0,75,13,13.7446,1618,264156178,223,0,377,2848850536
98,1.1412,136,0,6,0,94.706,136,8190,6,0,10,6,13.9543,1628,542236484,229,0,383,278080306
421,4.90265,56,0,136,0,83.155,96,8189,59,0,157,0,12.7895,1785,1495888424,288,0,519,5248619236
244,2.84125,104,0,4,0,73.678,104,8138,4,0,25,4,15.0492,1810,-1998997912,292,0,523,800080960
391,4.55315,85,0,106,0,89.478,85,8189,61,0,128,2,17.1575,1938,-1592554074,353,0,629,4701411134
633,7.37155,72,0,5,0,118.065,141,8107,5,0,197,5,17.3439,2135,1228230592,358,0,634,2820784666
698,8.12731,67,0,16,0,127.814,161,8189,16,0,96,16,15.9694,2231,-201232468,374,0,650,2865504236
660,7.68554,90,0,8,0,124.809,187,8147,8,0,139,8,14.5949,2370,-1745409946,382,0,658,2750789818
705,8.20994,68,0,9,0,103.271,216,8190,9,0,182,9,14.0591,2552,1093996806,391,0,667,2839406752
268,3.12063,216,0,13,0,98.969,216,8178,13,0,5,13,14.5367,2557,1698233264,404,0,680,604236458
