SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
214,1.15151,14,0,1,0,25.666,14,8191,1,0,105,0,5.58022,105,-1284859831,1,0,1,-402160547620791
590,3.3315,28,0,0,0,27.394,28,8189,0,0,295,0,5.06626,400,1493940212,1,0,1,2778800043
649,3.66477,38,0,0,0,46.522,38,8191,0,0,327,0,9.7315,727,-11020996,1,0,1,2790006088
760,4.29188,47,0,0,0,47.896,47,8191,0,0,381,0,9.22883,1108,-1486003980,1,0,1,2819984312
808,4.56263,54,0,2,0,50.749,54,8189,2,0,386,2,10.5956,1494,1239304354,3,0,3,2725308334
747,4.21793,59,0,1,0,63.045,60,8190,1,0,321,1,8.83912,1815,-232129656,4,0,4,2823533286
763,4.30833,65,0,4,0,63.914,65,8189,4,0,295,4,5.68189,2110,-1750150836,8,0,8,2776946116
770,4.34816,63,0,3,0,69.285,69,8189,3,0,295,3,7.95238,2405,1098932324,11,0,11,2849083160
651,3.67622,69,0,3,0,88.06,73,8144,3,0,265,3,8.20654,2670,-477435172,14,0,14,2718599800
868,4.90156,76,0,2,0,85.093,77,8189,2,0,359,2,8.42682,3029,-1917506214,16,0,16,2854896254
578,3.26398,81,0,2,0,88.012,81,8191,2,0,252,2,9.54512,3281,84648038,18,0,18,2002154252
135,0.762346,24,0,81,0,52.836,24,8187,72,0,22,0,10.2116,3303,-622987496,90,0,99,3587331762
821,4.63579,48,0,0,0,44.137,48,8191,0,0,403,0,11.1943,3706,2123106162,90,0,99,2746093658
714,4.03167,55,0,1,0,56.091,55,8189,1,0,333,1,10.3528,4039,606265308,91,0,100,2778126442
751,4.24058,58,0,3,0,73.135,60,8189,3,0,299,3,9.93483,4338,-869104270,94,0,103,2819597718
753,4.25202,65,0,3,0,70.977,65,8190,3,0,326,3,10.9289,4664,1943956232,97,0,106,2813060502
756,4.26902,61,0,3,0,67.43,69,8190,3,0,260,3,8.70357,4924,430902504,100,0,109,2781913568
769,4.34217,69,0,3,0,74.618,73,8189,3,0,292,3,7.74341,5216,-1039435978,103,0,112,2824628814
836,4.72054,73,0,3,0,69.49,77,8189,3,0,335,3,8.35904,5551,1766003904,106,0,115,2805439882
797,4.50034,81,0,4,0,82.529,81,8189,4,0,289,4,6.89621,5840,267996242,110,0,119,2796959634
698,3.94157,79,0,4,0,95.521,84,8189,4,0,240,4,10.1325,6080,-1242413746,114,0,123,2784557308
760,4.29163,81,0,4,0,94.222,87,8191,4,0,260,4,8.78264,6340,1543798122,118,0,127,2786211868
860,4.85649,76,0,1,0,81.999,91,8189,1,0,401,1,6.84538,6741,49811706,119,0,128,2800980880
779,4.39862,76,0,5,0,96.204,94,8191,5,0,222,5,9.05374,6963,-1465333779,124,0,133,2779821811
814,4.59654,57,0,5,0,93.055,97,8191,5,0,283,5,8.02016,7246,1289016776,129,0,138,2754350555
799,4.51202,89,0,4,0,65.237,100,8190,4,0,299,4,7.02611,7545,-174931700,133,0,142,2831018820
776,4.38212,83,0,2,0,69.418,102,8189,2,0,278,2,6.28622,7823,-1666871230,135,0,144,2803027766
807,4.55724,93,0,4,0,110.498,105,8190,4,0,308,4,7.74906,8131,1090746444,139,0,148,2757617674
855,4.82818,86,0,2,0,81.97,108,8189,2,0,309,2,7.74906,8440,-370840456,141,0,150,2833380396
779,4.39895,70,0,3,0,88.089,111,8191,3,0,282,3,10.2003,8722,-1894418404,144,0,153,2771389348
717,4.04886,113,0,4,0,110.405,113,8185,4,0,191,4,7.56267,8913,931063668,148,0,157,2825482072
858,4.84533,65,0,4,0,59.407,115,8189,4,0,317,4,7.51749,9230,-572307058,152,0,161,2791596570
