SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
45,0.0186543,2,0,1,0,54.61,17,8190,1,21634.7,26,1,0.445312,26,-264668197,1,0,1,-350538315498533
74,0.0331411,7,0,0,0,30.737,18,8190,0,10446.9,35,0,0.4704,61,-1821694077,1,0,1,2737941416
129,0.057775,11,0,0,0,48.332,22,8189,0,7031.25,44,0,0.46816,105,930622665,1,0,1,2752316742
183,0.0819665,7,0,0,0,30.838,26,8186,0,4945.06,48,0,0.482048,153,-479085765,1,0,1,2885258866
247,0.110633,13,0,0,0,32.37,1290,8184,0,3857.7,52,0,0.614656,205,-1992348471,1,0,1,2781704590
1124,0.503416,213,0,0,0,35.217,8632,8158,0,69.0501,55,0,64.9094,260,785430463,1,0,1,2777778934
2960,1.32572,121,0,0,0,40.961,8604,8191,0,31.6632,75,0,55.1806,335,-662720483,1,0,1,2846816350
2770,1.24062,120,0,0,0,43.766,8411,8160,0,26.2925,75,0,54.2819,410,2123357077,1,0,1,2786077560
2884,1.29168,126,0,0,0,38.801,7129,8191,0,22.4802,73,0,71.5192,483,612613545,1,0,1,2784223764
2887,1.29303,120,0,0,0,39.689,9352,8150,0,19.5184,72,0,70.4753,555,-913879665,1,0,1,2768474086
2994,1.34095,118,0,0,0,40.128,9371,8150,0,17.1133,78,0,55.1013,633,1907481549,1,0,1,2821361214
3075,1.37729,134,0,0,0,36.777,8383,8145,0,15.271,76,0,78.7252,709,422398393,1,0,1,2809884140
2888,1.29343,130,0,0,0,37.352,6707,8123,0,13.8699,74,0,51.1043,783,-1101864295,1,0,1,2770704608
3181,1.4247,122,0,0,0,35.046,8417,8159,0,12.5867,81,0,68.1533,864,1715727671,1,0,1,2817591966
3063,1.37184,175,0,0,0,42.075,8789,8191,0,11.6414,76,0,78.8413,940,200375367,1,0,1,2779614992
2884,1.29168,137,0,0,0,37.985,8419,8155,0,10.6725,72,0,65.7216,1012,-1290213275,1,0,1,2804378654
3086,1.38219,136,0,0,0,35.438,7995,8161,0,9.98355,74,0,60.8353,1086,1497917917,1,0,1,2788131192
2859,1.28045,122,0,0,0,39.06,7840,8191,0,9.37934,76,0,59.1557,1162,-7550121,1,0,1,2789499258
2763,1.23754,132,0,0,0,41.365,8456,8142,0,8.88309,72,0,55.9704,1234,-1489355415,1,0,1,2813162002
3032,1.35807,103,0,0,0,42.346,10619,8086,0,8.41223,74,0,61.2998,1308,1258380205,1,0,1,2747735620
3122,1.39832,131,0,0,0,40.44,9326,8151,0,8.02252,74,0,68.1139,1382,-207086963,1,0,1,2829500128
2820,1.26303,173,0,0,0,40.991,10895,8116,0,7.79979,72,0,61.4436,1454,-1778882689,1,0,1,2723171570
2838,1.27108,173,0,0,0,45.873,10793,8149,0,7.57705,76,0,68.4548,1530,1051460561,1,0,1,2830343250
2871,1.28586,149,0,0,0,44.363,10079,8191,0,7.34322,75,0,67.9885,1605,-407215193,1,0,1,2836291542
2797,1.25272,132,0,0,0,39.209,8228,8138,0,6.95996,81,0,70.7939,1686,-1915596713,1,0,1,2786585776
2714,1.21558,114,0,0,0,39.619,8314,8149,0,6.89632,76,0,55.0812,1762,863680555,1,0,1,2779277268
3048,1.3651,107,0,0,0,44.61,10035,8146,0,6.83733,80,0,77.5918,1842,-641413305,1,0,1,2789873436
2859,1.28043,141,0,0,0,42.582,8615,8191,0,6.77547,75,0,67.0481,1917,-2118363105,1,0,1,2818017496
2896,1.29706,133,0,0,0,40.782,7344,8159,0,6.75831,76,0,67.032,1993,666898941,1,0,1,2785262046
2845,1.27422,156,0,0,0,36.411,7587,8175,0,6.65713,75,0,56.3965,2068,-826249405,1,0,1,2801818950
2971,1.33064,111,0,0,0,37.521,11923,8191,0,6.47694,74,0,85.4726,2142,1946543429,1,0,1,2772792834
2919,1.30736,155,0,0,0,42.834,9568,8191,0,5.88738,78,0,66.7551,2220,454383441,1,0,1,2802807308
2782,1.24607,113,0,0,0,40.358,8551,8191,0,5.88595,78,0,71.0532,2298,-1024111343,1,0,1,2816472512
2979,1.33418,130,0,0,0,36.623,8320,8191,0,5.88416,78,0,63.1859,2376,1762547539,1,0,1,2786658882
2925,1.31013,144,0,0,0,46.042,10368,8191,0,5.88237,76,0,56.6707,2452,240342095,1,0,1,2772761852
2729,1.22226,309,0,0,0,43.999,9626,8167,0,5.88094,68,0,64.1881,2520,-1289502379,1,0,1,2765122822
2776,1.24331,137,0,0,0,40.416,9131,8151,0,5.87951,76,0,60.0105,2596,1517001671,1,0,1,2806504050
2954,1.32304,133,0,0,0,38.817,9291,8171,0,5.87808,77,0,69.1681,2673,36679313,1,0,1,2814644938
2828,1.2666,136,0,0,0,43.403,10434,8136,0,5.87665,75,0,54.2927,2748,-1454563843,1,0,1,2803724140
2935,1.31452,213,0,0,0,43.327,10941,8179,0,5.72363,81,0,69.8024,2829,1284373309,1,0,1,2738937152
3006,1.34635,197,0,0,0,41.83,8957,8137,0,5.7222,79,0,62.0041,2908,-212829591,1,0,1,2797764396
3099,1.38793,167,0,0,0,54.476,11384,8191,0,5.72077,76,0,61.3639,2984,-1660149399,1,0,1,2847647488
2943,1.31818,129,0,0,0,39.083,9028,8191,0,5.71934,74,0,67.4728,3058,1148179355,1,0,1,2808328754
3255,1.45787,155,0,0,0,37.931,8336,8100,0,5.71755,75,0,75.6466,3133,-355220379,1,0,1,2791567562
3025,1.35489,210,0,0,0,47.462,9868,8139,0,5.71612,76,0,65.9868,3209,-1881456913,1,0,1,2768730762
3062,1.37138,154,0,0,0,39.618,7565,8155,0,5.71469,73,0,58.5025,3282,931457765,1,0,1,2812914678
2958,1.32482,147,0,0,0,38.278,7935,8165,0,5.71326,77,0,66.5146,3359,-572751953,1,0,1,2790757578
2886,1.29255,151,0,0,0,38.747,7562,8182,0,5.71148,77,0,51.5043,3436,-2085073453,1,0,1,2782645796
3043,1.36285,153,0,0,0,39.536,9542,8191,0,5.69181,74,0,73.3434,3510,722059253,1,0,1,2807132706
3085,1.38165,139,0,0,0,39.578,13337,8137,0,5.54737,72,0,130.569,3582,-822837391,1,0,1,2750070652
2795,1.25187,198,0,0,0,45.419,8000,8191,0,5.50447,71,0,65.6566,3653,1933895105,1,0,1,2756732496
3073,1.37633,188,0,0,0,39.968,16656,8191,0,5.39185,78,0,126.742,3731,467298935,1,0,1,2828371126
2679,1.19993,135,0,0,0,42.073,14634,8162,0,5.31748,76,0,87.2879,3807,-975774659,1,0,1,2851893702
2806,1.25674,152,0,0,0,43.395,9930,8146,0,5.31176,76,0,63.3042,3883,1806684993,1,0,1,2782459652
3093,1.38527,135,0,0,0,35.917,9157,8191,0,5.31033,77,0,72.9693,3960,304099625,1,0,1,2792381928
2847,1.27511,139,0,0,0,41.537,9911,8190,0,5.30926,72,0,73.9818,4032,-1228742319,1,0,1,2762125352
2978,1.33378,136,0,0,0,38.929,15320,8181,0,5.26171,79,0,122.541,4111,1606072181,1,0,1,2834814500
2808,1.25717,173,0,0,0,53.413,17736,8153,0,5.14587,78,0,109.368,4189,106943749,1,0,1,2795838864
2706,1.21199,126,0,0,0,41.543,8339,8191,0,5.02431,75,0,70.0824,4264,-1406995003,1,0,1,2781028544
2831,1.26793,197,0,0,0,42.878,8625,8182,0,5.02324,75,0,52.3403,4339,1316959839,1,0,1,2723954842
2900,1.29884,157,0,0,0,44.087,7188,8163,0,5.02217,77,0,58.9756,4416,-114959101,1,0,1,2863048356
2799,1.25349,123,0,0,0,42.306,8982,8111,0,5.02109,74,0,69.134,4490,-1612090461,1,0,1,2797835936
2733,1.22413,156,0,0,0,40.795,11875,8166,0,5.01859,74,0,93.434,4564,1148211153,1,0,1,2760301614
2982,1.33561,221,0,0,0,42.528,23181,8151,0,4.79764,73,0,148.176,4637,-414184847,1,0,1,2732571296
3022,1.35312,191,0,0,0,46.595,17276,8156,0,4.6439,83,0,108.106,4720,-1852571353,1,0,1,2856580790
2872,1.28636,132,0,0,0,43.86,7313,8122,0,4.59421,75,0,70.7517,4795,963091679,1,0,1,2815663032
2854,1.27833,199,0,0,0,41.5,12953,8136,0,4.59314,74,0,64.4206,4869,-577754121,1,0,1,2754121496
2882,1.29078,119,0,0,0,46.355,10279,8174,0,4.59206,75,0,67.0114,4944,-2045282341,1,0,1,2827439076
2757,1.23481,152,0,0,0,56.268,11658,8156,0,4.59135,73,0,69.892,5017,780331625,1,0,1,2825613966
3080,1.3795,142,0,0,0,41.903,9150,8191,0,4.59063,81,0,73.3004,5098,-719544435,1,0,1,2795091236
2806,1.25675,117,0,0,0,59.904,13403,8191,0,4.58956,76,0,80.3842,5174,2073509003,1,0,1,2793053438
2757,1.23481,175,0,0,0,55.58,9649,8191,0,4.58885,70,0,67.084,5244,537169845,1,0,1,2758628138
2956,1.32344,131,0,0,0,42.304,8008,8116,0,4.58777,81,0,66.7121,5325,-933973567,1,0,1,2823823884
2914,1.30515,173,0,0,0,43.496,9913,8119,0,4.5867,73,0,77.2719,5398,1843746595,1,0,1,2777720162
2800,1.25403,142,0,0,0,43.049,10374,8191,0,4.58563,75,0,60.1565,5473,337620683,1,0,1,2788841384
2814,1.26041,132,0,0,0,45.413,10001,8159,0,4.58491,71,0,69.3271,5544,-1176504829,1,0,1,2780841784
3008,1.34729,136,0,0,0,40.92,8294,8182,0,4.58384,73,0,68.3836,5617,1638082320,1,0,1,2814587149
2630,1.17799,121,0,0,0,47.295,10613,8144,0,4.58312,71,0,67.282,5688,129939047,1,0,1,2786824023
2944,1.31855,134,0,0,0,44.938,24057,8119,0,4.58134,70,0,53.7174,5758,-1384761921,1,0,1,2780266328
2768,1.23972,127,0,0,0,46.594,11493,8191,0,4.58062,75,0,69.457,5833,1435119955,1,0,1,2819881876
2909,1.30246,215,0,0,0,43.248,8107,8178,0,4.57955,74,0,51.3269,5907,-74668595,1,0,1,2785178746
3119,1.39691,146,0,0,0,37.466,8955,8191,0,4.57848,77,0,80.2364,5984,-1547834503,1,0,1,2821801388
2897,1.29751,121,0,0,0,41.684,9854,8191,0,4.57776,70,0,70.5569,6054,1223783409,1,0,1,2771617912
2979,1.33423,143,0,0,0,38.53,10059,8191,0,4.57669,73,0,76.9592,6127,-261908271,1,0,1,2809275616
2914,1.30437,181,0,0,0,48.02,12239,8191,0,4.57597,71,0,70.7038,6198,-1859880791,1,0,1,2696994776
