SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
5508,19.7176,185,0,0,0,17.523,5253,8063,0,1,60,0,1764.49,0,0,0,0,0,-1352688816504010
7271,26.5157,137,0,0,0,18.859,10480,8121,0,1.1376,84,0,695.685,0,0,0,0,0,2831710168
7170,26.1497,136,0,0,0,18.291,14727,8133,0,1.1376,87,0,1422.53,0,0,0,0,0,2796865036
7829,28.5531,146,0,0,0,15.092,6224,8127,0,1.1376,84,0,616.818,0,0,0,0,0,2786797650
6433,23.4619,163,0,0,0,30.113,7841,8081,0,1.1376,79,0,624.913,0,0,0,0,0,2802052456
7432,27.1056,238,0,0,0,14.11,6046,8191,0,1.1376,84,0,559.33,0,0,0,0,0,2768713080
7237,26.3936,117,0,0,0,18.381,6288,8077,0,1.13724,81,0,645.05,0,0,0,0,0,2794953994
7513,27.3985,170,0,0,0,17.786,6950,8191,0,1.13724,84,0,665.027,0,0,0,0,0,2803738378
7129,26.0014,110,0,3,0,24.486,18117,8062,3,1.99964,83,1,1554,3,1,3,0,0,2786933716
6886,25.1137,142,0,0,0,19.149,7134,7971,0,1.99964,82,0,702.401,3,1,3,0,0,2811866124
7658,27.9289,188,0,0,0,20.254,7043,8132,0,1.99964,84,0,709.379,3,1,3,0,0,2758110316
7164,26.1288,165,0,0,0,18.906,18651,8099,0,1.99964,87,0,1729.91,3,1,3,0,0,2843269674
7383,26.9249,167,0,0,0,15.855,12504,8191,0,1.995,86,0,1770.41,3,1,3,0,0,2788325064
7640,27.8634,178,0,0,0,16.692,10503,8041,0,1.995,86,0,1212.35,3,1,3,0,0,2750638660
7885,28.7566,180,0,0,0,20.509,6512,8133,0,1.995,86,0,710.787,3,1,3,0,0,2837686712
7267,26.5046,201,0,0,0,17.55,6971,8095,0,1.995,82,0,741.146,3,1,3,0,0,2786171192
7148,26.0691,167,0,0,0,18.508,5735,8127,0,1.995,84,0,659.974,3,1,3,0,0,2773967840
7164,26.1274,139,0,0,0,19.056,7057,8013,0,1.995,84,0,751.929,3,1,3,0,0,2808554994
6289,22.936,111,0,0,0,20.305,6731,8076,0,1.995,79,0,676.587,3,1,3,0,0,2804867562
7167,26.1381,110,0,0,0,18.051,7065,8023,0,1.99464,84,0,607.75,3,1,3,0,0,2788112964
7317,26.6852,142,0,0,0,17.065,14476,8002,0,1.99464,85,0,1596,3,1,3,0,0,2789093622
7737,28.2159,183,0,0,0,19.299,6127,8063,0,1.99464,84,0,815.627,3,1,3,0,0,2766965530
6906,25.1882,112,0,0,0,17.365,6406,8093,0,1.99464,85,0,704.83,3,1,3,0,0,2846468352
7217,26.3209,129,0,0,0,18.085,12149,8127,0,1.99464,84,0,1367.45,3,1,3,0,0,2776696482
7287,26.5769,169,0,0,0,16.869,6413,8043,0,1.99464,83,0,788.008,3,1,3,0,0,2769157202
7725,28.1753,251,0,0,0,16.616,5692,8057,0,1.99464,84,0,642.201,3,1,3,0,0,2799305516
7562,27.579,129,0,0,0,14.993,14774,7992,0,1.99464,85,0,1498.5,3,1,3,0,0,2800700026
7276,26.5357,135,0,0,0,15.786,5973,8097,0,1.99428,85,0,646.944,3,1,3,0,0,2812370262
7487,27.3071,171,0,0,0,16.735,6224,8015,0,1.99428,82,0,757.861,3,1,3,0,0,2754183362
7011,25.5432,129,0,0,0,21.879,7113,8084,0,1.99428,83,0,772.938,3,1,3,0,0,2849993244
7431,27.1016,117,0,0,0,14.7,8905,8127,0,1.99428,85,0,810.119,3,1,3,0,0,2779437836
7574,27.6228,135,0,0,0,16.237,18909,8191,0,1.99428,83,0,1672.42,3,1,3,0,0,2803939152
7213,26.3061,137,0,0,0,18.352,12336,8191,0,1.99428,88,0,1282.59,3,1,3,0,0,2793998074
7553,27.5463,161,0,0,0,18.021,6388,8118,0,1.99428,84,0,743.05,3,1,3,0,0,2799226052
6711,24.4734,179,0,0,0,20.045,6128,8147,0,1.99428,81,0,657.851,3,1,3,0,0,2773344042
