SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
945,3.2745,150,0,2,0,136.218,150,8190,2,0,367,2,4.76064,2,2,2,0,0,-1378341573463924
1295,4.72291,218,0,7,0,112.75,218,8187,7,0,389,7,7.70458,9,9,9,0,0,2890916434
1064,3.88068,132,0,6,0,163.043,252,8191,6,0,255,6,6.53722,15,15,15,0,0,2761962322
1226,4.47155,234,0,7,0,91.55,291,8073,7,0,327,7,7.71917,22,22,22,0,0,2646006658
1208,4.40556,295,0,45,0,84.962,295,8180,45,0,35,45,6.55546,67,67,67,0,0,2617163744
0,0,295,0,0,0,84.962,295,8180,0,0,0,0,6.55546,67,67,67,0,0,0
883,3.22037,118,0,299,0,76.807,118,8190,226,0,232,4,7.18656,293,71,366,0,1,5871768728
1313,4.789,125,0,5,0,104.648,199,8189,5,0,401,5,7.7593,298,76,371,0,1,2878206338
1200,4.37645,123,0,4,0,83.419,254,8169,4,0,395,4,6.96038,302,80,375,0,1,2721980520
1250,4.55875,213,0,17,0,90.572,279,8191,17,0,203,17,6.78893,319,97,392,0,1,2711366644
478,1.74322,281,0,23,0,91.947,281,8176,23,0,16,23,7.25587,342,120,415,0,1,981991220
451,1.64479,74,0,281,0,39.749,74,8187,188,0,99,0,4.47245,530,120,696,0,2,4736824372
1105,4.02992,160,0,4,0,88.067,163,8191,4,0,331,4,7.7593,534,124,700,0,2,2693816538
1220,4.44939,223,0,9,0,105.095,223,8149,9,0,360,9,7.85779,543,133,709,0,2,2901069981
1235,4.50418,159,0,9,0,74.583,256,8189,9,0,254,9,7.08442,552,142,718,0,2,2729990377
1195,4.3582,241,0,21,0,97.948,265,8177,21,0,74,21,7.09901,573,163,739,0,2,2662053548
1313,4.78895,151,0,25,0,83.262,285,8189,25,0,171,25,6.12864,598,188,764,0,2,2948778364
1365,4.9785,288,0,31,0,82.926,288,8171,31,0,27,30,5.89152,629,218,795,0,2,2748781756
832,3.03428,309,0,23,0,107.237,309,8167,23,0,190,22,6.43142,652,240,818,0,2,1486708426
174,0.634589,20,0,309,0,68.829,20,8189,124,0,18,0,6.94214,776,240,1127,0,3,4191834570
1089,3.9716,127,0,4,0,86.094,154,8189,4,0,366,4,7.73376,780,244,1131,0,3,2795202102
1147,4.18332,184,0,6,0,115.528,217,8189,6,0,367,6,7.73741,786,250,1137,0,3,2802294320
1294,4.7193,122,0,2,0,138.826,286,8189,2,0,542,2,10.7142,788,252,1139,0,3,2780392720
1165,4.2487,182,0,7,0,145.743,317,8190,7,0,292,7,7.68998,795,259,1146,0,3,2771632458
1321,4.81769,330,0,2,0,109.144,353,8189,2,0,375,2,7.15373,797,261,1148,0,3,2819615106
