SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
1012,3.40162,142,0,4,0,67.112,232,8189,4,0,230,4,4.87738,4,4,4,0,0,-1380328332289028
1335,4.86861,155,0,12,0,88.475,481,8142,12,0,249,12,8.208,16,16,16,0,0,2804519034
1215,4.43114,482,0,42,0,85.594,510,8188,42,0,29,42,7.27776,58,58,58,0,0,2203929378
36,0.131292,510,0,8,0,85.594,510,8188,8,0,0,8,7.27776,66,66,66,0,0,0
882,3.21669,176,0,515,0,103.441,216,8189,110,0,214,5,6.48614,176,71,581,0,1,6151162752
1274,4.6464,173,0,34,0,96.127,255,8141,34,0,102,34,104.792,210,105,615,0,1,2805260906
86,0.313649,255,0,4,0,96.127,255,8141,4,0,0,3,104.792,214,108,619,0,1,0
869,3.16956,126,0,260,0,99.522,127,8191,109,0,250,5,7.87238,323,113,879,0,2,5596773518
1101,4.01546,130,0,10,0,95.217,130,8189,10,0,328,10,7.03699,333,123,889,0,2,2731129002
1155,4.21243,133,0,7,0,93.18,133,8189,7,0,393,7,20.914,340,130,896,0,2,2834922538
1150,4.19434,132,0,3,0,118.33,136,8189,3,0,338,3,6.38765,343,133,899,0,2,2765250810
1043,3.80405,138,0,6,0,98.053,138,8190,6,0,391,6,6.34387,349,139,905,0,2,2785596716
1160,4.23062,126,0,6,0,113.992,141,8191,6,0,339,6,8.56915,355,145,911,0,2,2847320742
292,1.06494,142,0,5,0,99.65,142,8191,5,0,118,5,8.48525,360,150,916,0,2,816273452
604,2.20302,72,0,144,0,58.009,72,8140,107,0,184,2,9.1127,467,152,1060,0,3,4745468118
908,3.3117,78,0,2,0,51.785,78,8189,2,0,421,2,8.71507,469,154,1062,0,3,2833684070
1027,3.74557,83,0,3,0,68.249,83,8189,3,0,438,3,9.11635,472,157,1065,0,3,2694518358
1087,3.96431,88,0,4,0,57.399,88,8191,4,0,390,4,5.18746,476,161,1069,0,3,2878344140
1089,3.97169,93,0,3,0,77.086,93,8189,3,0,463,3,7.54042,479,164,1072,0,3,2638978314
854,3.11459,96,0,2,0,69.675,96,8189,2,0,294,2,7.29965,481,166,1074,0,3,2953917218
