SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
604,6.68963,67,0,2,0,118.793,110,8190,2,0,202,2,13.337,2,2,2,0,0,1,-1111892998008288
719,8.37201,117,0,22,0,90.16,134,8191,21,0,94,22,12.0673,23,24,24,0,0,1,2742765452
111,1.29258,135,0,10,0,88.481,135,8174,11,0,4,10,11.9625,34,34,34,0,0,1,256325440
424,4.93754,59,0,140,0,82.105,83,8189,65,0,123,5,11.6829,99,39,174,0,1,1,5363667624
669,7.79041,101,0,10,0,108.349,134,8191,10,0,172,10,9.76102,109,49,184,0,1,1,2580794776
308,3.58663,141,0,8,0,90.068,141,8176,8,0,32,8,9.49312,117,57,192,0,1,1,1356177466
263,3.06257,62,0,141,0,54.231,62,8191,59,0,74,0,13.1273,176,57,333,0,2,1,4465765752
610,7.10323,78,0,10,0,117.121,108,8191,10,0,122,10,17.6001,186,67,343,0,2,1,2692705442
692,8.05843,100,0,6,0,106.541,145,8191,6,0,149,6,14.5833,192,73,349,0,2,1,2829522248
472,5.49649,153,0,18,0,93.75,153,8191,18,0,35,18,13.4651,210,91,367,0,2,1,1644888588
108,1.2577,20,0,153,0,61.82,20,8189,59,0,18,0,13.2904,269,91,520,0,3,1,4004915782
693,8.07031,112,0,4,0,153.997,127,8146,3,0,248,4,14.3503,272,95,524,0,3,1,2785993846
280,3.26067,129,0,12,0,137.662,129,8179,13,0,10,12,14.793,285,107,536,0,3,1,1078593860
321,3.73794,74,0,131,0,53.716,74,8191,61,0,99,2,15.6782,346,109,667,0,4,1,4456171552
631,7.34788,122,0,8,0,114.939,125,8191,8,0,161,8,14.4668,354,117,675,0,4,1,2680146588
562,6.54445,134,0,24,0,106.863,134,8191,24,0,34,24,14.4785,378,141,699,0,4,1,2276227212
114,1.32752,50,0,134,0,103.878,4,8125,114,0,2,0,14.9444,492,141,833,0,5,1,3358668334
575,6.6958,81,0,5,0,92.506,102,8191,13,0,174,5,15.0609,505,146,838,0,5,1,2868301338
668,7.77887,75,0,9,0,94.83,130,8189,9,0,102,9,14.56,514,155,847,0,5,1,2815637454
764,8.89668,128,0,7,0,107.117,166,8191,7,0,167,7,13.8611,521,162,854,0,5,1,2824574116
738,8.5939,125,0,9,0,93.891,188,8156,9,0,122,9,15.154,530,171,863,0,5,1,2712400348
552,6.42798,191,0,33,0,89.28,191,8191,33,0,17,33,14.2572,563,204,896,0,5,1,1920144002
62,0.721975,3,0,191,0,90.479,3,8000,59,0,1,0,14.2455,622,204,1087,0,6,1,3526697062
665,7.74384,105,0,9,0,83.442,107,8190,9,0,191,9,15.9694,631,213,1096,0,6,1,2938988962
703,8.18615,116,0,7,0,84.087,147,8155,7,0,163,7,14.8396,638,220,1103,0,6,1,2877500374
641,7.46472,144,0,18,0,98.266,165,8190,18,0,84,18,13.9543,656,238,1121,0,6,1,2632974372
348,4.05269,178,0,7,0,115.298,178,8191,7,0,69,7,14.2106,663,245,1128,0,6,1,1232948822
191,2.22432,31,0,178,0,55.217,31,8189,107,0,29,0,14.5134,770,245,1306,0,7,1,4451096538
647,7.53445,59,0,4,0,115.089,117,8129,4,0,198,4,13.8495,774,249,1310,0,7,1,2841982290
659,7.67394,103,0,9,0,103.094,151,8160,9,0,144,9,12.1489,783,258,1319,0,7,1,2769094412
115,1.33914,151,0,5,0,101.086,151,8161,5,0,2,5,12.4401,788,263,1324,0,7,1,259748902
456,5.31,76,0,152,0,68.242,87,8189,60,0,132,1,15.4918,848,264,1476,0,8,1,5373262888
615,7.16185,133,0,3,0,115.125,136,8189,3,0,170,3,17.6351,851,267,1479,0,8,1,2783228056
647,7.53424,127,0,4,0,115.517,163,8191,4,0,129,4,18.8931,855,271,1483,0,8,1,2762446344
757,8.81525,104,0,9,0,83.998,192,8189,9,0,162,9,14.5716,864,280,1492,0,8,1,2768809302
136,1.58374,195,0,9,0,83.76,195,8189,9,0,18,9,14.1756,873,289,1501,0,8,1,371213010
322,3.74958,72,0,195,0,84.203,74,8189,58,0,99,0,14.5134,931,289,1696,0,9,1,5154415224
614,7.14983,126,0,4,0,118.651,126,8191,4,0,163,4,14.8628,935,293,1700,0,9,1,2810548370
709,8.25615,130,0,5,0,114.726,161,8190,5,0,160,5,12.1722,940,298,1705,0,9,1,2817209234
781,9.09461,117,0,8,0,109.408,193,8154,8,0,177,8,16.2024,948,306,1713,0,9,1,2785585866
697,8.11667,147,0,7,0,124.71,211,8191,7,0,113,7,16.3188,955,313,1720,0,9,1,2628445960
730,8.50125,63,0,14,0,102.835,222,8189,14,0,76,14,13.8145,969,327,1734,0,9,1,3063379704
720,8.38472,191,0,19,0,111.148,229,8190,19,0,47,19,13.8728,988,346,1753,0,9,1,2348403834
708,8.24457,62,0,5,0,122.273,252,8191,5,0,172,5,15.4452,993,351,1758,0,9,1,3243214086
391,4.55314,253,0,17,0,101.833,253,8164,17,0,11,17,15.3055,1010,368,1775,0,9,1,803878166
227,2.64349,49,0,253,0,45.149,56,8189,60,0,63,0,14.2222,1070,368,2028,0,10,1,4786796546
710,8.26793,78,0,8,0,115.009,128,8189,8,0,207,8,12.8477,1078,376,2036,0,10,1,2751566328
