SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
838,4.48441,107,0,3,0,81.006,254,8189,3,0,252,3,5.71013,3,3,3,0,0,1,-1124707561228385
839,4.73703,77,0,3,0,93.894,542,8191,3,0,288,3,10.0026,6,6,6,0,0,1,2730288194
899,5.07627,90,0,7,0,81.104,813,8189,7,0,271,7,8.13312,13,13,13,0,0,1,2827278086
894,5.04796,79,0,3,0,73.137,1169,8191,3,0,356,3,8.33645,16,16,16,0,0,1,2833597760
858,4.84468,64,0,4,0,102.981,1459,8189,4,0,290,4,9.63549,20,20,20,0,0,1,2742212004
845,4.77149,89,0,3,0,126.945,1739,8191,3,0,280,3,8.15006,23,23,23,0,0,1,2852764334
869,4.90713,77,0,6,0,87.813,1979,8190,6,0,240,6,10.1946,29,29,29,0,0,1,2794500940
829,4.68097,157,0,3,0,92.291,2226,8191,3,0,247,3,10.2116,32,32,32,0,0,1,2788457242
886,5.00282,94,0,5,0,73.506,2569,8190,5,0,343,5,8.56237,37,37,37,0,0,1,2781359472
883,4.98589,93,0,3,0,91.66,2838,8189,3,0,269,3,7.22379,40,40,40,0,0,1,2784155122
892,5.03669,70,0,3,0,66.957,3192,8191,3,0,354,3,9.69197,43,43,43,0,0,1,2809855020
869,4.90672,97,0,5,0,171.85,3478,8189,5,0,286,5,11.488,48,48,48,0,0,1,2715139084
838,4.73192,70,0,6,0,174.837,3670,8189,6,0,192,6,9.82187,54,54,54,0,0,1,2884902636
829,4.68105,241,0,4,0,107.753,3855,8191,4,0,185,4,7.3424,58,58,58,0,0,1,2689333542
805,4.5458,78,0,4,0,91.075,4128,8191,4,0,273,4,7.29722,62,62,62,0,0,1,2896742912
880,4.96921,67,0,5,0,97.477,4337,8189,5,0,209,5,9.33614,67,67,67,0,0,1,2778123460
887,5.00878,46,0,2,0,95.68,4691,8191,2,0,354,2,8.69227,69,69,69,0,0,1,2813183828
824,4.65272,73,0,4,0,72.919,4955,8189,4,0,264,4,7.66434,73,73,73,0,0,1,2707084856
893,5.04227,82,0,4,0,221.506,5225,8189,4,0,270,4,8.59061,77,77,77,0,0,1,2810085362
922,5.20606,208,0,5,0,89.425,5430,8191,5,0,205,5,7.1899,82,82,82,0,0,1,2638735736
902,5.09343,96,0,2,0,68.619,5822,8189,2,0,392,2,9.45475,84,84,84,0,0,1,2955356362
873,4.92973,79,0,5,0,75.737,6081,8189,5,0,259,5,8.3421,89,89,89,0,0,1,2860620910
864,4.87862,136,0,4,0,116.114,6384,8190,4,0,303,4,8.14442,93,93,93,0,0,1,2673346676
922,5.20601,128,0,5,0,109.956,6638,8191,5,0,254,5,8.82782,98,98,98,0,0,1,2903373480
793,4.47765,165,0,5,0,107.916,6852,8189,5,0,214,5,8.79958,103,103,103,0,0,1,2611257334
868,4.90124,80,0,6,0,76.316,7049,8189,6,0,197,6,9.01986,109,109,109,0,0,1,2987450844
877,4.95192,194,0,1,0,213.019,7316,8189,1,0,267,1,9.70326,110,110,110,0,0,1,2646203378
893,5.04227,61,0,3,0,68.87,7601,8189,3,0,285,3,8.51154,113,113,113,0,0,1,2894104178
886,5.00273,85,0,4,0,95.962,7895,8189,4,0,294,4,7.45536,117,117,117,0,0,1,2805566582
809,4.56795,93,0,5,0,96.363,8138,8144,5,0,243,5,7.04306,122,122,122,0,0,1,2785167490
816,4.60787,94,0,3,0,93.749,8390,8191,3,0,252,3,6.19586,125,125,125,0,0,1,2788813748
