SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
37,0.0156393,1,0,1,0,55.09,16,8190,1,29460,18,1,0.406336,1,1,1,0,0,0,-1136732089891479
59,0.0264241,5,0,0,0,31.306,18,8186,0,12203.4,37,0,0.451584,1,1,1,0,0,0,2730462714
121,0.0541981,12,0,0,0,27.936,19,8190,0,7275.67,44,0,0.457408,1,1,1,0,0,0,2849711102
176,0.0788314,11,0,0,0,43.798,25,8190,0,5142.86,49,0,0.465472,1,1,1,0,0,0,2794313240
239,0.107046,6,0,0,0,30.199,25,8191,0,3907.1,52,0,0.55776,1,1,1,0,0,0,2824744412
1058,0.473832,165,0,0,0,34.786,11322,8191,0,100.695,58,0,75.3769,1,1,1,0,0,0,2752369160
3186,1.42698,132,0,0,0,36.397,7384,8191,0,32.1738,77,0,65.7861,1,1,1,0,0,0,2836657586
2997,1.34206,130,0,0,0,40.289,9089,8137,0,25.7192,75,0,68.5332,1,1,1,0,0,0,2780373988
2963,1.32714,206,0,0,0,38.21,8032,8191,0,19.77,73,0,70.0018,1,1,1,0,0,0,2778037234
3210,1.43779,199,0,0,0,38.697,8527,8160,0,17.397,80,0,69.3043,1,1,1,0,0,0,2750994554
3132,1.40279,137,0,0,0,34.775,6837,8175,0,15.5322,77,0,73.3049,1,1,1,0,0,0,2836990576
3147,1.40948,147,0,0,0,37.013,8266,8171,0,13.9993,79,0,62.4557,1,1,1,0,0,0,2815421462
2978,1.33381,157,0,0,0,42.425,12974,8154,0,11.3137,77,0,106.943,1,1,1,0,0,0,2783217948
3143,1.40771,137,0,0,0,35.163,7033,8141,0,9.88734,80,0,68.7922,1,1,1,0,0,0,2797957344
3233,1.44802,150,0,0,0,43.532,8498,8191,0,9.21745,79,0,71.3884,1,1,1,0,0,0,2785751122
3080,1.3796,136,0,0,0,36.264,7494,8128,0,8.75858,72,0,70.9731,1,1,1,0,0,0,2821139314
2993,1.34054,112,0,0,0,33.701,18585,8191,0,8.37697,78,0,103.128,1,1,1,0,0,0,2774723252
3199,1.43276,124,0,0,0,38.606,19500,8142,0,6.39878,79,0,145.117,1,1,1,0,0,0,2804284966
3255,1.45796,193,0,0,0,32.562,6079,8191,0,6.21567,78,0,69.6649,1,1,1,0,0,0,2758623308
2933,1.31374,146,0,0,0,39.594,13454,8107,0,6.21388,74,0,54.5158,1,1,1,0,0,0,2800086716
3136,1.40464,173,0,0,0,38.37,9163,8191,0,6.16488,80,0,67.4598,1,1,1,0,0,0,2781090158
3044,1.36343,117,0,0,0,41.17,11996,8191,0,6.15594,79,0,72.9281,1,1,1,0,0,0,2828522396
3137,1.40504,184,0,0,0,43.496,8331,8171,0,6.04685,76,0,59.3116,1,1,1,0,0,0,2806704950
3114,1.39471,167,0,0,0,36.752,21648,8109,0,5.25501,76,0,163.1,1,1,1,0,0,0,2795382016
3094,1.38576,188,0,0,0,38.79,9132,8191,0,4.26574,78,0,64.2428,1,1,1,0,0,0,2725901920
3082,1.38034,148,0,0,0,41.925,9599,8124,0,4.26502,75,0,58.6047,1,1,1,0,0,0,2866956316
3250,1.45562,151,0,0,0,38.596,9575,8139,0,4.26395,77,0,68.3971,1,1,1,0,0,0,2786493332
3188,1.42745,157,0,0,0,35.122,7002,8181,0,4.26323,79,0,63.8194,1,1,1,0,0,0,2796690470
3229,1.44623,227,0,0,0,43.3,9718,8191,0,4.26252,73,0,66.2081,1,1,1,0,0,0,2732562728
3217,1.44068,167,0,0,0,43.395,8707,8191,0,4.26144,83,0,64.4161,1,1,1,0,0,0,2822101590
3235,1.44897,124,0,0,0,38.331,7511,8191,0,4.26037,81,0,55.897,1,1,1,0,0,0,2831144750
3181,1.4247,154,0,0,0,53.015,10657,8154,0,4.25966,79,0,72.2839,1,1,1,0,0,0,2769072132
3376,1.51207,575,0,0,0,39.55,8505,8121,0,4.25894,72,0,57.6769,1,1,1,0,0,0,2763297592
3596,1.61071,126,0,0,0,35.431,6691,8191,0,4.25823,90,0,64.2477,1,1,1,0,0,0,2819252016
3173,1.42124,129,0,0,0,48.43,8818,8191,0,4.25751,80,0,59.502,1,1,1,0,0,0,2826285504
2877,1.28864,267,0,0,0,39.775,8999,8191,0,4.2568,75,0,64.9448,1,1,1,0,0,0,2785124034
2897,1.2976,228,0,0,0,49.685,10623,8141,0,4.25572,77,0,54.6166,1,1,1,0,0,0,2755109756
3181,1.42473,199,0,0,0,43.937,8785,8155,0,4.25501,82,0,72.1992,1,1,1,0,0,0,2809721894
3036,1.35979,353,0,0,0,41.493,8578,8154,0,4.25429,74,0,67.1758,1,1,1,0,0,0,2751286132
3219,1.44175,246,0,0,0,37.329,8123,8191,0,4.25358,83,0,46.9513,1,1,1,0,0,0,2708410656
3354,1.50222,176,0,0,0,38.389,8437,8121,0,4.2525,84,0,74.8698,1,1,1,0,0,0,2882222168
2852,1.27715,164,0,0,0,46.894,10751,8150,0,4.25179,80,0,73.1844,1,1,1,0,0,0,2858530472
3076,1.37767,162,0,0,0,44.481,8797,8191,0,4.25107,79,0,68.8428,1,1,1,0,0,0,2798566456
3305,1.48027,195,0,0,0,40.026,7740,8136,0,4.25036,79,0,55.621,1,1,1,0,0,0,2727367420
3244,1.45295,135,0,0,0,41.216,17757,8191,0,4.24964,78,0,73.9953,1,1,1,0,0,0,2812260636
2800,1.2541,195,0,0,0,56.204,37575,8191,0,4.03326,76,0,176.417,1,1,1,0,0,0,2816937560
3482,1.55963,117,0,0,0,47.724,9905,8191,0,3.87768,80,0,73.8649,1,1,1,0,0,0,2784527760
3169,1.41931,143,0,0,0,44.338,7361,8160,0,3.87697,80,0,54.8899,1,1,1,0,0,0,2815227030
2957,1.32443,213,0,0,0,41.447,10829,8191,0,3.87625,75,0,19.2788,1,1,1,0,0,0,2765539658
2904,1.30065,173,0,0,0,42.668,8897,8142,0,3.87554,73,0,56.853,1,1,1,0,0,0,2766349208
2948,1.32022,122,0,0,0,53.381,12186,8136,0,3.87518,76,0,82.6058,1,1,1,0,0,0,2855840750
2912,1.30371,249,0,0,0,47.916,8513,8191,0,3.87446,73,0,61.1731,1,1,1,0,0,0,2801714804
3267,1.46317,263,0,0,0,36.573,7620,8108,0,3.87375,76,0,60.3178,1,1,1,0,0,0,2783563622
2917,1.30578,113,0,0,0,43.968,9225,8191,0,3.87303,81,0,66.9563,1,1,1,0,0,0,2817054212
3122,1.39828,157,0,0,0,37.446,7320,8191,0,3.87232,75,0,72.7418,1,1,1,0,0,0,2770557062
3100,1.38845,139,0,0,0,36.177,6863,8156,0,3.8716,72,0,67.8657,1,1,1,0,0,0,2783592434
3117,1.39534,108,0,0,0,48.427,9519,8141,0,3.87089,79,0,56.4059,1,1,1,0,0,0,2829600004
2694,1.20666,133,0,0,0,42.256,9225,8146,0,3.87017,76,0,75.4871,1,1,1,0,0,0,2786278348
2965,1.32798,278,0,0,0,41.1,8010,8154,0,3.86981,74,0,78.1227,1,1,1,0,0,0,2733135034
3207,1.43649,158,0,0,0,37.572,7163,8157,0,3.8691,82,0,62.8015,1,1,1,0,0,0,2801163946
3203,1.43464,101,0,0,0,52.023,11387,8191,0,3.86838,84,0,67.5947,1,1,1,0,0,0,2853047106
3216,1.44046,137,0,0,0,38.695,21492,8156,0,3.86516,77,0,136.972,1,1,1,0,0,0,2791313938
3174,1.42158,129,0,0,0,41.558,28834,8191,0,3.77754,80,0,124.987,1,1,1,0,0,0,2755716306
3310,1.4826,138,0,0,0,39.249,10807,8191,0,3.69742,80,0,86.1388,1,1,1,0,0,0,2837771804
3322,1.48788,128,0,0,0,41.593,8612,8148,0,3.69671,79,0,69.6308,1,1,1,0,0,0,2741901512
2874,1.28723,121,0,0,0,40.133,7859,8120,0,3.69635,78,0,58.3928,1,1,1,0,0,0,2825250932
3044,1.36336,144,0,0,0,44.078,8454,8191,0,3.69564,78,0,60.3452,1,1,1,0,0,0,2799468014
3222,1.44313,174,0,0,0,44.157,8546,8191,0,3.69492,81,0,65.5863,1,1,1,0,0,0,2803753890
3031,1.35755,281,0,0,0,46.757,11209,8148,0,3.69456,76,0,60.8814,1,1,1,0,0,0,2787341550
3025,1.35487,167,0,0,0,41.304,8991,8191,0,3.69385,79,0,53.0669,1,1,1,0,0,0,2770944092
3052,1.36695,173,0,0,0,57.99,11781,8180,0,3.69313,76,0,56.0941,1,1,1,0,0,0,2813465326
3275,1.46686,195,0,0,0,41.008,10168,8160,0,3.69278,83,0,91.1913,1,1,1,0,0,0,2758228774
2845,1.27424,141,0,1,0,68.853,14450,8191,1,4.99964,68,1,64.6092,2,2,2,0,0,0,2835042764
2982,1.3356,187,0,0,0,39.497,7855,8191,0,4.99857,79,0,70.0784,2,2,2,0,0,0,2793047326
3185,1.42651,157,0,0,0,44.002,10629,8138,0,4.9975,78,0,72.3041,2,2,2,0,0,0,2802549918
3002,1.34457,177,0,0,0,43.104,8087,8166,0,4.99642,76,0,49.9292,2,2,2,0,0,0,2793474208
3302,1.47897,149,0,0,0,35.485,7194,8167,0,4.99535,78,0,49.7034,2,2,2,0,0,0,2795074184
2965,1.32797,206,0,0,0,44.911,10484,8191,0,4.96745,74,0,60.7757,2,2,2,0,0,0,2709684110
3161,1.41577,217,0,0,0,43.164,8782,8164,0,4.96638,79,0,61.6829,2,2,2,0,0,0,2811085130
2915,1.30559,198,0,0,0,44.514,7356,8131,0,4.96531,79,0,58.4945,2,2,2,0,0,0,2812123020
3050,1.36605,183,0,0,0,39.353,8187,8149,0,4.96388,76,0,66.7645,2,2,2,0,0,0,2811571616
2995,1.34139,121,0,0,0,46.101,15548,8191,0,4.96102,79,0,16.636,2,2,2,0,0,0,2817369674
2913,1.30468,178,0,0,0,45.415,8829,8191,0,4.95994,78,0,61.8899,2,2,2,0,0,0,2805621042
3104,1.39023,247,0,0,0,48.101,8529,8170,0,4.95887,76,0,60.6879,2,2,2,0,0,0,2692942756
3272,1.46549,156,0,0,0,40.704,7019,8142,0,4.9578,80,0,63.6469,2,2,2,0,0,0,2873079356
2825,1.26529,238,0,0,0,42.962,10705,8115,0,4.95672,73,0,64.3064,2,2,2,0,0,0,2770341660
3265,1.46236,111,0,0,0,43.626,12404,8191,0,4.92632,80,0,52.9213,2,2,2,0,0,0,2834853936
3075,1.37724,151,0,0,0,43.363,17289,8121,0,4.81187,71,0,113.654,2,2,2,0,0,0,2748643436
3083,1.38082,231,0,0,0,39.27,8324,8174,0,4.79328,75,0,57.0008,2,2,2,0,0,0,2795436336
3076,1.3777,183,0,0,0,36.859,8339,8160,0,4.7922,77,0,66.037,2,2,2,0,0,0,2798643008
3040,1.36157,138,0,0,0,42.963,8291,8191,0,4.79113,78,0,45.1275,2,2,2,0,0,0,2813180258
3149,1.41038,217,0,0,0,37.833,6930,8118,0,4.79006,78,0,48.4073,2,2,2,0,0,0,2788125620
2976,1.33299,147,0,0,0,42.11,9091,8164,0,4.78898,80,0,46.9898,2,2,2,0,0,0,2811416454
3135,1.40416,151,0,0,0,36.513,7285,8163,0,4.78791,77,0,63.7383,2,2,2,0,0,0,2793469784
3238,1.45027,119,0,0,0,45.115,9709,8135,0,4.78684,77,0,64.3467,2,2,2,0,0,0,2751595462
3144,1.40821,169,0,0,0,48.53,8354,8123,0,4.78577,79,0,50.9573,2,2,2,0,0,0,2820206270
