SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
4052,22.5054,95,0,1,0,31.252,353,8191,1,0,1961,1,91.2491,1,1,1,0,0,1,-1535100164785198
4696,26.516,148,0,0,0,22.563,522,8189,0,0,2322,0,977.46,1,1,1,0,0,1,2810192224
4145,23.4056,115,0,0,0,22.957,637,8189,0,0,2089,0,1034.66,1,1,1,0,0,1,2786360926
4496,25.3893,162,0,0,0,16.867,741,8191,0,0,2227,0,59.4057,1,1,1,0,0,1,2796296084
4603,25.9932,271,0,0,0,40.571,831,8191,0,0,2203,0,61.3994,1,1,1,0,0,1,2799120562
4615,26.0609,349,0,0,0,81.859,910,8189,0,0,2171,0,62.5572,1,1,1,0,0,1,2791851664
4534,25.6037,134,0,0,0,20.27,989,8189,0,0,2350,0,57.3893,1,1,1,0,0,1,2754686182
4087,23.0792,134,0,0,0,33.333,1053,8187,0,0,2044,0,37.7343,1,1,1,0,0,1,2827906554
4545,25.6649,189,0,0,0,36.216,1115,8189,0,0,2099,0,977.725,1,1,1,0,0,1,2788855664
4549,25.6877,374,0,0,0,74.723,1168,8189,0,0,1880,0,56.8132,1,1,1,0,0,1,2802411402
4243,23.9602,120,0,0,0,33.824,1227,8191,0,0,2219,0,167.554,1,1,1,0,0,1,2793226870
4455,25.1551,419,0,0,0,96.824,1277,8189,0,0,1959,0,387.199,1,1,1,0,0,1,2799978056
4507,25.4511,383,0,0,0,94.458,1329,8189,0,0,2115,0,46.6412,1,1,1,0,0,1,2794921898
4395,24.8172,170,0,0,0,39.18,1381,8191,0,0,2188,0,236.51,1,1,1,0,0,1,2784489960
4383,24.7501,129,0,0,0,22.76,1423,8191,0,0,1827,0,944.464,1,1,1,0,0,1,2797092004
4567,25.7897,158,0,0,0,34.175,1473,8187,0,0,2271,0,723.729,1,1,1,0,0,1,2799087144
4578,25.8519,93,0,0,0,27.856,1522,8189,0,0,2322,0,547.743,1,1,1,0,0,1,2782521168
4637,26.1841,436,0,0,0,78.461,1560,8189,0,0,1831,0,1068.94,1,1,1,0,0,1,2802251718
4559,25.7444,379,0,0,0,91.557,1602,8189,0,0,2063,0,84.7031,1,1,1,0,0,1,2785749428
4750,26.8223,114,0,0,0,22.274,1646,8189,0,0,2229,0,274.222,1,1,1,0,0,1,2801182720
4463,25.2027,240,0,0,0,46.992,1688,8189,0,0,2171,0,116.964,1,1,1,0,0,1,2788529828
4604,25.9965,89,0,0,0,12.429,1732,8189,0,0,2380,0,59.9761,1,1,1,0,0,1,2793605976
4410,24.9018,484,0,0,0,76.579,1768,8189,0,0,1944,0,56.367,1,1,1,0,0,1,2791908448
4768,26.9239,414,0,0,0,56.452,1806,8189,0,0,2148,0,321.462,1,1,1,0,0,1,2787100190
4597,25.9593,129,0,0,0,16.418,1846,8189,0,0,2293,0,131.361,1,1,1,0,0,1,2811637416
4394,24.813,373,0,0,0,68.373,1882,8189,0,0,2062,0,331.792,1,1,1,0,0,1,2794547322
4697,26.5239,232,0,0,0,29.519,1919,8189,0,0,2236,0,139.353,1,1,1,0,0,1,2797106102
4383,24.7511,124,0,0,0,27.484,1956,8189,0,0,2248,0,278.932,1,1,1,0,0,1,2786404670
4240,23.9428,112,0,0,0,34.521,1990,8189,0,0,2083,0,452.377,1,1,1,0,0,1,2791429315
4574,25.8277,149,0,0,0,50.714,2026,8189,0,0,2269,0,43.3371,1,1,1,0,0,1,2802448471
4114,23.2311,153,0,0,0,36.465,2058,8189,0,0,2006,0,105.019,1,1,1,0,0,1,2797238626
4447,25.1114,165,0,0,0,28.75,2092,8189,0,0,2220,0,130.734,1,1,1,0,0,1,2793440944
4471,25.2473,104,0,0,0,21.55,2123,8187,0,0,2049,0,1012.32,1,1,1,0,0,1,2782035522
4347,24.5471,107,0,141,0,25.355,2153,8189,141,0,1963,4,171.677,142,5,142,0,0,1,2805981461
4525,25.5506,239,0,0,0,32.741,2185,8189,0,0,2197,0,197.076,142,5,142,0,0,1,2785903775
4549,25.688,61,0,0,0,18.068,2217,8189,0,0,2181,0,57.1295,142,5,142,0,0,1,2797343880
4409,24.8978,166,0,0,0,37.622,2248,8189,0,0,2153,0,34.0292,142,5,142,0,0,1,2779004128
4512,25.4724,103,0,0,0,38.557,2279,8189,0,0,2212,0,754.307,142,5,142,0,0,1,2815651720
4478,25.2862,228,0,0,0,42.973,2309,8189,0,0,2177,0,878.93,142,5,142,0,0,1,2773222284
4671,26.3768,131,0,0,0,34.996,2342,8189,0,0,2385,0,58.8917,142,5,142,0,0,1,2812759012
4467,25.2247,124,0,0,0,22.744,2372,8187,0,0,2237,0,78.4338,142,5,142,0,0,1,2785853644
4292,24.237,124,0,0,0,36.19,2401,8189,0,0,2148,0,74.7061,142,5,142,0,0,1,2799093234
4239,23.9357,131,0,0,0,30.941,2429,8191,0,0,2117,0,32.0524,142,5,142,0,0,1,2779164976
4425,24.9878,185,0,0,0,56.639,2456,8189,0,0,2022,0,681.516,142,5,142,0,0,1,2812001024
4328,24.4401,95,0,0,0,13.406,2484,8189,0,0,2205,0,1227.06,142,5,142,0,0,1,2795198658
4507,25.451,73,0,0,0,17.756,2513,8189,0,0,2265,0,103.991,142,5,142,0,0,1,2791798814
4696,26.5181,363,0,0,0,83.735,2540,8189,0,0,2130,0,56.175,142,5,142,0,0,1,2786557046
4250,23.9987,176,0,0,0,41.791,2566,8189,0,0,2029,0,649.966,142,5,142,0,0,1,2797062380
4244,23.9649,166,0,0,0,31.126,2592,8191,0,0,2129,0,266.168,142,5,142,0,0,1,2788633729
4548,25.6824,101,0,0,0,22.664,2620,8189,0,0,2308,0,72.9213,142,5,142,0,0,1,2797334631
4463,25.2025,153,0,0,0,36.868,2647,8187,0,0,2207,0,284.027,142,5,142,0,0,1,2799292622
4646,26.2355,281,0,0,0,74.569,2674,8191,0,0,2237,0,1172.75,142,5,142,0,0,1,2782153318
4506,25.4456,117,0,0,0,21.712,2702,8189,0,0,2336,0,1115.96,142,5,142,0,0,1,2808952272
4849,27.3822,144,0,0,0,29.296,2730,8191,0,0,2411,0,1288.3,142,5,142,0,0,1,2789477740
4548,25.6825,86,0,0,0,23.886,2756,8189,0,0,2240,0,584.297,142,5,142,0,0,1,2797893350
4328,24.4401,292,0,0,0,64.808,2780,8187,0,0,2064,0,118.343,142,5,142,0,0,1,2796660832
4699,26.5342,181,0,0,0,35.36,2808,8187,0,0,2398,0,752.585,142,5,142,0,0,1,2784900496
4210,23.7731,170,0,0,0,44.156,2832,8191,0,0,2112,0,1465.25,142,5,142,0,0,1,2793926772
4817,27.2009,177,0,0,0,47.571,2852,8191,0,0,1816,0,46.1103,142,5,142,0,0,1,2793306406
4639,26.1961,130,0,0,0,38.734,2878,8191,0,0,2344,0,48.6858,142,5,142,0,0,1,2792921556
4526,25.5584,385,0,0,0,74.255,2901,8187,0,0,2048,0,746.824,142,5,142,0,0,1,2782658788
4542,25.6481,134,0,0,0,36.925,2926,8187,0,0,2241,0,36.3336,142,5,142,0,0,1,2814402404
4772,26.9476,496,0,0,0,110.704,2946,8189,0,0,1847,0,68.7418,142,5,142,0,0,1,2796445208
4594,25.9415,156,0,0,0,39.944,2968,8191,0,0,2043,0,506.496,142,5,142,0,0,1,2793587378
4486,25.3313,254,0,0,0,61.583,2990,8189,0,0,2078,0,571.47,142,5,142,0,0,1,2788492924
4370,24.6751,430,0,0,0,76.567,3012,8191,0,0,2022,0,45.2066,142,5,142,0,0,1,2787230790
4229,23.8811,279,0,0,0,68.291,3032,8191,0,0,1909,0,54.1813,142,5,142,0,0,1,2801679376
4493,25.37,287,0,0,0,44.618,3055,8187,0,0,2191,0,105.036,142,5,142,0,0,1,2773971368
4532,25.5919,211,0,0,0,40.729,3079,8187,0,0,2284,0,121.788,142,5,142,0,0,1,2819345760
4516,25.5016,362,0,0,0,83.169,3101,8191,0,0,2109,0,151.705,142,5,142,0,0,1,2794536954
4384,24.7566,283,0,0,0,65.594,3123,8191,0,0,2181,0,119.003,142,5,142,0,0,1,2788053794
4634,26.1653,133,0,0,0,29.663,3147,8189,0,0,2302,0,434.263,142,5,142,0,0,1,2799105952
4693,26.5009,119,0,0,0,33.892,3170,8191,0,0,2334,0,178.742,142,5,142,0,0,1,2795226498
4626,26.1217,110,0,0,0,20.961,3193,8191,0,0,2318,0,49.4934,142,5,142,0,0,1,2771328756
4412,24.9134,389,0,0,0,47.268,3214,8189,0,0,2068,0,1357.78,142,5,142,0,0,1,2808363880
4355,24.5923,84,0,0,0,22.777,3236,8187,0,0,2191,0,121.291,142,5,142,0,0,1,2801884218
4363,24.6374,184,0,0,0,55.474,3257,8189,0,0,2133,0,62.4273,142,5,142,0,0,1,2786055370
4291,24.2313,114,0,0,0,28.701,3278,8189,0,0,2184,0,125.075,142,5,142,0,0,1,2783519186
4681,26.4332,254,0,0,0,54.704,3300,8187,0,0,2234,0,47.8894,142,5,142,0,0,1,2811585294
4396,24.8222,120,0,0,0,24.268,3322,8189,0,0,2267,0,259.593,142,5,142,0,0,1,2792521438
4369,24.6694,378,0,0,0,66.936,3341,8191,0,0,2011,0,40.9593,142,5,142,0,0,1,2789113558
