SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
4436,24.453,165,0,0,0,22.217,1876,8191,0,0,1874,0,1293.33,0,0,0,0,0,1,-1537956015130946
4690,26.4826,320,0,0,0,56.817,3858,8191,0,0,1982,0,849.358,0,0,0,0,0,1,2796161172
4597,25.9583,143,0,0,0,23.913,6151,8189,0,0,2293,0,139.816,0,0,0,0,0,1,2786724780
4610,26.0324,148,0,0,0,23.987,8443,8191,0,0,2292,0,1624.83,0,0,0,0,0,1,2799600678
4733,26.7274,359,0,0,0,52.478,10114,8191,0,0,1671,0,950.417,0,0,0,0,0,1,2790055618
4308,24.3269,412,0,0,0,82.48,12185,8189,0,0,2071,0,64.9802,0,0,0,0,0,1,2783845834
4110,23.2071,215,0,0,0,50.187,13904,8189,0,0,1719,0,254.973,0,0,0,0,0,1,2806438446
4256,24.0328,367,0,0,0,65.115,15828,8189,0,0,1924,0,634.056,0,0,0,0,0,1,2766078560
4114,23.2317,182,0,0,0,26.557,17905,8187,0,0,2077,0,39.1858,0,0,0,0,0,1,2814538706
4280,24.1696,259,0,0,0,49.892,20009,8189,0,0,2104,0,433.62,0,0,0,0,0,1,2800500024
4508,25.4568,382,0,0,0,62.276,22012,8187,0,0,2003,0,52.4699,0,0,0,0,0,1,2792777414
4482,25.3091,246,0,0,0,42.091,24217,8187,0,0,2205,0,772.838,0,0,0,0,0,1,2789371802
4480,25.2984,332,0,0,0,63.437,26348,8189,0,0,2131,0,59.1854,0,0,0,0,0,1,2801961260
4567,25.7895,194,0,0,0,65.637,28494,8189,0,0,2146,0,39.8918,0,0,0,0,0,1,2796153584
4491,25.3601,129,0,0,0,35.18,30606,8191,0,0,2112,0,41.7105,0,0,0,0,0,1,2794849624
