SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
4176,23.1904,65,0,0,0,13.953,4110,8033,0,1,68,0,1093.27,0,0,0,0,0,0,-1540812339019491
5581,31.5128,60,0,0,0,11.473,10749,8089,0,4.49249,85,0,1788.27,0,0,0,0,0,0,2804579434
5807,32.7896,112,0,0,0,10.867,4219,8090,0,4.44031,87,0,1045.74,0,0,0,0,0,0,2803680146
5458,30.8182,90,0,0,0,14.356,5328,8078,0,4.43996,89,0,1044.22,0,0,0,0,0,0,2785713546
5652,31.9135,86,0,0,0,12.712,8625,8104,0,4.29843,86,0,1416.46,0,0,0,0,0,0,2797518290
5650,31.9023,124,0,0,0,11.828,10277,8191,0,4.12509,85,0,2836.13,0,0,0,0,0,0,2765542038
5122,28.921,75,0,0,0,16.075,7388,8035,0,4.01537,84,0,1118.66,0,0,0,0,0,0,2798350100
4934,27.8596,90,0,0,0,14.335,8694,8128,0,4.00715,82,0,1073.53,0,0,0,0,0,0,2825612650
5421,30.6095,106,0,0,0,10.675,4569,8046,0,4.00715,85,0,970.688,0,0,0,0,0,0,2779026404
5436,30.6941,153,0,0,0,12.542,4785,8191,0,4.00679,87,0,910.017,0,0,0,0,0,0,2766296139
5861,33.0969,109,0,0,0,13.448,4726,8106,0,4.00679,86,0,897.32,0,0,0,0,0,0,2846719241
5828,32.9076,118,0,0,0,10.587,4468,8113,0,4.00679,85,0,813.668,0,0,0,0,0,0,2775815028
5474,30.9069,57,0,0,0,11.149,4244,8076,0,3.93352,89,0,910.367,0,0,0,0,0,0,2779165620
5458,30.8204,170,0,0,0,11.384,7653,8191,0,3.92459,83,0,1594.45,0,0,0,0,0,0,2790360916
5438,30.7069,155,0,0,0,14.043,5241,8190,0,3.78485,83,0,1152.11,0,0,0,0,0,0,2830970800
5404,30.5147,122,0,0,0,11.487,4058,8121,0,3.78485,87,0,895.05,0,0,0,0,0,0,2776728164
5299,29.9197,72,0,0,0,11.456,12596,8063,0,3.74768,86,0,2522.22,0,0,0,0,0,0,2771085254
5089,28.7346,95,0,0,0,12.395,9667,8127,0,3.6812,82,0,1837.53,0,0,0,0,0,0,2789160234
5558,31.3835,114,0,0,0,14.377,11697,8191,0,3.54718,84,0,1602.39,0,0,0,0,0,0,2813716122
5619,31.7277,67,0,0,0,13.555,4905,8127,0,3.44174,90,0,972.331,0,0,0,0,0,0,2787792350
5430,30.6604,80,0,0,0,13.108,4554,8064,0,3.44139,84,0,900.472,0,0,0,0,0,0,2786617148
5659,31.9534,66,0,0,0,13.465,4973,8133,0,3.44139,87,0,1156.82,0,0,0,0,0,0,2827874042
5392,30.4456,107,0,0,0,15.322,4769,8136,0,3.44139,85,0,984.356,0,0,0,0,0,0,2793098882
5334,30.1199,145,0,0,0,13.121,4345,8099,0,3.44139,87,0,1008.68,0,0,0,0,0,0,2764711292
5229,29.5266,205,0,0,0,14.433,4971,8191,0,3.44103,84,0,750.359,0,0,0,0,0,0,2817074722
4884,27.5773,145,0,0,0,14.454,15109,8119,0,3.4228,82,0,2086.55,0,0,0,0,0,0,2774040794
5361,30.2692,77,0,0,0,16.734,5933,8066,0,3.33345,87,0,1060.42,0,0,0,0,0,0,2795080582
5498,31.0448,98,0,0,0,14.917,5502,8191,0,3.33345,87,0,856.666,0,0,0,0,0,0,2821557816
5581,31.5142,117,0,0,0,12.496,4665,8069,0,3.33345,89,0,1192.23,0,0,0,0,0,0,2800698278
5406,30.5266,127,0,0,0,15.723,4870,8130,0,3.33345,86,0,1152.53,0,0,0,0,0,0,2765313096
5416,30.5797,85,0,0,0,12.784,4787,8133,0,3.33345,85,0,961.634,0,0,0,0,0,0,2817488968
5665,31.9892,98,0,0,0,12.933,6022,8169,0,3.31058,88,0,1311.76,0,0,0,0,0,0,2801708686
5383,30.3938,65,0,0,0,13.975,4563,8127,0,3.31058,81,0,853.249,0,0,0,0,0,0,2765204260
5626,31.7682,85,0,0,0,11.968,4347,8191,0,3.31022,84,0,971.095,0,0,0,0,0,0,2803251164
5271,29.7625,122,0,0,0,14.065,5017,8084,0,3.31022,85,0,839.411,0,0,0,0,0,0,2796821104
5387,30.4179,115,0,0,0,13.1,4380,8183,0,3.31022,86,0,877.547,0,0,0,0,0,0,2783570104
5516,31.1455,96,0,0,0,12.44,8212,8047,0,3.28127,83,0,1774.52,0,0,0,0,0,0,2797206888
5414,30.5699,104,0,0,0,15.171,5875,8119,0,3.28127,87,0,1121.57,0,0,0,0,0,0,2780776670
5229,29.5253,124,0,0,0,12.839,4646,8130,0,3.28091,86,0,1015.59,0,0,0,0,0,0,2808807722
5389,30.4282,163,0,0,0,14.309,13376,8102,0,3.25518,88,0,2699,0,0,0,0,0,0,2785077890
5438,30.7054,117,0,0,0,13.299,4725,8114,0,3.22766,85,0,1067.69,0,0,0,0,0,0,2786502950
5816,32.8404,126,0,0,0,13.667,4976,8110,0,3.22766,88,0,982.972,0,0,0,0,0,0,2802894486
5493,31.0156,93,0,0,0,14.26,4998,8103,0,3.22766,87,0,1038.64,0,0,0,0,0,0,2820505114
5289,29.866,86,0,0,0,14.029,9378,8127,0,3.22087,86,0,1950.19,0,0,0,0,0,0,2757579230
5500,31.0574,190,0,0,0,11.295,4167,8144,0,3.20193,86,0,979.832,0,0,0,0,0,0,2799936426
5484,30.9652,80,0,0,0,13.574,4950,8036,0,3.17727,89,0,1145.62,0,0,0,0,0,0,2797861878
5399,30.485,104,0,0,0,13.318,4828,8090,0,3.17691,84,0,1075.84,0,0,0,0,0,0,2801856820
5271,29.7623,99,0,0,0,14.622,5301,8134,0,3.17691,85,0,1020.25,0,0,0,0,0,0,2787916138
5225,29.5027,92,0,0,0,17.989,8714,8107,0,3.17691,86,0,946.616,0,0,0,0,0,0,2821500136
6046,34.1383,119,0,0,0,13.62,4441,8157,0,3.17691,86,0,917.602,0,0,0,0,0,0,2778845608
5530,31.2249,120,0,0,0,12.207,10910,8141,0,3.17691,88,0,1743.12,0,0,0,0,0,0,2803249358
5706,32.2193,85,0,0,0,15.18,4784,8191,0,3.17584,90,0,740.554,0,0,0,0,0,0,2792524644
5955,33.6231,76,0,0,0,12.035,4185,8129,0,3.17584,89,0,785.722,0,0,0,0,0,0,2802173248
5265,29.7308,91,0,0,0,13.769,4302,8191,0,3.17584,82,0,898.749,0,0,0,0,0,0,2785920942
5485,30.9718,82,0,0,0,14.235,6262,8131,0,3.17584,89,0,1464.01,0,0,0,0,0,0,2806038466
5621,31.7402,139,0,0,0,14.425,4421,8147,0,3.17548,84,0,854.706,0,0,0,0,0,0,2761289580
5771,32.5864,72,0,0,0,11.79,4484,8062,0,3.17548,86,0,950.135,0,0,0,0,0,0,2801433152
5319,30.0329,130,0,0,0,11.934,4250,8138,0,3.17548,84,0,1071.41,0,0,0,0,0,0,2816402792
5498,31.0458,112,0,0,0,12.788,5093,8140,0,3.17513,86,0,1081.34,0,0,0,0,0,0,2773990730
5623,31.7517,95,0,0,0,13.061,8945,8117,0,3.17477,86,0,1753.06,0,0,0,0,0,0,2796227182
5785,32.6657,100,0,0,0,12.254,8903,8191,0,3.16726,89,0,1787.09,0,0,0,0,0,0,2812980758
5259,29.6948,93,0,0,0,13.465,9631,8114,0,3.13045,83,0,2093.22,0,0,0,0,0,0,2755830854
5468,30.8747,70,0,0,0,12.44,11853,8116,0,3.09078,88,0,2034.1,0,0,0,0,0,0,2825887694
4848,27.3753,129,0,0,0,13.668,5030,8109,0,3.04325,85,0,938.946,0,0,0,0,0,0,2773463294
5584,31.5305,84,0,0,0,12.228,4216,8127,0,3.04325,86,0,1021.95,0,0,0,0,0,0,2788015734
5850,33.0326,146,0,0,0,14.825,4796,8191,0,3.04325,86,0,1024.21,0,0,0,0,0,0,2817854060
5368,30.3114,78,0,0,0,11.613,4539,8116,0,3.04289,84,0,924.736,0,0,0,0,0,0,2800059710
5653,31.9194,111,0,0,0,14.651,8599,8127,0,3.04289,85,0,1076.67,0,0,0,0,0,0,2788108736
5725,32.3263,132,0,0,0,10.571,4644,8191,0,2.99142,87,0,1018.57,0,0,0,0,0,0,2784422886
5194,29.3279,63,0,0,0,13.956,8001,8191,0,2.99035,86,0,1778,0,0,0,0,0,0,2810817217
5613,31.6947,130,0,0,0,11.522,4967,8135,0,2.98999,89,0,1077.93,0,0,0,0,0,0,2783797319
4804,27.1252,181,0,0,0,13.301,4366,8191,0,2.98999,85,0,1028.73,0,0,0,0,0,0,2775215520
5621,31.7395,116,0,0,0,13.603,5074,8088,0,2.98999,87,0,846.562,0,0,0,0,0,0,2797924906
5000,28.2311,90,0,0,0,12.448,3941,8129,0,2.98999,87,0,1015.75,0,0,0,0,0,0,2809492364
5483,30.9605,71,0,0,0,14.457,5278,8064,0,2.98999,86,0,1146.69,0,0,0,0,0,0,2806731676
5325,30.071,79,0,0,0,12.501,4861,8114,0,2.98999,87,0,767.919,0,0,0,0,0,0,2800623308
4726,26.687,98,0,0,0,16.232,4990,8191,0,2.98964,82,0,1112.79,0,0,0,0,0,0,2784121998
5335,30.1234,89,0,0,0,13.415,4081,8119,0,2.98964,86,0,1095.33,0,0,0,0,0,0,2800123144
5316,30.0177,128,0,0,0,14.303,5295,8191,0,2.98964,81,0,966.915,0,0,0,0,0,0,2797270168
5365,30.2936,63,0,0,0,13.448,3752,8132,0,2.98964,85,0,992.037,0,0,0,0,0,0,2789014872
5102,28.8085,104,0,0,0,12.656,5123,8106,0,2.98964,85,0,965.842,0,0,0,0,0,0,2783243694
5630,31.7878,123,0,0,0,12.629,4559,8191,0,2.98928,84,0,1114.35,0,0,0,0,0,0,2788467570
5568,31.4389,105,0,0,0,13.264,4523,8191,0,2.98928,85,0,1170.46,0,0,0,0,0,0,2791350492
5695,32.1562,83,0,0,0,13.184,5097,8160,0,2.98928,87,0,1289.87,0,0,0,0,0,0,2813597794
5607,31.6592,134,0,0,0,13.14,4558,8191,0,2.98928,87,0,995.601,0,0,0,0,0,0,2786398720
5540,31.2823,104,0,0,0,12.93,4569,8071,0,2.98928,86,0,893.864,0,0,0,0,0,0,2764900614
5322,30.0487,82,0,0,0,13.26,4560,8133,0,2.98928,86,0,859.507,0,0,0,0,0,0,2833611536
5565,31.4235,115,0,0,0,12.751,4671,8162,0,2.98892,87,0,970.654,0,0,0,0,0,0,2758420140
5634,31.8141,87,0,0,0,13.444,8549,8075,0,2.98892,86,0,1748.74,0,0,0,0,0,0,2800478170
5421,30.6115,100,0,0,0,11.083,4047,8127,0,2.98892,83,0,864.082,0,0,0,0,0,0,2759029322
5742,32.4218,136,0,0,0,10.641,5183,8191,0,2.98892,86,0,800.711,0,0,0,0,0,0,2829674106
5295,29.9,90,0,0,0,11.054,5244,8085,0,2.98785,84,0,775.922,0,0,0,0,0,0,2781454214
5530,31.226,101,0,0,0,12.525,4131,8127,0,2.98785,83,0,892.141,0,0,0,0,0,0,2821558656
5191,29.3117,62,0,0,0,13.785,5147,8134,0,2.98785,85,0,833.504,0,0,0,0,0,0,2814159698
5197,29.3435,77,0,0,0,13.315,4692,8191,0,2.98749,86,0,935.823,0,0,0,0,0,0,2787256010
5338,30.142,99,0,0,0,14.066,4868,8165,0,2.98749,87,0,817.412,0,0,0,0,0,0,2783814166
5216,29.4521,130,0,0,0,17.047,14206,8191,0,2.98749,84,0,1899.59,0,0,0,0,0,0,2771225240
5772,32.5935,81,0,0,0,12.05,5579,8059,0,2.97105,85,0,910.977,0,0,0,0,0,0,2814723800
5504,31.0783,135,0,0,0,12.519,4547,8086,0,2.97105,86,0,1124.76,0,0,0,0,0,0,2772383908
5274,29.779,83,0,0,0,13.942,13931,8152,0,2.95318,84,0,2145.79,0,0,0,0,0,0,2829315328
5806,32.7852,68,0,0,0,13.195,4709,8086,0,2.91351,84,0,1051.41,0,0,0,0,0,0,2768476998
5553,31.3548,158,0,0,0,12.548,10882,8114,0,2.86312,86,0,2148.29,0,0,0,0,0,0,2788222850
5331,30.103,86,0,0,0,16.908,4943,8082,0,2.84525,87,0,1018.41,0,0,0,0,0,0,2781197678
5367,30.305,62,0,0,0,14.368,4369,8191,0,2.84525,86,0,956.37,0,0,0,0,0,0,2832968502
5845,33.0044,80,0,0,0,12.636,4109,8132,0,2.84525,84,0,892.378,0,0,0,0,0,0,2799833078
5297,29.909,113,0,0,0,12.67,4478,8088,0,2.84525,85,0,1023.72,0,0,0,0,0,0,2755092522
5567,31.4359,61,0,0,0,12.577,7285,8132,0,2.8431,87,0,1848.65,0,0,0,0,0,0,2838773168
5850,33.0343,118,0,0,0,11.946,9742,8146,0,2.84132,89,0,2072.05,0,0,0,0,0,0,2773820938
5211,29.4247,82,0,0,0,13.016,5397,8092,0,2.82202,88,0,1127.8,0,0,0,0,0,0,2795448936
5439,30.7115,105,0,0,0,12.837,5328,8095,0,2.82202,86,0,978.505,0,0,0,0,0,0,2771785352
4685,26.4547,154,0,0,0,14.885,4971,8191,0,2.82202,81,0,938.195,0,0,0,0,0,0,2829240974
5557,31.3799,76,0,0,0,14.738,11032,8191,0,2.81523,88,0,2331.79,0,0,0,0,0,0,2796783934
5158,29.1258,77,0,0,0,11.838,13063,8127,0,2.72766,81,0,2343.68,0,0,0,0,0,0,2758350406
5364,30.2864,97,0,0,0,14.165,13784,8127,0,2.6569,85,0,2145.21,0,0,0,0,0,0,2813816628
5608,31.665,72,0,0,0,11.28,13017,8018,0,2.58399,90,0,2488.41,0,0,0,0,0,0,2794404245
5629,31.7844,63,0,0,0,12.587,13369,8104,0,2.56362,88,0,2451.49,0,0,0,0,0,0,2802157509
4865,27.4701,104,0,0,0,13.135,4144,8167,0,2.5361,85,0,1158.65,0,0,0,0,0,0,2803513454
5338,30.1424,51,0,0,0,13.86,4137,8114,0,2.5361,86,0,950.621,0,0,0,0,0,0,2785674192
5178,29.2372,109,0,0,0,13.055,4761,8105,0,2.5361,86,0,939.082,0,0,0,0,0,0,2780222550
5720,32.2977,80,0,0,0,15.295,4572,8105,0,2.5361,85,0,982.577,0,0,0,0,0,0,2797936400
5304,29.9491,114,0,0,0,15.566,4962,8101,0,2.5361,86,0,810.607,0,0,0,0,0,0,2798460784
5495,31.0288,145,0,0,0,12.564,4690,8162,0,2.53574,86,0,973.45,0,0,0,0,0,0,2797793530
5447,30.7582,115,0,0,0,14.313,4660,8054,0,2.53574,85,0,939.505,0,0,0,0,0,0,2744076328
5196,29.3403,148,0,0,0,14.744,11591,8174,0,2.53574,87,0,1997.61,0,0,0,0,0,0,2832428522
5413,30.5611,172,0,0,0,11.632,4567,8191,0,2.52287,86,0,930.723,0,0,0,0,0,0,2761083122
5603,31.6381,76,0,0,0,11.764,4198,8191,0,2.52252,85,0,994.195,0,0,0,0,0,0,2848432230
5365,30.2951,120,0,0,0,16.263,4597,8135,0,2.52252,89,0,873.661,0,0,0,0,0,0,2782188066
5433,30.678,98,0,0,0,14.032,4882,8107,0,2.52252,87,0,834.283,0,0,0,0,0,0,2810760918
5711,32.2475,69,0,0,0,13.714,7071,8050,0,2.52252,87,0,1170.17,0,0,0,0,0,0,2755408152
5458,30.8176,110,0,0,0,13.197,7644,8182,0,2.52252,89,0,1609.79,0,0,0,0,0,0,2822924774
5505,31.084,79,0,0,0,12.727,7641,8137,0,2.52252,85,0,1533.92,0,0,0,0,0,0,2803904658
5441,30.7222,107,0,0,0,15.615,6635,8191,0,2.52252,84,0,1373.83,0,0,0,0,0,0,2784113696
5492,31.0103,89,0,0,0,13.393,5128,8108,0,2.52216,86,0,1171.91,0,0,0,0,0,0,2802256786
4876,27.5328,73,0,0,0,14.462,5136,8132,0,2.52216,85,0,931.53,0,0,0,0,0,0,2785558958
4987,28.159,133,0,0,0,17.783,5952,8191,0,2.52216,84,0,1042.47,0,0,0,0,0,0,2786543774
5379,30.3715,73,0,0,0,14.955,4718,8106,0,2.52216,87,0,864.178,0,0,0,0,0,0,2788229514
4602,25.9854,72,0,0,0,16.953,5262,8146,0,2.52216,83,0,934.309,0,0,0,0,0,0,2815388674
5215,29.4471,106,0,0,0,13.221,4510,8132,0,2.52216,86,0,1075.08,0,0,0,0,0,0,2786562478
5086,28.7197,72,0,0,0,16.92,5987,8065,0,2.52216,81,0,1037.57,0,0,0,0,0,0,2768697652
5534,31.2494,94,0,0,0,14.072,4253,8170,0,2.52216,90,0,1057.92,0,0,0,0,0,0,2821932484
5392,30.4459,71,0,0,0,13.163,6346,8044,0,2.5218,84,0,878.58,0,0,0,0,0,0,2784349512
5301,29.9323,164,0,0,0,13.342,4578,8191,0,2.5218,86,0,967.717,0,0,0,0,0,0,2783305574
5374,30.3433,111,0,0,0,12.35,4455,8139,0,2.5218,87,0,1052.95,0,0,0,0,0,0,2807492940
5444,30.7398,82,0,0,0,15.528,9610,8097,0,2.5218,82,0,1992.59,0,0,0,0,0,0,2786507570
5348,30.197,94,0,0,0,14.382,5075,8127,0,2.51358,85,0,1045.82,0,0,0,0,0,0,2783555446
5199,29.3569,106,0,0,0,15.93,5948,8110,0,2.51322,84,0,1069.5,0,0,0,0,0,0,2818135642
4972,28.0743,117,0,0,0,14.883,6676,8140,0,2.51322,84,0,1128.95,0,0,0,0,0,0,2776293380
5481,30.9481,135,0,0,0,12.656,4556,8066,0,2.51322,85,0,953.625,0,0,0,0,0,0,2777913558
5209,29.412,93,0,0,0,13.094,4476,8037,0,2.51322,88,0,1144.57,0,0,0,0,0,0,2803594276
5096,28.7745,82,0,0,0,17.495,4595,8191,0,2.51322,85,0,936.935,0,0,0,0,0,0,2824857686
5353,30.2273,113,0,0,0,13.327,8583,8111,0,2.51322,84,0,1150.58,0,0,0,0,0,0,2786720440
5180,29.2489,90,0,0,0,14.533,4649,8033,0,2.51322,83,0,1023.95,0,0,0,0,0,0,2775615864
5395,30.4637,69,0,0,0,12.477,4270,8137,0,2.51322,88,0,1032.65,0,0,0,0,0,0,2821005096
5415,30.577,107,0,0,0,13.793,8371,8102,0,2.51287,84,0,2090.1,0,0,0,0,0,0,2793421218
5370,30.3232,92,0,0,0,12.932,4948,8127,0,2.51287,84,0,949.378,0,0,0,0,0,0,2775142272
5166,29.1709,92,0,0,0,14.559,5173,8191,0,2.51287,83,0,1046.69,0,0,0,0,0,0,2817492272
4924,27.8029,127,0,0,0,15.599,5715,8191,0,2.51287,86,0,1081.11,0,0,0,0,0,0,2769400536
5665,31.9868,103,0,0,0,12.758,5129,8043,0,2.51287,88,0,1059.34,0,0,0,0,0,0,2794284626
5628,31.7784,144,0,0,0,14.553,9832,8127,0,2.51287,84,0,1397.77,0,0,0,0,0,0,2768929016
5295,29.8998,84,0,0,0,12.902,4168,8136,0,2.51287,84,0,1011.31,0,0,0,0,0,0,2824417013
5258,29.69,84,0,0,0,13.724,9565,8127,0,2.51251,83,0,1924.34,0,0,0,0,0,0,2761710373
5399,30.4851,103,0,0,0,12.406,4271,8191,0,2.50965,84,0,927.187,0,0,0,0,0,0,2826393804
5252,29.6556,87,0,0,0,12.414,7580,8126,0,2.50965,84,0,1665.83,0,0,0,0,0,0,2799213428
5117,28.8941,108,0,0,0,13.452,5039,8132,0,2.50965,84,0,1000.36,0,0,0,0,0,0,2798561542
5547,31.3199,110,0,0,0,13.461,7740,8116,0,2.50965,87,0,1687.26,0,0,0,0,0,0,2804834718
5463,30.8478,120,0,0,0,14.218,4894,8147,0,2.50965,88,0,917.343,0,0,0,0,0,0,2795377578
5665,31.9858,149,0,0,0,14.279,5060,8136,0,2.50965,88,0,975.28,0,0,0,0,0,0,2775769024
5498,31.0427,153,0,0,0,13.89,5312,8131,0,2.50929,86,0,1040.06,0,0,0,0,0,0,2779272062
5018,28.3347,114,0,0,0,16.658,5294,8088,0,2.50929,83,0,1009.67,0,0,0,0,0,0,2809101666
5369,30.3174,108,0,0,0,14.086,4901,8079,0,2.50929,84,0,1133.2,0,0,0,0,0,0,2782259074
5159,29.1321,75,0,0,0,12.044,4735,8033,0,2.50929,85,0,953.591,0,0,0,0,0,0,2796511186
5290,29.8696,56,0,0,0,12.687,4164,8130,0,2.50929,85,0,826.161,0,0,0,0,0,0,2809338742
5713,32.2585,108,0,0,0,15.604,5041,8191,0,2.50929,87,0,1048.62,0,0,0,0,0,0,2785404048
5596,31.5973,128,0,0,0,12.127,4485,8138,0,2.50929,86,0,1027.76,0,0,0,0,0,0,2777609744
5482,30.954,80,0,0,0,16.775,4591,8055,0,2.50929,88,0,846.584,0,0,0,0,0,0,2789586220
5315,30.0127,157,0,0,0,13.863,4656,8191,0,2.50893,87,0,1038.97,0,0,0,0,0,0,2801762872
5423,30.6228,87,0,0,0,13.161,4991,8159,0,2.50893,87,0,1023.86,0,0,0,0,0,0,2813630638
5120,28.91,86,0,0,0,14.06,4547,8091,0,2.50893,88,0,1082.85,0,0,0,0,0,0,2802296364
5349,30.2047,112,0,0,0,12.114,4682,8059,0,2.50893,82,0,1108.49,0,0,0,0,0,0,2732194976
5647,31.8862,71,0,0,0,15.218,4558,8101,0,2.50893,87,0,957.455,0,0,0,0,0,0,2841479060
5774,32.6027,159,0,0,0,12.403,4435,8120,0,2.50893,87,0,991.1,0,0,0,0,0,0,2786935466
5976,33.7447,96,0,0,0,12.361,6134,8191,0,2.50893,89,0,1039.87,0,0,0,0,0,0,2822041250
5324,30.0595,111,0,0,0,16.381,5429,8191,0,2.50893,87,0,1021.24,0,0,0,0,0,0,2785610954
5148,29.0661,83,0,0,0,14.089,4442,8129,0,2.50858,82,0,1000.26,0,0,0,0,0,0,2801943804
5283,29.8277,72,0,0,0,15.653,4824,8013,0,2.50858,85,0,969.807,0,0,0,0,0,0,2757775424
5390,30.4324,158,0,0,0,13.313,4636,8191,0,2.50858,85,0,1037.22,0,0,0,0,0,0,2809047822
5094,28.7652,61,0,0,0,17.35,5132,8136,0,2.50858,84,0,944.074,0,0,0,0,0,0,2822295756
5294,29.8938,86,0,0,0,13.963,5207,8090,0,2.50858,85,0,1112.9,0,0,0,0,0,0,2786335370
