SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
2823,32.3201,406,0,0,0,84.908,1158,8191,0,0,1156,0,760.148,0,0,0,0,0,1,-1319390038592761
2809,32.71,290,0,0,0,82.466,2529,8189,0,0,1371,0,53.0566,0,0,0,0,0,1,2794502837
2731,31.8053,91,0,0,0,46.121,3982,8189,0,0,1453,0,66.6266,0,0,0,0,0,1,2814867541
2882,33.5567,255,0,0,0,74.621,5282,8191,0,0,1300,0,1010.09,0,0,0,0,0,1,2794998494
2730,31.7921,210,0,0,0,98.455,6623,8191,0,0,1341,0,69.5386,0,0,0,0,0,1,2780377841
2936,34.1885,248,0,0,0,79.361,7954,8189,0,0,1331,0,111.961,0,0,0,0,0,1,2796553221
2542,29.6004,299,0,0,0,70.257,9168,8191,0,0,1214,0,43.7499,0,0,0,0,0,1,2796999854
2776,32.3298,152,0,0,0,44.122,10619,8191,0,0,1451,0,54.8737,0,0,0,0,0,1,2782893856
2895,33.7152,272,0,0,0,65.872,12010,8189,0,0,1391,0,687.698,0,0,0,0,0,1,2808772842
2796,32.5602,237,0,0,0,95.341,13365,8189,0,0,1355,0,37.7745,0,0,0,0,0,1,2788136288
2971,34.599,489,0,0,0,108.554,14598,8189,0,0,1233,0,880.857,0,0,0,0,0,1,2793477286
2856,33.2599,106,0,0,0,50.867,16092,8191,0,0,1494,0,55.5843,0,0,0,0,0,1,2802639786
2757,32.1046,172,0,0,0,56.771,17439,8189,0,0,1347,0,52.3811,0,0,0,0,0,1,2769842926
2757,32.1049,260,0,0,0,97.891,18777,8189,0,0,1338,0,56.9354,0,0,0,0,0,1,2805155588
2833,32.9922,187,0,0,0,47.313,20233,8189,0,0,1456,0,33.9656,0,0,0,0,0,1,2796690818
2904,33.8175,125,0,0,0,49.459,21720,8189,0,0,1487,0,63.668,0,0,0,0,0,1,2789507050
2894,33.7,466,0,0,0,111.114,22883,8189,0,0,1163,0,70.5869,0,0,0,0,0,1,2784839081
2870,33.422,251,0,0,0,73.686,24229,8189,0,0,1346,0,36.2253,0,0,0,0,0,1,2814044771
2781,32.3884,322,0,0,0,90.025,25588,8191,0,0,1359,0,37.623,0,0,0,0,0,1,2802537088
