SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
2510,1.04917,165,0,0,0,44.84,2410,8173,0,1,78,0,3.61357,0,0,0,0,0,0,-1553309500136856
2642,1.1832,137,0,0,0,43.487,5094,8161,0,1,76,0,169.588,0,0,0,0,0,0,2787501780
2680,1.20031,133,0,0,0,41.047,7858,8169,0,1,73,0,72.4707,0,0,0,0,0,0,2776691078
2603,1.16583,125,0,0,0,43.792,7117,8178,0,8,78,0,71.5402,0,0,0,0,0,0,2783519242
2847,1.27514,187,0,0,0,39.234,10323,8191,0,7.61266,77,0,71.3409,0,0,0,0,0,0,2822421392
2662,1.19231,126,0,0,0,39.439,6274,8136,0,7.40987,78,0,75.5642,0,0,0,0,0,0,2790062266
2512,1.12506,113,0,0,0,46.984,10082,8191,0,7.04936,76,0,74.0947,0,0,0,0,0,0,2809837172
2710,1.21375,136,0,0,0,36.043,8817,8191,0,6.71567,75,0,76.3795,0,0,0,0,0,0,2793054250
2799,1.2536,125,0,0,0,45.425,10361,8159,0,6.67775,79,0,59.7968,0,0,0,0,0,0,2794757896
2765,1.23844,147,0,0,0,39.551,17890,8182,0,6.5372,74,0,127.033,0,0,0,0,0,0,2760343726
2707,1.21232,106,0,0,0,48.635,19382,8151,0,6.31259,73,0,22.4685,0,0,0,0,0,0,2796709090
2669,1.19539,155,0,0,0,41.172,9418,8161,0,6.30579,78,0,70.9502,0,0,0,0,0,0,2767650368
2718,1.21741,134,0,0,0,47.428,9732,8178,0,6.26144,78,0,75.3912,0,0,0,0,0,0,2831651536
2693,1.20618,136,0,0,0,42.386,9883,8170,0,6.15773,77,0,53.0065,0,0,0,0,0,0,2786817040
2631,1.17836,169,0,0,0,44.399,10049,8155,0,6.14878,73,0,71.9631,0,0,0,0,0,0,2809537304
2604,1.16628,154,0,0,0,39.612,18852,8191,0,6.07976,79,0,132.648,0,0,0,0,0,0,2771592936
2618,1.17225,132,0,0,0,40.978,24687,8139,0,5.90629,72,0,22.9748,0,0,0,0,0,0,2752532818
5240,2.34687,151,0,0,0,40.472,15985,8179,0,5.73712,74,0,66.9437,0,0,0,0,0,0,2852216374
2605,1.16682,112,0,0,0,40.931,9514,8133,0,5.73534,81,0,51.2763,0,0,0,0,0,0,2795476642
2670,1.19595,115,0,0,0,41.409,6884,8152,0,5.73391,79,0,68.764,0,0,0,0,0,0,2797426324
2646,1.1851,124,0,0,0,43.081,8381,8141,0,5.72997,80,0,23.3686,0,0,0,0,0,0,2794911714
2504,1.12148,149,0,0,0,36.629,8241,8171,0,5.68455,74,0,64.5604,0,0,0,0,0,0,2752535954
2803,1.25545,131,0,0,0,41.659,10531,8191,0,5.68312,76,0,70.5304,0,0,0,0,0,0,2853276748
2509,1.12373,168,0,0,0,47.111,10438,8121,0,5.68169,70,0,72.5854,0,0,0,0,0,0,2775548118
2709,1.2133,176,0,0,0,41.266,9901,8143,0,5.6799,77,0,37.6145,0,0,0,0,0,0,2801585024
2757,1.23478,135,0,0,0,42.24,10802,8131,0,5.67883,76,0,56.8593,0,0,0,0,0,0,2779730184
2711,1.21424,124,0,0,0,40.171,8517,8171,0,5.58691,73,0,66.6852,0,0,0,0,0,0,2786932818
2494,1.117,133,0,0,0,46.959,9618,8166,0,5.58512,77,0,52.5728,0,0,0,0,0,0,2812079776
2743,1.22853,154,0,0,0,42.763,10059,8191,0,5.58119,80,0,73.1485,0,0,0,0,0,0,2802396520
2623,1.17487,135,0,0,0,46,12696,8191,0,5.57976,71,0,77.5703,0,0,0,0,0,0,2800848624
2693,1.20615,99,0,0,0,39.497,6743,8191,0,5.57797,77,0,62.6416,0,0,0,0,0,0,2778689382
2762,1.23699,159,0,0,0,40.832,6972,8157,0,5.57654,78,0,67.2475,0,0,0,0,0,0,2744715442
2552,1.14296,133,0,0,0,40.326,8996,8191,0,5.57511,76,0,78.1236,0,0,0,0,0,0,2820187440
2514,1.12604,144,0,0,0,43.713,19400,8180,0,5.5726,77,0,72.5285,0,0,0,0,0,0,2834652128
2674,1.1977,180,0,0,0,46.343,20540,8191,0,5.4932,77,0,132.737,0,0,0,0,0,0,2764472872
2542,1.1385,128,0,0,0,40.902,9811,8191,0,5.43884,79,0,39.7148,0,0,0,0,0,0,2787208130
2623,1.17478,134,0,0,0,43.811,9721,8149,0,5.43741,78,0,63.3006,0,0,0,0,0,0,2797428454
2727,1.22135,106,0,0,0,41.974,10497,8127,0,5.43562,77,0,63.0036,0,0,0,0,0,0,2808845170
2791,1.25002,134,0,0,0,44.834,8633,8191,0,5.43383,78,0,60.467,0,0,0,0,0,0,2736002206
2625,1.17566,129,0,0,0,42.041,6797,8130,0,5.4324,80,0,52.4518,0,0,0,0,0,0,2850659000
2609,1.16847,134,0,0,0,44.836,8764,8158,0,5.43133,72,0,71.1756,0,0,0,0,0,0,2805345102
2571,1.15154,132,0,0,0,39.863,8072,8168,0,5.37911,76,0,75.5857,0,0,0,0,0,0,2779832762
2625,1.17567,133,0,0,0,48.835,9338,8143,0,5.37804,77,0,67.1937,0,0,0,0,0,0,2780736602
2499,1.11924,137,0,0,0,40.006,8030,8191,0,5.37661,78,0,67.1942,0,0,0,0,0,0,2797467232
2725,1.22043,155,0,0,0,43.731,9273,8150,0,5.37518,77,0,68.9212,0,0,0,0,0,0,2797028430
2605,1.1667,147,0,0,0,43.215,9294,8169,0,5.37375,74,0,78.4206,0,0,0,0,0,0,2813758780
2677,1.19897,152,0,0,0,41.854,9190,8170,0,5.37268,74,0,76.6385,0,0,0,0,0,0,2800639450
2746,1.22986,136,0,0,0,39.824,9375,8147,0,5.37124,80,0,66.6852,0,0,0,0,0,0,2793957222
2700,1.2093,104,0,0,0,41.214,9596,8146,0,5.36981,74,0,73.4796,0,0,0,0,0,0,2801161412
2547,1.14074,106,0,0,0,47.161,11222,8098,0,5.36266,71,0,77.5421,0,0,0,0,0,0,2754985254
2624,1.17525,121,0,0,0,42.076,9596,8191,0,5.36123,77,0,47.4029,0,0,0,0,0,0,2813180776
2785,1.24739,127,0,0,0,39.867,12105,8151,0,5.35944,76,0,57.6518,0,0,0,0,0,0,2812826506
2712,1.21466,167,0,0,0,44.536,12227,8191,0,5.35837,71,0,71.0972,0,0,0,0,0,0,2745133286
2653,1.18822,132,0,0,0,45.187,11386,8147,0,5.35694,76,0,68.5906,0,0,0,0,0,0,2838790178
2503,1.12104,130,0,0,0,48.845,11168,8174,0,5.35551,75,0,69.3692,0,0,0,0,0,0,2753167340
2705,1.21144,113,0,0,0,46.943,8712,8191,0,5.35408,77,0,72.3614,0,0,0,0,0,0,2828093884
2727,1.22141,158,0,0,0,38.854,9183,8190,0,5.353,79,0,56.3696,0,0,0,0,0,0,2806014246
2492,1.11618,148,0,0,0,48.091,7279,8179,0,5.35157,76,0,71.6894,0,0,0,0,0,0,2770333790
2614,1.17077,208,0,0,0,47.302,12354,8159,0,5.35014,76,0,58.7942,0,0,0,0,0,0,2752312724
2601,1.16496,118,0,0,0,42.876,8736,8133,0,5.34871,79,0,76.8602,0,0,0,0,0,0,2775251024
2717,1.21689,138,0,0,0,39.092,9244,8136,0,5.34728,79,0,69.2527,0,0,0,0,0,0,2873610922
2803,1.2554,136,0,0,0,47.54,11439,8191,0,5.34621,77,0,72.3381,0,0,0,0,0,0,2780603056
2546,1.14029,130,0,0,0,46.038,9535,8128,0,5.34514,79,0,38.8524,0,0,0,0,0,0,2805739300
2552,1.14298,147,0,0,0,43.907,8924,8191,0,5.34371,75,0,75.5292,0,0,0,0,0,0,2793189182
2525,1.13089,157,0,0,0,43.732,18945,8191,0,5.299,78,0,110.187,0,0,0,0,0,0,2779230034
2671,1.19627,110,0,0,0,38.97,11197,8145,0,5.19063,78,0,71.5398,0,0,0,0,0,0,2812415678
2651,1.18729,453,0,0,0,44.769,10500,8169,0,5.18956,65,0,74.8895,0,0,0,0,0,0,2716532712
2776,1.24329,138,0,0,0,46.988,7150,8160,0,5.18813,84,0,68.4772,0,0,0,0,0,0,2859364816
2704,1.21109,253,0,0,0,43.827,9179,8191,0,5.18705,73,0,28.7065,0,0,0,0,0,0,2711768178
2569,1.1506,150,0,1,0,54.056,9799,8180,1,5.99571,76,1,67.0755,1,1,1,0,0,0,2879189446
2691,1.2053,228,0,0,0,45.902,9585,8169,0,5.99177,73,0,67.8783,1,1,1,0,0,0,2729715842
2783,1.24653,105,0,0,0,44.565,10145,8127,0,5.98784,78,0,69.6936,1,1,1,0,0,0,2874435032
2666,1.19415,197,0,0,0,50.237,9369,8162,0,5.98426,76,0,71.2015,1,1,1,0,0,0,2670577952
2580,1.15558,126,0,0,0,46.331,9023,8141,0,5.97997,75,0,64.2929,1,1,1,0,0,0,2917249454
2686,1.20301,162,0,0,0,41.153,6607,8166,0,5.97818,79,0,70.4722,1,1,1,0,0,0,2790857762
2446,1.09549,136,0,0,0,43.496,7605,8145,0,5.96996,77,0,57.0927,1,1,1,0,0,0,2789335594
2417,1.08255,163,0,0,0,45.836,9245,8138,0,5.96137,71,0,76.7473,1,1,1,0,0,0,2775711362
2635,1.18015,187,0,0,0,46.126,10239,8191,0,5.88805,75,0,81.041,1,1,1,0,0,0,2763309402
