SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
861,4.51572,110,0,1,0,99.762,142,8189,1,0,331,1,5.88522,1,1,1,0,0,1,-1559440997280129
1001,5.65189,189,0,2,0,97.223,216,8191,2,0,413,2,9.6016,3,3,3,0,0,1,2616738684
907,5.12158,112,0,1,0,90.786,270,8183,1,0,412,1,7.766,4,4,4,0,0,1,2980856718
936,5.28511,113,0,4,0,112.465,305,8189,4,0,314,4,8.29691,8,8,8,0,0,1,2789168186
924,5.21733,90,0,4,0,85.525,338,8189,4,0,332,4,8.70922,12,12,12,0,0,1,2755972604
968,5.4657,93,0,4,0,95.311,367,8189,4,0,317,4,7.59091,16,16,16,0,0,1,2831208772
887,5.00854,119,0,2,0,109.558,393,8189,2,0,316,2,8.14442,18,18,18,0,0,1,2778357344
922,5.20603,73,0,4,0,68.821,423,8189,4,0,380,4,8.06534,22,22,22,0,0,1,2810202934
950,5.36415,118,0,2,0,99.917,452,8189,2,0,402,2,7.86766,24,24,24,0,0,1,2798964966
862,4.86734,181,0,1,0,155.393,480,8189,0,0,404,1,7.55702,24,25,25,0,0,1,2712777172
1020,5.75987,157,0,4,0,84.542,500,8189,5,0,312,4,8.57366,29,29,29,0,0,1,2881889332
967,5.46014,318,0,2,0,87.853,519,8189,2,0,296,2,9.09893,31,31,31,0,0,1,2757726342
937,5.29107,103,0,5,0,90.459,533,8191,5,0,232,5,10.5279,36,36,36,0,0,1,2836417164
890,5.02558,138,0,3,0,109.469,551,8191,3,0,308,3,8.19525,39,39,39,0,0,1,2682964326
905,5.11041,118,0,3,0,103.691,572,8189,3,0,356,3,7.63045,42,42,42,0,0,1,2906745226
1023,5.7715,127,0,3,0,179.442,588,8189,3,0,296,3,8.46635,45,45,45,0,0,1,2791858818
955,5.3929,70,0,4,0,109.69,604,8191,4,0,310,4,7.6361,49,49,49,0,0,1,2796279552
955,5.39241,111,0,2,0,95.422,622,8191,2,0,342,2,7.6361,51,51,51,0,0,1,2784301538
941,5.31372,115,0,3,0,114.491,638,8189,3,0,307,3,9.5903,54,54,54,0,0,1,2790230954
965,5.4491,323,0,0,0,152.629,657,8189,0,0,382,0,9.74845,54,54,54,0,0,1,2771465494
968,5.46585,89,0,4,0,109.495,671,8189,4,0,292,4,8.36469,58,58,58,0,0,1,2791399800
900,5.08182,82,0,4,0,158.942,680,8189,4,0,200,4,8.72616,62,62,62,0,0,1,2799402466
959,5.41498,84,0,1,0,160.87,699,8189,1,0,409,1,9.25142,63,63,63,0,0,1,2826734624
920,5.19467,83,0,3,0,64.818,713,8189,3,0,301,3,8.27997,66,66,66,0,0,1,2790848200
908,5.12697,73,0,4,0,104.612,725,8189,4,0,278,4,8.72051,70,70,70,0,0,1,2796693046
940,5.30817,82,0,3,0,189.336,737,8094,3,0,266,3,7.82813,73,73,73,0,0,1,2785462344
940,5.30767,83,0,4,0,77.076,751,8191,4,0,319,4,9.15541,77,77,77,0,0,1,2793701190
896,5.05916,126,0,3,0,71.946,765,8190,3,0,339,3,6.68723,80,80,80,0,0,1,2694562430
995,5.61835,128,0,2,0,114.232,781,8191,2,0,381,2,8.0371,82,82,82,0,0,1,2903238072
984,5.5563,66,0,2,0,120.306,797,8189,2,0,399,2,7.96933,84,84,84,0,0,1,2773957774
930,5.25142,106,0,2,0,131.699,812,8189,2,0,374,2,9.48299,86,86,86,0,0,1,2812202498
1003,5.66362,100,0,3,0,71.891,827,8191,3,0,388,3,6.66464,89,89,89,0,0,1,2793741790
1008,5.69166,267,0,0,0,223.912,843,8189,0,0,425,0,7.87331,89,89,89,0,0,1,2788630222
969,5.47176,167,0,1,0,156.474,858,8189,1,0,405,1,7.99192,90,90,90,0,0,1,2796719128
847,4.78259,185,0,3,0,109.788,869,8190,3,0,289,3,7.47795,93,93,93,0,0,1,2486999088
957,5.40357,97,0,3,0,102.632,877,8189,3,0,208,3,8.78264,96,96,96,0,0,1,3097097514
955,5.39234,112,0,1,0,102.635,891,8189,1,0,391,1,7.8959,97,97,97,0,0,1,2780948562
907,5.12136,167,0,6,0,84.811,901,8189,6,0,277,6,7.00917,103,103,103,0,0,1,2608639894
995,5.61869,186,0,2,0,100.822,913,8189,2,0,339,2,7.78294,105,105,105,0,0,1,3008378408
1053,5.94605,85,0,1,0,87.097,931,8189,1,0,514,1,11.9568,106,106,106,0,0,1,2788051826
926,5.22869,91,0,3,0,176.003,941,8189,3,0,304,3,10.5053,109,109,109,0,0,1,2771048728
973,5.49391,174,0,4,0,112.144,952,8149,4,0,325,4,10.4883,113,113,113,0,0,1,2810737734
920,5.19513,86,0,1,0,85.164,965,8187,1,0,390,1,9.22883,114,114,114,0,0,1,2801104236
976,5.51087,70,0,3,0,99.413,976,8189,3,0,351,3,10.6465,117,117,117,0,0,1,2771895280
989,5.58458,178,0,4,0,175.463,987,8189,4,0,323,4,8.00886,121,121,121,0,0,1,2766137990
1008,5.69212,147,0,2,0,62.899,997,8189,2,0,296,2,9.72021,123,123,123,0,0,1,2837427600
1046,5.90661,320,0,0,0,342.317,1009,8189,0,0,396,0,12.1037,123,123,123,0,0,1,2800765212
999,5.64048,836,0,0,0,373.176,1015,8191,0,0,197,0,11.2169,123,123,123,0,0,1,1785061026
432,2.43925,60,0,1015,0,38.322,60,8191,59,0,70,0,9.49994,182,123,1138,0,1,1,3782907926
939,5.30241,92,0,0,0,84.949,181,8189,0,0,459,0,8.3195,182,123,1138,0,1,1,2807540680
843,4.75999,74,0,10,0,93.467,215,8189,10,0,206,10,7.04306,192,133,1148,0,1,1,2758624918
1003,5.66387,91,0,2,0,170.473,263,8189,2,0,362,2,10.381,194,135,1150,0,1,1,2824641638
953,5.3812,92,0,2,0,115.361,308,8189,2,0,399,2,10.59,196,137,1152,0,1,1,2777391792
1309,7.39153,346,0,0,0,123.597,359,8187,0,0,531,0,8.19525,196,137,1152,0,1,1,2827195952
938,5.29656,111,0,1,0,121.732,390,8189,1,0,374,1,11.2847,197,138,1153,0,1,1,2745145368
1079,6.09281,69,0,1,0,64.617,427,8189,1,0,468,1,9.06504,198,139,1154,0,1,1,2842116956
1043,5.88983,90,0,2,0,118.103,455,8189,2,0,389,2,8.07664,200,141,1156,0,1,1,2782044678
931,5.25733,126,0,2,0,76.495,480,8189,2,0,363,2,7.85072,202,143,1158,0,1,1,2785914124
933,5.26863,145,0,2,0,123.25,505,8189,2,0,389,2,7.14472,204,145,1160,0,1,1,2818309060
1017,5.7421,388,0,4,0,177.136,519,8191,4,0,218,4,8.55672,208,149,1164,0,1,1,2763189618
946,5.34135,215,0,1,0,144.501,540,8189,1,0,350,1,8.472,209,150,1165,0,1,1,2806004446
1176,6.64039,156,0,2,0,203.013,561,8189,2,0,361,2,10.3641,211,152,1167,0,1,1,2806419266
961,5.42657,199,0,1,0,152.846,583,8189,1,0,385,1,10.9176,212,153,1168,0,1,1,2766446074
1033,5.8331,167,0,3,0,112.57,601,8189,3,0,343,3,7.78859,215,156,1171,0,1,1,2809700278
960,5.42063,88,0,3,0,109.991,617,8189,3,0,306,3,6.63075,218,159,1174,0,1,1,2786366240
908,5.1272,96,0,2,0,87.605,636,8189,2,0,373,2,7.34805,220,161,1176,0,1,1,2821543088
1007,5.6858,161,0,1,0,101.743,656,8189,1,0,391,1,7.53443,221,162,1177,0,1,1,2747686676
1014,5.72545,106,0,4,0,113.709,672,8190,4,0,337,4,8.85042,225,166,1181,0,1,1,2802518404
955,5.39235,102,0,3,0,109.585,686,8189,3,0,293,3,7.89026,228,169,1184,0,1,1,2819872090
1016,5.73678,494,0,1,0,197.586,700,8190,1,0,314,1,8.78264,229,170,1185,0,1,1,2799224652
951,5.36976,133,0,4,0,102.004,714,8189,4,0,298,4,10.0026,233,174,1189,0,1,1,2653828324
969,5.47121,147,0,3,0,83.223,726,8189,3,0,273,3,7.10518,236,177,1192,0,1,1,2931022808
948,5.35298,116,0,3,0,79.076,739,8189,3,0,296,3,7.29157,239,180,1195,0,1,1,2794849890
961,5.42656,191,0,3,0,183.439,750,8183,3,0,268,3,7.7547,242,183,1198,0,1,1,2790212446
1154,6.5161,430,0,1,0,149.096,766,8189,1,0,383,1,10.2003,243,184,1199,0,1,1,2728051004
949,5.35853,86,0,2,0,69.083,787,8189,2,0,506,2,8.99162,245,186,1201,0,1,1,2850425018
975,5.5052,82,0,2,0,111.207,802,8189,2,0,377,2,7.3311,247,188,1203,0,1,1,2810474128
1090,6.15503,339,0,1,0,104.556,816,8189,1,0,355,1,11.409,248,189,1204,0,1,1,2753139760
1007,5.68636,72,0,2,0,95.387,833,8189,2,0,440,2,9.32485,250,191,1206,0,1,1,2805790680
1010,5.70295,576,0,0,0,158.791,843,8189,0,0,256,0,7.38758,250,191,1206,0,1,1,2803236324
991,5.59585,252,0,2,0,156.11,852,8189,2,0,242,2,9.6016,252,193,1208,0,1,1,2602853554
929,5.24524,121,0,3,0,188.133,861,8190,3,0,236,3,7.93544,255,196,1211,0,1,1,2863769650
909,5.13254,91,0,4,0,86.201,872,8189,4,0,307,4,10.3584,259,200,1215,0,1,1,2936320366
973,5.49419,142,0,3,0,131.543,884,8187,3,0,330,3,9.47734,262,203,1218,0,1,1,2756825680
970,5.47682,51,0,3,0,71.338,897,8191,3,0,350,3,8.67533,265,206,1221,0,1,1,2785964524
1109,6.26204,209,0,1,0,165.156,914,8189,1,0,481,1,7.99757,266,207,1222,0,1,1,2697585450
951,5.3696,110,0,2,0,71.622,927,8191,2,0,362,2,9.0255,268,209,1224,0,1,1,2857154258
1846,10.4236,423,0,0,0,405.747,947,8189,0,0,600,0,29.1945,268,209,1224,0,1,1,2881301332
992,5.60167,297,0,1,0,192.716,966,8190,1,0,563,1,12.2618,269,210,1225,0,1,1,2725143246
1024,5.78204,86,0,3,0,78.618,975,8189,3,0,262,3,5.3656,272,213,1228,0,1,1,2849652652
960,5.42084,149,0,3,0,108.478,986,8189,3,0,342,3,9.11587,275,216,1231,0,1,1,2792448246
978,5.52215,175,0,3,0,76.334,998,8189,3,0,396,3,9.67502,278,219,1234,0,1,1,2690923466
992,5.6012,111,0,1,0,110.966,1010,8189,1,0,376,1,8.09358,279,220,1235,0,1,1,2869725530
1232,6.95672,402,0,0,0,190.4,1023,8189,0,0,413,0,9.68067,279,220,1235,0,1,1,2744967442
844,4.76561,1025,0,0,0,361.858,1025,8191,0,0,41,0,9.88965,279,220,1235,0,1,1,470914024
651,3.67581,54,0,1026,0,58.372,114,8189,92,0,219,1,7.83378,371,221,2261,0,2,1,5210437946
931,5.25697,89,0,1,0,84.145,198,8189,1,0,410,1,8.1783,372,222,2262,0,2,1,2784710684
946,5.34152,105,0,3,0,172.549,239,8191,3,0,282,3,8.98032,375,225,2265,0,2,1,2803044972
882,4.98024,133,0,2,0,97.867,278,8189,2,0,314,2,9.13846,377,227,2267,0,2,1,2737569282
1052,5.9406,163,0,2,0,181.189,320,8189,2,0,391,2,9.56771,379,229,2269,0,2,1,2821069510
1021,5.76554,135,0,2,0,57.971,354,8191,2,0,357,2,7.31416,381,231,2271,0,2,1,2803390772
874,4.93479,110,0,2,0,82.16,384,8189,2,0,354,2,9.48864,383,233,2273,0,2,1,2783908190
1007,5.68596,98,0,1,0,74.801,419,8189,1,0,440,1,8.02581,384,234,2274,0,2,1,2806667906
905,5.11003,102,0,4,0,94.636,442,8189,4,0,307,4,7.54573,388,238,2278,0,2,1,2776938206
1026,5.79347,70,0,2,0,81.274,466,8189,2,0,338,2,7.94674,390,240,2280,0,2,1,2817341114
1058,5.97386,156,0,2,0,92.587,491,8189,2,0,374,2,9.77104,392,242,2282,0,2,1,2793091574
1047,5.91152,264,0,3,0,109.89,513,8189,3,0,353,3,7.29722,395,245,2285,0,2,1,2760819796
970,5.47731,121,0,1,0,80.634,537,8189,1,0,382,1,8.81088,396,246,2286,0,2,1,2726703742
1012,5.71467,83,0,3,0,112.603,553,8189,3,0,279,3,8.95773,399,249,2289,0,2,1,2906513358
959,5.41547,138,0,4,0,94.552,568,8189,4,0,270,4,6.61381,403,253,2293,0,2,1,2799426420
934,5.27397,77,0,4,0,88.476,589,8190,4,0,367,4,6.72112,407,257,2297,0,2,1,2770435066
916,5.17222,454,0,0,0,236.703,601,8189,0,0,236,0,7.7547,407,257,2297,0,2,1,2765525798
1000,5.64658,78,0,2,0,142.022,619,8191,2,0,339,2,7.02611,409,259,2299,0,2,1,2810230626
1013,5.72023,118,0,3,0,146.205,638,8191,3,0,368,3,7.38194,412,262,2302,0,2,1,2783267508
974,5.50007,209,0,1,0,130.515,657,8189,1,0,389,1,7.37629,413,263,2303,0,2,1,2825688768
976,5.51108,99,0,3,0,63.925,676,8189,3,0,399,3,9.62419,416,266,2306,0,2,1,2799523972
993,5.60706,135,0,2,0,78.659,694,8189,2,0,386,2,8.56237,418,268,2308,0,2,1,2702552832
926,5.22863,327,0,1,0,313.162,709,8190,1,0,330,1,9.66373,419,269,2309,0,2,1,2787431052
924,5.21724,85,0,3,0,85.041,724,8189,3,0,336,3,9.35874,422,272,2312,0,2,1,2890739684
1020,5.75926,91,0,6,0,73.199,735,8191,6,0,237,6,10.7312,428,278,2318,0,2,1,2769217290
992,5.60129,73,0,2,0,68.073,752,8191,2,0,406,2,9.33614,430,280,2320,0,2,1,2757662516
1428,8.06364,412,0,1,0,132.062,774,8189,1,0,510,1,11.5728,431,281,2321,0,2,1,2868570572
974,5.49968,232,0,1,0,180.12,789,8189,1,0,368,1,8.10488,432,282,2322,0,2,1,2778149640
986,5.56759,111,0,3,0,149.555,800,8189,3,0,289,3,9.51688,435,285,2325,0,2,1,2792670356
1150,6.49393,251,0,2,0,88.825,816,8189,2,0,408,2,9.92918,437,287,2327,0,2,1,2765872550
1073,6.05906,200,0,1,0,273.664,833,8189,1,0,426,1,7.26898,438,288,2328,0,2,1,2797935616
1045,5.90083,137,0,3,0,118.323,847,8189,3,0,365,3,5.91346,441,291,2331,0,2,1,2822690198
1023,5.7765,108,0,2,0,91.307,860,8189,2,0,346,2,8.8956,443,293,2333,0,2,1,2773431998
1370,7.73624,605,0,2,0,118.458,871,8191,2,0,306,2,10.0139,445,295,2335,0,2,1,2823864624
920,5.19475,136,0,2,0,131.028,884,8189,2,0,351,2,8.82782,447,297,2337,0,2,1,2765263270
1037,5.85538,67,0,2,0,105.698,900,8189,2,0,437,2,7.54008,449,299,2339,0,2,1,2780402548
925,5.22298,121,0,3,0,80.114,911,8189,3,0,315,3,7.6248,452,302,2342,0,2,1,2825916226
1052,5.94004,146,0,2,0,70.192,925,8189,2,0,408,2,9.30226,454,304,2344,0,2,1,2779760494
971,5.48303,151,0,2,0,114.015,937,8189,2,0,351,2,7.54008,456,306,2346,0,2,1,2801169798
982,5.54486,83,0,4,0,73.509,947,8189,4,0,301,4,11.2056,460,310,2350,0,2,1,2791312132
976,5.51106,89,0,3,0,110.628,960,8191,3,0,374,3,8.96338,463,313,2353,0,2,1,2792866384
956,5.39783,100,0,2,0,90.932,972,8189,2,0,382,2,6.5065,465,315,2355,0,2,1,2787434328
1079,6.09249,416,0,0,0,138.386,985,8189,0,0,385,0,8.35339,465,315,2355,0,2,1,2774099902
996,5.62388,304,0,0,0,393.974,1001,8189,0,0,509,0,9.37003,465,315,2355,0,2,1,2772234094
1080,6.0983,101,0,3,0,69.016,1012,8189,3,0,341,3,5.41078,468,318,2358,0,2,1,2862639122
1016,5.73726,321,0,2,0,103.728,1022,8189,2,0,309,2,6.44437,470,320,2360,0,2,1,2740253992
1010,5.7035,170,0,3,0,85.517,1031,8191,3,0,279,3,12.9,473,323,2363,0,2,1,2856349832
1072,6.0532,170,0,1,0,154.463,1043,8189,1,0,392,1,9.7315,474,324,2364,0,2,1,2788705052
1698,9.5883,450,0,0,0,299.966,1062,8189,0,0,648,0,37.3276,474,324,2364,0,2,1,2761103534
995,5.6181,749,0,0,0,402.503,1070,8189,0,0,258,0,23.5183,474,324,2364,0,2,1,2744071946
966,5.45444,833,0,0,0,740.638,1075,8191,0,0,176,0,9.57336,474,324,2364,0,2,1,1886995586
304,1.7165,3,0,1075,0,683.246,3,7116,59,0,1,0,9.32485,533,324,3439,0,3,1,3553644682
857,4.83898,95,0,2,0,88.325,140,8189,2,0,322,2,9.72021,535,326,3441,0,3,1,3012701734
955,5.39239,97,0,4,0,89.94,199,8190,4,0,313,4,6.67594,539,330,3445,0,3,1,2767419900
948,5.35315,191,0,1,0,164.972,247,8189,1,0,333,1,8.06534,540,331,3446,0,3,1,2835810628
949,5.35854,75,0,1,0,97.249,305,8189,1,0,501,1,9.96872,541,332,3447,0,3,1,2762474604
924,5.21723,274,0,4,0,100.951,327,8189,4,0,220,4,8.50024,545,336,3451,0,3,1,2602245890
1033,5.83326,332,0,0,0,262.707,362,8191,0,0,372,0,8.00886,545,336,3451,0,3,1,3006709048
222,1.25359,368,0,0,0,294.902,368,8191,0,0,76,0,7.59656,545,336,3451,0,3,1,985185628
553,3.12257,101,0,368,0,59.811,109,8191,59,0,200,0,8.0597,604,336,3819,0,4,1,4612681178
880,4.96877,131,0,3,0,94.051,176,8189,3,0,302,3,12.2166,607,339,3822,0,4,1,2778220046
1012,5.71414,129,0,0,0,230.039,252,8189,0,0,510,0,13.3406,607,339,3822,0,4,1,2798783554
961,5.42649,261,0,1,0,161.38,289,8189,1,0,314,1,9.95742,608,340,3823,0,4,1,2804019442
962,5.4319,101,0,4,0,94.554,323,8189,4,0,323,4,8.73181,612,344,3827,0,4,1,2773669066
940,5.30782,74,0,2,0,110.782,352,8189,2,0,302,2,9.39827,614,346,3829,0,4,1,2816943486
895,5.05388,91,0,5,0,108.313,377,8190,5,0,288,5,6.9301,619,351,3834,0,4,1,2742236588
922,5.20618,84,0,5,0,70.933,393,8191,5,0,195,5,8.30256,624,356,3839,0,4,1,2798777492
1081,6.10379,292,0,1,0,204.888,423,8189,1,0,380,1,9.56771,625,357,3840,0,4,1,2803710098
1019,5.75359,181,0,2,0,99.973,448,8189,2,0,341,2,6.6251,627,359,3842,0,4,1,2797398562
966,5.45446,61,0,1,0,71.88,478,8189,1,0,437,1,7.58526,628,360,3843,0,4,1,2817607842
1013,5.72025,163,0,1,0,127.503,504,8187,1,0,396,1,9.26272,629,361,3844,0,4,1,2809081366
966,5.45454,85,0,1,0,150.264,531,8189,1,0,444,1,7.29157,630,362,3845,0,4,1,2782107496
887,5.00881,130,0,3,0,126.625,546,8189,3,0,252,3,9.43781,633,365,3848,0,4,1,2804569110
986,5.56742,227,0,3,0,152.065,563,8189,3,0,291,3,10.4488,636,368,3851,0,4,1,2706750760
948,5.35276,89,0,3,0,116.885,580,8189,3,0,304,3,10.2172,639,371,3854,0,4,1,2874446176
1052,5.94,258,0,0,0,140.043,604,8189,0,0,445,0,9.44346,639,371,3854,0,4,1,2788784950
1029,5.81046,215,0,1,0,121.278,624,8189,1,0,388,1,9.8953,640,372,3855,0,4,1,2806682438
939,5.30236,102,0,1,0,136.464,642,8189,1,0,347,1,11.2904,641,373,3856,0,4,1,2793232358
906,5.11599,109,0,2,0,166.927,657,8189,2,0,317,2,9.77669,643,375,3858,0,4,1,2779473914
938,5.29641,132,0,3,0,130.851,673,8189,3,0,321,3,8.93514,646,378,3861,0,4,1,2762226684
982,5.54472,167,0,1,0,107.306,693,8189,1,0,422,1,9.26837,647,379,3862,0,4,1,2803442264
971,5.4829,210,0,2,0,191.137,708,8189,2,0,341,2,7.83378,649,381,3864,0,4,1,2805779564
951,5.36985,91,0,4,0,74.289,724,8191,4,0,357,4,8.27432,653,385,3868,0,4,1,2815859242
995,5.61821,99,0,0,0,110.13,746,8189,0,0,497,0,10.1551,653,385,3868,0,4,1,2719817282
1028,5.80505,84,0,3,0,130.511,760,8189,3,0,335,3,10.1099,656,388,3871,0,4,1,2875058900
910,5.13832,122,0,2,0,129.326,770,8189,2,0,234,2,10.3528,658,390,3873,0,4,1,2746292710
960,5.42051,111,0,1,0,108.69,787,8191,1,0,420,1,5.7892,659,391,3874,0,4,1,2830689722
985,5.56171,110,0,1,0,72.385,803,8189,1,0,398,1,9.99131,660,392,3875,0,4,1,2785467832
961,5.42658,335,0,1,0,81.074,816,8189,1,0,321,1,10.0252,661,393,3876,0,4,1,2749114060
1085,6.12684,244,0,3,0,94.136,829,8189,3,0,346,3,8.27997,664,396,3879,0,4,1,2860030082
1036,5.84993,383,0,0,0,194.527,846,8189,0,0,451,0,12.8831,664,396,3879,0,4,1,2732762550
971,5.48271,133,0,4,0,105.507,858,8191,4,0,306,4,7.27462,668,400,3883,0,4,1,2823888144
940,5.30765,104,0,1,0,96.404,875,8189,1,0,459,1,9.49429,669,401,3884,0,4,1,2790393144
1015,5.7315,402,0,0,0,168.049,888,8189,0,0,361,0,10.3245,669,401,3884,0,4,1,2775653902
914,5.16099,230,0,3,0,158.889,898,8191,3,0,278,3,8.1896,672,404,3887,0,4,1,2597606802
976,5.51093,196,0,2,0,156.788,908,8191,2,0,288,2,8.08229,674,406,3889,0,4,1,3021536868
872,4.9237,96,0,2,0,78.19,918,8191,2,0,290,2,8.1896,676,408,3891,0,4,1,2774035264
947,5.34752,188,0,3,0,151.307,929,8189,3,0,314,3,8.93514,679,411,3894,0,4,1,2840686240
957,5.40365,97,0,3,0,78.506,941,8189,3,0,334,3,7.7547,682,414,3897,0,4,1,2695546196
892,5.03707,86,0,4,0,91.847,949,8189,4,0,242,4,7.63045,686,418,3901,0,4,1,2885069936
950,5.36424,112,0,3,0,84.404,961,8189,3,0,368,3,9.81622,689,421,3904,0,4,1,2774584806
1273,7.18837,310,0,1,0,132.878,975,8189,1,0,428,1,8.63014,690,422,3905,0,4,1,2807455756
1240,7.00225,331,0,0,0,270.108,994,8191,0,0,579,0,21.2591,690,422,3905,0,4,1,2771940430
834,4.70934,996,0,2,0,362.399,996,8191,2,0,74,2,26.1841,692,424,3907,0,4,1,1205280384
314,1.77299,70,0,996,0,63.032,73,8189,59,0,97,0,9.36438,751,424,4903,0,5,1,4394861030
896,5.0592,161,0,3,0,93.137,161,8189,3,0,321,3,5.9191,754,427,4906,0,5,1,2812811484
1021,5.76502,181,0,1,0,162.232,241,8190,1,0,508,1,11.2226,755,428,4907,0,5,1,2707938100
889,5.0197,87,0,3,0,96.853,280,8189,3,0,319,3,9.27966,758,431,4910,0,5,1,2874194316
930,5.25153,62,0,4,0,71.589,314,8189,4,0,313,4,9.7428,762,435,4914,0,5,1,2805115124
1303,7.35793,293,0,0,0,227.828,365,8189,0,0,540,0,12.8379,762,435,4914,0,5,1,2764988030
1036,5.85022,274,0,1,0,99.915,401,8191,1,0,430,1,9.70891,763,436,4915,0,5,1,2793139496
909,5.13278,129,0,4,0,127.14,415,8189,4,0,187,4,7.52314,767,440,4919,0,5,1,2785563718
1062,5.997,87,0,3,0,131.876,436,8191,3,0,268,3,9.43781,770,443,4922,0,5,1,2832734660
895,5.05362,174,0,2,0,150.306,459,8189,2,0,335,2,8.34774,772,445,4924,0,5,1,2776219320
898,5.07099,196,0,3,0,94.401,476,8189,3,0,240,3,6.92445,775,448,4927,0,5,1,2800199122
1027,5.799,72,0,5,0,201.882,496,8189,5,0,303,5,9.45475,780,453,4932,0,5,1,2800889980
967,5.46045,215,0,4,0,147.156,514,8189,4,0,295,4,7.72082,784,457,4936,0,5,1,2647338344
1010,5.70319,122,0,2,0,115.119,538,8189,2,0,387,2,11.6631,786,459,4938,0,5,1,2894913406
961,5.42665,193,0,0,0,192.347,564,8189,0,0,447,0,9.77669,786,459,4938,0,5,1,2840570978
955,5.39242,182,0,2,0,128.612,583,8191,2,0,337,2,6.7889,788,461,4940,0,5,1,2751818370
924,5.21755,93,0,3,0,86.035,599,8191,3,0,294,3,8.39858,791,464,4943,0,5,1,2813890100
