MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.364432,34,0,2,9.852,16,8192,0,1,19,1,0,0,0.011648,0,1,0,2
0,2.25914,194,0,0,2.345,16,8192,0,1,86,0,0,0,0.011648,0,1,0,2
0,3.4469,296,0,0,2.437,16,8192,0,1,94,0,0,0,0.011648,0,1,0,2
0,4.13395,355,0,0,2.837,16,8192,0,1,98,0,0,0,0.011648,0,1,0,2
0,7.51142,645,0,0,3.456,16,8192,0,1,138,0,0,0,0.011648,0,1,0,2
0,36.4348,3130,0,0,318.537,16,8192,0,1,453,0,0,0,0.011648,0,1,0,2
0,41.4556,3560,0,0,1128.38,16,8192,0,1,513,0,0,0,0.011648,0,1,0,2
0,43.6959,3752,0,0,1785.87,16,8192,0,1,541,0,0,0,0.011648,0,1,0,2
0,41.8318,3592,0,0,1785.87,16,8192,0,1,517,0,0,0,0.011648,0,1,0,2
0,42.3556,3637,0,724,2057.8,16,8192,0,1,95,143,0,0,0.011648,0,144,0,726
0,45.3491,3894,0,118,1947.62,16,8192,0,1,0,20,0,0,0.011648,0,164,0,844
0,41.0631,3526,0,0,614.104,16,8192,0,1,450,0,0,0,0.011648,0,164,0,844
0,39.8527,3422,0,0,1396.46,16,8192,0,1,497,0,0,0,0.011648,0,164,0,844
0,41.6776,3579,0,0,1859.99,16,8192,0,1,516,0,0,0,0.011648,0,164,0,844
0,39.8634,3423,0,10,1859.99,16,8192,0,1,476,10,0,0,0.011648,0,174,0,854
0,41.211,3539,0,651,2148.34,16,8192,0,1,0,144,0,0,0.011648,0,318,0,1505
0,38.2172,3282,0,172,2151.76,16,8192,0,1,0,13,0,0,0.011648,0,331,0,1677
0,10.8879,935,0,9,1688.72,16,8192,0,1,2,9,0,0,0.011648,0,340,0,1686
0,0,0,0,0,1688.72,16,8192,0,1,0,0,0,0,0.011648,0,340,0,1686
0,15.6392,1343,0,0,422.386,16,8192,0,1,62,0,0,0,0.011648,0,340,0,1686
0,45.2235,3887,0,0,899.174,16,8192,0,1,6,0,0,0,0.011648,0,340,0,1686
0,44.8125,3848,0,0,1642.47,16,8192,0,1,145,0,0,0,0.011648,0,340,0,1686
0,41.355,3551,0,0,1083.53,16,8192,0,1,512,0,0,0,0.011648,0,340,0,1686
0,40.4908,3477,0,0,1831.12,16,8192,0,1,501,0,0,0,0.011648,0,340,0,1686
0,40.0045,3435,0,0,1831.12,16,8192,0,1,494,0,0,0,0.011648,0,340,0,1686
0,40.4681,3475,0,643,2166.29,16,8192,0,1,170,41,0,0,0.011648,0,381,0,2329
0,41.9134,3599,0,162,2075.65,16,8192,0,1,0,71,0,0,0.011648,0,452,0,2491
0,29.5546,2538,0,19,271.589,16,8192,0,1,26,19,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,0,0,0,0,271.589,16,8192,0,1,0,0,0,0,0.011648,0,471,0,2510
0,41.2261,3541,0,0,290.801,16,8192,0,1,16,0,0,0,0.011648,0,471,0,2510
0,41.2244,3540,0,0,633.923,16,8192,0,1,468,0,0,0,0.011648,0,471,0,2510
0,40.3638,3466,0,0,717.278,16,8192,0,1,500,0,0,0,0.011648,0,471,0,2510
0,40.2932,3460,0,0,1486.56,16,8192,0,1,498,0,0,0,0.011648,0,471,0,2510
0,39.5465,3396,0,545,2241.84,16,8192,0,1,138,84,0,0,0.011648,0,555,0,3055
0,40.585,3485,0,353,2110.79,16,8192,0,1,0,184,0,0,0.011648,0,739,0,3408
0,26.3642,2264,0,26,1847.71,16,8192,0,1,1,26,0,0,0.011648,0,765,0,3434
0,0,0,0,0,1847.71,16,8192,0,1,0,0,0,0,0.011648,0,765,0,3434
0,15.616,1341,0,0,347.988,16,8192,0,1,188,0,0,0,0.011648,0,765,0,3434
0,40.2248,3454,0,0,1059.36,16,8192,0,1,499,0,0,0,0.011648,0,765,0,3434
0,41.1303,3533,0,0,1952.95,16,8192,0,1,509,0,0,0,0.011648,0,765,0,3434
0,40.1073,3444,0,0,1967.42,16,8192,0,1,497,0,0,0,0.011648,0,765,0,3434
0,39.7554,3414,0,597,2202.88,16,8192,0,1,219,120,0,0,0.011648,0,885,0,4031
0,42.0264,3609,0,257,2095.71,16,8192,0,1,0,135,0,0,0.011648,0,1020,0,4288
0,42.6917,3667,0,0,354.69,16,8192,0,1,262,0,0,0,0.011648,0,1020,0,4288
0,39.8049,3418,0,0,1033.02,16,8192,0,1,492,0,0,0,0.011648,0,1020,0,4288
0,40.8191,3505,0,0,1821.41,16,8192,0,1,503,0,0,0,0.011648,0,1020,0,4288
0,41.4696,3561,0,0,1821.41,16,8192,0,1,512,0,0,0,0.011648,0,1020,0,4288
0,40.4795,3476,0,678,2114.53,16,8192,0,1,95,183,0,0,0.011648,0,1203,0,4966
0,43.5402,3739,0,185,2022.63,16,8192,0,1,0,118,0,0,0.011648,0,1321,0,5151
0,43.485,3734,0,0,527.993,16,8192,0,1,430,0,0,0,0.011648,0,1321,0,5151
0,41.9477,3602,0,0,1340.91,16,8192,0,1,515,0,0,0,0.011648,0,1321,0,5151
0,39.6416,3404,0,0,1628.69,16,8192,0,1,492,0,0,0,0.011648,0,1321,0,5151
0,41.8501,3594,0,74,1628.69,16,8192,0,1,509,4,0,0,0.011648,0,1325,0,5225
0,42.6682,3664,0,764,2030.9,16,8192,0,1,0,56,0,0,0.011648,0,1381,0,5989
0,41.0487,3525,0,129,2009.56,16,8192,0,1,4,129,0,0,0.011648,0,1510,0,6118
0,13.8103,1186,0,0,320.935,16,8192,0,1,22,0,0,0,0.011648,0,1510,0,6118
0,0,0,0,0,320.935,16,8192,0,1,0,0,0,0,0.011648,0,1510,0,6118
0,0,0,0,0,320.935,16,8192,0,1,0,0,0,0,0.011648,0,1510,0,6118
0,0,0,0,0,320.935,16,8192,0,1,0,0,0,0,0.011648,0,1510,0,6118
0,9.92195,852,0,0,276.694,16,8192,0,1,11,0,0,0,0.011648,0,1510,0,6118
0,45.2414,3885,0,0,583.645,16,8192,0,1,37,0,0,0,0.011648,0,1510,0,6118
0,41.4437,3559,0,0,847.464,16,8192,0,1,514,0,0,0,0.011648,0,1510,0,6118
0,42.6353,3661,0,0,1673.28,16,8192,0,1,526,0,0,0,0.011648,0,1510,0,6118
0,40.4461,3473,0,0,1710.88,16,8192,0,1,499,0,0,0,0.011648,0,1510,0,6118
0,40.2468,3456,0,447,2196.82,16,8192,0,1,340,68,0,0,0.011648,0,1578,0,6565
0,42.2234,3626,0,407,2070.04,16,8192,0,1,0,188,0,0,0.011648,0,1766,0,6972
0,41.2593,3543,0,27,1167.39,16,8192,0,1,148,27,0,0,0.011648,0,1793,0,6999
0,40.4825,3475,0,0,795.831,16,8192,0,1,503,0,0,0,0.011648,0,1793,0,6999
0,40.0333,3438,0,0,1843.47,16,8192,0,1,498,0,0,0,0.011648,0,1793,0,6999
0,41.3525,3551,0,0,1928.37,16,8192,0,1,514,0,0,0,0.011648,0,1793,0,6999
0,41.981,3605,0,413,2178.98,16,8192,0,1,275,104,0,0,0.011648,0,1897,0,7412
0,37.3572,3208,0,385,2135.54,16,8192,0,1,0,190,0,0,0.011648,0,2087,0,7797
0,42.7015,3667,0,13,507.914,16,8192,0,1,165,13,0,0,0.011648,0,2100,0,7810
0,41.9466,3602,0,0,985.247,16,8192,0,1,519,0,0,0,0.011648,0,2100,0,7810
0,40.2596,3457,0,0,1829.14,16,8192,0,1,499,0,0,0,0.011648,0,2100,0,7810
0,41.4941,3563,0,0,1829.14,16,8192,0,1,514,0,0,0,0.011648,0,2100,0,7810
0,40.8048,3504,0,459,2176.06,16,8192,0,1,190,132,0,0,0.011648,0,2232,0,8269
0,43.0163,3694,0,346,2049.02,16,8192,0,1,0,82,0,0,0.011648,0,2314,0,8615
0,26.5608,2281,0,9,1763.54,16,8192,0,1,1,1,0,0,0.011648,0,2315,0,8624
0,0,0,0,0,1763.54,16,8192,0,1,0,0,0,0,0.011648,0,2315,0,8624
0,15.7563,1353,0,0,1007.66,16,8192,0,1,9,0,0,0,0.011648,0,2315,0,8624
0,42.7491,3671,0,0,292.745,16,8192,0,1,182,0,0,0,0.011648,0,2315,0,8624
0,43.0647,3698,0,0,1083.64,16,8192,0,1,536,0,0,0,0.011648,0,2315,0,8624
0,42.1307,3618,0,0,1660.62,16,8192,0,1,527,0,0,0,0.011648,0,2315,0,8624
0,40.8609,3509,0,0,1660.62,16,8192,0,1,507,0,0,0,0.011648,0,2315,0,8624
0,41.8284,3592,0,566,2122.25,16,8192,0,1,243,80,0,0,0.011648,0,2395,0,9190
0,42.0859,3614,0,271,2042.16,16,8192,0,1,0,201,0,0,0.011648,0,2596,0,9461
0,40.9086,3513,0,51,374.508,16,8192,0,1,260,51,0,0,0.011648,0,2647,0,9512
0,41.7477,3585,0,0,1043.61,16,8192,0,1,515,0,0,0,0.011648,0,2647,0,9512
