MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,35.0604,3422,0,0,99.824,2,8192,0,0,1712,0,0,0,0.011648,0,0,0,0
0,35.5287,3051,0,0,140.068,2,8192,0,0,1526,0,0,0,0.011648,0,0,0,0
0,35.3432,3035,0,0,166.458,2,8192,0,0,1518,0,0,0,0.011648,0,0,0,0
0,33.3832,3662,0,0,197.43,2,8192,0,0,1834,0,0,0,0.011648,0,0,0,0
0,35.4732,3046,0,0,210.062,2,8192,0,0,1523,0,0,0,0.011648,0,0,0,0
0,35.4006,3040,0,0,238.301,2,8192,0,0,1521,0,0,0,0.011648,0,0,0,0
0,36.3993,3126,0,0,258.726,2,8192,0,0,1564,0,0,0,0.011648,0,0,0,0
0,36.2763,3115,0,0,281.282,2,8192,0,0,1557,0,0,0,0.011648,0,0,0,0
0,37.4844,3219,0,0,296.023,2,8192,0,0,1610,0,0,0,0.011648,0,0,0,0
0,36.6953,3151,0,0,298.426,2,8192,0,0,1576,0,0,0,0.011648,0,0,0,0
0,37.384,3210,0,0,329.384,2,8192,0,0,1606,0,0,0,0.011648,0,0,0,0
0,38.0767,3270,0,0,331.921,2,8192,0,0,1636,0,0,0,0.011648,0,0,0,0
0,36.3235,3119,0,0,354.689,2,8192,0,0,1560,0,0,0,0.011648,0,0,0,0
0,37.0356,3180,0,0,380.253,2,8192,0,0,1590,0,0,0,0.011648,0,0,0,0
0,36.4164,3127,0,0,397.224,2,8192,0,0,1565,0,0,0,0.011648,0,0,0,0
0,34.8322,2991,0,0,412.702,2,8192,0,0,1498,0,0,0,0.011648,0,0,0,0
0,36.3449,3121,0,0,414.946,2,8192,0,0,1563,0,0,0,0.011648,0,0,0,0
0,34.3553,2950,0,0,442.664,2,8192,0,0,1477,0,0,0,0.011648,0,0,0,0
0,35.7744,3072,0,0,423.982,2,8192,0,0,1537,0,0,0,0.011648,0,0,0,0
0,35.3546,3036,0,0,444.541,2,8192,0,0,1518,0,0,0,0.011648,0,0,0,0
0,36.9494,3173,0,0,446.466,2,8192,0,0,1587,0,0,0,0.011648,0,0,0,0
0,36.335,3120,0,0,467.628,2,8192,0,0,1560,0,0,0,0.011648,0,0,0,0
0,36.2982,3117,0,0,480.762,2,8192,0,0,1559,0,0,0,0.011648,0,0,0,0
0,35.7612,3071,0,0,510.189,2,8192,0,0,1537,0,0,0,0.011648,0,0,0,0
0,35.0306,3008,0,0,503.856,2,8192,0,0,1505,0,0,0,0.011648,0,0,0,0
0,35.4493,3044,0,0,538.457,2,8192,0,0,1522,0,0,0,0.011648,0,0,0,0
0,36.3449,3121,0,0,525.05,2,8192,0,0,1561,0,0,0,0.011648,0,0,0,0
0,32.8497,2821,0,11,609.396,2,8192,0,0,1031,1,0,0,0.011648,0,1,0,11
0,37.6605,3234,0,0,529.153,2,8192,0,0,1170,0,0,0,0.011648,0,1,0,11
0,36.532,3137,0,0,528.814,2,8192,0,0,1569,0,0,0,0.011648,0,1,0,11
0,36.5528,3139,0,0,544.918,2,8192,0,0,1571,0,0,0,0.011648,0,1,0,11
0,35.9509,3087,0,0,570.372,2,8192,0,0,1543,0,0,0,0.011648,0,1,0,11
0,35.31,3032,0,0,600.899,2,8192,0,0,1517,0,0,0,0.011648,0,1,0,11
0,36.016,3327,0,0,592.549,2,8192,0,0,1664,0,0,0,0.011648,0,1,0,11
0,35.6002,3057,0,0,598.159,2,8192,0,0,1530,0,0,0,0.011648,0,1,0,11
0,35.3891,3039,0,0,611.977,2,8192,0,0,1519,0,0,0,0.011648,0,1,0,11
0,36.1567,3105,0,0,607.95,2,8192,0,0,1554,0,0,0,0.011648,0,1,0,11
0,36.4367,3129,0,0,624.7,2,8192,0,0,1565,0,0,0,0.011648,0,1,0,11
0,35.1932,3022,0,0,642.047,2,8192,0,0,1511,0,0,0,0.011648,0,1,0,11
0,36.0069,3092,0,0,623.883,2,8192,0,0,1547,0,0,0,0.011648,0,1,0,11
0,35.8567,3079,0,0,653.035,2,8192,0,0,1540,0,0,0,0.011648,0,1,0,11
0,35.9274,3085,0,0,658.726,2,8192,0,0,1542,0,0,0,0.011648,0,1,0,11
0,35.5202,3050,0,0,668.179,2,8192,0,0,1527,0,0,0,0.011648,0,1,0,11
0,36.4019,3126,0,0,651.892,2,8192,0,0,1563,0,0,0,0.011648,0,1,0,11
0,35.9711,3089,0,0,661.922,2,8192,0,0,1545,0,0,0,0.011648,0,1,0,11
0,37.2073,3195,0,0,661.922,2,8192,0,0,1598,0,0,0,0.011648,0,1,0,11
0,37.2075,3195,0,0,652.332,2,8192,0,0,1597,0,0,0,0.011648,0,1,0,11
0,36.1796,3107,0,0,652.332,2,8192,0,0,1554,0,0,0,0.011648,0,1,0,11
0,36.2075,3109,0,0,652.332,2,8192,0,0,1555,0,0,0,0.011648,0,1,0,11
