MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,34.676,3528,0,1,365.201,2,8192,0,0,1764,1,0,0,0.011648,0,1,0,1
0,34.4682,2960,0,0,702.402,2,8192,0,0,1481,0,0,0,0.011648,0,1,0,1
0,35.7037,3066,0,0,702.402,2,8192,0,0,1533,0,0,0,0.011648,0,1,0,1
0,36.9726,3175,0,0,702.402,2,8192,0,0,1588,0,0,0,0.011648,0,1,0,1
0,34.6458,2975,0,0,702.402,2,8192,0,0,1488,0,0,0,0.011648,0,1,0,1
0,35.7985,3074,0,0,702.402,2,8192,0,0,1538,0,0,0,0.011648,0,1,0,1
0,39.3539,3380,0,1623,702.402,2,8192,0,0,138,82,0,0,0.011648,0,83,0,1624
0,40.5363,3481,0,602,1746.5,2,8192,0,0,13,151,0,0,0.011648,0,234,0,2226
0,18.9227,1625,0,1,801.274,2,8192,0,0,0,1,0,0,0.011648,0,235,0,2227
0,0,0,0,0,801.274,2,8192,0,0,0,0,0,0,0.011648,0,235,0,2227
0,0,0,0,0,801.274,2,8192,0,0,0,0,0,0,0.011648,0,235,0,2227
0,0,0,0,0,801.274,2,8192,0,0,0,0,0,0,0.011648,0,235,0,2227
0,0,0,0,0,801.274,2,8192,0,0,0,0,0,0,0.011648,0,235,0,2227
0,15.3131,1315,0,0,84.168,2,8192,0,0,454,0,0,0,0.011648,0,235,0,2227
0,36.891,3168,0,0,422.501,2,8192,0,0,1584,0,0,0,0.011648,0,235,0,2227
0,36.0523,3096,0,0,658.136,2,8192,0,0,1549,0,0,0,0.011648,0,235,0,2227
0,37.4278,3214,0,0,658.136,2,8192,0,0,1607,0,0,0,0.011648,0,235,0,2227
0,35.8922,3082,0,0,658.136,2,8192,0,0,1541,0,0,0,0.011648,0,235,0,2227
0,35.0765,3012,0,0,658.136,2,8192,0,0,1507,0,0,0,0.011648,0,235,0,2227
0,35.4151,3041,0,0,658.136,2,8192,0,0,1521,0,0,0,0.011648,0,235,0,2227
0,35.461,3045,0,0,658.136,2,8192,0,0,1522,0,0,0,0.011648,0,235,0,2227
0,36.3921,3125,0,0,658.136,2,8192,0,0,1563,0,0,0,0.011648,0,235,0,2227
0,36.2396,3112,0,0,658.136,2,8192,0,0,1557,0,0,0,0.011648,0,235,0,2227
0,36.5091,3135,0,0,658.136,2,8192,0,0,1567,0,0,0,0.011648,0,235,0,2227
0,35.2632,3028,0,0,658.136,2,8192,0,0,1515,0,0,0,0.011648,0,235,0,2227
0,35.8678,3080,0,0,658.136,2,8192,0,0,1542,0,0,0,0.011648,0,235,0,2227
0,36.8803,3167,0,0,658.136,2,8192,0,0,1584,0,0,0,0.011648,0,235,0,2227
0,35.3679,3037,0,0,658.136,2,8192,0,0,1519,0,0,0,0.011648,0,235,0,2227
0,35.5488,3053,0,0,658.136,2,8192,0,0,1526,0,0,0,0.011648,0,235,0,2227
0,36.4832,3133,0,0,658.136,2,8192,0,0,1568,0,0,0,0.011648,0,235,0,2227
0,36.4865,3133,0,0,658.136,2,8192,0,0,1567,0,0,0,0.011648,0,235,0,2227
0,36.4261,3128,0,0,658.136,2,8192,0,0,1564,0,0,0,0.011648,0,235,0,2227
0,35.6444,3061,0,0,658.136,2,8192,0,0,1532,0,0,0,0.011648,0,235,0,2227
0,35.8871,3082,0,0,658.136,2,8192,0,0,1541,0,0,0,0.011648,0,235,0,2227
0,37.7204,3239,0,0,658.136,2,8192,0,0,1619,0,0,0,0.011648,0,235,0,2227
0,35.7644,3071,0,0,658.136,2,8192,0,0,1537,0,0,0,0.011648,0,235,0,2227
0,37.3005,3203,0,0,658.136,2,8192,0,0,1601,0,0,0,0.011648,0,235,0,2227
0,37.2911,3202,0,0,658.136,2,8192,0,0,1602,0,0,0,0.011648,0,235,0,2227
0,37.3358,3206,0,0,658.136,2,8192,0,0,1603,0,0,0,0.011648,0,235,0,2227
0,37.4286,3214,0,0,658.136,2,8192,0,0,1607,0,0,0,0.011648,0,235,0,2227
0,37.6377,3232,0,0,658.136,2,8192,0,0,1617,0,0,0,0.011648,0,235,0,2227
0,37.0568,3182,0,0,658.136,2,8192,0,0,1594,0,0,0,0.011648,0,235,0,2227
