MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.336791,32,0,1,13.491,16,8192,0,1,16,1,0,0,0.011648,0,1,0,1
0,2.08452,179,0,0,2.505,16,8192,0,1,59,0,0,0,0.011648,0,1,0,1
0,3.16763,272,0,0,2.715,16,8192,0,1,69,0,0,0,0.011648,0,1,0,1
0,3.98271,342,0,0,3.294,16,8192,0,1,69,0,0,0,0.011648,0,1,0,1
0,5.0542,434,0,0,3.283,16,8192,0,1,69,0,0,0,0.011648,0,1,0,1
0,25.5966,2198,0,0,34.465,16,8192,0,1,77,0,0,0,0.011648,0,1,0,1
0,41.5379,3567,0,0,364.567,16,8192,0,1,83,0,0,0,0.011648,0,1,0,1
0,42.3198,3634,0,0,952.914,16,8192,0,1,80,0,0,0,0.011648,0,1,0,1
0,40.1299,3446,0,0,1637.58,16,8192,0,1,78,0,0,0,0.011648,0,1,0,1
0,41.5847,3571,0,0,2268.61,16,8192,0,1,83,0,0,0,0.011648,0,1,0,1
0,42.2371,3627,0,0,2244.03,16,8192,0,1,81,0,0,0,0.011648,0,1,0,1
0,41.3046,3547,0,13,2272.33,16,8192,0,1,21,13,0,0,0.011648,0,14,0,14
0,43.3915,3726,0,0,2228.54,16,8192,0,1,0,0,0,0,0.011648,0,14,0,14
0,38.3102,3291,0,0,832.575,16,8192,0,1,37,0,0,0,0.011648,0,14,0,14
0,38.8814,3339,0,0,866.902,16,8192,0,1,78,0,0,0,0.011648,0,14,0,14
0,42.6561,3663,0,0,1534.33,16,8192,0,1,81,0,0,0,0.011648,0,14,0,14
0,42.0638,3612,0,0,2263.1,16,8192,0,1,82,0,0,0,0.011648,0,14,0,14
0,40.6984,3495,0,0,2265.83,16,8192,0,1,78,0,0,0,0.011648,0,14,0,14
0,42.5281,3652,0,0,2255.28,16,8192,0,1,78,0,0,0,0.011648,0,14,0,14
0,42.4362,3644,0,22,2210.13,16,8192,0,1,61,22,0,0,0.011648,0,36,0,36
0,41.5635,3569,0,0,2232.69,16,8192,0,1,0,0,0,0,0.011648,0,36,0,36
0,41.832,3592,0,0,2259.89,16,8192,0,1,0,0,0,0,0.011648,0,36,0,36
0,33.9255,2913,0,0,715.885,16,8192,0,1,68,0,0,0,0.011648,0,36,0,36
0,41.0942,3529,0,0,1124.01,16,8192,0,1,76,0,0,0,0.011648,0,36,0,36
0,41.4089,3556,0,0,2207.37,16,8192,0,1,81,0,0,0,0.011648,0,36,0,36
0,43.5411,3739,0,0,2237.82,16,8192,0,1,80,0,0,0,0.011648,0,36,0,36
0,41.1657,3535,0,4,2229.28,16,8192,0,1,61,4,0,0,0.011648,0,40,0,40
0,41.5138,3565,0,17,2254.62,16,8192,0,1,0,17,0,0,0.011648,0,57,0,57
0,43.0969,3701,0,0,2232.48,16,8192,0,1,0,0,0,0,0.011648,0,57,0,57
0,29.3216,2518,0,0,501.313,16,8192,0,1,53,0,0,0,0.011648,0,57,0,57
0,42.8643,3681,0,0,971.246,16,8192,0,1,82,0,0,0,0.011648,0,57,0,57
0,42.2959,3632,0,0,1734.44,16,8192,0,1,79,0,0,0,0.011648,0,57,0,57
0,42.2628,3629,0,0,2226.68,16,8192,0,1,83,0,0,0,0.011648,0,57,0,57
0,44.0433,3782,0,0,2189.22,16,8192,0,1,82,0,0,0,0.011648,0,57,0,57
0,43.5758,3742,0,0,2151.98,16,8192,0,1,82,0,0,0,0.011648,0,57,0,57
0,43.6249,3746,0,10,2156.73,16,8192,0,1,14,10,0,0,0.011648,0,67,0,67
0,44.0095,3779,0,0,2088.61,16,8192,0,1,0,0,0,0,0.011648,0,67,0,67
0,32.6541,2804,0,0,1151.03,16,8192,0,1,40,0,0,0,0.011648,0,67,0,67
0,41.5755,3570,0,0,1004.92,16,8192,0,1,77,0,0,0,0.011648,0,67,0,67
0,42.8992,3684,0,0,1651.22,16,8192,0,1,81,0,0,0,0.011648,0,67,0,67
0,41.071,3527,0,0,2232.54,16,8192,0,1,78,0,0,0,0.011648,0,67,0,67
0,42.224,3626,0,0,2257.81,16,8192,0,1,82,0,0,0,0.011648,0,67,0,67
0,42.411,3642,0,23,2233.27,16,8192,0,1,33,23,0,0,0.011648,0,90,0,90
0,44.3888,3812,0,0,2164.74,16,8192,0,1,0,0,0,0,0.011648,0,90,0,90
0,41.1755,3536,0,15,207.749,16,8192,0,1,38,15,0,0,0.011648,0,105,0,105
0,41.3621,3552,0,0,454.683,16,8192,0,1,80,0,0,0,0.011648,0,105,0,105
