MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.027316,6,0,0,286.804,2,8192,0,0,6,0,0,0,0.011648,0,0,0,0
0,0.0698679,6,0,0,599.929,2,8192,0,0,3,0,0,0,0.011648,0,0,0,0
0,0,0,0,0,599.929,2,8192,0,0,1,0,0,0,0.011648,0,0,0,0
0,0.116457,10,0,0,898.419,2,8192,0,0,6,0,0,0,0.011648,0,0,0,0
0,0.093163,8,0,0,1159.57,2,8192,0,0,4,0,0,0,0.011648,0,0,0,0
0,27.9826,2403,0,22,80.225,2,8192,0,0,1372,1,0,0,0.011648,0,1,0,22
0,35.4729,3046,0,0,133.887,2,8192,0,0,1740,0,0,0,0.011648,0,1,0,22
0,34.2955,2945,0,0,173.145,2,8192,0,0,1683,0,0,0,0.011648,0,1,0,22
0,34.3069,2946,0,0,192.034,2,8192,0,0,1683,0,0,0,0.011648,0,1,0,22
0,35.9499,3087,0,28,232.27,2,8192,0,0,1411,1,0,0,0.011648,0,2,0,50
0,37.7322,3240,0,8,211.455,2,8192,0,0,1427,1,0,0,0.011648,0,3,0,58
0,31.8846,2738,0,269,50.466,2,8192,0,0,824,2,0,0,0.011648,0,5,0,327
0,37.0982,3186,0,0,255.1,2,8192,0,0,1821,0,0,0,0.011648,0,5,0,327
0,35.892,3082,0,8,297.984,2,8192,0,0,1710,1,0,0,0.011648,0,6,0,335
0,36.0651,3097,0,0,307.288,2,8192,0,0,1293,0,0,0,0.011648,0,6,0,335
0,34.7826,2987,0,0,332.64,2,8192,0,0,1707,0,0,0,0.011648,0,6,0,335
0,36.8802,3167,0,0,292.477,2,8192,0,0,1809,0,0,0,0.011648,0,6,0,335
0,37.671,3235,0,8,286.413,2,8192,0,0,614,2,0,0,0.011648,0,8,0,343
0,36.673,3149,0,0,342.993,2,8192,0,0,1799,0,0,0,0.011648,0,8,0,343
0,33.4221,2870,0,0,374.164,2,8192,0,0,1640,0,0,0,0.011648,0,8,0,343
0,0.221252,19,0,0,374.164,2,8192,0,0,3,0,0,0,0.011648,0,8,0,343
0,0,0,0,0,374.164,2,8192,0,0,2,0,0,0,0.011648,0,8,0,343
0,0,0,0,0,330.673,2,8192,0,0,1,0,0,0,0.011648,0,8,0,343
0,30.9062,2654,0,0,88.57,2,8192,0,0,1516,0,0,0,0.011648,0,8,0,343
0,33.5495,2881,0,0,137.13,2,8192,0,0,1646,0,0,0,0.011648,0,8,0,343
0,36.6935,3151,0,0,168.88,2,8192,0,0,1801,0,0,0,0.011648,0,8,0,343
0,34.3529,2950,0,0,188.23,2,8192,0,0,1686,0,0,0,0.011648,0,8,0,343
0,36.4279,3128,0,45,189.096,2,8192,0,0,1423,1,0,0,0.011648,0,9,0,388
0,36.5193,3136,0,122,178.309,2,8192,0,0,1013,3,0,0,0.011648,0,12,0,510
0,36.9138,3170,0,197,247.368,2,8192,0,0,1534,1,0,0,0.011648,0,13,0,707
0,35.7123,3067,0,0,288.904,2,8192,0,0,1753,0,0,0,0.011648,0,13,0,707
0,35.4275,3042,0,0,281.786,2,8192,0,0,1738,0,0,0,0.011648,0,13,0,707
0,37.6623,3234,0,0,287.167,2,8192,0,0,1848,0,0,0,0.011648,0,13,0,707
0,36.381,3124,0,0,337.6,2,8192,0,0,1785,0,0,0,0.011648,0,13,0,707
0,36.999,3177,0,8,169.201,2,8192,0,0,1193,2,0,0,0.011648,0,15,0,715
0,35.6,3057,0,200,350.105,2,8192,0,0,1632,1,0,0,0.011648,0,16,0,915
0,38.4746,3304,0,158,28.586,2,8192,0,0,891,1,0,0,0.011648,0,17,0,1073
0,37.0316,3180,0,0,368.226,2,8192,0,0,1817,0,0,0,0.011648,0,17,0,1073
0,35.3072,3032,0,0,394.622,2,8192,0,0,1732,0,0,0,0.011648,0,17,0,1073
0,34.5858,2970,0,0,430.256,2,8192,0,0,1698,0,0,0,0.011648,0,17,0,1073
0,39.2097,3367,0,0,392.926,2,8192,0,0,1924,0,0,0,0.011648,0,17,0,1073
0,36.0897,3099,0,0,421.536,2,8192,0,0,1770,0,0,0,0.011648,0,17,0,1073
0,36.7655,3157,0,0,446.694,2,8192,0,0,1804,0,0,0,0.011648,0,17,0,1073
0,37.0209,3179,0,0,448.812,2,8192,0,0,1817,0,0,0,0.011648,0,17,0,1073
0,36.6354,3146,0,0,459.231,2,8192,0,0,1798,0,0,0,0.011648,0,17,0,1073
0,36.4025,3126,0,0,488.307,2,8192,0,0,1786,0,0,0,0.011648,0,17,0,1073
0,35.0777,3012,0,0,516.265,2,8192,0,0,1721,0,0,0,0.011648,0,17,0,1073
0,34.4359,2957,0,0,510.979,2,8192,0,0,1690,0,0,0,0.011648,0,17,0,1073
