MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.0328859,10,0,0,206.857,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.139744,12,0,0,308.318,2,8192,0,0,7,0,0,0,0.011648,0,0,0,0
0,0.197977,17,0,0,374.254,2,8192,0,0,11,0,0,0,0.011648,0,0,0,0
0,0.186331,16,0,0,431.204,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.197972,17,0,0,481.215,2,8192,0,0,16,0,0,0,0.011648,0,0,0,0
0,0.22121,19,0,0,538.441,2,8192,0,0,12,0,0,0,0.011648,0,0,0,0
0,0.221254,19,0,0,579.177,2,8192,0,0,11,0,0,0,0.011648,0,0,0,0
0,0.209619,18,0,0,630.862,2,8192,0,0,11,0,0,0,0.011648,0,0,0,0
0,0.24453,21,0,0,708.232,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.163033,14,0,0,769.447,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.174681,15,0,0,898.873,2,8192,0,0,9,0,0,0,0.011648,0,0,0,0
0,0.163027,14,0,0,1022.74,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.163035,14,0,0,1149.74,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.116459,10,0,0,1189.81,2,8192,0,0,8,0,0,0,0.011648,0,0,0,0
0,0.163032,14,0,0,1270.08,2,8192,0,0,11,0,0,0,0.011648,0,0,0,0
0,0.151398,13,0,0,1165.9,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.209624,18,0,0,1138.58,2,8192,0,0,12,0,0,0,0.011648,0,0,0,0
0,0.221272,19,0,0,1152.4,2,8192,0,0,12,0,0,0,0.011648,0,0,0,0
0,0.174689,15,0,0,1140.14,2,8192,0,0,11,0,0,0,0.011648,0,0,0,0
0,0.232919,20,0,0,1095.5,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.232906,20,0,0,1032.4,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.209609,18,0,0,1113.89,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.139737,12,0,0,1116.33,2,8192,0,0,8,0,0,0,0.011648,0,0,0,0
0,0.244554,21,0,0,1102.95,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.244563,21,0,0,1130.62,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.267829,23,0,0,1201.7,2,8192,0,0,13,0,0,0,0.011648,0,0,0,0
0,0.197963,17,0,0,1188.45,2,8192,0,0,10,0,0,0,0.011648,0,0,0,0
0,0.279487,24,0,0,1090.46,2,8192,0,0,14,0,0,0,0.011648,0,0,0,0
0,0.279494,24,0,0,1089.75,2,8192,0,0,17,0,0,0,0.011648,0,0,0,0
0,0.291147,25,0,0,1063.83,2,8192,0,0,16,0,0,0,0.011648,0,0,0,0
0,0.232901,20,0,0,1121.43,2,8192,0,0,14,0,0,0,0.011648,0,0,0,0
0,0.197978,17,0,0,1127.6,2,8192,0,0,12,0,0,0,0.011648,0,0,0,0
0,0.314426,27,0,0,1073.04,2,8192,0,0,18,0,0,0,0.011648,0,0,0,0
0,0.314415,27,0,0,1016.83,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.314432,27,0,0,1018.32,2,8192,0,0,20,0,0,0,0.011648,0,0,0,0
0,0.337728,29,0,0,1055.81,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.337731,29,0,0,1067.4,2,8192,0,0,20,0,0,0,0.011648,0,0,0,0
0,0.291134,25,0,0,1065.64,2,8192,0,0,15,0,0,0,0.011648,0,0,0,0
0,0.337733,29,0,0,1049.58,2,8192,0,0,18,0,0,0,0.011648,0,0,0,0
0,0.361008,31,0,0,1027.52,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.361017,31,0,0,1033.03,2,8192,0,0,18,0,0,0,0.011648,0,0,0,0
0,0.384283,33,0,0,1079.58,2,8192,0,0,22,0,0,0,0.011648,0,0,0,0
0,0.302785,26,0,0,1083.53,2,8192,0,0,18,0,0,0,0.011648,0,0,0,0
0,0.349375,30,0,0,1059.93,2,8192,0,0,17,0,0,0,0.011648,0,0,0,0
0,0.384316,33,0,0,1072.02,2,8192,0,0,23,0,0,0,0.011648,0,0,0,0
0,0.407607,35,0,0,1036.73,2,8192,0,0,21,0,0,0,0.011648,0,0,0,0
0,0.407572,35,0,0,1078,2,8192,0,0,21,0,0,0,0.011648,0,0,0,0
0,0.395947,34,0,0,1087.73,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.349341,30,0,0,1079.7,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.314432,27,0,0,1060.07,2,8192,0,0,17,0,0,0,0.011648,0,0,0,0
0,0.442501,38,0,0,1069.8,2,8192,0,0,21,0,0,0,0.011648,0,0,0,0
0,0.384256,33,0,0,1107.17,2,8192,0,0,21,0,0,0,0.011648,0,0,0,0
0,0.41925,36,0,0,1151.68,2,8192,0,0,21,0,0,0,0.011648,0,0,0,0
0,0.349366,30,0,0,1080.75,2,8192,0,0,17,0,0,0,0.011648,0,0,0,0
0,0.465824,40,0,0,1118.67,2,8192,0,0,25,0,0,0,0.011648,0,0,0,0
0,0.419251,36,0,0,1119.59,2,8192,0,0,23,0,0,0,0.011648,0,0,0,0
0,0.477476,41,0,0,1114.64,2,8192,0,0,24,0,0,0,0.011648,0,0,0,0
0,0.477466,41,0,0,1118.07,2,8192,0,0,26,0,0,0,0.011648,0,0,0,0
0,0.349376,30,0,0,1097.62,2,8192,0,0,19,0,0,0,0.011648,0,0,0,0
0,0.454178,39,0,0,1057.63,2,8192,0,0,25,0,0,0,0.011648,0,0,0,0
0,0.41922,36,0,0,1064.31,2,8192,0,0,23,0,0,0,0.011648,0,0,0,0
0,0.46583,40,0,0,1083.46,2,8192,0,0,26,0,0,0,0.011648,0,0,0,0
0,0.430846,37,0,0,1101.77,2,8192,0,0,24,0,0,0,0.011648,0,0,0,0
0,0.512415,44,0,0,1074.11,2,8192,0,0,29,0,0,0,0.011648,0,0,0,0
0,0.524055,45,0,0,1065.95,2,8192,0,0,26,0,0,0,0.011648,0,0,0,0
0,0.442541,38,0,0,1162.1,2,8192,0,0,22,0,0,0,0.011648,0,0,0,0
0,0.489122,42,0,0,1142.08,2,8192,0,0,25,0,0,0,0.011648,0,0,0,0
0,0.535674,46,0,0,1088.98,2,8192,0,0,29,0,0,0,0.011648,0,0,0,0
0,0.419216,36,0,0,1118.69,2,8192,0,0,22,0,0,0,0.011648,0,0,0,0
0,0.430901,37,0,0,1143.41,2,8192,0,0,23,0,0,0,0.011648,0,0,0,0
0,0.465796,40,0,0,1139.11,2,8192,0,0,26,0,0,0,0.011648,0,0,0,0
0,0.55898,48,0,0,1027.36,2,8192,0,0,30,0,0,0,0.011648,0,0,0,0
