

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0.275115,0,0,62.782,2,8190,0,24,0,11.1471
0.337727,0,0,44.332,2,8191,0,29,0,11.5665
0.384321,0,0,38.462,2,8190,0,32,0,11.5665
0.395967,0,0,36.528,2,8191,0,34,0,11.5665
0.372671,0,0,35.897,2,8190,0,32,0,11.5665
0.419267,0,0,32.954,2,8190,0,36,0,11.5665
0.291165,0,0,41.247,2,8190,0,24,0,11.5665
0.267867,0,0,44.511,2,8190,0,23,0,11.5665
0.395962,0,0,34.76,2,8191,0,34,0,11.5665
0.395944,0,0,32.831,2,8191,0,31,0,11.5665
0.395949,0,0,34.259,2,8190,0,34,0,11.5665
0.372658,0,0,35.668,2,8191,0,32,0,11.5665
0.384286,0,0,32.717,2,8190,0,33,0,11.5665
0.372646,0,0,36.332,2,8190,0,32,0,11.5665
0.326069,0,0,39.26,2,8189,0,27,0,11.5665
0.349365,0,0,39.293,2,8190,0,30,0,2.9353
0.361013,0,0,35.425,2,8190,0,29,0,0.396032
0.302787,0,0,41.174,2,8190,0,26,0,0.361088
0.244565,0,0,42.612,2,8190,0,21,0,0.361088
0.314432,0,0,41.822,2,8190,0,26,0,0.361088
0.372691,0,0,35.899,2,8190,0,32,0,0.361088
0.314456,0,0,41.743,2,8190,0,27,0,0.361088
0.326108,0,0,39.895,2,8190,0,28,0,0.361088
0.291171,0,0,43.108,2,8190,0,25,0,0.361088
0.209639,0,0,54.657,2,8190,0,18,0,0.361088
0.279504,0,0,46.519,2,8190,0,24,0,0.361088
0.372645,0,0,36.46,2,8190,0,32,0,0.361088
0.395967,0,0,36.313,2,8190,0,32,0,0.361088
0.361028,0,0,33.869,2,8190,0,30,0,0.361088
0.372689,0,0,36.11,2,8189,0,30,0,0.361088
0.326084,0,0,38.635,2,8190,0,28,0,0.361088
0.361032,0,0,36.038,2,8190,0,31,0,0.361088
0.36102,0,0,37.891,2,8190,0,31,0,0.361088
0.372667,0,0,33.827,2,8190,0,32,0,0.361088
0.326082,0,0,42.76,2,8190,0,25,0,0.361088
0.419235,0,0,36.377,2,8190,0,35,0,0.361088
0.337707,0,0,38.541,2,8190,0,29,0,0.361088
0.372688,0,0,36.003,2,8190,0,31,0,0.361088
0.372687,0,0,41.29,2,8191,0,32,0,0.361088
0.291155,0,0,43.134,2,8190,0,25,0,0.361088
0.372662,0,0,36.06,2,8191,0,32,0,0.361088
0.384311,0,0,34.668,2,8191,0,32,0,0.361088
0.372645,0,0,38.747,2,8191,0,32,0,0.361088
0.349372,0,0,38.099,2,8190,0,30,0,0.361088
0.302812,0,0,41.878,2,8191,0,26,0,0.361088
0.314428,0,0,46.455,2,8190,0,27,0,0.361088


Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
4.10748,0,0,2.519,2,8191,0,181,0,5.98707
4.89115,0,0,3.511,2,8189,0,212,0,3.79725
5.01929,0,0,2.358,2,8191,0,218,0,3.41286
5.33391,0,0,2.061,2,8191,0,230,0,5.28819
4.85635,0,0,2.434,2,8189,0,210,0,6.6743
5.27574,0,0,2.071,2,8191,0,228,0,8.40986
5.13593,0,0,3.617,2,8191,0,221,0,8.47974
5.0313,0,0,2.742,2,8189,0,218,0,10.2619
5.26438,0,0,1.983,2,8189,0,229,0,4.47283
4.53059,0,0,2.443,2,8189,0,196,0,3.43616
5.62528,0,0,2.756,2,8190,0,243,0,3.4711
5.39133,0,0,2.945,2,8189,0,236,0,4.19328
5.76438,0,0,2.569,2,8191,0,249,0,10.6579
4.50669,0,0,2.599,2,8191,0,196,0,8.64282
4.82148,0,0,3.205,2,8191,0,208,0,4.98534
5.76446,0,0,2.095,2,8189,0,248,0,5.33478
5.61306,0,0,2.05,2,8189,0,242,0,4.77568
4.70523,0,0,3.271,2,8189,0,203,0,3.34298
5.36885,0,0,2.157,2,8191,0,231,0,3.41286
5.7879,0,0,3.056,2,8189,0,249,0,4.81062
5.79963,0,0,2.194,2,8189,0,249,0,5.19501
4.19255,0,0,4.85,2,8191,0,183,0,3.83219
4.98458,0,0,2.209,2,8191,0,215,0,3.52934
5.87,0,0,2.227,2,8189,0,253,0,5.2416
6.07955,0,0,1.954,2,8191,0,261,0,4.91546
6.09067,0,0,2.163,2,8191,0,263,0,4.60096
5.57793,0,0,2.077,2,8189,0,241,0,6.33651
6.07892,0,0,2.07,2,8189,0,261,0,4.48448
5.89268,0,0,2.255,2,8189,0,254,0,4.14669
5.60124,0,0,2.116,2,8189,0,242,0,5.45126
6.26531,0,0,1.934,2,8191,0,269,0,16.9944
6.37049,0,0,1.996,2,8191,0,274,0,23.4008
6.09077,0,0,1.971,2,8191,0,262,0,15.5501
6.11395,0,0,2.553,2,8191,0,263,0,13.4068
5.89273,0,0,2.056,2,8191,0,253,0,4.41459
5.18242,0,0,2.131,2,8189,0,226,0,3.55264
5.55513,0,0,2.738,2,8189,0,239,0,12.3236
5.5555,0,0,2.221,2,8189,0,239,0,13.9776
5.10131,0,0,2.179,2,8191,0,221,0,10.4948
5.93966,0,0,2.179,2,8189,0,255,0,15.422
3.84316,0,0,2.684,2,8189,0,170,0,18.3223
4.55318,0,0,3.87,2,8189,0,197,0,18.1825
5.05409,0,0,2.259,2,8189,0,219,0,10.8792
5.03062,0,0,2.056,2,8189,0,220,0,3.89043
5.3103,0,0,2.12,2,8191,0,230,0,3.56429
5.26375,0,0,2.709,2,8189,0,229,0,4.33306
5.43842,0,0,2.343,2,8189,0,234,0,3.93702
5.31076,0,0,2.599,2,8189,0,229,0,5.04358
5.62499,0,0,2.195,2,8189,0,244,0,7.36154
3.98289,0,0,2.232,2,8189,0,176,0,5.43962
4.70495,0,0,3.344,2,8189,0,204,0,5.22995
4.7633,0,0,2.46,2,8189,0,208,0,4.56602
5.08948,0,0,2.275,2,8189,0,220,0,8.49139
5.25265,0,0,2.35,2,8189,0,228,0,6.6743
5.78848,0,0,1.815,2,8191,0,250,0,8.51469
5.39232,0,0,2.615,2,8189,0,232,0,6.28992
5.08869,0,0,2.125,2,8191,0,219,0,4.33306
4.4598,0,0,3.469,2,8190,0,196,0,4.29811
4.8097,0,0,2.52,2,8189,0,211,0,4.26317
5.17075,0,0,2.461,2,8189,0,224,0,3.92538
5.64818,0,0,2.184,2,8191,0,244,0,3.79725
5.24049,0,0,3.048,2,8189,0,227,0,5.34643
4.55344,0,0,2.489,2,8189,0,199,0,7.61779
5.8114,0,0,2.133,2,8189,0,250,0,4.33306
5.08942,0,0,2.723,2,8191,0,219,0,5.14842
5.05428,0,0,2.847,2,8189,0,219,0,10.6579
5.05452,0,0,3.157,2,8191,0,220,0,7.07034
