SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
25,0.200484,11,0,0,0,133.142,11,8189,0,0,9,0,8.11866,0,0,0,0,0,-274009761469072
107,1.24609,51,0,0,0,266.328,51,8189,0,0,40,0,11.3684,0,0,0,0,0,2754870220
155,1.80519,92,0,11,0,340.961,92,8175,11,0,41,11,11.0889,11,11,11,0,0,2142318594
2,0.0232932,92,0,2,0,340.961,92,8175,2,0,0,2,11.0889,13,13,13,0,0,0
142,1.65381,25,0,93,0,174.554,25,8191,80,0,23,1,9.45818,93,14,106,0,1,6296228680
56,0.652196,36,0,6,0,136.401,36,8176,6,0,11,6,9.10874,99,20,112,0,1,850921214
89,1.03637,18,0,36,0,87.2,18,8189,36,0,21,0,8.65446,135,20,148,0,2,4755744458
126,1.46738,20,0,5,0,93.908,20,8189,5,0,40,5,6.84902,140,25,153,0,2,2651255390
175,2.03797,24,0,0,0,127.006,24,8187,0,0,94,0,4.71744,140,25,153,0,2,2821035727
152,1.77015,27,0,1,0,120.052,27,8190,1,0,79,1,3.40122,141,26,154,0,2,2819418575
148,1.7236,28,0,2,0,142.474,28,8191,2,0,39,2,3.01683,143,28,156,0,2,2852351446
126,1.46738,30,0,7,0,157.628,30,8189,7,0,38,7,2.58586,150,35,163,0,2,2706827824
9,0.10481,30,0,3,0,168.278,30,8185,3,0,1,3,2.55091,153,38,166,0,2,997373636
44,0.512415,7,0,30,0,190.695,7,8191,30,0,5,0,2.49267,183,38,196,0,3,4629012700
122,1.42075,17,0,3,0,95.2,17,8189,3,0,48,3,1.96851,186,41,199,0,3,2832826772
100,1.16462,19,0,3,0,146.946,19,8191,3,0,36,3,2.20147,189,44,202,0,3,2517247736
151,1.75864,22,0,4,0,102.508,22,8189,4,0,59,4,3.4944,193,48,206,0,3,3001013022
95,1.10634,23,0,9,0,140.011,23,8189,9,0,19,9,3.15661,202,57,215,0,3,2539284559
64,0.745318,24,0,1,0,119.931,24,8190,1,0,24,1,2.83046,203,58,216,0,3,1525375870
62,0.721985,12,0,24,0,128.583,12,8189,24,0,17,0,2.86541,227,58,240,0,4,4422134081
131,1.52554,17,0,0,0,98.477,17,8189,0,0,68,0,2.69069,227,58,240,0,4,2557440908
169,1.96811,21,0,0,0,101.473,21,8189,0,0,88,0,2.74893,227,58,240,0,4,2914659300
192,2.23598,25,0,1,0,151.211,25,8187,1,0,89,1,3.1799,228,59,241,0,4,2837060196
213,2.48052,29,0,1,0,118.362,29,8191,1,0,97,1,4.44954,229,60,242,0,4,2861491316
161,1.87507,30,0,2,0,123.359,30,8191,2,0,57,2,4.35635,231,62,244,0,4,2810263360
184,2.14284,33,0,1,0,202.003,33,8189,1,0,84,1,5.16006,232,63,245,0,4,2643464359
173,2.01463,35,0,3,0,147.28,35,8179,3,0,76,3,7.16352,235,66,248,0,4,2834329805
200,2.32922,37,0,2,0,135.994,37,8191,2,0,83,2,8.49139,237,68,250,0,4,2864139085
140,1.63053,39,0,1,0,256.721,39,8191,1,0,55,1,8.4215,238,69,251,0,4,2596712378
124,1.44418,40,0,1,0,306.76,40,8152,1,0,45,1,7.65274,239,70,252,0,4,2842456467
111,1.29264,41,0,1,0,267.472,41,8189,1,0,60,1,7.5479,240,71,253,0,4,1944721991
193,2.24759,43,0,5,0,173.32,43,8190,5,0,59,5,6.39475,245,76,258,0,4,3775015983
166,1.93325,44,0,3,0,193.538,44,8191,3,0,42,2,7.21011,248,78,261,0,4,2793997476
159,1.85179,45,0,7,0,167.841,45,8190,7,0,37,7,6.39475,255,85,268,0,4,2321116360
173,2.01477,46,0,0,0,226.216,46,8189,0,0,71,0,5.11347,255,85,268,0,4,3198787956
178,2.07296,48,0,1,0,192.334,48,8143,1,0,67,1,5.75411,256,86,269,0,4,2797375110
148,1.72357,49,0,0,0,291.659,49,8189,0,0,76,0,6.75584,256,86,269,0,4,2352786102
221,2.5739,51,0,0,0,335.954,51,8189,0,0,117,0,8.04877,256,86,269,0,4,3109904816
224,2.60869,54,0,0,0,181.236,54,8189,0,0,115,0,10.3085,256,86,269,0,4,2896999912
156,1.8168,55,0,1,0,288.304,55,8189,1,0,56,1,15.2472,257,87,270,0,4,2861913320
147,1.71195,56,0,2,0,305.378,56,8189,2,0,47,2,15.7714,259,89,272,0,4,2000288718
94,1.0947,56,0,2,0,248.595,56,8190,2,0,23,2,14.3969,261,91,274,0,4,3028438450
112,1.30436,56,0,0,0,468.288,56,8191,0,0,30,0,14.1174,261,91,274,0,4,3212758509
