

Method,CUDPBlast
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
26.985,0,1,31.037,83333,8189,0,70,1,35.5031
22.2768,0,2,48.185,83333,8171,0,64,2,33.9889
15.1396,0,3,69.024,83333,8160,0,18,3,35.6662
5.78804,0,0,115.082,83333,8186,0,17,0,1049.57
8.49016,0,1043,593.229,83333,7679,0,25,14,2195.22
7.96557,0,1,910.923,83333,8109,0,9,1,891.282
7.79062,0,1,782.139,83333,8179,0,7,1,612.673
9.52601,0,19,990.313,83333,7799,0,60,16,956.184
7.04579,0,2,753.342,83333,8177,0,8,2,655.98
7.02249,0,3,517.559,83333,8180,0,11,2,180.055
11.2499,0,23,216.679,83333,8177,0,69,13,1459.65
8.0123,0,11,130.069,83333,8190,0,26,4,2931.81
6.54485,0,1,127.779,83333,8176,0,9,1,2759.63
6.33531,0,1,208.226,83333,8170,0,12,1,1784.05
4.63528,0,25,339.039,83333,8190,0,12,20,384.466
8.55973,0,40,1171.3,83333,8059,0,11,26,118.973
10.0266,0,18,253.005,83333,8187,0,31,9,1024.88
10.5388,0,14,123.619,83333,8175,0,45,12,1813.65
9.9915,0,13,101.096,83333,8189,0,33,11,1564.11
9.54965,0,23,107.362,83333,8161,0,28,6,114.989
13.7648,0,3,68.088,83333,8177,0,53,3,36.7145
7.61618,0,12,115.186,83333,8167,0,27,6,1436.83
6.66176,0,8,168.114,83333,8168,0,12,7,2227.48
12.9504,0,7,162.659,83333,8165,0,33,7,1542.59
8.12904,0,8,223.26,83333,8132,0,22,7,898.224
6.95268,0,16,348.459,83333,8138,0,33,14,530.939
9.36355,0,4,191.458,83333,8167,0,38,4,37.856
7.48859,0,15,217.487,83333,8186,0,14,8,34.8159
18.5066,0,8,45.045,83333,8154,0,54,8,3936.87
23.2469,0,4,36.518,83333,8187,0,60,4,33.7908
18.7733,0,2,38.977,83333,8164,0,47,2,4111.46
7.17329,0,725,42.433,83333,8182,0,6,0,4052.29
5.85725,0,2,102.414,83333,8172,0,14,2,3807.04
7.98837,0,14,237.575,83333,8168,0,17,6,2840.19
7.33684,0,24,1264.67,83333,8179,0,14,16,888.742
7.32499,0,2,1264.71,83333,8152,0,6,2,1472.69
11.7621,0,9,323.355,83333,8168,0,21,7,139.322
8.04697,0,5,275.711,83333,8168,0,46,5,1932.47
18.8664,0,9,49.091,83333,8159,0,58,4,1384.05
20.7291,0,2,39.45,83333,8158,0,63,2,919.19
19.5185,0,4,37.754,83333,8191,0,59,4,47.7801
12.3912,0,336,54.054,83333,8191,0,29,2,30.343
10.4936,0,5,156.424,83333,8182,0,40,8,426.864
6.63835,0,10,273.021,83333,8165,0,32,8,926.727
5.9507,0,6,193.201,83333,8150,0,24,5,411.908
7.69783,0,7,195.429,83333,8177,0,11,6,127.592
5.64801,0,17,218.166,83333,8186,0,13,17,42.224
5.68302,0,18,166.118,83333,8157,0,10,10,32.0669
5.89243,0,332,230.165,83333,8170,0,6,13,808.721
8.57153,0,2,224.487,83333,8170,0,11,2,1697.47
8.8267,0,21,576.766,83333,8191,0,43,13,955.847
7.17382,0,11,251.835,83333,8162,0,27,11,75.8518
18.6902,0,3,52.481,83333,8182,0,56,3,437.254
21.334,0,7,33.036,83333,8191,0,67,3,1803.31
20.8695,0,2,33.562,83333,8185,0,64,2,2069.37
21.1958,0,2,33.003,83333,8186,0,64,2,345.06
19.9493,0,6,39.108,83333,8155,0,62,6,1137.11
22.7212,0,2,39.551,83333,8172,0,70,2,1765.24
22.6291,0,3,29.987,83333,8171,0,64,3,824.911
24.0493,0,1,40.067,83333,8143,0,69,1,120.895
23.4187,0,3,29.606,83333,8180,0,67,3,3417.01
19.8079,0,3,52.937,83333,8151,0,43,3,2179.18
11.0744,0,2,141.005,83333,8173,0,22,2,2809.11
6.70793,0,1,282.481,83333,8151,0,16,1,2692.62
9.07215,0,10,1074.37,83333,8178,0,15,8,1100.18
5.19399,0,1,1336.38,83333,8163,0,11,1,281.02
4.80961,0,18,926.2,83333,8186,0,15,11,75.5373
9.24662,0,3,1103.6,83333,8112,0,7,3,112.252
11.2381,0,5,419.316,83333,8167,0,38,5,55.4445
5.00754,0,14,217.569,83333,8179,0,26,8,1235.63
8.3733,0,10,182.508,83333,8179,0,29,7,858.749
8.30391,0,9,145.071,83333,8177,0,25,8,334.158
10.6452,0,18,147.156,83333,8158,0,38,13,538.452
21.0917,0,1,38.354,83333,8160,0,58,1,28.689
19.3095,0,9,44.117,83333,8145,0,52,8,2716.56
22.4157,0,1,41.113,83333,8143,0,64,1,1887.41
28.8798,0,0,27.478,83333,8187,0,74,0,641.898
19.0043,0,2,34.835,83333,8154,0,62,2,33.9073
19.5028,0,1,32.754,83333,8157,0,65,1,628.328
17.8529,0,2,52.478,83333,8173,0,47,2,2658.55
16.4317,0,2,46.263,83333,8176,0,54,2,35.3517
23.1282,0,0,28.754,83333,8151,0,66,0,26.5341
16.1989,0,3,43.482,83333,8170,0,55,3,27.9203
20.0546,0,2,32.48,83333,8147,0,62,2,34.2451
24.2236,0,2,30.164,83333,8144,0,65,2,42.3055
