

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
29.9554,0,2,26.417,13418,8137,8,59,2,4600.54
32.5254,0,0,28.25,3632,8104,7.81181,72,0,491.219
34.1109,0,1,30.022,15448,8135,8.80036,79,1,3995.01
30.153,0,1,29.01,9152,8191,9.83184,69,1,2439.01
35.16,0,0,25.497,9397,8123,9.44937,73,0,2745.21
31.849,0,0,29.107,3513,8157,9.29767,76,0,51.0881
32.5839,0,1,26.519,3155,8186,10.6258,74,1,3769.74
32.5963,0,1,39.659,7056,8123,11.9957,73,1,53.441
28.4855,0,4,34.734,4840,8138,20.947,65,4,573.548
29.1248,0,0,47.809,3267,8169,20.2966,70,0,1311.84
25.5159,0,2,42.729,11130,8127,25.5807,70,2,671.193
23.3723,0,5,44.157,14375,8152,45.5027,59,5,2095.82
26.307,0,2,35.653,8174,8143,54.1499,60,2,1364.05
31.1176,0,1,27.456,10342,8183,34.8776,69,1,2910.11
26.75,0,3,31.648,11883,8122,45.7893,63,3,1628.47
29.9426,0,0,29.579,12021,8184,44.7803,76,0,1202.07
28.824,0,0,31.055,7977,8127,31.5145,69,0,2708
28.1134,0,1,45.446,15012,8164,30.6637,64,1,1735.88
24.9467,0,2,51.406,4134,8168,36.9628,63,2,89.6314
23.2814,0,14,34.696,7166,8173,53.4283,65,4,1067.32
28.1807,0,5,30.405,8928,8174,80.4819,61,5,452.653
23.0573,0,1,31.182,6097,8129,90.8841,67,1,32.1485
20.0524,0,3,66.672,17480,8170,125.525,46,3,118.146
15.8492,0,3,209.844,38047,8188,169.877,34,3,2116.65
9.74708,0,658,239.593,46051,8145,209,26,5,287.333
9.58417,0,5,306.911,72645,8159,264,9,5,111.134
13.1703,0,7,208.82,48622,8153,362.662,43,7,93.6033
11.4016,0,16,165.537,33896,8189,654,21,13,37.2969
11.1452,0,9,456.168,24393,8186,722.409,33,6,240.45
12.4731,0,4,250.763,20521,8177,891.807,25,4,41.5834
13.4865,0,3,48.309,18150,8191,923.659,70,3,1368.33
22.7796,0,3,31.243,6818,8170,78.8132,62,3,509.518
25.5277,0,1,30.573,15888,8127,88.9839,70,1,34.3965
19.6701,0,4,36.533,12919,8191,122,54,4,798.284
16.7127,0,0,70.8,16748,8191,120.239,14,0,148.78
17.5623,0,9,87.579,16483,8157,232.826,100,8,1322.43
16.1756,0,8,58.872,17515,8160,184.909,47,7,522.669
23.8375,0,4,34.288,3715,8172,281.444,65,4,42.9695
12.7976,0,8,152.409,16235,8181,506,55,8,32.7775
16.2329,0,3,135.069,21698,8140,563.168,38,3,34.1286
26.9579,0,2,27.771,12478,8161,82.6165,69,2,1404.11
27.7264,0,1,44.065,7756,8180,56.5202,67,1,1580.73
28.8122,0,3,35.516,9939,8153,66.6404,66,3,1497.66
18.7612,0,7,87.302,12030,8156,105.955,55,7,37.658
27.0179,0,4,29.195,6725,8191,68.0784,67,4,2149.16
31.4559,0,0,27.569,7029,8110,21.7964,70,0,2991.44
27.552,0,2,33.359,8558,8191,26.7034,69,2,240.822
28.242,0,2,28.329,9584,8100,31.1496,66,2,2057.74
25.3314,0,1,34.564,3143,8191,32.9617,69,1,218.843
24.7258,0,2,32.308,1175,8164,42.9535,66,2,660.43
26.8224,0,2,28.91,2458,8131,41.0859,68,2,2735.92
23.7573,0,2,33.953,11062,8148,32.9782,60,2,347.902
26.714,0,3,44.017,17528,8175,48,61,3,3039.65
27.3431,0,2,37.218,9271,8191,53.1388,68,2,1253.65
25.0613,0,10,32.997,11613,8153,69.2837,64,4,1717.75
27.564,0,1,31.163,11468,8146,65.2909,66,1,56.0735
30.3129,0,0,29.258,3447,8151,53.8995,72,0,345.072
30.3715,0,0,27.83,3317,8120,53.7141,72,0,37.4134
27.7979,0,0,34.499,8342,8143,41.1893,64,0,263.373
30.6754,0,0,46.476,4630,8155,25.317,69,0,1908.9
30.0251,0,0,31.302,13275,8143,18.2007,70,0,3951.06
24.6541,0,0,30.28,4411,8187,12.7306,68,0,3241.27
26.3194,0,1,40.738,11919,8161,13.9975,70,1,37.7162
31.1431,0,0,35.647,11386,8154,13.2723,69,0,1731.43
29.2782,0,2,31.704,2262,8132,16.7685,67,2,533.49
32.0512,0,1,29.097,9009,8165,18.995,70,1,577.287
31.947,0,0,27.289,10780,8157,18.8222,74,0,444.383
32.3534,0,1,27.721,3631,8143,20.9989,72,1,55.1533
30.9989,0,1,29.447,4749,8151,22.5242,74,1,1947.48
28.0308,0,1,29.458,4121,8147,25.9896,69,1,31.007
32.6776,0,0,25.27,12464,8134,24.5528,76,0,704.366
27.1006,0,1,41.282,4786,8131,26.3592,62,1,1809.16
27.669,0,2,32.118,4326,8169,31.9352,68,2,705.962
29.9757,0,1,28.083,8663,8127,33.7063,69,1,767.091
29.871,0,0,34.598,4672,8141,24.5274,75,0,1757.1
32.6215,0,0,29.804,15274,8104,15.7767,69,0,3351.3
30.7685,0,1,31.151,8759,8170,13.6186,69,1,4769.76
24.9108,0,3,27.862,9494,8191,20,61,3,2626.59
22.7575,0,3,39.29,11971,8176,26,62,3,37.1338
27.7187,0,2,30.172,9511,8146,32.966,69,2,48.9915
25.855,0,2,33.936,8668,8191,40.2805,69,2,2247.53
25.924,0,3,33.359,5853,8118,56.9739,64,3,34.5247
30.5914,0,2,32.164,7540,8152,60,69,2,2379.56
30.046,0,2,34.951,14522,8175,59.776,70,2,2350.88
30.3479,0,1,33.761,8080,8140,57.5603,67,1,3069.49
26.1209,0,4,28.178,4877,8124,64,60,4,2045.37
27.5901,0,5,43.625,11191,8152,95.1589,63,5,2930.26
25.4591,0,0,32.262,6032,8143,58.9596,72,0,1894.87
25.234,0,0,38.753,3578,8163,28.1596,66,0,459.583
25.9698,0,1,34.415,10618,8123,26.3055,63,1,2469.88
29.4302,0,1,34.852,5478,8178,26.5692,70,1,1819.85
26.0522,0,2,38.273,5373,8134,31.7417,65,2,186.682
28.231,0,2,30.624,5620,8087,36.6161,67,2,2824.59
26.4496,0,3,50.688,12171,8113,39.6977,65,3,2141.72
23.107,0,4,45.738,11468,8163,51.2011,60,4,1984.85
24.7837,0,14,28.634,7675,8139,75.7231,67,4,1328.85
24.083,0,3,36.462,7398,8125,98.01,64,3,698.344
24.723,0,0,37.355,11469,8191,83.7166,65,0,1309.51
26.5511,0,2,48.958,10913,8115,103.569,67,2,260.007
28.9508,0,1,28.89,3869,8145,87.6479,71,1,1959.55
30.8264,0,1,24.999,6247,8162,45.2365,70,1,423.929
