SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
97,1.03865,8,0,3,0,120.622,25,8188,3,19071.1,22,3,10.6812,3,3,3,0,0,-274969753932025
96,1.11799,32,0,0,0,174.972,45,8189,0,6392.42,30,0,10.8093,3,3,3,0,0,2726946677
174,2.02649,49,0,0,0,259.372,73,8189,0,5306.86,46,0,10.5065,3,3,3,0,0,2949940719
165,1.9217,132,0,4,0,270.955,160,8191,4,8034,16,4,10.3434,7,7,7,0,0,1578823030
134,1.56055,35,0,133,0,268.329,57,8190,32,7221.73,26,0,9.10874,39,7,140,0,1,3978116332
165,1.92167,47,0,0,0,257.724,68,8185,0,6058,47,0,8.4215,39,7,140,0,1,2730493106
138,1.60716,12,0,3,0,274.148,76,8152,3,8504.51,30,3,8.1769,42,10,143,0,1,2800062836
121,1.40912,30,0,0,0,134.573,33,8188,0,8292.93,39,0,7.18682,42,10,143,0,1,2842517184
125,1.4557,11,0,1,0,163.688,60,8186,1,9077.92,42,1,7.28,43,11,144,0,1,2835459052
92,1.07149,12,0,4,0,129.36,27,8191,4,12629.7,31,4,4.22822,47,15,148,0,1,2767151628
87,1.01325,13,0,0,0,126.126,31,8189,0,12198.3,36,0,3.97197,47,15,148,0,1,2762847780
88,1.02489,14,0,0,0,104.026,26,8187,0,11781.5,40,0,3.97197,47,15,148,0,1,2850729181
92,1.07146,15,0,0,0,132.551,26,8191,0,11431.4,35,0,5.87059,47,15,148,0,1,2775715975
95,1.10638,9,0,0,0,138.718,31,8190,0,11089.1,36,0,5.81235,47,15,148,0,1,2790751651
97,1.12972,8,0,0,0,75.318,24,8188,0,10720.6,39,0,5.52115,47,15,148,0,1,2790781757
101,1.17623,14,0,0,0,92.368,30,8191,0,10429.9,34,0,4.69414,47,15,148,0,1,2804292202
104,1.21123,24,0,0,0,132.424,29,8187,0,10113.4,42,0,5.00864,47,15,148,0,1,2742164930
107,1.24619,25,0,0,0,185.033,51,8191,0,9786.78,42,0,5.66093,47,15,148,0,1,2817748404
110,1.28111,12,0,0,0,72.571,32,8190,0,9444.78,53,0,6.12685,47,15,148,0,1,2804549100
116,1.35091,24,0,0,0,95.645,33,8190,0,9192.98,37,0,5.91718,47,15,148,0,1,2776260972
106,1.23451,11,0,2,0,127.056,64,8188,2,11377.8,30,2,6.87232,49,17,150,0,1,2811767256
95,1.10641,5,0,0,0,81.58,33,8188,0,10990.2,39,0,6.35981,49,17,150,0,1,2826318536
99,1.15297,5,0,0,0,33.841,19,8187,0,10571.9,43,0,5.89389,49,17,150,0,1,2737385760
102,1.18781,19,0,0,0,85.628,64,8189,0,10289.1,30,0,6.01037,49,17,150,0,1,2838542164
112,1.30439,15,0,0,0,77.575,27,8191,0,8525.84,45,0,6.15014,49,17,150,0,1,2784961572
141,1.64211,18,0,0,0,137.701,53,8187,0,6698.35,43,0,6.17344,49,17,150,0,1,2804609008
174,2.02645,33,0,0,0,134.907,64,8191,0,5608.82,46,0,5.47456,49,17,150,0,1,2801087576
201,2.34088,70,0,1,0,171.563,86,8185,1,5562,37,1,6.70925,50,18,151,0,1,2490349494
192,2.23605,57,0,1,0,205.386,83,8191,1,6175,42,1,7.55955,51,19,152,0,1,3019333046
90,1.04817,7,0,84,0,214.463,58,8189,17,8769.87,8,11,7.08198,68,30,236,0,2,2814824832
124,1.4441,10,0,0,0,69.268,35,8189,0,8501.46,49,0,5.73082,68,30,236,0,2,2803590499
126,1.46741,21,0,0,0,146.486,58,8191,0,8269.46,43,0,6.56947,68,30,236,0,2,2765919177
131,1.52568,27,0,0,0,181.236,47,8190,0,8062.77,45,0,6.1385,68,30,236,0,2,2840052528
111,1.29271,21,0,1,0,128.133,41,8187,1,8902.61,30,1,7.19846,69,31,237,0,2,2793498824
122,1.42081,12,0,0,0,142.605,61,8188,0,8641.06,45,0,6.51123,69,31,237,0,2,2740149148
125,1.45579,33,0,0,0,152.606,42,8187,0,8458.34,37,0,6.41805,69,31,237,0,2,2772614416
128,1.49074,39,0,0,0,239.883,108,8191,0,8283.18,34,0,5.69587,69,31,237,0,2,2787948495
93,1.08313,12,0,49,0,202.304,53,8191,17,11661.3,12,4,5.56774,86,35,286,0,3,2854324201
92,1.0715,9,0,0,0,106.503,43,8183,0,11305.4,34,0,5.35808,86,35,286,0,3,2797924122
96,1.11807,25,0,0,0,155.166,33,8191,0,10970.5,31,0,7.26835,86,35,286,0,3,2622265471
98,1.14131,21,0,0,0,169.175,33,8189,0,10666.3,41,0,7.46637,86,35,286,0,3,2949504935
102,1.18792,20,0,0,0,203.019,54,8188,0,10282.4,42,0,7.29165,86,35,286,0,3,2850905516
105,1.22282,17,0,0,0,153.49,47,8189,0,10024.7,37,0,7.62944,86,35,286,0,3,2781399832
108,1.2578,18,0,0,0,191.311,43,8182,0,9770.05,34,0,7.19846,86,35,286,0,3,2717316480
100,1.16455,17,0,0,0,201.262,54,8189,0,9528.02,32,0,6.76749,86,35,286,0,3,2862564612
113,1.31579,18,0,0,0,242.68,89,8187,0,9271.83,40,0,6.90726,86,35,286,0,3,2754202604
117,1.36262,15,0,0,0,93.77,42,8189,0,8996.56,37,0,6.80243,86,35,286,0,3,2802298216
119,1.38592,16,0,0,0,76.522,35,8191,0,8752.46,46,0,6.74419,86,35,286,0,3,2809213436
119,1.38571,18,0,1,0,131.744,47,8191,1,9676.63,29,1,6.54618,87,36,287,0,3,2844871256
112,1.30433,23,0,0,0,112.975,36,8190,0,9394.81,42,0,6.31322,87,36,287,0,3,2765800511
115,1.33921,21,0,0,0,185.356,47,8179,0,9079.21,46,0,6.91891,87,36,287,0,3,2730216109
120,1.39754,22,0,0,0,136.932,45,8191,0,8815.09,42,0,7.14022,87,36,287,0,3,2790658059
122,1.4208,16,0,0,0,152.812,36,8191,0,8180.51,51,0,7.96723,87,36,287,0,3,2833832818
135,1.57227,24,0,0,0,236.468,96,8188,0,6885.07,33,0,8.08371,87,36,287,0,3,2844424263
127,1.47902,44,0,9,0,139.219,44,8191,9,12487,27,8,6.81408,96,44,296,0,3,2091777032
78,0.90841,4,0,44,0,39.109,19,8191,2,11992.8,38,0,6.20838,98,44,340,0,4,3460647164
92,1.07146,11,0,0,0,81.025,25,8190,0,11549.6,40,0,5.74246,98,44,340,0,4,2696125568
94,1.09474,14,0,0,0,93.508,23,8189,0,11150.3,43,0,5.64928,98,44,340,0,4,2823676487
108,1.25781,12,0,0,0,50.071,22,8191,0,8390.44,47,0,5.33478,98,44,340,0,4,2798443755
150,1.74694,18,0,0,0,59.504,29,8190,0,6362,54,0,4.21658,98,44,340,0,4,2858538662
183,2.13134,34,0,0,0,99.133,61,8186,0,5371.05,42,0,3.70406,98,44,340,0,4,2647835531
217,2.52724,34,0,0,0,143.681,63,8186,0,4521.14,55,0,5.34643,98,44,340,0,4,2971307389
219,2.55053,57,0,8,0,104.175,544,8185,8,6696,34,8,7.65274,106,52,348,0,4,2792910424
132,1.53733,18,0,9,0,144.995,43,8187,9,8326.8,37,8,7.52461,115,60,357,0,4,2764702528
129,1.50242,20,0,0,0,102.544,41,8190,0,8150.35,39,0,7.28,115,60,357,0,4,2759160236
132,1.53727,19,0,0,0,153.6,93,8190,0,7955.82,45,0,7.73427,115,60,357,0,4,2748239800
132,1.53707,32,0,0,0,150.307,71,8186,0,7800.67,36,0,8.18854,115,60,357,0,4,2841317140
139,1.61881,22,0,0,0,141.396,41,8185,0,7604.9,48,0,6.9655,115,60,357,0,4,2860325707
134,1.56055,19,0,1,0,153.887,120,8190,1,8410.34,28,1,6.53453,116,61,358,0,4,2788764373
128,1.49071,31,0,0,0,226.869,63,8190,0,8196.64,40,0,6.77914,116,61,358,0,4,2762978812
130,1.51402,41,0,0,0,246.659,68,8182,0,7999.92,43,0,8.28173,116,61,358,0,4,2828109284
148,1.7236,51,0,0,0,257.275,92,8188,0,6644.47,46,0,8.7127,116,61,358,0,4,2789646124
180,2.09623,51,0,1,0,325.043,70,8190,1,5845,62,1,6.80243,117,62,359,0,4,2654023481
119,1.38583,45,0,14,0,210.811,45,8184,14,10457,18,13,5.76576,131,75,373,0,4,2139207399
48,0.559007,13,0,45,0,179.368,42,8174,35,10424.3,4,0,5.46291,166,75,418,0,5,3266817412
105,1.22287,22,0,0,0,148.163,33,8189,0,10087.8,39,0,6.4064,166,75,418,0,5,2990094233
106,1.23455,19,0,0,0,144.771,30,8190,0,9791.47,47,0,5.70752,166,75,418,0,5,2871499651
111,1.29273,7,0,0,0,125.939,44,8189,0,9484.99,40,0,5.67258,166,75,418,0,5,2842970116
115,1.33935,21,0,0,0,91.22,33,8184,0,8723.74,36,0,4.6359,166,75,418,0,5,2688579538
141,1.64204,27,0,0,0,143.776,49,8187,0,6638.8,48,0,4.25152,166,75,418,0,5,2873489870
176,2.04957,40,0,0,0,180.101,75,8188,0,5475.56,48,0,4.60096,166,75,418,0,5,2810407201
181,2.10781,57,0,9,0,209.762,133,8182,9,8092,28,9,5.59104,175,84,427,0,5,2677947731
132,1.53727,34,0,0,0,268.369,53,8189,0,7937.84,39,0,7.89734,175,84,427,0,5,2896422852
