SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
1472,2.24558,194,0,0,0,88.038,201,8187,0,0,644,0,6.02509,0,0,0,0,0,-623358525376250
1889,3.11093,246,0,0,0,96.084,315,8189,0,0,923,0,6.5096,0,0,0,0,0,2827912248
1942,3.19982,135,0,1,0,56.788,395,8189,1,0,886,1,20.7302,1,1,1,0,0,2780927156
1973,3.25066,391,0,0,0,174.583,457,8191,0,0,823,0,7.14902,1,1,1,0,0,2768005800
1985,3.2699,349,0,0,0,178.524,518,8187,0,0,929,0,129.236,1,1,1,0,0,2793154280
1709,2.81587,159,0,1,0,105.013,566,8191,1,0,828,1,4.2848,2,2,2,0,0,2835291620
1960,3.22928,195,0,1,0,87.092,613,8189,1,0,858,1,8.22517,3,3,3,0,0,2798680080
1889,3.11257,278,0,1,0,113.651,653,8187,1,0,790,1,63.1003,4,4,4,0,0,2791355261
1865,3.07294,149,0,1,0,65.281,697,8189,1,0,933,1,10.4005,5,5,5,0,0,2799997785
1884,3.1043,200,0,1,0,85.787,735,8189,1,0,842,1,11.5294,6,6,6,0,0,2791516274
1888,3.11071,119,0,1,0,221.935,766,8189,1,0,727,1,14.0541,7,7,7,0,0,2783203850
1787,2.94432,228,0,0,0,150.894,800,8190,0,0,842,0,8.26802,7,7,7,0,0,2765478800
1857,3.05871,528,0,0,0,203.44,829,8187,0,0,733,0,91.5167,7,7,7,0,0,2837145164
1825,3.00626,234,0,1,0,131.32,860,8189,1,0,830,1,7.39128,8,8,8,0,0,2784301282
1873,3.08461,186,0,0,0,123.699,895,8189,0,0,964,0,76.9138,8,8,8,0,0,2805879678
1853,3.05284,236,0,0,0,117.184,927,8187,0,0,907,0,9.48094,8,8,8,0,0,2750274450
1785,2.9411,133,0,1,0,74.995,957,8189,1,0,879,1,22.4276,9,9,9,0,0,2816359350
1776,2.92611,158,0,1,0,70.604,983,8189,1,0,782,1,10.6955,10,10,10,0,0,2806092800
1797,2.96084,156,0,1,0,64.247,1009,8189,1,0,807,1,8.51192,11,11,11,0,0,2764011852
1953,3.21705,182,0,1,0,97.299,1035,8189,1,0,843,1,40.5293,12,12,12,0,0,2824741710
1746,2.8769,208,0,0,0,120.034,1061,8189,0,0,863,0,8.5317,12,12,12,0,0,2804352012
1791,2.95092,176,0,1,0,134.987,1089,8189,1,0,916,1,121.649,13,13,13,0,0,2781568678
1746,2.87665,118,0,2,0,39.465,1111,8187,2,0,759,2,6.80789,15,15,15,0,0,2781392012
1915,3.15506,416,0,1,0,177.653,1129,8189,1,0,636,1,157.058,16,16,16,0,0,2811926642
1802,2.9683,348,0,0,0,137.894,1155,8187,0,0,938,0,22.1112,16,16,16,0,0,2802678690
1848,3.0446,290,0,0,0,148.186,1180,8189,0,0,920,0,9.04093,16,16,16,0,0,2777098296
1971,3.24739,160,0,0,0,315.826,1202,8187,0,0,809,0,9.29637,16,16,16,0,0,2799589870
1880,3.09745,209,0,0,0,88.865,1226,8183,0,0,919,0,14.13,16,16,16,0,0,2719624730
1854,3.05451,152,0,1,0,76.208,1247,8189,1,0,810,1,14.3689,17,17,17,0,0,2860054956
1840,3.03162,146,0,1,0,93.357,1268,8189,1,0,820,1,4.27821,18,18,18,0,0,2794483062
2259,3.72202,430,0,0,0,157.088,1293,8189,0,0,991,0,61.1293,18,18,18,0,0,2808184022
2063,3.39907,601,0,0,0,339.653,1307,8189,0,0,580,0,136.639,18,18,18,0,0,2795290134
1875,3.08917,359,0,0,0,207.589,1323,8187,0,0,666,0,6.43544,18,18,18,0,0,2757898318
1763,2.90489,163,0,0,0,72.896,1347,8189,0,0,967,0,7.35008,18,18,18,0,0,2835641172
1893,3.11905,208,0,1,0,95.33,1366,8189,1,0,825,1,67.4065,19,19,19,0,0,2786387744
1804,2.97242,320,0,0,0,151.019,1386,8189,0,0,851,0,45.7798,19,19,19,0,0,2792584676
1907,3.1419,402,0,0,0,189.437,1399,8188,0,0,575,0,22.2398,19,19,19,0,0,2756280002
1982,3.26565,216,0,0,0,74.713,1421,8189,0,0,972,0,11.714,19,19,19,0,0,2831809542
1769,2.91478,249,0,1,0,110.741,1438,8187,1,0,757,1,11.8046,20,20,20,0,0,2790499234
1870,3.08095,140,0,0,0,51.929,1460,8187,0,0,987,0,56.678,20,20,20,0,0,2774582790
1924,3.16998,377,0,0,0,238.343,1477,8189,0,0,786,0,6.23438,20,20,20,0,0,2804183550
1696,2.79424,21,0,1391,0,103.529,21,8191,110,0,241,0,84.5754,130,20,1411,0,1,2784127668
1699,2.79919,148,0,0,0,58.058,225,8189,0,0,790,0,11.8986,130,20,1411,0,1,2797167464
1930,3.17991,269,0,0,0,155.241,330,8189,0,0,909,0,10.8752,130,20,1411,0,1,2821140196
1852,3.05154,302,0,0,0,174.311,409,8189,0,0,912,0,44.8783,130,20,1411,0,1,2765526162
1895,3.12214,360,0,1,0,109.644,467,8189,1,0,790,1,59.356,131,21,1412,0,1,2789167808
2013,3.3165,324,0,0,0,130.13,529,8187,0,0,975,0,8.94699,131,21,1412,0,1,2826183920
1848,3.04472,398,0,0,0,163.207,577,8187,0,0,821,0,23.7411,131,21,1412,0,1,2787333150
