SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
676,4.87103,105,0,7,0,159.16,165,8150,7,0,163,7,7.41091,7,7,7,0,0,-638884623407500
704,5.38231,89,0,7,0,105.738,312,8158,7,0,147,7,7.27325,14,14,14,0,0,2662880256
753,5.75776,149,0,16,0,118.42,431,8191,16,0,119,16,8.87168,30,30,30,0,0,2896603416
507,3.87661,450,0,16,0,133.953,450,8169,16,0,19,16,8.95581,46,46,46,0,0,687548008
669,5.11515,97,0,453,0,84.819,142,8189,223,0,140,3,9.61354,269,49,499,0,1,4850744458
673,5.14564,119,0,22,0,99.454,225,8160,22,0,107,22,8.68048,291,71,521,0,1,2777632106
469,3.58589,61,0,236,0,35.153,63,8189,175,0,62,11,9.08582,466,82,757,0,2,2817869316
687,5.25274,113,0,10,0,98.316,113,8190,10,0,177,10,10.3554,476,92,767,0,2,2703027348
454,3.47125,56,0,119,0,74.493,56,8189,82,0,98,6,8.48928,558,98,886,0,3,2890407078
528,4.03704,31,0,60,0,40.207,31,8191,60,0,196,2,7.47974,618,100,946,0,4,2845071734
612,4.67943,39,0,0,0,50.375,39,8189,0,0,306,0,7.91568,618,100,946,0,4,2809181284
568,4.34291,44,0,5,0,60.765,44,8189,5,0,210,5,9.26173,623,105,951,0,4,2809573760
632,4.83222,50,0,2,0,53.83,50,8189,2,0,271,2,10.0801,625,107,953,0,4,2791937484
588,4.4958,54,0,3,0,74.966,55,8189,3,0,247,3,11.1049,628,110,956,0,4,2797452756
610,4.66399,57,0,5,0,55.209,59,8189,5,0,227,5,9.28467,633,115,961,0,4,2783694256
591,4.51873,62,0,5,0,81.589,62,8190,5,0,212,5,7.90803,638,120,966,0,4,2663744398
596,4.55723,65,0,4,0,89.977,65,8189,4,0,184,4,7.76272,642,124,970,0,4,2912289296
635,4.85554,69,0,2,0,78.83,69,8190,2,0,256,2,7.0897,644,126,972,0,4,2779542044
622,4.75604,72,0,5,0,89.178,72,8189,5,0,213,5,8.46634,649,131,977,0,4,2735559408
628,4.80167,3,0,79,0,93.57,5,8128,68,0,154,5,10.6996,717,136,1056,0,5,2871220114
492,3.76178,41,0,4,0,62.908,41,8189,4,0,196,4,9.78944,721,140,1060,0,5,2768526866
595,4.54931,46,0,4,0,52.208,46,8191,4,0,217,4,8.25984,725,144,1064,0,5,2786713412
624,4.77104,50,0,5,0,69.273,50,8189,5,0,226,5,8.12218,730,149,1069,0,5,2819900090
617,4.71768,55,0,5,0,74.116,55,8189,5,0,232,5,9.53706,735,154,1074,0,5,2711675848
679,5.19164,59,0,5,0,69.189,59,8189,5,0,237,5,8.15277,740,159,1079,0,5,2688009114
688,5.26041,64,0,1,0,96.585,64,8189,1,0,290,1,7.32678,741,160,1080,0,5,2995094312
604,4.61815,65,0,5,0,65.184,66,8190,5,0,181,5,7.02086,746,165,1085,0,5,2804529392
574,4.38875,69,0,6,0,94.985,69,8138,6,0,165,6,7.55622,752,171,1091,0,5,2800194348
641,4.90094,69,0,4,0,62.39,72,8191,4,0,197,4,5.26947,756,175,1095,0,5,2745690318
562,4.29701,74,0,6,0,100.1,74,8122,6,0,145,6,7.54858,762,181,1101,0,5,2546729542
632,4.83233,76,0,4,0,77.306,76,8191,4,0,175,4,9.91181,766,185,1105,0,5,2987231218
666,5.09228,67,0,4,0,94.769,79,8191,4,0,228,4,8.2216,770,189,1109,0,5,2890299812
580,4.43478,81,0,8,0,100.306,81,8189,8,0,169,8,6.5161,778,197,1117,0,5,2707654418
667,5.10029,83,0,6,0,100.02,83,8189,6,0,195,6,8.62694,784,203,1123,0,5,2821011606
713,5.45185,81,0,5,0,73.779,86,8189,5,0,211,5,7.12794,789,208,1128,0,5,2857565774
597,4.56471,77,0,5,0,82.699,88,8189,5,0,191,5,6.44726,794,213,1133,0,5,2752368514
571,4.3658,90,0,9,0,65.564,90,8189,9,0,151,9,7.93098,803,222,1142,0,5,2727654006
670,5.12278,75,0,5,0,92.119,91,8189,5,0,172,5,9.15466,808,227,1147,0,5,2901527300
683,5.22216,70,0,4,0,83.175,94,8189,4,0,228,4,9.40704,812,231,1151,0,5,2746918020
640,4.89379,92,0,5,0,97.942,96,8189,5,0,176,5,9.46058,817,236,1156,0,5,2851305926
681,5.20696,69,0,7,0,80.462,97,8191,7,0,165,7,9.13936,824,243,1163,0,5,2765818006
720,5.50495,98,0,5,0,91.6,100,8145,5,0,258,5,10.4778,829,248,1168,0,5,2798577516
642,4.90865,96,0,5,0,91.117,102,8189,5,0,200,5,10.8908,834,253,1173,0,5,2778986280
642,4.90865,98,0,9,0,89.878,103,8173,9,0,146,9,11.2579,843,262,1182,0,5,2801974854
462,3.53242,12,0,128,0,63.092,12,8191,82,0,28,24,9.78179,925,286,1310,0,6,2805855906
562,4.29699,55,0,7,0,58.69,55,8189,7,0,210,7,8.92522,932,293,1317,0,6,2715502398
565,4.31991,4,0,61,0,84.536,4,8190,61,0,202,3,9.36115,993,296,1378,0,7,2836230138
544,4.15509,36,0,0,0,48.373,36,8189,0,0,260,0,9.20054,993,296,1378,0,7,2803160962
596,4.55736,43,0,1,0,56.66,43,8189,1,0,284,1,6.23312,994,297,1379,0,7,2834766466
600,4.58763,49,0,1,0,84.398,49,8189,1,0,281,1,6.76083,995,298,1380,0,7,2799127408
619,4.73294,54,0,2,0,64.029,54,8189,2,0,262,2,8.94816,997,300,1382,0,7,2701637344
590,4.51116,58,0,3,0,73.808,58,8190,3,0,245,3,7.67859,1000,303,1385,0,7,2802539656
501,3.83079,34,0,58,0,47.659,34,8189,58,0,213,0,7.54093,1058,303,1443,0,8,2882678095
659,5.03883,43,0,0,0,60.328,43,8189,0,0,330,0,9.11642,1058,303,1443,0,8,2788543671
517,3.95296,48,0,0,0,60.682,48,8189,0,0,263,0,8.19101,1058,303,1443,0,8,2786176778
651,4.9775,53,0,3,0,59.71,53,8191,3,0,253,3,8.2216,1061,306,1446,0,8,2806884668
606,4.63344,58,0,4,0,78.274,58,8191,4,0,251,4,8.35162,1065,310,1450,0,8,2751985390
580,4.43464,61,0,5,0,76.376,61,8190,5,0,209,5,8.88698,1070,315,1455,0,8,2834373584
341,2.60712,8,0,67,0,33.671,8,8189,64,0,84,2,8.5887,1134,317,1522,0,10,2780346898
289,2.20977,19,0,0,0,42.882,19,8189,0,0,144,0,9.14701,1134,317,1522,0,10,2802070572
517,3.95311,29,0,0,0,32.435,29,8191,0,0,259,0,9.62118,1134,317,1522,0,10,2755771522
579,4.42697,38,0,0,0,49.472,38,8189,0,0,292,0,9.3688,1134,317,1522,0,10,2720520782
645,4.93159,45,0,1,0,70.569,45,8191,1,0,302,1,10.1489,1135,318,1523,0,10,2899680154
552,4.22053,4,0,52,0,84.975,4,8190,51,0,211,3,6.90614,1186,321,1575,0,11,2797640412
516,3.94526,32,0,0,0,46.168,32,8191,0,0,251,0,5.41478,1186,321,1575,0,11,2806323506
559,4.27406,40,0,0,0,43.896,40,8189,0,0,281,0,8.42045,1186,321,1575,0,11,2762970742
611,4.67169,47,0,0,0,72.717,47,8191,0,0,306,0,9.42234,1186,321,1575,0,11,2799167518
608,4.64878,51,0,4,0,71.903,51,8191,4,0,217,4,8.55046,1190,325,1579,0,11,2797964822
462,3.53241,30,0,52,0,42.467,30,8189,52,0,196,1,8.64224,1242,326,1631,0,12,2802945276
642,4.90869,39,0,0,0,51.628,39,8191,0,0,320,0,9.99594,1242,326,1631,0,12,2790107796
594,4.54158,45,0,2,0,59.335,45,8191,2,0,258,2,8.51222,1244,328,1633,0,12,2812659430
596,4.5569,51,0,1,0,67.212,51,8191,1,0,277,1,9.43763,1245,329,1634,0,12,2760950892
610,4.66399,56,0,3,0,75.845,56,8191,3,0,258,3,9.99594,1248,332,1637,0,12,2803119214
581,4.44221,59,0,4,0,63.785,59,8191,4,0,211,4,8.45869,1252,336,1641,0,12,2531279268
635,4.85538,56,0,3,0,83.058,63,8189,3,0,217,3,7.42621,1255,339,1644,0,12,3033115582
566,4.3274,64,0,4,0,73.86,65,8191,4,0,163,4,7.22736,1259,343,1648,0,12,2810209902
627,4.79391,69,0,3,0,85.454,69,8189,3,0,250,3,7.96922,1262,346,1651,0,12,2641450410
584,4.46524,36,0,73,0,49.1,36,8189,69,0,181,3,8.73402,1331,349,1724,0,13,2917753552
601,4.59535,44,0,0,0,70.231,44,8189,0,0,304,0,7.32678,1331,349,1724,0,13,2858306150
584,4.46522,49,0,1,0,61.663,49,8189,1,0,272,1,7.86214,1332,350,1725,0,13,2769584062
