SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
1385,4.78984,112,0,4,0,74.391,454,8080,4,98,49,4,10.1779,4,4,4,0,0,-646647274982402
1360,4.95963,219,0,10,0,78.27,295,8133,10,257,36,10,7.71552,14,14,14,0,0,2779125858
1322,4.82146,182,0,10,0,85.847,1459,8120,10,664.867,30,10,6.36576,24,24,24,0,0,2749414012
1253,4.56958,91,0,13,0,64.84,2431,8182,13,716.599,36,13,45.7824,37,37,37,0,0,2761617208
908,3.31146,29,0,10,0,37.104,144,8177,10,1432.14,50,10,7.07712,47,47,47,0,0,2879620196
749,2.73167,20,0,0,0,33.374,79,8191,0,1407.34,59,0,6.70502,47,47,47,0,0,2787791638
768,2.80089,48,0,0,0,36.382,775,8171,0,1338.94,58,0,8.25178,47,47,47,0,0,2799104798
850,3.09991,59,0,0,0,36.132,141,8191,0,1171.84,58,0,7.54406,47,47,47,0,0,2673535634
976,3.55966,85,0,0,0,37.638,253,8178,0,1030.55,67,0,7.7593,47,47,47,0,0,2791781692
1107,4.03733,49,0,0,0,45.593,1377,8174,0,912.111,71,0,6.96038,47,47,47,0,0,2889155472
1228,4.47861,69,0,0,0,37.428,1357,8174,0,818.091,62,0,7.296,47,47,47,0,0,2828328692
1280,4.6682,92,0,1,0,53.55,1559,8173,1,868.987,65,1,7.79213,48,48,48,0,0,2738504888
1251,4.56241,174,0,1,0,36.711,600,8180,1,650,65,1,36.148,49,49,49,0,0,2672923246
1287,4.6937,110,0,4,0,65.855,1449,8191,4,1017.57,44,4,6.12134,53,53,53,0,0,2912936572
1055,3.84784,35,0,0,0,38.873,1101,8182,0,1004.99,64,0,4.72051,53,53,53,0,0,2861288514
1061,3.86894,55,0,0,0,35.24,1733,8174,0,991.245,65,0,6.24173,53,53,53,0,0,2759480346
1063,3.87672,71,0,0,0,46.07,715,8180,0,979.018,64,0,5.78573,53,53,53,0,0,2746454662
