SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
554,1.8825,37,0,118,0,71.318,37,8189,118,0,149,2,3.93254,118,2,118,0
683,2.49082,76,0,2,0,74.573,76,8189,2,0,291,2,6.16512,120,4,120,0
926,3.37719,146,0,5,0,114.315,146,8189,5,0,278,5,9.55046,125,9,125,0
826,3.01245,190,0,10,0,147.609,190,8190,10,0,233,10,8.54726,135,19,135,0
582,2.12273,95,0,191,0,104.454,95,8190,161,0,169,1,7.12454,296,20,326,0
763,2.7829,56,0,97,0,55.398,56,8189,97,0,272,1,8.41958,393,21,423,0
788,2.8741,54,0,111,0,36.213,54,8189,111,0,267,2,8.18611,504,23,534,0
729,2.65891,13,0,79,0,67.244,13,8189,79,0,287,2,6.9239,583,25,613,0
593,2.16286,28,0,53,0,43.565,28,8189,53,0,269,0,7.06982,636,25,666,0
235,0.857065,11,0,58,0,45.8,11,8189,58,0,103,0,12.9577,694,25,724,0
229,0.835188,16,0,44,0,89.502,16,8189,44,0,94,0,16.7699,738,25,768,0
242,0.882583,39,0,25,0,43.511,39,8189,25,0,96,0,17.0398,763,25,793,0
1254,4.57342,99,0,5,0,59.89,147,8191,5,0,317,5,13.6326,768,30,798,0
1199,4.3729,204,0,3,0,64.857,212,8189,3,0,363,3,8.16787,771,33,801,0
1081,3.94253,210,0,11,0,102.32,242,8097,11,0,216,11,7.74106,782,44,812,0
1265,4.61354,139,0,6,0,183.124,280,8189,6,0,310,6,11.0826,788,50,818,0
1245,4.54054,204,0,23,0,91.693,293,8190,23,0,118,23,7.89062,811,73,841,0
1279,4.66463,190,0,49,0,83.85,301,8182,49,0,67,47,5.54131,860,120,890,0
983,3.58528,120,0,311,0,109.165,150,8187,193,0,237,10,6.07027,1053,130,1201,0
1021,3.72384,116,0,7,0,81.777,153,8189,7,0,222,7,7.73011,1060,137,1208,0
1045,3.81144,156,0,9,0,77.054,167,8186,9,0,347,9,6.42048,1069,146,1217,0
1089,3.97153,192,0,5,0,101.575,207,8189,5,0,303,5,10.9549,1074,151,1222,0
1139,4.15418,117,0,9,0,96.77,250,8191,9,0,307,9,7.33978,1083,160,1231,0
1284,4.6831,123,0,9,0,80.389,274,8191,9,0,198,9,6.87283,1092,169,1240,0
801,2.92151,101,0,288,0,55.956,105,8191,110,0,179,5,30.6541,1202,174,1528,0
1120,4.08483,108,0,6,0,98.406,143,8189,6,0,293,6,8.81357,1208,180,1534,0
