SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
229,0.0953077,15,0,1,0,48.639,15,8189,1,0,114,1,0.450688,1,1,1,0
573,0.256628,28,0,0,0,45.622,28,8191,0,0,285,0,0.63168,1,1,1,0
1478,0.662023,125,0,0,0,39.866,127,8191,0,0,696,0,5.57402,1,1,1,0
3155,1.41318,15,0,129,0,21.28,15,8185,114,0,1580,0,12.3012,115,1,130,0
779,0.348867,30,0,0,0,33.082,32,8189,0,0,387,0,5.12781,115,1,130,0
2139,0.958039,205,0,0,0,30.915,226,8189,0,0,987,0,8.37267,115,1,130,0
4041,1.80989,97,0,0,0,21.354,429,8189,0,0,2077,0,8.22259,115,1,130,0
3984,1.78446,417,0,0,0,87.558,547,8189,0,0,1801,0,43.8785,115,1,130,0
4284,1.91876,298,0,0,0,48.424,650,8187,0,0,1939,0,116.248,115,1,130,0
4056,1.81666,604,0,0,0,112.775,734,8187,0,0,1800,0,6.97536,115,1,130,0
4145,1.8565,295,0,0,0,84.683,800,8187,0,0,1588,0,14.8884,115,1,130,0
4220,1.89021,312,0,0,0,66.667,879,8189,0,0,2092,0,92.086,115,1,130,0
3842,1.72088,173,0,0,0,59.033,949,8189,0,0,1993,0,17.1826,115,1,130,0
4358,1.95137,284,0,0,0,45.186,1016,8189,0,0,2047,0,6.72493,115,1,130,0
4265,1.91006,206,0,0,0,35.644,1076,8189,0,0,1956,0,8.87981,115,1,130,0
4307,1.92915,306,0,0,0,112.205,1129,8189,0,0,1854,0,27.0812,115,1,130,0
4215,1.88713,566,0,0,0,66.122,1183,8189,0,0,1941,0,51.5276,115,1,130,0
4076,1.82568,165,0,0,0,52.241,1234,8187,0,0,1929,0,7.06003,115,1,130,0
3991,1.78753,231,0,0,0,47.711,1281,8189,0,0,1831,0,88.9374,115,1,130,0
4145,1.85659,206,0,0,0,74.158,1329,8187,0,0,1980,0,51.8435,115,1,130,0
4505,2.01775,557,0,0,0,83.83,1376,8189,0,0,1954,0,45.188,115,1,130,0
4310,1.9304,726,0,0,0,129.829,1417,8189,0,0,1806,0,19.471,115,1,130,0
4095,1.83414,288,0,0,0,52.927,1458,8187,0,0,1837,0,12.4356,115,1,130,0
4142,1.8551,244,0,0,0,53.14,1502,8191,0,0,2052,0,90.1972,115,1,130,0
4123,1.84677,299,0,0,0,80.858,1545,8189,0,0,2023,0,7.37542,115,1,130,0
4459,1.9972,361,0,0,0,68.635,1585,8189,0,0,1982,0,44.99,115,1,130,0
4138,1.85299,318,0,0,0,98.207,1623,8189,0,0,1901,0,77.0524,115,1,130,0
3917,1.75452,292,0,0,0,52.866,1661,8189,0,0,1973,0,13.6326,115,1,130,0
4468,2.00115,764,0,0,0,227.582,1689,8189,0,0,1450,0,13.6098,115,1,130,0
4389,1.96583,294,0,0,0,75.641,1719,8189,0,0,1590,0,128.42,115,1,130,0
4310,1.93046,377,0,0,0,99.093,1754,8189,0,0,1889,0,28.5174,115,1,130,0
4151,1.85915,340,0,0,0,78.866,1791,8189,0,0,2052,0,4.13818,115,1,130,0
4243,1.90049,235,0,0,0,49.903,1825,8189,0,0,1925,0,4.53197,115,1,130,0
4304,1.92783,300,0,0,0,63.394,1858,8187,0,0,1931,0,55.1833,115,1,130,0
4015,1.79833,395,0,0,0,104.648,1890,8189,0,0,1872,0,112.256,115,1,130,0
3944,1.76652,416,0,0,0,90.162,1922,8187,0,0,1906,0,7.45024,115,1,130,0
4356,1.95079,224,0,0,0,96.32,1953,8189,0,0,1852,0,19.781,115,1,130,0
3971,1.77863,524,0,0,0,110.104,1982,8191,0,0,1810,0,78.4264,115,1,130,0
4151,1.85936,135,0,0,0,47.462,2014,8189,0,0,1992,0,156.684,115,1,130,0
4268,1.91174,420,0,0,0,131.404,2043,8189,0,0,1821,0,16.0814,115,1,130,0
4153,1.86019,192,0,0,0,39.698,2076,8189,0,0,2113,0,129.515,115,1,130,0
4258,1.90726,352,0,0,0,76.147,2104,8187,0,0,1836,0,12.2743,115,1,130,0
4233,1.89604,323,0,0,0,74.771,2136,8191,0,0,2121,0,50.8122,115,1,130,0
4094,1.83378,120,0,0,0,35.786,2167,8189,0,0,2114,0,48.2595,115,1,130,0
4242,1.90016,339,0,0,0,46.31,2197,8189,0,0,2014,0,43.4408,115,1,130,0
4227,1.89341,137,0,0,0,60.79,2227,8189,0,0,2102,0,3.85235,115,1,130,0
4364,1.95458,328,0,1,0,92.048,2256,8189,1,0,2003,1,11.7775,116,2,131,0
4077,1.82602,300,0,0,0,62.096,2284,8189,0,0,1987,0,56.2899,116,2,131,0
4244,1.90088,395,0,0,0,80.434,2313,8189,0,0,2077,0,16.1724,116,2,131,0
