SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
1134,6.01459,106,0,0,0,112.748,521,8189,0,0,519,0,10.0986,0,0,0,0
1193,6.73637,166,0,0,0,147.924,1094,8189,0,0,573,0,11.3581,0,0,0,0
1345,7.59523,289,0,0,0,127.125,1711,8189,0,0,617,0,15.9951,0,0,0,0
1261,7.12023,256,0,0,0,238.104,2310,8189,0,0,599,0,14.8599,0,0,0,0
1270,7.17105,273,0,0,0,300.474,2861,8189,0,0,551,0,11.0362,0,0,0,0
1419,8.01314,333,0,0,0,201.227,3545,8187,0,0,684,0,9.77104,0,0,0,0
1268,7.15979,309,0,0,0,64.014,4178,8189,0,0,633,0,13.9788,0,0,0,0
1390,7.84855,363,0,0,0,221.677,4799,8189,0,0,621,0,12.2223,0,0,0,0
1291,7.29004,133,0,0,0,143.215,5524,8187,0,0,725,0,12.5442,0,0,0,0
1270,7.17153,241,0,1,0,90.001,5925,8189,1,0,401,1,12.6854,1,1,1,0
1286,7.26161,357,0,0,0,384.928,6356,8189,0,0,431,0,13.1147,1,1,1,0
1339,7.56109,271,0,0,0,199.239,7036,8189,0,0,680,0,13.0412,1,1,1,0
1336,7.54352,519,0,0,0,313.066,7521,8189,0,0,485,0,13.4987,1,1,1,0
1270,7.17095,156,0,0,0,105.172,8222,8189,0,0,701,0,12.3917,1,1,1,0
1140,6.4375,181,0,0,0,133.088,8786,8189,0,0,564,0,13.4818,1,1,1,0
1361,7.68542,276,0,0,0,171.554,9425,8189,0,0,639,0,10.1269,1,1,1,0
1347,7.6064,190,0,0,0,185.157,10135,8189,0,0,710,0,14.6961,1,1,1,0
1254,7.08099,79,0,0,0,100.402,10823,8189,0,0,688,0,12.5781,1,1,1,0
1300,7.34106,171,0,0,0,86.753,11432,8189,0,0,609,0,12.0359,1,1,1,0
1174,6.62905,312,0,0,0,290.102,11932,8189,0,0,500,0,11.8552,1,1,1,0
1305,7.36881,337,0,0,0,192.979,12554,8189,0,0,622,0,14.2047,1,1,1,0
1156,6.52766,382,0,0,0,248.348,13091,8189,0,0,537,0,14.7695,1,1,1,0
1206,6.80957,381,0,0,0,332.406,13566,8189,0,0,475,0,10.8442,1,1,1,0
1448,8.17628,208,0,0,0,285.221,14211,8189,0,0,645,0,14.024,1,1,1,0
1296,7.31788,339,0,0,0,165.534,14798,8189,0,0,587,0,15.9951,1,1,1,0
1233,6.96222,162,0,0,0,98.795,15487,8189,0,0,689,0,13.5213,1,1,1,0
1206,6.80945,209,0,0,0,151.908,16073,8189,0,0,586,0,10.8724,1,1,1,0
1235,6.97367,337,0,0,0,209.787,16630,8189,0,0,557,0,12.6854,1,1,1,0
1264,7.13743,229,0,0,0,222.988,17275,8191,0,0,645,0,12.5894,1,1,1,0
1263,7.13194,306,0,0,0,281.578,17847,8189,0,0,572,0,10.8385,1,1,1,0
1366,7.71305,437,0,0,0,194.098,18451,8187,0,0,604,0,15.2214,1,1,1,0
1399,7.9001,318,0,0,0,134.233,19137,8189,0,0,686,0,9.70326,1,1,1,0
1347,7.60662,215,0,0,0,216.376,19849,8189,0,0,712,0,11.3468,1,1,1,0
1282,7.23889,285,0,0,0,152.702,20458,8189,0,0,609,0,11.9399,1,1,1,0
1161,6.5557,103,0,0,0,111.532,21115,8189,0,0,657,0,9.98566,1,1,1,0
1376,7.76926,395,0,0,0,255.501,21643,8189,0,0,528,0,10.9289,1,1,1,0
