SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
1307,6.86495,74,0,0,0,46.072,1231,8167,0,1,71,0,12.098,0,0,0,0
1362,7.68998,71,0,0,0,45.851,2710,8166,0,1,74,0,11.1322,0,0,0,0
1365,7.7074,103,0,0,0,54.054,4041,8191,0,1,73,0,12.1093,0,0,0,0
1298,7.32932,119,0,0,0,47.805,5398,8179,0,1,71,0,11.1661,0,0,0,0
1378,7.78092,76,0,0,0,47.644,6873,8158,0,1,75,0,11.9286,0,0,0,0
1387,7.83154,84,0,0,0,57.245,1066,8188,0,39.8476,71,0,11.6801,0,0,0,0
1362,7.69057,112,0,0,0,53.226,141,8184,0,39.8398,66,0,9.06504,0,0,0,0
1288,7.27287,64,0,0,0,51.462,165,8155,0,39.8305,69,0,11.008,0,0,0,0
1392,7.86059,101,0,0,0,53.23,164,8191,0,39.8219,74,0,12.9678,0,0,0,0
1336,7.54399,120,0,0,0,52.182,153,8191,0,39.814,61,0,11.4598,0,0,0,0
1435,8.10285,104,0,0,0,46.022,160,8191,0,39.8051,67,0,12.9339,0,0,0,0
1325,7.48144,80,0,0,0,53.919,147,8176,0,39.7961,69,0,11.2678,0,0,0,0
1388,7.83777,83,0,0,0,51.655,245,8185,0,39.7883,71,0,12.3409,0,0,0,0
1309,7.39133,115,0,0,0,48.479,133,8168,0,39.779,69,0,9.90659,0,0,0,0
1388,7.83728,70,0,0,0,54.895,1923,8191,0,39.7693,74,0,12.804,0,0,0,0
1440,8.13088,93,0,0,0,55.007,162,8180,0,39.76,70,0,10.3528,0,0,0,0
1483,8.37361,93,0,0,0,43.62,130,8191,0,39.75,73,0,11.9455,0,0,0,0
1204,6.79823,104,0,0,0,52.415,315,8178,0,39.7421,66,0,10.9854,0,0,0,0
1291,7.28951,80,0,0,0,55.302,134,8186,0,39.7335,69,0,11.2282,0,0,0,0
1332,7.52105,60,0,0,0,46.021,164,8184,0,39.7242,69,0,10.2737,0,0,0,0
1241,7.00727,80,0,0,0,67.902,162,8175,0,39.7153,70,0,12.3748,0,0,0,0
1365,7.70802,124,0,0,0,48.859,142,8171,0,39.7064,68,0,11.409,0,0,0,0
1299,7.33483,107,0,0,0,49.256,843,8191,0,39.6985,70,0,9.19494,0,0,0,0
1366,7.71299,69,0,0,0,47.93,133,8166,0,39.6888,73,0,10.4093,0,0,0,0
1363,7.69592,77,0,0,0,54.158,280,8191,0,39.6795,72,0,11.8439,0,0,0,0
1402,7.91651,129,0,0,0,50.911,379,8191,0,39.6702,69,0,13.6964,0,0,0,0
