SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
4402,15.9829,300,0,0,0,43.777,2043,8189,0,0,2041,0,853.271,0,0,0,0
6005,21.9035,155,0,0,0,36.887,5003,8189,0,0,2960,0,560.351,0,0,0,0
6182,22.5488,202,0,0,0,32.934,8060,8187,0,0,3057,0,795.355,0,0,0,0
6072,22.146,143,0,0,0,30.491,11022,8189,0,0,2962,0,997.429,0,0,0,0
6081,22.1799,298,0,0,0,55.105,13791,8191,0,0,2769,0,243.701,0,0,0,0
6115,22.3045,391,0,0,0,53.82,16777,8191,0,0,2986,0,173.718,0,0,0,0
6171,22.5074,112,0,0,0,21.564,19768,8191,0,0,2991,0,1136.74,0,0,0,0
5973,21.7858,155,0,0,0,28.107,22735,8191,0,0,2967,0,965.316,0,0,0,0
6275,22.8877,273,0,0,0,60.753,25817,8191,0,0,3082,0,111.592,0,0,0,0
6136,22.3806,200,0,0,0,55.743,28905,8191,0,0,3088,0,447.241,0,0,0,0
5955,21.7208,336,0,0,0,50.708,31818,8187,0,0,2913,0,110.87,0,0,0,0
6465,23.5802,132,0,0,0,22.975,34943,8189,0,0,3125,0,363.717,0,0,0,0
6256,22.8177,208,0,0,0,46.457,38020,8191,0,0,3077,0,102.626,0,0,0,0
6399,23.3407,209,0,0,0,21.634,41196,8189,0,0,3176,0,321.214,0,0,0,0
6061,22.107,341,0,0,0,36.546,44165,8187,0,0,2969,0,60.7173,0,0,0,0
5885,21.4657,190,0,0,0,31.668,47145,8189,0,0,2980,0,109.371,0,0,0,0
5781,21.0864,233,0,0,0,48.923,50018,8189,0,0,2873,0,830.215,0,0,0,0
5701,20.7946,280,0,0,0,32.931,52812,8191,0,0,2794,0,419.556,0,0,0,0
6228,22.7173,327,0,0,0,25.325,55720,8187,0,0,2908,0,198.01,0,0,0,0
6545,23.8732,151,0,0,0,43.274,58988,8189,0,0,3268,0,118.936,0,0,0,0
6319,23.048,189,0,0,0,35.483,62131,8191,0,0,3143,0,1103.36,0,0,0,0
6447,23.5151,175,0,0,0,33.926,65161,8191,0,0,3030,0,63.4643,0,0,0,0
6216,22.6726,151,0,0,0,32.953,68274,8189,0,0,3113,0,118.33,0,0,0,0
6051,22.0696,240,0,0,0,28.275,71251,8187,0,0,2977,0,249.534,0,0,0,0
6097,22.2386,180,0,0,0,24.067,74194,8191,0,0,2943,0,1051.9,0,0,0,0
6142,22.4028,224,0,0,0,30.419,77198,8187,0,0,3004,0,51.1596,0,0,0,0
5239,19.1087,223,0,0,0,36.924,79822,8155,0,0,2624,0,391.456,0,0,0,0
5802,21.1621,149,0,0,0,14.595,82766,8185,0,0,2944,0,935.493,0,0,0,0
6051,22.0712,257,0,0,0,30.424,83333,8189,0,0,2975,0,116.638,0,0,0,0
5433,19.8158,329,0,0,0,91.21,83333,8189,0,0,2600,0,176.687,0,0,0,0
5822,21.2354,163,0,0,0,19.969,83333,8189,0,0,2980,0,309.369,0,0,0,0
5925,21.612,214,0,0,0,31.981,83333,8191,0,0,2899,0,479.767,0,0,0,0
5714,20.8424,312,0,0,0,33.986,83333,8187,0,0,2795,0,421.154,0,0,0,0
5949,21.6983,166,0,0,0,21.624,83333,8187,0,0,3009,0,145.825,0,0,0,0
5721,20.8676,168,0,0,0,26.28,83333,8187,0,0,2832,0,557.918,0,0,0,0
6443,23.4995,283,0,0,0,54.299,83333,8187,0,0,3141,0,184.983,0,0,0,0
5728,20.8928,222,0,0,0,27.176,83333,8191,0,0,2776,0,51.4477,0,0,0,0
6368,23.2269,234,0,0,0,29.42,83333,8191,0,0,3023,0,190.407,0,0,0,0
5672,20.6879,459,0,0,0,42.205,83333,8191,0,0,2715,0,175.68,0,0,0,0
5691,20.7577,250,0,0,0,46.591,83333,8191,0,0,2826,0,44.5129,0,0,0,0
6162,22.4755,237,0,0,0,24.729,83333,8191,0,0,3044,0,93.7244,0,0,0,0
5080,18.5293,242,0,0,0,53.643,83333,8191,0,0,2447,0,700.883,0,0,0,0
6275,22.8873,322,0,0,0,68.481,83333,8189,0,0,2831,0,605.207,0,0,0,0
5625,20.5167,248,0,0,0,47.951,83333,8189,0,0,2760,0,970.985,0,0,0,0
6021,21.9615,268,0,0,0,50.896,83333,8189,0,0,2929,0,61.2973,0,0,0,0
6252,22.803,361,0,0,0,74.934,83333,8189,0,0,2957,0,110.797,0,0,0,0
6049,22.0626,430,0,0,0,59.476,83333,8189,0,0,2794,0,109.192,0,0,0,0
6029,21.9895,156,0,0,0,26.259,83333,8187,0,0,3064,0,668.89,0,0,0,0
6288,22.9349,310,0,0,0,21.498,83333,8187,0,0,3039,0,877.479,0,0,0,0
6200,22.6147,285,0,0,0,37.391,83333,8189,0,0,3017,0,262.897,0,0,0,0
6103,22.2604,131,0,0,0,21.173,83333,8189,0,0,3017,0,49.2626,0,0,0,0
6082,22.1841,180,0,0,0,28.175,83333,8189,0,0,3005,0,130.97,0,0,0,0
5694,20.7687,201,0,0,0,35.249,83333,8189,0,0,2796,0,1042.09,0,0,0,0
6031,21.9977,316,0,0,0,30.805,83333,8189,0,0,2869,0,75.7908,0,0,0,0
6170,22.5035,368,0,0,0,34.211,83333,8189,0,0,2951,0,431.274,0,0,0,0
6233,22.7339,181,0,0,0,20.37,83333,8187,0,0,3203,0,346.87,0,0,0,0
5742,20.9432,192,0,0,0,17.11,83334,8187,0,0,2864,0,77.6623,0,0,0,0
6255,22.8139,244,0,0,0,25.151,83334,8189,0,0,3041,0,72.8797,0,0,0,0
5490,20.0146,178,0,0,0,23.763,83334,8187,0,0,2740,0,126.958,0,0,0,0
6228,22.7158,143,0,0,0,28.851,83334,8189,0,0,3057,0,968.132,0,0,0,0
6076,22.1622,210,0,0,0,34.172,83334,8191,0,0,3008,0,56.088,0,0,0,0
5919,21.589,105,0,0,0,36.042,83334,8189,0,0,2882,0,107.93,0,0,0,0
5620,20.4986,323,0,0,0,46.528,83334,8191,0,0,2662,0,184.516,0,0,0,0
6235,22.7426,239,0,0,0,39.105,83334,8189,0,0,2893,0,209.76,0,0,0,0
6273,22.8811,295,0,0,0,64.957,83334,8191,0,0,2863,0,36.9105,0,0,0,0
5746,20.9539,153,0,0,0,28.283,83334,8189,0,0,2938,0,145.708,0,0,0,0
5987,21.8359,273,0,0,0,94.338,83334,8189,0,0,2792,0,192.363,0,0,0,0
6127,22.3479,235,0,0,0,30.509,83334,8189,0,0,3030,0,111.87,0,0,0,0
6354,23.1761,279,0,0,0,77.927,83334,8187,0,0,2977,0,85.2611,0,0,0,0
6304,22.9931,234,0,0,0,24.602,83334,8191,0,0,3118,0,414.424,0,0,0,0
5908,21.5491,325,0,0,0,41.966,83334,8191,0,0,2866,0,98.1312,0,0,0,0
6090,22.2122,157,0,0,0,29.907,83334,8189,0,0,2957,0,41.3647,0,0,0,0
6347,23.1489,190,0,0,0,27.493,83334,8189,0,0,3004,0,42.2147,0,0,0,0
5745,20.9544,338,0,0,0,45.733,83334,8189,0,0,2720,0,247.725,0,0,0,0
6380,23.27,304,0,0,0,31.08,83334,8187,0,0,3068,0,210.464,0,0,0,0
5738,20.9285,154,0,0,0,32.012,83334,8189,0,0,2936,0,455.628,0,0,0,0
5723,20.8631,223,0,0,0,18.395,83334,8189,0,0,2713,0,208.421,0,0,0,0
5947,21.6906,281,0,0,0,72.768,83334,8189,0,0,2887,0,161.836,0,0,0,0
5846,21.3226,108,0,0,0,44.855,83334,8191,0,0,2910,0,198.466,0,0,0,0
6279,22.9022,260,0,0,0,90.327,83334,8189,0,0,2970,0,174.185,0,0,0,0
5526,20.1564,216,0,0,0,27.437,83334,8187,0,0,2754,0,737.644,0,0,0,0
5899,21.5168,419,0,0,0,72.707,83334,8189,0,0,2699,0,105.869,0,0,0,0
6284,22.9211,263,0,0,0,69.506,83334,8191,0,0,3088,0,807.076,0,0,0,0
6011,21.9244,190,0,0,0,27.436,83334,8189,0,0,2940,0,1048.51,0,0,0,0
5915,21.575,251,0,0,0,28.083,83334,8187,0,0,2928,0,954.04,0,0,0,0
6027,21.9819,254,0,0,0,17.93,83335,8191,0,0,2968,0,133.845,0,0,0,0
5815,21.2068,167,0,0,0,22.221,83335,8191,0,0,2934,0,1002.8,0,0,0,0
6438,23.4824,317,0,0,0,40.823,83335,8191,0,0,3072,0,918.774,0,0,0,0
6257,22.8207,148,0,0,0,21.008,83335,8191,0,0,3115,0,960.019,0,0,0,0
6119,22.3176,376,0,0,0,24.287,83335,8189,0,0,2870,0,179.628,0,0,0,0
5868,21.4026,120,0,0,0,13.263,83335,8189,0,0,2801,0,133.893,0,0,0,0
