SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
206,2.28368,14,0,0,0,30.921,14,8189,0,0,107,0,11.9159,0,0,0,0
599,6.97515,28,0,0,0,37.623,28,8189,0,0,299,0,10.4832,0,0,0,0
717,8.34935,40,0,0,0,43.075,40,8189,0,0,355,0,14.4785,0,0,0,0
732,8.52448,74,0,2,0,82.118,115,8189,2,0,286,2,12.7779,2,2,2,0
258,3.00439,8,0,127,0,30.522,8,8189,61,0,75,2,12.5565,63,4,129,0
443,5.15898,6,0,0,0,30.573,23,8189,0,0,229,0,14.3853,63,4,129,0
700,8.15181,34,0,0,0,34.188,34,8189,0,0,341,0,14.3037,63,4,129,0
724,8.43114,102,0,2,0,102.569,105,8189,2,0,263,2,18.2058,65,6,131,0
774,9.01345,73,0,7,0,103.343,150,8189,7,0,180,7,13.0108,72,13,138,0
537,6.25361,5,0,169,0,110.877,5,8191,68,0,138,5,14.4202,140,18,307,0
153,1.78187,6,0,22,0,41.332,2,8189,22,0,70,0,16.2839,162,18,329,0
104,1.21123,5,0,12,0,48.354,5,8189,12,0,50,0,16.7498,174,18,341,0
154,1.79349,11,0,10,0,28.821,11,8191,10,0,75,0,18.0893,184,18,351,0
445,5.18239,23,0,0,0,28.498,23,8189,0,0,223,0,19.0678,184,18,351,0
709,8.25624,35,0,0,0,36.533,35,8189,0,0,351,0,16.2956,184,18,351,0
742,8.64079,112,0,3,0,77.813,112,8190,3,0,259,3,15.5967,187,21,354,0
767,8.93153,122,0,5,0,92.404,158,8190,5,0,196,5,16.2723,192,26,359,0
776,9.03628,86,0,16,0,92.751,176,8168,16,0,92,16,14.0941,208,42,375,0
796,9.26941,137,0,16,0,93.684,194,8191,16,0,105,16,13.6515,224,58,391,0
759,8.83852,206,0,21,0,96.547,206,8169,21,0,72,21,16.4004,245,79,412,0
223,2.59681,11,0,206,0,30.268,11,8189,91,0,65,0,18.0428,336,79,618,0
528,6.14848,25,0,0,0,34.063,25,8189,0,0,263,0,19.2076,336,79,618,0
675,7.86018,36,0,0,0,38.336,36,8189,0,0,338,0,16.3072,336,79,618,0
759,8.83861,114,0,3,0,90.972,120,8189,3,0,256,3,14.5367,339,82,621,0
604,7.03417,95,0,5,0,84.571,161,8190,5,0,180,5,17.0527,344,87,626,0
756,8.80486,46,0,69,0,48.037,4,8189,28,0,180,4,17.9379,372,91,695,0
216,2.51569,4,0,14,0,63.24,4,8191,53,0,85,1,18.2874,425,92,709,0
144,1.67712,8,0,13,0,24.748,8,8189,13,0,71,0,18.928,438,92,722,0
458,5.33417,23,0,0,0,27.962,23,8189,0,0,228,0,17.3905,438,92,722,0
647,7.53493,34,0,0,0,39.545,34,8191,0,0,321,0,11.7062,438,92,722,0
543,6.32349,4,0,78,0,74.716,4,8191,78,0,214,1,12.5565,516,93,800,0
270,3.14433,17,0,0,0,26.762,17,8189,0,0,135,0,14.5716,516,93,800,0
519,6.04397,28,0,0,0,35.918,28,8189,0,0,260,0,18.7183,516,93,800,0
747,8.69906,63,0,0,0,57.278,66,8189,0,0,363,0,14.8512,516,93,800,0
746,8.68722,91,0,5,0,103.306,145,8189,5,0,259,5,16.0509,521,98,805,0
811,9.44386,133,0,6,0,99.054,170,8189,6,0,124,6,16.4586,527,104,811,0
768,8.94307,80,0,6,0,73.269,208,8191,6,0,228,6,15.0492,533,110,817,0
848,9.87483,84,0,5,0,115.539,234,8191,5,0,176,5,14.9327,538,115,822,0
824,9.59537,72,0,4,0,140.053,268,8189,4,0,273,4,18.0195,542,119,826,0
698,8.12885,165,0,172,0,106.021,2,8189,10,0,103,7,15.7947,552,126,998,0
279,3.24937,6,0,15,0,52.751,6,8189,158,0,116,1,17.0061,710,127,1013,0
126,1.46745,6,0,15,0,50.861,6,8189,15,0,60,0,16.2373,725,127,1028,0
177,2.06129,12,0,11,0,32.647,12,8189,11,0,85,0,15.6899,736,127,1039,0
543,6.32117,26,0,0,0,34.576,26,8189,0,0,272,0,15.4685,736,127,1039,0
685,7.97705,37,0,0,0,34.753,37,8189,0,0,342,0,16.6916,736,127,1039,0
482,5.61269,7,0,98,0,46.028,7,8189,61,0,184,1,14.2921,797,128,1137,0
348,4.05253,20,0,0,0,30.089,20,8189,0,0,174,0,15.4336,797,128,1137,0
602,7.01039,31,0,0,0,40.385,31,8189,0,0,303,0,14.1407,797,128,1137,0
744,8.66421,73,0,1,0,67.059,89,8189,1,0,319,1,17.3788,798,129,1138,0
672,7.8253,68,0,2,0,133.945,149,8189,2,0,225,2,17.67,800,131,1140,0
801,9.32748,74,0,4,0,163.779,194,8189,4,0,240,4,17.2274,804,135,1144,0
790,9.19945,133,0,10,0,116.278,221,8146,10,0,175,10,17.5768,814,145,1154,0
814,9.47621,152,0,20,0,88,238,8171,20,0,127,20,17.8098,834,165,1174,0
396,4.60539,5,0,251,0,60.609,5,8191,71,0,24,11,16.8081,905,176,1425,0
108,1.25777,4,0,11,0,74.569,4,8191,11,0,53,0,16.3771,916,176,1436,0
166,1.93339,13,0,13,0,31.381,2,8191,13,0,76,0,15.9927,929,176,1449,0
136,1.58393,6,0,10,0,40.858,6,8191,10,0,70,0,16.1092,939,176,1459,0
119,1.3859,10,0,11,0,34.938,10,8191,11,0,60,0,15.1773,950,176,1470,0
363,4.22732,21,0,0,0,46.621,21,8191,0,0,181,0,16.2956,950,176,1470,0
607,7.06881,32,0,0,0,36.614,32,8189,0,0,302,0,15.3521,950,176,1470,0
795,9.25836,74,0,1,0,69.222,107,8191,1,0,346,1,14.4319,951,177,1471,0
803,9.34721,110,0,4,0,86.345,168,8189,4,0,263,4,14.4086,955,181,1475,0
862,10.0333,164,0,2,0,199.371,214,8187,2,0,272,2,18.1359,957,183,1477,0
851,9.90974,87,0,7,0,136.98,249,8189,7,0,254,7,19.4988,964,190,1484,0
587,6.83567,263,0,10,0,143.293,263,8151,10,0,113,10,14.7813,974,200,1494,0
286,3.33055,10,0,263,0,35.168,10,8189,189,0,52,0,13.8262,1163,200,1757,0
219,2.55022,18,0,0,0,60.091,18,8191,0,0,110,0,14.1756,1163,200,1757,0
498,5.79916,28,0,0,0,42.382,28,8189,0,0,250,0,15.4569,1163,200,1757,0
595,6.9288,37,0,1,0,36.927,37,8189,1,0,281,1,13.6049,1164,201,1758,0
641,7.46526,58,0,2,0,88.437,125,8189,2,0,247,2,13.9892,1166,203,1760,0
761,8.85533,84,0,1,0,90.511,188,8189,1,0,311,1,21.7352,1167,204,1761,0
485,5.64852,4,0,109,0,56.84,4,8190,109,0,214,1,21.7352,1276,205,1870,0
157,1.82849,7,0,15,0,30.996,7,8189,15,0,73,0,23.9133,1291,205,1885,0
388,4.51886,21,0,0,0,35.325,21,8191,0,0,194,0,24.5074,1291,205,1885,0
627,7.30176,32,0,0,0,32.787,32,8189,0,0,314,0,21.9332,1291,205,1885,0
824,9.59518,116,0,0,0,91.7,117,8191,0,0,374,0,13.4068,1291,205,1885,0
802,9.33912,155,0,3,0,72.795,164,8189,3,0,209,3,14.6299,1294,208,1888,0
840,9.78164,77,0,5,0,179.873,205,8189,5,0,238,5,18.3572,1299,213,1893,0
794,9.24574,218,0,2,0,137.133,239,8189,2,0,236,2,16.9828,1301,215,1895,0
829,9.65359,84,0,7,0,79.022,268,8191,7,0,228,7,13.0807,1308,222,1902,0
757,8.81516,80,0,4,0,133.066,294,8189,4,0,224,4,14.0591,1312,226,1906,0
773,9.0013,133,0,18,0,133.86,305,8154,18,0,107,18,14.2339,1330,244,1924,0
684,7.96534,2,0,331,0,98.84,2,7930,81,0,40,22,14.56,1411,266,2255,0
206,2.39873,14,0,0,0,34.189,14,8189,0,0,105,0,15.1424,1411,266,2255,0
212,2.46885,6,0,19,0,97.795,6,8189,19,0,107,0,14.7347,1430,266,2274,0
