SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
548,6.06038,36,0,68,0,40.622,36,8191,65,0,208,1,12.5915,65,1,68,0
816,9.49905,46,0,0,0,48.907,46,8191,0,0,407,0,13.3719,65,1,68,0
747,8.69739,53,0,1,0,68.202,53,8189,1,0,356,1,15.7132,66,2,69,0
790,9.19936,59,0,2,0,58.394,59,8189,2,0,346,2,17.7632,68,4,71,0
761,8.85487,63,0,2,0,65.425,65,8189,2,0,325,2,11.7295,70,6,73,0
795,9.25729,68,0,3,0,71.428,69,8189,3,0,315,3,14.8861,73,9,76,0
719,8.37261,73,0,2,0,67.531,73,8189,2,0,290,2,18.5669,75,11,78,0
609,7.09146,75,0,5,0,99.42,75,8189,5,0,168,5,15.2589,80,16,83,0
799,9.30465,75,0,5,0,85.391,79,8191,5,0,296,5,16.3538,85,21,88,0
706,8.2217,75,0,5,0,76.286,82,8189,5,0,210,5,15.1657,90,26,93,0
713,8.30318,81,0,4,0,72.806,85,8189,4,0,251,4,17.7283,94,30,97,0
697,8.11642,88,0,6,0,102.612,88,8189,6,0,240,6,20.7334,100,36,103,0
770,8.96727,89,0,3,0,59.798,91,8189,3,0,268,3,21.5372,103,39,106,0
480,5.59014,14,0,158,0,34.73,14,8189,155,0,183,2,17.1575,258,41,264,0
218,2.53896,12,0,24,0,24.158,12,8189,24,0,105,0,16.3771,282,41,288,0
167,1.94501,6,0,28,0,41.293,6,8191,28,0,80,0,16.0859,310,41,316,0
405,4.71688,21,0,0,0,35.064,21,8189,0,0,203,0,15.1191,310,41,316,0
690,8.03529,33,0,0,0,42.741,33,8189,0,0,345,0,15.5734,310,41,316,0
768,8.944,43,0,0,0,53.153,43,8189,0,0,382,0,16.0393,310,41,316,0
762,8.87351,51,0,1,0,51.654,51,8189,1,0,360,1,15.2938,311,42,317,0
655,7.62759,3,0,59,0,70.6,3,8136,59,0,229,4,13.2088,370,46,376,0
610,7.10355,35,0,0,0,43.202,35,8189,0,0,295,0,15.585,370,46,376,0
586,6.82386,42,0,1,0,46.941,42,8189,1,0,277,1,15.7597,371,47,377,0
636,7.40598,48,0,2,0,58.191,48,8189,2,0,278,2,16.7149,373,49,379,0
727,8.46569,55,0,1,0,67.584,55,8189,1,0,337,1,16.9944,374,50,380,0
582,6.77732,59,0,4,0,71.497,59,8189,4,0,215,4,16.1325,378,54,384,0
698,8.12836,62,0,4,0,80.515,62,8189,4,0,216,4,17.274,382,58,388,0
568,6.61489,22,0,66,0,100.745,22,8189,65,0,195,3,18.9629,447,61,454,0
428,4.98471,12,0,52,0,31.699,12,8191,52,0,198,0,18.532,499,61,506,0
123,1.43254,8,0,21,0,42.776,8,8191,21,0,58,0,17.7748,520,61,527,0
113,1.31598,5,0,21,0,50.614,5,8187,21,0,53,0,18.4038,541,61,548,0
374,4.3558,20,0,0,0,31.694,20,8189,0,0,185,0,16.2024,541,61,548,0
641,7.46479,32,0,0,0,31.266,32,8189,0,0,322,0,15.6549,541,61,548,0
704,8.19796,41,0,0,0,46.93,41,8189,0,0,352,0,15.1191,541,61,548,0
696,8.10484,48,0,2,0,50.876,48,8191,2,0,312,2,12.5216,543,63,550,0
654,7.61561,53,0,5,0,71.124,53,8191,5,0,254,5,11.2403,548,68,555,0
728,8.47733,59,0,2,0,66.744,59,8190,2,0,314,2,11.7761,550,70,557,0
638,7.42935,63,0,4,0,62.468,63,8189,4,0,238,4,15.154,554,74,561,0
593,6.90569,37,0,63,0,51.898,37,8189,62,0,254,0,14.1873,616,74,624,0
681,7.93006,45,0,0,0,63.614,45,8189,0,0,343,0,14.3736,616,74,624,0
610,7.1039,24,0,51,0,38.724,25,8189,51,0,271,1,15.7248,667,75,675,0
502,5.84558,33,0,0,0,40.684,33,8191,0,0,255,0,15.189,667,75,675,0
664,7.73288,42,0,0,0,58.615,42,8189,0,0,332,0,15.0725,667,75,675,0
347,4.04137,14,0,67,0,38.468,14,8189,67,0,146,1,18.9629,734,76,742,0
249,2.89997,14,0,17,0,29.721,14,8191,17,0,122,0,17.6351,751,76,759,0
186,2.16625,8,0,32,0,31.716,8,8189,32,0,91,0,18.0311,783,76,791,0
378,4.40242,21,0,0,0,29.193,21,8191,0,0,192,0,14.3154,783,76,791,0
649,7.55833,33,0,0,0,40.852,33,8189,0,0,323,0,18.299,783,76,791,0
762,8.87421,43,0,0,0,39.738,43,8189,0,0,382,0,15.7248,783,76,791,0
634,7.3831,49,0,1,0,65.046,49,8189,1,0,299,1,14.6066,784,77,792,0
