SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
914,6.59206,117,0,0,0,61.361,832,8183,0,1,45,0,11.8773,0,0,0,0
981,7.50146,65,0,3,0,81.32,2622,8191,3,37.9989,40,3,19.0971,3,3,3,0
997,7.62411,58,0,2,0,83.35,2683,8173,2,48.9961,41,2,17.0856,5,5,5,0
1302,9.95572,81,0,1,0,48.215,127,8189,1,55.9893,67,1,15.2884,6,6,6,0
1268,9.69538,69,0,0,0,51.871,340,8191,0,55.976,67,0,15.5637,6,6,6,0
1181,9.02979,108,0,0,0,51.63,430,8182,0,55.9628,72,0,13.2616,6,6,6,0
1216,9.29737,71,0,0,0,60.901,511,8191,0,55.9514,72,0,14.34,6,6,6,0
1296,9.90912,80,0,0,0,52.371,192,8191,0,55.9371,72,0,14.5465,6,6,6,0
1270,9.71034,71,0,0,0,52.486,122,8174,0,55.9224,74,0,15.2884,6,6,6,0
1129,8.63225,75,0,0,0,55.556,135,8167,0,55.9099,69,0,12.0685,6,6,6,0
1099,8.40288,94,0,1,0,64.596,384,8171,1,62.9982,65,1,13.1775,7,7,7,0
1070,8.18102,95,0,2,0,55.352,114,8190,2,80,68,2,14.1641,9,9,9,0
1190,9.09881,98,0,1,0,57.889,164,8191,1,89.9943,70,1,14.2482,10,10,10,0
1173,8.96904,99,0,0,0,56.495,154,8176,0,89.9617,69,0,17.1392,10,10,10,0
1142,8.7315,83,0,0,0,49.751,110,8171,0,89.9246,70,0,16.6191,10,10,10,0
846,6.46893,85,0,1,0,108.289,686,8183,1,101.995,43,1,18.5005,11,11,11,0
1163,8.89355,95,0,3,0,82.143,1113,8182,3,146.985,44,3,15.5637,14,14,14,0
1177,9.00055,65,0,3,0,97.427,4156,8167,3,184.683,41,3,874.205,17,17,17,0
1269,9.70325,100,0,1,0,55.556,163,8165,1,194.408,65,1,15.0666,18,18,18,0
1241,9.48857,95,0,0,0,53.614,138,8173,0,194.257,72,0,12.5657,18,18,18,0
1223,9.35101,91,0,1,0,52.002,114,8191,1,218.913,70,1,15.9461,19,19,19,0
1291,9.87168,71,0,1,0,47.703,135,8157,1,246.981,75,1,15.3572,20,20,20,0
1165,8.90761,97,0,0,0,48.708,449,8180,0,246.701,71,0,13.0322,20,20,20,0
1191,9.10625,77,0,0,0,53.558,135,8179,0,246.434,76,0,13.5446,20,20,20,0
1174,8.97626,76,0,0,0,63.061,151,8189,0,246.203,70,0,14.3324,20,20,20,0
1190,9.09924,78,0,1,0,52.029,1466,8191,1,276.877,70,1,18.5999,21,21,21,0
1068,8.16572,104,0,1,0,55.273,146,8190,1,312,68,1,16.7874,22,22,22,0
1129,8.63234,73,0,2,0,53.148,162,8185,2,394.735,66,2,12.9251,24,24,24,0
1205,9.21356,76,0,0,0,58.787,121,8191,0,394.097,75,0,15.7472,24,24,24,0
1114,8.51697,69,0,1,0,52.06,123,8179,1,442.745,71,1,15.013,25,25,25,0
831,6.3543,78,0,1,0,81.797,5416,8182,1,495.704,46,1,16.3744,26,26,26,0
907,6.9359,73,0,3,0,103.644,1719,8175,3,696.344,31,3,16.8562,29,29,29,0
1161,8.87812,62,0,1,0,64.914,1126,8162,1,761.457,47,1,15.8772,30,30,30,0
1421,10.8661,88,0,1,0,48.614,181,8171,1,811.211,65,1,14.2023,31,31,31,0
1298,9.92454,76,0,0,0,41.14,146,8164,0,768.212,76,0,17.0856,31,31,31,0
1364,10.4296,69,0,0,0,55.293,205,8184,0,714.681,75,0,16.1373,31,31,31,0
1297,9.91685,60,0,0,0,65.074,4280,8174,0,683.188,70,0,13.6058,31,31,31,0
1174,8.97628,71,0,2,0,53.034,127,8171,2,827.904,69,2,15.3801,33,33,33,0
1247,9.53448,70,0,0,0,56.162,144,8164,0,780.415,76,0,15.1889,33,33,33,0
1169,8.9379,64,0,2,0,53.195,147,8191,2,939.672,67,2,13.1469,35,35,35,0
1170,8.94566,87,0,0,0,40.779,128,8191,0,885.974,71,0,13.3228,35,35,35,0
1120,8.5634,66,0,1,0,48.162,132,8163,1,940.541,69,1,16.1602,36,36,36,0
1167,8.92299,84,0,0,0,40.088,310,8191,0,886.746,68,0,13.0628,36,36,36,0
1166,8.91619,87,0,0,0,64.177,267,8191,0,840.888,69,0,13.9423,36,36,36,0
1113,8.50995,81,0,0,0,58.992,142,8190,0,795.723,74,0,14.0723,36,36,36,0
888,6.79013,145,0,3,0,92.438,1611,8187,3,1101,38,3,15.7625,39,39,39,0
1060,8.10593,69,0,0,0,56.606,1505,8167,0,1047.38,49,0,18.8906,39,39,39,0
1041,7.96068,69,0,1,0,58.196,3206,8167,1,1129.54,47,1,16.948,40,40,40,0
971,7.42463,58,0,0,0,34.148,133,8177,0,1057.85,60,0,15.5178,40,40,40,0
1049,8.0207,59,0,0,0,31.06,184,8191,0,981.535,71,0,14.1259,40,40,40,0
1116,8.53321,65,0,0,0,42.781,113,8191,0,911.733,71,0,18.011,40,40,40,0
1242,9.49626,67,0,0,0,51.288,131,8169,0,836.251,70,0,17.3227,40,40,40,0
1267,9.68789,96,0,0,0,52.053,120,8191,0,792.511,71,0,16.5732,40,40,40,0
1185,9.06055,72,0,0,0,54.381,139,8191,0,752.268,75,0,15.0589,40,40,40,0
1128,8.62457,82,0,1,0,53.806,159,8172,1,805.004,67,1,16.7491,41,41,41,0
1217,9.3047,125,0,0,0,59.234,140,8180,0,768.799,70,0,17.5292,41,41,41,0
1063,8.12742,108,0,1,0,63.979,254,8171,1,827,68,1,16.2673,42,42,42,0
1099,8.40297,61,0,2,0,52.079,140,8173,2,995.363,61,2,16.535,44,44,44,0
1000,7.64621,62,0,1,0,35.512,95,8190,1,1047.98,71,1,16.5273,45,45,45,0
1049,8.02055,50,0,0,0,34.281,1935,8185,0,975.883,71,0,12.7033,45,45,45,0
1020,7.79957,132,0,1,0,74.528,2072,8168,1,1059.62,48,1,15.5637,46,46,46,0
937,7.16531,74,0,0,0,45.709,901,8191,0,1016.02,43,0,16.5503,46,46,46,0
1120,8.56459,107,0,0,0,74.401,2644,8164,0,973.016,49,0,18.294,46,46,46,0
1196,9.14321,51,0,0,0,46.551,133,8175,0,920.613,67,0,15.4107,46,46,46,0
1191,9.10624,63,0,0,0,42.668,120,8174,0,864.504,70,0,15.2578,46,46,46,0
1145,8.75454,40,0,1,0,35.418,108,8173,1,915.782,70,1,14.8983,47,47,47,0
1191,9.10649,84,0,0,0,43.643,127,8166,0,859.134,69,0,19.3341,47,47,47,0
1196,9.14526,65,0,0,0,52.862,134,8191,0,810.069,75,0,15.166,47,47,47,0
1130,8.6402,70,0,1,0,50.603,144,8169,1,859.764,69,1,15.1124,48,48,48,0
1218,9.31266,75,0,1,0,52.863,124,8191,1,912.179,75,1,14.21,49,49,49,0
1026,7.84485,70,0,1,0,51.666,143,8182,1,968.155,66,1,14.4777,50,50,50,0
1019,7.79121,51,0,1,0,36.886,98,8184,1,1020.71,72,1,14.3476,51,51,51,0
1036,7.92123,41,0,1,0,40.294,190,8191,1,1075.16,68,1,15.2731,52,52,52,0
1029,7.86787,73,0,0,0,43.752,102,8191,0,1002.41,65,0,14.6383,52,52,52,0
1093,8.357,66,0,0,0,40.671,119,8171,0,938.887,74,0,16.5885,52,52,52,0
839,6.41521,112,0,1,0,74.825,175,8190,1,1019,48,1,16.122,53,53,53,0
947,7.24166,66,0,2,0,99.465,1766,8178,2,1241.6,41,2,15.143,55,55,55,0
946,7.2331,65,0,1,0,52.582,2328,8191,1,1325.45,44,1,17.8657,56,56,56,0
869,6.64426,35,0,0,0,32.783,92,8191,0,1230.07,65,0,16.5426,56,56,56,0
983,7.51592,58,0,0,0,31.411,506,8175,0,1011.67,70,0,15.4184,56,56,56,0
1090,8.33404,48,0,0,0,31.282,105,8175,0,941.655,70,0,12.688,56,56,56,0
1147,8.76974,68,0,0,0,44.759,107,8185,0,883.033,73,0,13.7358,56,56,56,0
1150,8.79261,125,0,0,0,52.668,125,8184,0,840.717,69,0,15.8008,56,56,56,0
1197,9.15249,101,0,1,0,54.275,135,8164,1,894.343,74,1,14.2406,57,57,57,0
1058,8.08961,77,0,1,0,46.196,112,8191,1,947.634,70,1,15.6402,58,58,58,0
1013,7.74532,38,0,1,0,35.63,108,8181,1,998.296,70,1,18.4852,59,59,59,0
1072,8.19639,61,0,0,0,39.435,109,8191,0,932.655,72,0,15.6784,59,59,59,0
1167,8.9229,89,0,0,0,40.246,146,8191,0,873.967,71,0,15.1966,59,59,59,0
1187,9.07599,72,0,0,0,54.293,156,8185,0,823.243,75,0,15.3189,59,59,59,0
1141,8.724,81,0,0,0,63.881,146,8185,0,778.994,77,0,15.9231,59,59,59,0
794,6.07141,153,0,3,0,92.811,1032,8184,3,1082,40,3,13.7664,62,62,62,0
931,7.11694,79,0,1,0,64.525,1388,8191,1,1168.14,41,1,16.6268,63,63,63,0
968,7.40235,101,0,0,0,65.807,500,8182,0,346.552,52,0,644.474,63,63,63,0
1215,9.29027,70,0,1,0,56.313,118,8184,1,342.629,70,1,13.4452,64,64,64,0
1391,10.6353,128,0,1,0,59.853,214,8169,1,385.449,66,1,13.231,65,65,65,0
1297,9.9167,68,0,0,0,55.968,148,8191,0,384.767,73,0,12.5198,65,65,65,0
1300,9.93965,91,0,0,0,51.725,215,8191,0,384.102,71,0,14.8754,65,65,65,0
