SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
227,0.35483,15,0,0,0,34.609,15,8191,0,0,111,0,1.67766,0,0,0,0
681,1.12199,30,0,0,0,24.403,30,8189,0,0,345,0,2.94003,0,0,0,0
1255,2.06782,109,0,0,0,43.344,116,8191,0,0,595,0,6.24757,0,0,0,0
1445,2.38096,16,0,192,0,38.08,16,8191,191,0,676,0,5.29338,191,0,192,0
221,0.364153,3,0,32,0,52.769,3,8189,32,0,108,0,5.47795,223,0,224,0
147,0.242229,3,0,15,0,44.248,3,8189,15,0,71,0,6.67605,238,0,239,0
180,0.296606,7,0,14,0,25.804,9,8189,14,0,88,0,7.69616,252,0,253,0
627,1.03317,26,0,0,0,22.653,26,8191,0,0,315,0,12.8544,252,0,253,0
1425,2.34785,121,0,0,0,56.242,146,8189,0,0,672,0,7.12595,252,0,253,0
2150,3.54233,254,0,1,0,115.212,293,8191,1,0,1010,1,31.6449,253,1,254,0
2133,3.51448,286,0,0,0,132.497,383,8189,0,0,949,0,5.07419,253,1,254,0
2029,3.34146,305,0,0,0,197.924,455,8189,0,0,953,0,7.2133,253,1,254,0
2215,3.64788,171,0,0,0,49.493,525,8189,0,0,1066,0,5.16154,253,1,254,0
2183,3.59683,91,0,0,0,63.164,591,8191,0,0,1136,0,5.68725,253,1,254,0
2208,3.63809,385,0,0,0,143.781,640,8189,0,0,960,0,5.68725,253,1,254,0
2165,3.56732,309,0,0,0,205.687,687,8189,0,0,974,0,6.94632,253,1,254,0
2172,3.57856,341,0,0,0,156.28,734,8191,0,0,1042,0,5.55541,253,1,254,0
2091,3.44518,267,0,0,0,108.716,777,8191,0,0,1001,0,5.7713,253,1,254,0
1727,2.84561,697,0,1,0,211.802,800,8189,1,0,569,1,7.55278,254,2,255,0
819,1.34953,18,0,184,0,37.058,2,8189,173,0,387,0,10.6659,427,2,439,0
138,0.227398,7,0,14,0,40.637,7,8189,14,0,75,0,13.6768,441,2,453,0
214,0.352599,13,0,13,0,22.065,13,8189,13,0,102,0,16.4289,454,2,466,0
928,1.52893,33,0,0,0,30.263,33,8189,0,0,460,0,10.0874,454,2,466,0
1876,3.09078,201,0,0,0,75.656,212,8189,0,0,861,0,10.3379,454,2,466,0
2270,3.73992,225,0,0,0,31.283,342,8189,0,0,1127,0,15.4665,454,2,466,0
2141,3.52763,107,0,0,0,75.561,430,8187,0,0,1065,0,7.76043,454,2,466,0
2183,3.597,376,0,0,0,186.08,492,8189,0,0,891,0,4.90445,454,2,466,0
2222,3.66079,353,0,0,0,158.156,552,8191,0,0,986,0,5.52904,454,2,466,0
2244,3.69736,131,0,0,0,43.975,610,8189,0,0,1045,0,6.08771,454,2,466,0
2151,3.54351,163,0,0,0,52.964,663,8187,0,0,1063,0,5.66582,454,2,466,0
2074,3.4172,593,0,1,0,117.612,698,8187,1,0,740,1,4.29963,455,3,467,0
2334,3.84557,321,0,0,0,186.754,740,8187,0,0,941,0,5.89984,455,3,467,0
2071,3.41228,298,0,0,0,96.888,784,8189,0,0,1052,0,18.4823,455,3,467,0
1752,2.88681,342,0,0,0,231.377,817,8187,0,0,835,0,5.75646,455,3,467,0
1678,2.765,211,0,1,0,71.097,843,8189,1,0,661,1,8.09827,456,4,468,0
396,0.652512,6,0,239,0,43.21,2,8191,225,0,194,0,9.66882,681,4,707,0
186,0.306463,12,0,5,0,29.631,12,8191,5,0,94,0,9.87976,686,4,712,0
580,0.955602,27,0,0,0,26.077,27,8189,0,0,291,0,5.57189,686,4,712,0
1307,2.15335,133,0,0,0,44.726,133,8189,0,0,606,0,5.74658,686,4,712,0
2181,3.59347,109,0,0,0,57.423,297,8191,0,0,1106,0,9.03434,686,4,712,0
2256,3.71701,278,0,0,0,151.252,392,8189,0,0,1019,0,8.77395,686,4,712,0
