SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
295,1.01661,17,0,1,0,23.683,17,8189,1,0,150,0,3.87053,1,0,1,0,1,-415697937807419
754,2.74998,32,0,0,0,31.49,32,8189,0,0,376,0,13.5997,1,0,1,0,1,2763394854
1233,4.49709,136,0,0,0,90.222,160,8189,0,0,570,0,14.2345,1,0,1,0,1,2802775928
1519,5.54007,145,0,2,0,63.688,257,8189,2,0,633,2,9.17107,3,2,3,0,1,2809897738
1466,5.34695,106,0,4,0,72.378,307,8189,4,0,442,4,10.6813,7,6,7,0,1,2784647190
1613,5.88255,338,0,0,0,195.379,371,8189,0,0,676,0,9.04339,7,6,7,0,1,2794906114
1551,5.65646,144,0,3,0,89.255,416,8187,3,0,553,3,9.5687,10,9,10,0,1,2799685884
1616,5.8936,161,0,2,0,84.887,463,8189,2,0,651,2,11.5021,12,11,12,0,1,2800444008
1663,6.06476,180,0,3,0,131.119,498,8189,3,0,525,3,12.3047,15,14,15,0,1,2782246140
1597,5.82362,86,0,1,0,74.154,544,8189,1,0,759,1,29.5269,16,15,16,0,1,2783141338
1602,5.84239,277,0,4,0,120.743,577,8189,4,0,569,4,9.6745,20,19,20,0,1,2792618080
1573,5.7367,142,0,4,0,93.518,606,8189,4,0,536,4,9.33158,24,23,24,0,1,2808948520
1568,5.71843,141,0,3,0,112.775,636,8189,3,0,589,3,10.9148,27,26,27,0,1,2800371010
1619,5.90461,216,0,3,0,114.805,665,8190,3,0,583,3,12.8446,30,29,30,0,1,2784744862
1547,5.64194,184,0,3,0,108.441,689,8189,3,0,520,3,10.9659,33,32,33,0,1,2766737106
1613,5.88271,514,0,1,0,123.198,712,8189,1,0,500,1,77.8629,34,33,34,0,1,2789738314
1618,5.90118,105,0,2,0,230.178,737,8189,2,0,555,2,12.498,36,35,36,0,1,2833145666
1649,6.01405,143,0,1,0,75.827,766,8189,1,0,678,1,11.1264,37,36,37,0,1,2797056514
