SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
123,0.614912,11,0,1,0,59.761,11,8189,1,0,61,0,5.24134,1,0,1,0,1,-428078095767935
360,2.03295,22,0,0,0,45.106,22,8191,0,0,181,0,5.3769,1,0,1,0,1,2847335448
299,1.68841,28,0,0,0,95.626,28,8189,0,0,152,0,7.08259,1,0,1,0,1,2651070348
598,3.37699,37,0,0,0,39.655,37,8189,0,0,304,0,14.4137,1,0,1,0,1,2904059427
627,3.54074,45,0,0,0,91.83,45,8189,0,0,317,0,16.9722,1,0,1,0,1,2827925985
831,4.69254,53,0,0,0,68.36,53,8189,0,0,421,0,15.0293,1,0,1,0,1,2803675394
619,3.49526,59,0,0,0,80.023,59,8189,0,0,314,0,13.7133,1,0,1,0,1,2721923462
844,4.76523,59,0,0,0,72.35,66,8189,0,0,430,0,13.1937,1,0,1,0,1,2873256964
872,4.92442,72,0,0,0,63.942,72,8189,0,0,437,0,12.4708,1,0,1,0,1,2790113424
759,4.28633,58,0,1,0,130.894,77,8189,1,0,357,1,16.8932,2,1,2,0,1,2723292068
820,4.63046,81,0,0,0,149.25,82,8189,0,0,403,0,13.7585,2,1,2,0,1,2852059406
834,4.70973,81,0,0,0,84.777,87,8189,0,0,422,0,10.7199,2,1,2,0,1,2796793878
844,4.76583,91,0,1,0,100.471,91,8187,1,0,381,1,11.3355,3,2,3,0,1,2763259468
861,4.86177,95,0,1,0,112.964,95,8189,1,0,389,1,12.098,4,3,4,0,1,2818177602
881,4.97519,100,0,0,0,109.476,100,8189,0,0,445,0,11.7591,4,3,4,0,1,2788614987
615,3.47298,103,0,0,0,179.648,103,8189,0,0,311,0,11.8947,4,3,4,0,1,2710156867
749,4.22948,106,0,0,0,150.3,106,8191,0,0,379,0,8.85042,4,3,4,0,1,2866770504
788,4.44955,108,0,0,0,149.815,110,8189,0,0,400,0,10.4206,4,3,4,0,1,2826464030
862,4.86715,108,0,0,0,134.761,114,8189,0,0,436,0,13.7303,4,3,4,0,1,2732513925
678,3.82844,117,0,0,0,197.359,117,8189,0,0,343,0,10.6804,4,3,4,0,1,2808817221
839,4.73777,101,0,0,0,131.006,121,8189,0,0,435,0,16.3397,4,3,4,0,1,2785848048
921,5.2011,108,0,1,0,110.565,124,8189,1,0,416,1,12.9283,5,4,5,0,1,2813595504
935,5.27989,127,0,0,0,112.506,128,8189,0,0,464,0,16.2945,5,4,5,0,1,2809123907
963,5.43788,98,0,0,0,94.747,131,8189,0,0,502,0,12.9,5,4,5,0,1,2764091297
1025,5.78774,135,0,1,0,130.667,135,8189,1,0,445,1,12.4143,6,5,6,0,1,2847162013
1008,5.69217,82,0,1,0,91.81,138,8189,1,0,472,1,11.7478,7,6,7,0,1,2771201001
1013,5.72051,138,0,0,0,113.458,142,8189,0,0,485,0,13.0638,7,6,7,0,1,2817802556
1119,6.31872,70,0,0,0,97.606,146,8189,0,0,599,0,14.3742,7,6,7,0,1,2774080750
1034,5.83913,83,0,1,0,80.812,149,8189,1,0,482,1,10.8103,8,7,8,0,1,2803180540
1014,5.72601,117,0,1,0,99.379,152,8189,1,0,451,1,10.5109,9,8,9,0,1,2740490642
1024,5.78205,75,0,0,0,106.162,156,8189,0,0,539,0,13.9732,9,8,9,0,1,2853386438
996,5.62436,112,0,0,0,143.596,159,8189,0,0,485,0,11.6744,9,8,9,0,1,2758236548
983,5.55089,129,0,1,0,130.207,161,8191,1,0,438,1,13.3971,10,9,10,0,1,2784012920
794,4.48388,163,0,1,0,192.903,163,8185,1,0,306,1,10.7312,11,10,11,0,1,2817233456
