SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
655,3.29875,113,0,12,0,45.434,113,8189,12,0,213,2,5.69883,12,2,12,0,0,1,-661501223272062
3475,19.6218,309,0,4,0,65.543,331,8187,4,0,1521,1,104.686,16,3,16,0,0,1,2794399118
4157,23.4746,483,0,0,0,68.582,483,8189,0,0,1938,0,1149.97,16,3,16,0,0,1,2808005354
3977,22.4574,382,0,0,0,68.784,604,8191,0,0,2041,0,86.8549,16,3,16,0,0,1,2782871000
3944,22.2724,362,0,0,0,102.388,694,8189,0,0,1846,0,1547.32,16,3,16,0,0,1,2807929896
4483,25.3156,369,0,12,0,78.229,783,8189,12,0,2053,1,1255.23,28,4,28,0,0,1,2791551726
4157,23.4741,353,0,0,0,69.693,864,8189,0,0,2087,0,192.201,28,4,28,0,0,1,2781205518
4444,25.0953,418,0,0,0,82.564,939,8189,0,0,2095,0,1569.49,28,4,28,0,0,1,2806715176
3975,22.4469,517,0,0,0,95.994,987,8189,0,0,1465,0,1660.53,28,4,28,0,0,1,2792737466
4291,24.2316,372,0,0,0,77.163,1050,8189,0,0,2001,0,1124.18,28,4,28,0,0,1,2781150400
4057,22.9085,334,0,0,0,77.688,1107,8189,0,0,1910,0,682.55,28,4,28,0,0,1,2789525340
2493,14.0769,1125,0,44,0,86.817,1125,8172,44,0,622,8,762.463,72,12,72,0,0,1,1242401230
945,5.3362,124,0,1125,0,42.214,124,8189,323,0,254,0,1459.88,395,12,1197,0,1,1,4364111990
4031,22.7609,331,0,0,0,73.025,371,8189,0,0,1912,0,1616.76,395,12,1197,0,1,1,2786699258
4249,23.994,324,0,0,0,87.861,523,8187,0,0,2128,0,1280.06,395,12,1197,0,1,1,2805819842
4209,23.7654,310,0,0,0,69.03,639,8189,0,0,2109,0,220.944,395,12,1197,0,1,1,2772158102
4509,25.4629,387,0,0,0,88.327,742,8191,0,0,2217,0,71.9386,395,12,1197,0,1,1,2801376632
4154,23.459,492,0,0,0,108.144,824,8189,0,0,2025,0,1830.06,395,12,1197,0,1,1,2806394341
4238,23.9296,401,0,0,0,81.141,902,8187,0,0,2089,0,156.116,395,12,1197,0,1,1,2791800179
4331,24.4566,596,0,7,0,71.933,970,8189,7,0,2000,2,302.196,402,14,1204,0,1,1,2697478773
4529,25.5756,411,0,40,0,77.217,1025,8189,40,0,1715,4,1834.74,442,18,1244,0,1,1,2890831323
4465,25.2142,529,0,9,0,85.492,1078,8189,9,0,1731,1,1666.73,451,19,1253,0,1,1,2794828878
4127,23.3058,403,0,0,0,86.169,1138,8189,0,0,2095,0,1512.66,451,19,1253,0,1,1,2787867362
4071,22.9881,343,0,0,0,76.688,1195,8189,0,0,2067,0,269.122,451,19,1253,0,1,1,2800272300
4542,25.6484,377,0,55,0,87.865,1236,8189,55,0,1551,9,266.659,506,28,1308,0,1,1,2785922706
4203,23.735,385,0,0,0,116.137,1289,8189,0,0,2090,0,153.524,506,28,1308,0,1,1,2796008110
4298,24.2708,493,0,0,0,110.035,1338,8189,0,0,2036,0,127.227,506,28,1308,0,1,1,2802298100
4144,23.4012,327,0,14,0,108.795,1381,8189,14,0,1798,2,1110.27,520,30,1322,0,1,1,2774968462
4249,23.9945,308,0,0,0,82.429,1426,8189,0,0,1999,0,1587.96,520,30,1322,0,1,1,2809497768
4204,23.7395,354,0,0,0,80.437,1470,8191,0,0,1995,0,1524.15,520,30,1322,0,1,1,2789055324
4104,23.1752,436,0,0,0,95.346,1513,8189,0,0,2011,0,1555.97,520,30,1322,0,1,1,2804798382
4045,22.8419,313,0,277,0,60.754,1550,8187,277,0,1737,39,404.03,797,69,1599,0,1,1,2773518902
4409,24.8979,313,0,28,0,67.625,1584,8191,28,0,1701,5,1398.33,825,74,1627,0,1,1,2808164254
4075,23.0121,299,0,9,0,56.957,1622,8191,9,0,1895,1,892.983,834,75,1636,0,1,1,2798156884
4153,23.4526,258,0,0,0,54.805,1663,8191,0,0,2098,0,1455.33,834,75,1636,0,1,1,2792589496
4190,23.6615,295,0,12,0,67.911,1698,8189,12,0,1811,2,296.26,846,77,1648,0,1,1,2791975926
4302,24.2923,752,0,22,0,66.104,1731,8189,22,0,1770,4,1563.55,868,81,1670,0,1,1,2778115410
4284,24.1902,267,0,0,0,81.706,1767,8189,0,0,1970,0,129.752,868,81,1670,0,1,1,2811888464
4582,25.8729,377,0,26,0,105.794,1798,8189,26,0,1770,6,747.095,894,87,1696,0,1,1,2789442964
3939,22.242,205,0,3,0,43.912,1829,8189,3,0,1737,1,225.988,897,88,1699,0,1,1,2778683582
4318,24.3836,414,0,0,0,122.443,1864,8189,0,0,2021,0,1736.83,897,88,1699,0,1,1,2811806638
4499,25.4059,391,0,0,0,61.144,1902,8187,0,0,2260,0,1484.81,897,88,1699,0,1,1,2793874568
4487,25.3383,271,0,0,0,51.225,1938,8189,0,0,2122,0,163.6,897,88,1699,0,1,1,2799569400
4293,24.2432,399,0,0,0,72.63,1972,8189,0,0,2083,0,1479.76,897,88,1699,0,1,1,2791322058
4257,24.0376,472,0,0,0,125.841,2004,8187,0,0,1968,0,1577.72,897,88,1699,0,1,1,2773962212
3871,21.8585,397,0,0,0,133.582,2029,8187,0,0,1625,0,1676.77,897,88,1699,0,1,1,2812314526
4352,24.5764,279,0,6,0,63.191,2061,8189,6,0,2029,2,1576.43,903,90,1705,0,1,1,2781149294
4195,23.6898,638,0,0,0,135.251,2089,8189,0,0,1833,0,1770.09,903,90,1705,0,1,1,2791770002
4110,23.2096,422,0,0,0,63.219,2120,8185,0,0,2011,0,954.444,903,90,1705,0,1,1,2812571356
4702,26.5529,462,0,45,0,95.375,2145,8189,45,0,1660,7,154.196,948,97,1750,0,1,1,2785750898
4298,24.2712,307,0,0,0,71.971,2176,8191,0,0,2136,0,816.458,948,97,1750,0,1,1,2804864370
4123,23.2831,448,0,17,0,77.772,2200,8191,17,0,1638,2,39.6941,965,99,1767,0,1,1,2778296066
4156,23.4695,326,0,0,0,51.23,2230,8189,0,0,2073,0,125.877,965,99,1767,0,1,1,2790451594
4375,24.706,335,0,72,0,56.575,2252,8187,72,0,1521,13,338.349,1037,112,1839,0,1,1,2809538326
4398,24.8345,396,0,51,0,104.224,2276,8185,51,0,1670,8,227.4,1088,120,1890,0,1,1,2786946154
4468,25.2315,257,0,60,0,65.694,2302,8187,60,0,1884,9,1751.02,1148,129,1950,0,1,1,2801367996
4589,25.9149,392,0,0,0,83.475,2332,8191,0,0,2196,0,1558.93,1148,129,1950,0,1,1,2792425784
4383,24.7513,370,0,4,0,70.322,2358,8189,4,0,1918,1,662.347,1152,130,1954,0,1,1,2777876738
4335,24.4782,426,0,0,0,63.266,2387,8187,0,0,2140,0,1681.04,1152,130,1954,0,1,1,2725435006
3903,22.0402,306,0,0,0,64.915,2413,8187,0,0,1959,0,137.037,1152,130,1954,0,1,1,2883777796
4410,24.9032,361,0,3,0,77.45,2440,8189,3,0,1982,1,201.317,1155,131,1957,0,1,1,2786352180
4561,25.7569,301,0,21,0,52.392,2468,8189,21,0,2158,2,158.161,1176,133,1978,0,1,1,2801237698
4227,23.8705,392,0,0,0,82.379,2494,8189,0,0,2070,0,181.51,1176,133,1978,0,1,1,2766789293
