SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
5020,2.07979,760,0,0,0,68.912,1877,8185,0,0,1875,0,66.2794,0,0,0,0,0,1,-663405015591643
8981,4.0227,503,0,33,0,53.634,5455,8189,33,0,3578,3,28.457,33,3,33,0,0,1,2794862922
11396,5.10456,7390,0,137,0,79.67,7390,8191,137,0,1935,11,14.4708,170,14,170,0,0,1,1513364284
1502,0.672759,283,0,7390,0,33.461,283,8191,672,0,281,0,125.439,842,14,7560,0,1,1,4076732488
9237,4.13751,522,0,0,0,63.633,3695,8183,0,0,4345,0,126.748,842,14,7560,0,1,1,2794986972
8007,3.58666,593,0,0,0,78.78,3696,8191,0,0,3824,0,131.331,842,14,7560,0,1,1,2791793368
9390,4.20576,3697,0,149,0,61.454,3697,8190,149,0,2969,12,11.8514,991,26,7709,0,1,1,2134306072
757,0.339054,50,0,3697,0,35.889,50,8185,650,0,48,0,90.3334,1641,26,11406,0,2,1,3450977698
7920,3.54759,647,0,0,0,52.811,1849,8189,0,0,3663,0,110.181,1641,26,11406,0,2,1,2798783278
8070,3.61489,601,0,0,0,66.115,1850,8191,0,0,3102,0,91.4081,1641,26,11406,0,2,1,2792865830
8438,3.77951,573,0,0,0,58.383,1852,8189,0,0,3853,0,123.161,1641,26,11406,0,2,1,2785876986
9272,4.15321,709,0,0,0,82.118,1855,8189,0,0,4287,0,76.0305,1641,26,11406,0,2,1,2795653140
1788,0.800895,1855,0,242,0,66.736,1855,8191,242,0,167,19,84.1263,1883,45,11648,0,2,1,212842286
6277,2.81165,456,0,1855,0,54.081,928,8189,1160,0,2350,0,120.403,3043,45,13503,0,3,1,5371880569
8520,3.81632,570,0,0,0,64.123,932,8189,0,0,4014,0,85.1572,3043,45,13503,0,3,1,2801937945
8727,3.90893,572,0,0,0,78.354,937,8187,0,0,4116,0,92.3368,3043,45,13503,0,3,1,2789031014
8212,3.6784,613,0,0,0,76.737,941,8189,0,0,3764,0,112.654,3043,45,13503,0,3,1,2796527770
9217,4.12843,608,0,84,0,51.182,945,8191,84,0,3967,6,112.89,3127,51,13587,0,3,1,2798662752
8828,3.95433,730,0,0,0,60.092,949,8183,0,0,3842,0,43.546,3127,51,13587,0,3,1,2791434290
8492,3.80384,594,0,0,0,46.826,953,8187,0,0,3967,0,98.6747,3127,51,13587,0,3,1,2787949564
7240,3.24302,373,0,0,0,86.295,957,8189,0,0,3625,0,14.3212,3127,51,13587,0,3,1,2800541408
5492,2.45989,959,0,164,0,56.215,959,8189,164,0,2122,11,91.7517,3291,62,13751,0,3,1,1702979404
994,0.445215,123,0,959,0,31.769,128,8189,628,0,126,0,171.687,3919,62,14710,0,4,1,3888893120
7685,3.44205,318,0,0,0,47.44,486,8187,0,0,3748,0,14.995,3919,62,14710,0,4,1,2789398630
8115,3.63491,432,0,0,0,46.797,494,8189,0,0,4001,0,19.4764,3919,62,14710,0,4,1,2780504972
7979,3.57411,502,0,0,0,62.889,502,8189,0,0,3956,0,95.7891,3919,62,14710,0,4,1,2798316762
7627,3.41627,509,0,63,0,56.525,509,8191,63,0,3780,4,132.747,3982,66,14773,0,4,1,2473969490
506,0.226631,462,0,509,0,51.675,14,8189,506,0,12,0,132.487,4488,66,15282,0,5,1,3121500651
5389,2.4139,261,0,0,0,41.744,263,8191,3,0,2576,0,118.615,4491,66,15282,0,5,1,2800736941
6267,2.80708,274,0,0,0,39.099,274,8189,0,0,3127,0,114.946,4491,66,15282,0,5,1,2791079840
6058,2.71332,285,0,0,0,41.996,285,8189,0,0,3025,0,6.46957,4491,66,15282,0,5,1,2771175564
6532,2.92587,295,0,1,0,39.222,296,8189,1,0,3121,1,33.7788,4492,67,15283,0,5,1,2819640982
7192,3.22134,307,0,65,0,37.199,307,8189,65,0,3443,4,17.0697,4557,71,15348,0,5,1,2787654338
7297,3.26843,319,0,0,0,36.931,319,8191,0,0,3644,0,12.38,4557,71,15348,0,5,1,2794988960
7041,3.15374,330,0,0,0,46.003,330,8189,0,0,3515,0,120.503,4557,71,15348,0,5,1,2795491572
6891,3.08668,340,0,0,0,49.35,340,8189,0,0,3442,0,39.8438,4557,71,15348,0,5,1,2796652612
3187,1.42745,344,0,65,0,45.569,344,8189,65,0,1559,5,10.606,4622,76,15413,0,5,1,1322358592
1624,0.727408,174,0,344,0,34.405,174,8187,344,0,561,0,26.8952,4966,76,15757,0,6,1,4251009751
4453,1.99456,186,0,0,0,37.211,186,8191,0,0,2222,0,104.464,4966,76,15757,0,6,1,2806650295
4605,2.06271,198,0,0,0,39.523,198,8189,0,0,2299,0,25.1718,4966,76,15757,0,6,1,2796610408
4657,2.086,209,0,0,0,44.291,209,8189,0,0,2324,0,18.045,4966,76,15757,0,6,1,2790222718
4597,2.059,220,0,0,0,41.241,220,8189,0,0,2294,0,9.44205,4966,76,15757,0,6,1,2794025294
4742,2.12407,231,0,0,0,47.942,231,8189,0,0,2367,0,94.7762,4966,76,15757,0,6,1,2798231338
4251,1.90404,240,0,0,0,52.623,240,8175,0,0,2125,0,23.8197,4966,76,15757,0,6,1,2794941940
4494,2.01292,249,0,2,0,55.366,249,8190,2,0,2245,1,51.9062,4968,77,15759,0,6,1,2759554098
4992,2.23601,258,0,1,0,42.11,258,8189,1,0,2249,1,14.9838,4969,78,15760,0,6,1,2819883136
5361,2.40131,268,0,0,0,49.583,268,8189,0,0,2678,0,101.064,4969,78,15760,0,6,1,2797023386
5271,2.36095,277,0,0,0,54.838,277,8187,0,0,2633,0,111.487,4969,78,15760,0,6,1,2798413888
