SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
485,5.11648,13,0,17,0,36.198,26,8186,17,3165.58,59,5,10.1571,17,5,17,0,0,0,-668166506225250
362,4.21586,20,0,0,0,39.247,28,8187,0,2753.32,73,0,12.044,17,5,17,0,0,0,2761050270
481,5.60185,45,0,0,0,41.851,45,8188,0,550.298,74,0,98.9731,17,5,17,0,0,0,2775301052
1540,17.9357,71,0,15,0,38.642,3745,8191,15,724.19,73,3,24.4957,32,8,32,0,0,0,2816486280
2067,24.0704,164,0,0,0,60.914,11340,8191,0,43.4331,86,0,2760.19,32,8,32,0,0,0,2799855268
2610,30.3931,180,0,7,0,63.598,13044,8159,7,34,72,2,1468.28,39,10,39,0,0,0,2809942982
2889,33.6423,208,0,0,0,63.143,16896,8160,0,30.4109,86,0,3308.37,39,10,39,0,0,0,2762709530
2672,31.1157,216,0,0,0,64.79,11796,8191,0,27.544,86,0,1234.8,39,10,39,0,0,0,2811971752
2873,33.4571,129,0,10,0,59.82,21398,8170,10,25.4163,76,2,3793.66,49,12,49,0,0,0,2805346108
2978,34.6795,219,0,13,0,61.526,16412,8173,13,19.7625,79,2,1030.2,62,14,62,0,0,0,2803486434
2945,34.2944,162,0,0,0,56.169,11376,8164,0,19.6334,90,0,2385.57,62,14,62,0,0,0,2787826104
2692,31.3481,255,0,0,0,58.735,12352,8156,0,17.6885,83,0,985.199,62,14,62,0,0,0,2750353998
2832,32.9788,149,0,5,0,63.021,13177,8155,5,19.9996,85,1,730.667,67,15,67,0,0,0,2841737276
2730,31.7912,232,0,0,0,61.773,13371,8162,0,18.8247,85,0,1710.38,67,15,67,0,0,0,2768790612
2721,31.6871,179,0,0,0,60.362,18996,8148,0,17.2614,85,0,44.5303,67,15,67,0,0,0,2820619214
2634,30.6745,396,0,25,0,63.568,15215,8175,25,26,68,4,139.869,92,19,92,0,0,0,2606538704
2756,32.0939,282,0,9,0,67.251,6109,8171,9,26.4671,78,1,2510.07,101,20,101,0,0,0,2953061270
2895,33.7128,191,0,1,0,60.126,20367,8178,1,27.7589,84,1,2766.02,102,21,102,0,0,0,2816625240
2946,34.3067,190,0,0,0,58.859,16849,8160,0,19.8548,85,0,4166.94,102,21,102,0,0,0,2787644664
2685,31.2687,257,0,2,0,67.844,13042,8172,2,13.7876,76,1,2369.79,104,22,104,0,0,0,2762492754
2704,31.4894,199,0,0,0,60.901,11552,8175,0,13.0308,86,0,229.198,104,22,104,0,0,0,2807232680
2846,33.1425,246,0,0,0,61.174,17478,8141,0,12.6996,85,0,1483.04,104,22,104,0,0,0,2784456024
2794,32.5372,229,0,0,0,61.451,12717,8156,0,11.1913,90,0,76.4808,104,22,104,0,0,0,2814055034
2986,34.7703,212,0,3,0,60.363,13367,8191,3,12.6702,82,1,2212.44,107,23,107,0,0,0,2762668356
2936,34.1899,223,0,0,0,63.668,20977,8175,0,12.1735,87,0,367.32,107,23,107,0,0,0,2826315954
2819,32.8272,213,0,1,0,59.094,13757,8191,1,13.98,78,1,55.724,108,24,108,0,0,0,2809572780
2933,34.1565,179,0,0,0,59.462,7381,8147,0,13.8612,89,0,994.588,108,24,108,0,0,0,2797387656
2961,34.4813,225,0,6,0,63.241,12801,8149,6,17.6191,81,2,3198.07,114,26,114,0,0,0,2742700982
2839,33.0615,169,0,0,0,62.6,10465,8165,0,16.8412,87,0,2890.99,114,26,114,0,0,0,2826618816
3071,35.7617,219,0,2,0,64.791,21741,8056,2,17.8394,80,1,3991.8,116,27,116,0,0,0,2770237204
2866,33.3732,259,0,0,0,61.902,22189,8153,0,16.1928,87,0,3195.86,116,27,116,0,0,0,2806445628
2868,33.3979,188,0,7,0,58.272,13357,8152,7,17.3455,82,1,3857.89,123,28,123,0,0,0,2784276250
2912,33.9104,199,0,0,0,59.145,17123,8156,0,16.2146,88,0,975.928,123,28,123,0,0,0,2829748054
2822,32.8617,195,0,9,0,63.162,18063,8160,9,14.8001,79,3,3429.75,132,31,132,0,0,0,2792435576
