SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
3014,16.7667,110,0,0,0,30.486,303,8185,0,0,1455,0,69.702,0,0,0,0
3957,22.3435,263,0,130,0,79.325,328,8187,115,0,1847,0,201.899,115,0,130,0
3959,22.3561,174,0,0,0,34.668,483,8189,0,0,1967,0,1336.61,115,0,130,0
3435,19.3978,229,0,0,0,46.302,585,8189,0,0,1691,0,155.071,115,0,130,0
3948,22.2952,94,0,0,0,45.066,682,8189,0,0,1934,0,939.494,115,0,130,0
3911,22.0857,302,0,100,0,88.667,306,8187,74,0,1817,0,134.089,189,0,230,0
3732,21.0753,335,0,0,0,115.853,450,8191,0,0,1708,0,75.6776,189,0,230,0
3804,21.4807,61,0,0,0,16.818,571,8187,0,0,1925,0,424.735,189,0,230,0
4021,22.7059,111,0,0,0,34.926,672,8191,0,0,1961,0,1721.28,189,0,230,0
3448,19.4701,238,0,0,0,88.287,747,8189,0,0,1662,0,156.54,189,0,230,0
4190,23.6604,139,0,0,0,33.171,833,8185,0,0,2144,0,1301.55,189,0,230,0
3794,21.4241,430,0,0,0,96.436,897,8189,0,0,1724,0,1391.38,189,0,230,0
3776,21.3225,144,0,0,0,43.261,962,8191,0,0,1895,0,1588.93,189,0,230,0
3814,21.5362,99,0,0,0,25.193,1024,8189,0,0,1907,0,1321.97,189,0,230,0
3644,20.5761,381,0,0,0,106.784,1074,8191,0,0,1633,0,51.6905,189,0,230,0
3643,20.5706,97,0,0,0,25.118,1129,8189,0,0,1925,0,222.706,189,0,230,0
3746,21.1517,254,0,357,0,46.268,261,8189,254,0,1673,0,796.266,443,0,587,0
3684,20.8033,174,0,132,0,59.695,287,8189,100,0,1834,0,713.292,543,0,719,0
3992,22.5413,103,0,0,0,53.397,456,8191,0,0,1968,0,630.063,543,0,719,0
3593,20.288,302,0,0,0,55.494,563,8191,0,0,1700,0,39.0785,543,0,719,0
3883,21.9245,215,0,0,0,60.195,663,8191,0,0,1920,0,1802.15,543,0,719,0
4074,23.0056,197,0,0,0,27.766,752,8189,0,0,1959,0,1480.92,543,0,719,0
3658,20.6564,198,0,0,0,56.079,826,8189,0,0,1831,0,95.3721,543,0,719,0
3774,21.3112,108,0,0,0,20.736,896,8189,0,0,1893,0,166.842,543,0,719,0
3965,22.3901,330,0,0,0,67.89,960,8189,0,0,1844,0,1389.42,543,0,719,0
3898,22.0115,161,0,0,0,32.389,1023,8189,0,0,1961,0,115.247,543,0,719,0
3446,19.4585,189,0,0,0,33.34,1075,8191,0,0,1713,0,31.8378,543,0,719,0
3851,21.7468,159,0,0,0,35.025,1131,8189,0,0,1915,0,885.974,543,0,719,0
3489,19.7025,159,0,0,0,47.45,1179,8189,0,0,1749,0,457.979,543,0,719,0
3544,20.0122,274,0,0,0,108.655,1224,8189,0,0,1666,0,101.342,543,0,719,0
3957,22.3448,409,0,0,0,112.097,1260,8189,0,0,1429,0,1711.99,543,0,719,0
4053,22.8869,211,0,0,0,50.587,1312,8187,0,0,2062,0,947.955,543,0,719,0
4008,22.6332,285,0,0,0,60.452,1356,8189,0,0,1848,0,396.094,543,0,719,0
3193,18.0295,208,0,0,0,40.009,1394,8185,0,0,1640,0,96.5864,543,0,719,0
3868,21.841,277,0,0,0,96.504,1436,8187,0,0,1859,0,100.777,543,0,719,0
3524,19.8998,128,0,0,0,30.426,1476,8189,0,0,1828,0,188.807,543,0,719,0
3663,20.6838,291,0,0,0,55.112,1514,8187,0,0,1752,0,154.445,543,0,719,0
3791,21.4075,154,0,0,0,36.936,1554,8189,0,0,1910,0,117.862,543,0,719,0
3825,21.5999,81,0,0,0,23.617,1593,8189,0,0,1934,0,1193.28,543,0,719,0
3536,19.9678,316,0,0,0,72.977,1626,8191,0,0,1653,0,122.929,543,0,719,0
3451,19.487,130,0,0,0,20.733,1661,8189,0,0,1792,0,75.1184,543,0,719,0
3755,21.2043,281,0,0,0,44.546,1695,8189,0,0,1806,0,142.957,543,0,719,0
