SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
6549,10.6748,199,0,0,0,16.617,6407,8191,0,1,55,0,410.799,0,0,0,0
9352,15.4086,152,0,0,0,16.979,5969,8029,0,2.41923,77,0,334.216,0,0,0,0
11006,18.1334,241,0,0,0,15.676,6785,8042,0,2.41923,82,0,337.181,0,0,0,0
11304,18.624,103,0,0,0,15.469,11840,7988,0,2.41887,88,0,611.069,0,0,0,0
11231,18.5039,146,0,0,0,12.972,10286,8191,0,2.41887,87,0,562.96,0,0,0,0
11586,19.0892,166,0,0,0,12.189,10636,8011,0,2.4178,88,0,653.432,0,0,0,0
11363,18.7154,148,0,0,0,13.225,11598,8092,0,2.4178,87,0,616.052,0,0,0,0
10904,17.9646,141,0,0,0,12.604,10738,8063,0,2.35096,84,0,610.33,0,0,0,0
10659,17.5625,227,0,0,0,13.402,6762,8003,0,2.35096,86,0,384.793,0,0,0,0
10844,17.8675,219,0,0,0,13.36,10085,8191,0,2.35096,84,0,516.864,0,0,0,0
11373,18.7386,217,0,0,0,14.055,23581,8044,0,2.23624,82,0,946.723,0,0,0,0
10986,18.0999,233,0,0,0,12.871,19591,8111,0,2.08971,85,0,870.403,0,0,0,0
11956,19.6998,151,0,0,0,11.501,20280,7916,0,1.95247,85,0,954.943,0,0,0,0
11286,18.5924,173,0,0,0,13.707,14086,8063,0,1.92244,84,0,780.335,0,0,0,0
9507,15.6644,142,0,0,0,14.272,9567,8096,0,1.92244,82,0,486.837,0,0,0,0
10793,17.781,95,0,0,0,13.9,11082,8191,0,1.92209,87,0,631.772,0,0,0,0
10516,17.3259,153,0,0,0,13.736,20889,7881,0,1.92137,88,0,890.826,0,0,0,0
10818,17.8235,337,0,0,0,12.962,10261,8114,0,1.88206,85,0,607.148,0,0,0,0
10881,17.9286,207,0,0,0,13.18,6098,8046,0,1.88206,86,0,319.059,0,0,0,0
11917,19.634,165,0,0,0,13.056,6247,7938,0,1.8817,87,0,342.735,0,0,0,0
11209,18.4684,211,0,0,0,15.445,7779,7930,0,1.8817,86,0,363.231,0,0,0,0
10415,17.16,203,0,0,0,13.784,14429,8031,0,1.8817,85,0,355.648,0,0,0,0
11432,18.8357,154,0,0,0,12.097,20145,8191,0,1.86669,88,0,924.675,0,0,0,0
10581,17.4306,224,0,0,0,14.471,22222,7944,0,1.86061,81,0,922.354,0,0,0,0
10086,16.6179,160,0,0,0,14.623,7864,8127,0,1.85204,82,0,394.175,0,0,0,0
11599,19.1089,166,0,0,0,10.908,8415,8032,0,1.85168,84,0,566.284,0,0,0,0
11394,18.7718,160,0,0,0,13.713,7001,8191,0,1.85168,86,0,357.441,0,0,0,0
11729,19.3251,134,0,0,0,13.173,6399,8109,0,1.85168,85,0,366.837,0,0,0,0
11504,18.9539,166,0,0,0,11.718,6349,8127,0,1.85168,83,0,346.215,0,0,0,0
10108,16.6554,195,0,0,0,13.572,6561,8191,0,1.85168,82,0,361.429,0,0,0,0
10629,17.5134,227,0,0,0,13.498,13491,7949,0,1.85132,84,0,612.753,0,0,0,0
10124,16.6805,146,0,0,0,14.041,7858,8127,0,1.85132,79,0,433.813,0,0,0,0
10690,17.6133,78,0,0,0,13.232,6159,8127,0,1.85132,81,0,369.963,0,0,0,0
10262,16.9082,140,0,0,0,15.965,7716,7790,0,1.85132,83,0,381.667,0,0,0,0
10448,17.2144,204,0,0,0,13.978,9985,8077,0,1.85132,85,0,392.127,0,0,0,0
11333,18.6728,132,0,0,0,14.443,5485,8127,0,1.85096,85,0,325.981,0,0,0,0
11975,19.7296,198,0,0,0,12.907,5742,8017,0,1.85096,85,0,337.387,0,0,0,0
11086,18.2593,91,0,0,0,13.902,5556,8191,0,1.85096,87,0,321.189,0,0,0,0
10184,16.7796,173,0,0,0,12.393,4936,7834,0,1.85096,81,0,307.728,0,0,0,0
11236,18.5137,201,0,0,0,13.926,6167,7942,0,1.85061,85,0,346.693,0,0,0,0
11257,18.5475,510,0,29,0,11.553,9185,8063,29,2.99964,81,1,456.31,29,1,29,0
11091,18.272,153,0,0,0,12.718,7914,8048,0,2.97391,90,0,503.228,29,1,29,0
12319,20.2954,231,0,16,0,12.946,5413,7979,16,3.99964,88,1,293.71,45,2,45,0
10158,16.7367,184,0,0,0,13.259,6027,8027,0,3.99929,81,0,334.827,45,2,45,0
10839,17.8582,216,0,0,0,12.889,5521,8191,0,3.99893,84,0,335.773,45,2,45,0
10126,16.6839,199,0,0,0,14.65,7341,8127,0,3.99857,79,0,381.781,45,2,45,0
10909,17.9743,203,0,0,0,15.484,6776,8191,0,3.99821,85,0,383.386,45,2,45,0
11887,19.5863,169,0,0,0,12.45,5949,8021,0,3.99786,85,0,391.964,45,2,45,0
11123,18.3268,238,0,0,0,11.735,6281,8060,0,3.99714,85,0,384.721,45,2,45,0
11705,19.2861,192,0,0,0,11.326,17485,8191,0,3.89671,86,0,802.708,45,2,45,0
10736,17.6882,151,0,0,0,13.243,15629,8191,0,3.71515,78,0,861.027,45,2,45,0
11957,19.7018,116,0,0,0,12.204,19810,8063,0,3.28342,86,0,893.504,45,2,45,0
11647,19.1888,145,0,0,0,9.64,15788,7878,0,2.94139,84,0,920.017,45,2,45,0
10773,17.7503,126,0,0,0,12.235,17827,8127,0,2.68549,87,0,832.851,45,2,45,0
11244,18.5245,215,0,0,0,12.927,18610,8127,0,2.46676,88,0,863.554,45,2,45,0
9599,15.8144,109,0,0,0,13.249,6143,7993,0,2.40243,78,0,374.409,45,2,45,0
10744,17.7024,142,0,0,0,13.168,5865,7932,0,2.40207,81,0,368.112,45,2,45,0
11300,18.6181,121,0,0,0,11.798,14312,8058,0,2.401,85,0,619.068,45,2,45,0
10941,18.0261,226,0,0,0,11.674,19956,8146,0,2.25661,86,0,907.997,45,2,45,0
11099,18.287,185,0,0,0,11.231,16187,7909,0,2.09971,87,0,908.549,45,2,45,0
11213,18.4714,103,0,0,0,12.727,19297,8026,0,1.97391,83,0,941.913,45,2,45,0
9786,16.1232,141,0,0,0,14.291,7184,8127,0,1.96426,81,0,368.468,45,2,45,0
10411,17.1523,121,0,0,0,16.514,13064,8003,0,1.96426,80,0,598.822,45,2,45,0
10428,17.1808,219,0,0,0,14.213,6377,8191,0,1.9639,85,0,399.963,45,2,45,0
10022,16.5117,311,0,0,0,15.607,6359,8033,0,1.9639,80,0,324.999,45,2,45,0
10480,17.2674,169,0,0,0,14.554,6002,8191,0,1.9639,84,0,305.734,45,2,45,0
10974,18.0781,198,0,0,0,14.739,6433,8089,0,1.9639,82,0,337.758,45,2,45,0
11383,18.7536,232,0,0,0,12.784,5835,8127,0,1.96355,86,0,341.291,45,2,45,0
9002,14.8323,173,0,0,0,16.174,7790,8127,0,1.96355,77,0,372.562,45,2,45,0
11232,18.5055,145,0,0,0,11.789,5914,7993,0,1.96355,78,0,380.25,45,2,45,0
10030,16.5262,193,0,0,0,10.27,16815,8072,0,1.96212,83,0,902.858,45,2,45,0
10119,16.6696,110,0,0,0,14.84,14522,8074,0,1.94782,85,0,634.449,45,2,45,0
11405,18.7904,147,0,0,0,10.753,6222,7999,0,1.94746,84,0,378.285,45,2,45,0
10666,17.573,101,0,0,0,13.419,10942,8127,0,1.94746,84,0,616.003,45,2,45,0
10637,17.5263,122,0,0,0,11.444,10479,8054,0,1.94746,82,0,623.638,45,2,45,0
9745,16.0551,195,0,0,0,13.372,10682,8089,0,1.94746,83,0,617.26,45,2,45,0
10548,17.3788,179,0,0,0,13.866,6792,7922,0,1.94746,82,0,371.481,45,2,45,0
11737,19.3382,205,0,0,0,13.256,18983,7940,0,1.94711,88,0,731.539,45,2,45,0
10314,16.9934,154,0,0,0,13.206,13437,8085,0,1.94675,88,0,725.023,45,2,45,0
11415,18.8072,167,0,0,0,11.74,17408,8024,0,1.93245,86,0,869.371,45,2,45,0
11132,18.3416,165,0,0,0,10.135,8032,8191,0,1.93102,84,0,443.485,45,2,45,0
10893,17.9471,177,0,0,0,12.457,9168,7902,0,1.93066,86,0,583.011,45,2,45,0
12010,19.7876,242,0,0,0,12.073,10469,7864,0,1.93066,85,0,605.266,45,2,45,0
10534,17.3563,139,0,0,0,16.49,12794,8093,0,1.92495,87,0,612.153,45,2,45,0
10790,17.7782,134,0,0,0,16.784,10045,8095,0,1.92495,86,0,548.534,45,2,45,0
11073,18.2446,277,0,0,0,12.184,15619,7928,0,1.92352,86,0,864.842,45,2,45,0
11215,18.4793,128,0,0,0,12.073,11495,7999,0,1.9178,85,0,594.735,45,2,45,0
11131,18.3403,163,0,0,0,14.69,23346,8025,0,1.8935,86,0,889.851,45,2,45,0
9974,16.4333,133,0,0,0,11.43,11775,8191,0,1.8867,81,0,639.999,45,2,45,0
10043,16.5465,134,0,0,0,12.258,10288,7999,0,1.8817,80,0,695.321,45,2,45,0
11788,19.4224,171,0,0,0,11.422,10157,7966,0,1.8817,87,0,640.054,45,2,45,0
10377,17.0971,126,0,0,0,14.533,11338,7978,0,1.88134,85,0,578.407,45,2,45,0
10111,16.6582,224,0,0,0,22.724,11416,8081,0,1.86741,77,0,498.078,45,2,45,0
11483,18.9188,135,0,0,0,16.162,19753,7939,0,1.86741,85,0,829.236,45,2,45,0
11087,18.2674,165,0,0,0,13.879,15452,7916,0,1.86741,87,0,799.992,45,2,45,0
9708,15.992,148,0,0,0,16.588,12838,7943,0,1.86741,80,0,630.812,45,2,45,0
11217,18.4844,105,0,0,0,13.111,15630,8089,0,1.85919,87,0,829.641,45,2,45,0
10861,17.8943,162,0,0,0,13.369,15866,7990,0,1.85347,86,0,719.434,45,2,45,0
9900,16.3113,129,0,0,0,16.043,7272,8127,0,1.85132,83,0,379.343,45,2,45,0
11429,18.8307,321,0,0,0,13.893,5387,8002,0,1.85132,86,0,330.592,45,2,45,0
10513,17.3217,229,0,0,0,11.463,18463,8056,0,1.84954,82,0,850.149,45,2,45,0
11321,18.6496,197,0,0,0,14.021,22562,8108,0,1.8356,86,0,938.561,45,2,45,0
9850,16.2272,140,0,0,0,14.053,5847,8033,0,1.83274,79,0,314.936,45,2,45,0
11047,18.2007,209,0,0,0,14.528,5589,7892,0,1.83274,83,0,319.768,45,2,45,0
11576,19.0682,212,0,0,0,11.444,5845,8024,0,1.83274,86,0,306.009,45,2,45,0
9990,16.4594,197,0,29,0,14.112,6220,8042,29,2.98999,78,1,353.155,74,3,74,0
10686,17.6063,138,0,0,0,13.39,7963,8086,0,2.98964,86,0,447.323,74,3,74,0
11232,18.5063,659,0,0,0,14.476,6498,8063,0,2.89207,80,0,356.869,74,3,74,0
10708,17.6396,153,0,0,0,12.986,10706,7914,0,2.89207,88,0,565.107,74,3,74,0
11664,19.2164,150,0,0,0,12.925,6166,8039,0,2.87741,86,0,329.9,74,3,74,0
10525,17.3401,197,0,0,0,11.916,5646,8095,0,2.87706,84,0,337.359,74,3,74,0
10710,17.6461,203,0,0,0,12.79,16407,7893,0,2.80665,83,0,880.581,74,3,74,0
11263,18.5565,140,0,0,0,13.09,12660,8127,0,2.71873,87,0,678.58,74,3,74,0
10724,17.6698,213,0,0,0,13.989,19988,8122,0,2.62938,85,0,822.317,74,3,74,0
10900,17.9584,147,0,0,0,12.124,16355,7996,0,2.4539,86,0,817.787,74,3,74,0
9369,15.4359,170,0,0,0,25.138,14689,7988,0,2.43817,79,0,624.432,74,3,74,0
10572,17.4185,258,0,0,0,11.653,5941,7865,0,2.43817,84,0,374.9,74,3,74,0
10710,17.6462,115,0,0,0,13.881,5810,8138,0,2.43781,84,0,352.372,74,3,74,0
10271,16.9202,135,0,0,0,13.174,5879,8127,0,2.43781,82,0,319.488,74,3,74,0
11330,18.6664,105,0,0,0,14.256,5401,7806,0,2.43781,87,0,313.637,74,3,74,0
11564,19.0529,131,0,0,0,14.812,6941,8063,0,2.43746,83,0,351.057,74,3,74,0
9825,16.1884,147,0,0,0,15.149,6147,8127,0,2.43746,80,0,350.546,74,3,74,0
11556,19.0332,134,0,0,0,12.36,10189,8047,0,2.43746,85,0,523.538,74,3,74,0
11355,18.7094,191,0,0,0,14.166,6808,7982,0,2.4371,81,0,361.38,74,3,74,0
10591,17.4503,246,0,0,0,13.664,18609,8127,0,2.36133,83,0,859.183,74,3,74,0
10449,17.2166,219,0,0,0,13.038,5708,7967,0,2.34453,82,0,331.716,74,3,74,0
10662,17.5664,87,0,0,0,10.531,15419,8096,0,2.27663,81,0,820.745,74,3,74,0
10754,17.7176,140,0,0,0,12.551,18797,8063,0,2.10936,82,0,951.275,74,3,74,0
11132,18.3406,192,0,0,0,12.17,6303,8011,0,2.0361,83,0,339.86,74,3,74,0
11435,18.841,193,0,0,0,11.859,6062,7911,0,2.0361,84,0,364.19,74,3,74,0
11272,18.5695,185,0,0,0,14.855,5785,8010,0,2.0361,86,0,337.744,74,3,74,0
9887,16.2899,112,0,9,0,15.07,11085,8097,9,2.99964,82,1,462.917,83,4,83,0
10593,17.4485,186,0,0,0,14.093,14306,7873,0,2.9732,77,0,640.185,83,4,83,0
