SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
258,2.70513,62,0,4,0,143.758,65,8189,4,0,63,4,9.6329,4,4,4,0
136,1.58362,81,0,17,0,193.294,81,8189,17,0,16,17,9.14368,21,21,21,0
196,2.28232,36,0,121,0,89.587,2,8185,98,0,34,4,7.37318,119,25,142,0
203,2.36311,21,0,3,0,66.495,21,8191,3,0,78,3,5.33478,122,28,145,0
223,2.59639,15,0,24,0,48.487,15,8191,24,0,93,2,4.18163,146,30,169,0
166,1.93316,12,0,18,0,45.021,12,8189,18,0,69,2,3.94867,164,32,187,0
158,1.83989,8,0,18,0,35.636,8,8189,18,0,72,1,3.56429,182,33,205,0
213,2.48045,16,0,2,0,62.534,16,8190,2,0,96,2,2.92365,184,35,207,0
208,2.42216,20,0,4,0,67.561,20,8189,4,0,84,4,3.33133,188,39,211,0
195,2.2708,14,0,23,0,48.612,14,8189,23,0,86,2,3.54099,211,41,234,0
247,2.87586,20,0,3,0,73.568,20,8171,3,0,110,3,3.38957,214,44,237,0
205,2.38708,23,0,4,0,78.39,23,8191,4,0,65,4,3.2032,218,48,241,0
214,2.492,27,0,7,0,94.716,27,8190,7,0,86,7,3.66912,225,55,248,0
238,2.77143,29,0,7,0,106.23,29,8189,7,0,71,7,3.26144,232,62,255,0
245,2.85296,32,0,7,0,91.267,32,8189,7,0,82,7,3.15661,239,69,262,0
218,2.53857,33,0,11,0,103.088,33,8173,11,0,51,11,3.43616,250,80,273,0
218,2.53847,35,0,5,0,117.426,35,8191,5,0,57,5,3.94867,255,85,278,0
214,2.4921,37,0,5,0,116.292,37,8189,5,0,59,5,3.44781,260,90,283,0
196,2.2825,38,0,8,0,145.405,38,8191,8,0,47,8,3.59923,268,98,291,0
250,2.91121,40,0,10,0,115.523,40,8191,10,0,71,10,3.44781,278,108,301,0
221,2.57353,41,0,6,0,135.643,41,8190,6,0,57,6,3.04013,284,114,307,0
177,2.06119,21,0,42,0,77.924,21,8191,42,0,55,1,2.53926,326,115,349,0
230,2.6771,3,0,29,0,79.661,3,8191,29,0,74,5,2.77222,355,120,378,0
178,2.07201,16,0,2,0,53.257,16,8189,2,0,81,2,2.73728,357,122,380,0
201,2.3406,22,0,2,0,81.376,22,8190,2,0,99,2,2.51597,359,124,382,0
190,2.21251,16,0,23,0,54.37,16,8191,23,0,81,1,2.29466,382,125,405,0
216,2.51525,21,0,3,0,69.594,21,8191,3,0,95,3,3.14496,385,128,408,0
215,2.50366,15,0,24,0,57.175,15,8189,24,0,86,2,3.05178,409,130,432,0
224,2.608,21,0,2,0,72.706,21,8189,2,0,103,2,2.95859,411,132,434,0
143,1.66512,7,0,27,0,56.384,7,8189,27,0,52,2,3.19155,438,134,461,0
213,2.48044,16,0,0,0,71.626,16,8187,0,0,108,0,3.50605,438,134,461,0
163,1.89809,5,0,24,0,65.368,5,8189,24,0,66,2,3.11002,462,136,485,0
204,2.37563,15,0,0,0,50.189,15,8191,0,0,105,0,2.77222,462,136,485,0
213,2.48035,20,0,2,0,79.448,20,8190,2,0,102,2,2.85376,464,138,487,0
222,2.58515,24,0,3,0,87.539,24,8191,3,0,87,3,2.66739,467,141,490,0
205,2.38721,13,0,33,0,73.766,13,8189,33,0,64,7,2.37619,500,148,523,0
224,2.60844,19,0,1,0,70.579,19,8189,1,0,107,1,3.15661,501,149,524,0
154,1.79331,6,0,27,0,55.024,6,8191,27,0,46,3,3.71571,528,152,551,0
192,2.2358,15,0,0,0,52.669,15,8189,0,0,99,0,2.41114,528,152,551,0
206,2.39889,20,0,2,0,78.706,20,8191,2,0,89,2,2.44608,530,154,553,0
217,2.52692,24,0,7,0,83.77,24,8189,7,0,84,7,2.25971,537,161,560,0
252,2.93454,28,0,4,0,93.757,28,8189,4,0,109,4,2.25971,541,165,564,0
216,2.51526,30,0,6,0,92.407,30,8189,6,0,68,6,2.16653,547,171,570,0
231,2.69003,32,0,5,0,112.459,32,8191,5,0,61,5,2.53926,552,176,575,0
205,2.38736,34,0,4,0,127.299,34,8191,4,0,64,4,3.09837,556,180,579,0
200,2.32907,35,0,8,0,108.898,35,8191,8,0,53,8,3.44781,564,188,587,0
213,2.48051,37,0,7,0,124.331,37,8191,7,0,42,7,3.34298,571,195,594,0
221,2.57354,38,0,9,0,140.88,38,8191,9,0,49,9,3.71571,580,204,603,0
193,2.24749,39,0,10,0,140.713,39,8191,10,0,43,10,3.27309,590,214,613,0
264,3.07422,41,0,6,0,127.876,41,8165,6,0,60,6,3.11002,596,220,619,0
218,2.53858,42,0,6,0,123.986,42,8191,6,0,53,6,2.76058,602,226,625,0
253,2.94615,44,0,9,0,155.347,44,8191,9,0,88,9,2.56256,611,235,634,0
150,1.74672,22,0,48,0,88.5,22,8191,48,0,36,4,2.50432,659,239,682,0
203,2.36388,25,0,4,0,91.384,25,8189,4,0,75,4,2.45773,663,243,686,0
246,2.86455,29,0,5,0,107.155,29,8189,5,0,92,5,2.43443,668,248,691,0
158,1.83989,5,0,34,0,103.077,5,8191,34,0,38,4,2.51597,702,252,725,0
217,2.52696,20,0,0,0,94.593,20,8189,0,0,112,0,2.49267,702,252,725,0
206,2.39885,24,0,3,0,78.876,24,8189,3,0,80,3,2.84211,705,255,728,0
213,2.4803,27,0,4,0,108.753,27,8189,4,0,85,4,3.13331,709,259,732,0
