SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
144,0.059866,12,0,0,0,35.923,12,8191,0,0,73,0,0.430976,0,0,0,0
400,0.179139,23,0,0,0,40.365,23,8191,0,0,200,0,0.458304,0,0,0,0
886,0.396829,37,0,0,0,26.596,37,8191,0,0,443,0,7.33914,0,0,0,0
3064,1.37235,246,0,0,0,67.566,304,8187,0,0,1431,0,92.0541,0,0,0,0
3779,1.69256,408,0,0,0,58.861,454,8189,0,0,1769,0,5.10451,0,0,0,0
3630,1.62592,272,0,0,0,83.815,561,8189,0,0,1707,0,12.7456,0,0,0,0
3567,1.5976,557,0,0,0,98.814,645,8187,0,0,1590,0,96.3066,0,0,0,0
3609,1.61652,194,0,0,0,51.842,729,8189,0,0,1791,0,91.4068,0,0,0,0
3730,1.67066,464,0,0,0,81.85,797,8189,0,0,1638,0,6.71821,0,0,0,0
3959,1.773,428,0,0,0,95.318,864,8189,0,0,1723,0,10.3806,0,0,0,0
3962,1.77461,142,0,0,0,32.577,932,8189,0,0,1904,0,4.80973,0,0,0,0
3912,1.75169,474,0,0,0,86.875,984,8189,0,0,1557,0,10.9599,0,0,0,0
3913,1.75244,509,0,0,0,140.919,1035,8189,0,0,1621,0,63.0829,0,0,0,0
4036,1.80772,415,0,0,0,153.218,1076,8189,0,0,1366,0,84.1066,0,0,0,0
3901,1.74735,395,0,0,0,67.708,1129,8187,0,0,1811,0,15.6446,0,0,0,0
3945,1.76699,367,0,0,0,97.58,1179,8189,0,0,1802,0,53.7416,0,0,0,0
4249,1.90314,650,0,0,0,94.412,1216,8187,0,0,1385,0,8.07699,0,0,0,0
3845,1.72225,319,0,0,0,72.738,1264,8189,0,0,1886,0,6.99104,0,0,0,0
3924,1.7574,232,0,0,0,58.453,1310,8189,0,0,1824,0,9.26733,0,0,0,0
3663,1.64066,293,0,0,0,75.538,1353,8189,0,0,1795,0,41.4252,0,0,0,0
3757,1.68255,501,0,0,0,205.3,1378,8191,0,0,1066,0,4.89933,0,0,0,0
3819,1.71059,295,0,0,0,48.048,1419,8191,0,0,1777,0,4.10189,0,0,0,0
3798,1.70103,431,0,0,0,34.611,1459,8191,0,0,1832,0,93.0577,0,0,0,0
3552,1.59097,375,0,0,0,146.956,1495,8191,0,0,1627,0,108.916,0,0,0,0
4197,1.87987,616,0,0,0,107.211,1534,8191,0,0,1887,0,113.49,0,0,0,0
4087,1.83064,369,0,0,0,123.435,1569,8189,0,0,1672,0,4.82854,0,0,0,0
3848,1.72365,633,0,0,0,129.579,1603,8189,0,0,1674,0,8.20333,0,0,0,0
3992,1.78792,739,0,0,0,95.641,1634,8189,0,0,1601,0,99.8897,0,0,0,0
3810,1.70639,157,0,0,0,72.131,1674,8189,0,0,2053,0,26.0001,0,0,0,0
3991,1.78753,484,0,0,0,98.946,1706,8191,0,0,1702,0,3.58803,0,0,0,0
3819,1.71051,545,0,0,0,107.26,1740,8189,0,0,1839,0,51.0384,0,0,0,0
3900,1.74668,599,0,1,0,35.015,1770,8189,1,0,1609,1,5.83162,1,1,1,0
3509,1.57152,717,0,0,0,118.919,1797,8187,0,0,1501,0,89.8227,1,1,1,0
3811,1.70689,210,0,0,0,29.779,1829,8191,0,0,1833,0,7.30867,1,1,1,0
3724,1.66791,269,0,0,0,51.512,1858,8191,0,0,1685,0,53.1395,1,1,1,0
3891,1.74278,175,0,0,0,24.305,1891,8189,0,0,1948,0,6.61158,1,1,1,0
3451,1.54571,264,0,0,0,74.075,1920,8189,0,0,1683,0,25.5342,1,1,1,0
3876,1.73593,421,0,0,0,67.698,1947,8189,0,0,1675,0,62.1555,1,1,1,0
3584,1.60527,180,0,0,0,33.616,1977,8189,0,0,1823,0,7.73427,1,1,1,0
3641,1.63079,169,0,0,0,59.815,2006,8187,0,0,1771,0,80.0755,1,1,1,0
3951,1.76972,299,0,0,0,55.135,2035,8183,0,0,1850,0,44.477,1,1,1,0
3805,1.70434,240,0,0,0,33.581,2065,8189,0,0,1912,0,25.01,1,1,1,0
3737,1.67383,245,0,0,0,71.884,2093,8189,0,0,1869,0,41.4781,1,1,1,0
3939,1.76439,275,0,0,0,92.351,2119,8189,0,0,1656,0,9.7991,1,1,1,0
3731,1.67119,279,0,0,0,76.728,2146,8189,0,0,1841,0,7.392,1,1,1,0
3730,1.67071,235,0,0,0,51.351,2173,8189,0,0,1832,0,30.2382,1,1,1,0
3461,1.55019,239,0,0,0,84.358,2199,8189,0,0,1732,0,12.0763,1,1,1,0
3844,1.72184,267,0,0,0,62.625,2223,8191,0,0,1712,0,37.0294,1,1,1,0
3692,1.6536,518,0,0,0,113.817,2248,8191,0,0,1722,0,48.1981,1,1,1,0
3824,1.7128,169,0,0,0,55.174,2274,8189,0,0,1821,0,19.7272,1,1,1,0
3862,1.72977,314,0,0,0,90.004,2299,8189,0,0,1781,0,28.4422,1,1,1,0
3688,1.65186,402,0,0,0,74.996,2324,8189,0,0,1801,0,149.463,1,1,1,0
3694,1.65452,258,0,0,0,76.928,2347,8189,0,0,1722,0,13.9037,1,1,1,0
3893,1.74375,486,0,0,0,98.428,2368,8185,0,0,1549,0,10.0473,1,1,1,0
3588,1.60633,278,0,0,0,66.236,2388,8189,0,0,1476,0,8.41523,1,1,1,0
3949,1.76801,411,0,0,0,48,2412,8189,0,0,1812,0,18.6108,1,1,1,0
3657,1.63805,268,0,0,0,71.485,2435,8187,0,0,1717,0,8.7929,1,1,1,0
3835,1.71774,601,0,0,0,76.709,2458,8189,0,0,1737,0,3.1136,1,1,1,0
3817,1.70961,299,0,0,0,88.799,2481,8189,0,0,1788,0,77.5053,1,1,1,0
4026,1.8033,423,0,0,0,100.089,2504,8189,0,0,1818,0,66.0598,1,1,1,0
3756,1.68232,382,0,0,0,97.372,2527,8189,0,0,1752,0,7.43994,1,1,1,0
3889,1.74183,214,0,0,0,53.416,2550,8187,0,0,1883,0,45.9406,1,1,1,0
3691,1.65326,254,0,0,0,69.338,2573,8187,0,0,1821,0,12.9105,1,1,1,0
3606,1.61519,610,0,0,0,126.483,2593,8191,0,0,1596,0,21.4614,1,1,1,0
3587,1.60665,410,0,0,0,35.602,2613,8189,0,0,1656,0,6.07533,1,1,1,0
3667,1.64238,257,0,0,0,73.767,2636,8189,0,0,1859,0,39.3183,1,1,1,0
3645,1.63259,151,0,0,0,32.787,2658,8191,0,0,1877,0,96.2739,1,1,1,0
3654,1.63667,181,0,0,0,49.954,2680,8191,0,0,1815,0,51.1217,1,1,1,0
4027,1.80338,358,0,0,0,111.534,2701,8189,0,0,1745,0,76.6022,1,1,1,0
3595,1.61019,392,0,0,0,127.882,2721,8189,0,0,1664,0,6.29888,1,1,1,0
3679,1.64785,451,0,0,0,97.905,2741,8187,0,0,1758,0,19.9297,1,1,1,0
3393,1.5197,418,0,0,0,137.284,2759,8189,0,0,1511,0,3.84653,1,1,1,0
