SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
1199,6.32319,74,0,0,0,52.093,1163,8182,0,1,63,0,11.0418,0,0,0,0
1115,6.2956,89,0,0,0,67.23,2324,8178,0,1,58,0,13.1316,0,0,0,0
1271,7.17717,65,0,0,0,60.674,3661,8191,0,1,68,0,12.7984,0,0,0,0
1211,6.83831,81,0,0,0,64.36,4894,8191,0,1,62,0,15.5207,0,0,0,0
1314,7.41942,88,0,0,0,51.938,6226,8176,0,1,65,0,11.6066,0,0,0,0
1237,6.98496,77,0,0,0,52.176,7524,8191,0,1,67,0,14.6735,0,0,0,0
1161,6.55566,75,0,0,0,53.165,135,8191,0,439.535,60,0,12.3522,0,0,0,0
1246,7.03596,177,0,0,0,54.681,177,8191,0,438.532,60,0,11.6405,0,0,0,0
1268,7.16011,113,0,0,0,59.411,826,8179,0,437.611,66,0,10.3697,0,0,0,0
1240,7.0015,75,0,0,0,49.758,305,8191,0,436.541,67,0,10.3923,0,0,0,0
1296,7.31813,129,0,0,0,53.375,347,8191,0,433.413,62,0,14.4306,0,0,0,0
1123,6.34095,77,0,0,0,63.581,1132,8191,0,428.743,60,0,12.1037,0,0,0,0
1263,7.13146,105,0,0,0,54.559,390,8181,0,427.862,63,0,11.8439,0,0,0,0
1199,6.76999,124,0,0,0,60.18,437,8160,0,426.985,66,0,11.8382,0,0,0,0
1239,6.99601,115,0,0,0,55.525,163,8189,0,426.051,67,0,13.7529,0,0,0,0
1172,6.61769,94,0,0,0,63.976,1064,8191,0,425.158,69,0,12.6798,0,0,0,0
1175,6.635,100,0,0,0,64.362,173,8180,0,424.196,66,0,12.3126,0,0,0,0
1216,6.86629,113,0,1,0,51.824,160,8191,1,467.631,61,1,14.2386,1,1,1,0
1054,5.95177,67,0,1,0,63.673,190,8158,1,511.895,57,1,14.7582,2,2,2,0
1218,6.87834,99,0,0,0,60.773,218,8165,0,492.241,64,0,14.2273,2,2,2,0
