SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss
402,2.85704,74,0,4,0,119.726,98,8189,4,0,96,4,7.39562,4,4,4,0
288,2.20203,4,0,118,0,141.77,4,8126,106,0,11,11,6.81437,110,15,122,0
379,2.89789,54,0,6,0,87.526,54,8189,6,0,119,6,5.00944,116,21,128,0
355,2.71432,28,0,57,0,71.936,28,8189,57,0,104,3,4.82589,173,24,185,0
353,2.69903,19,0,32,0,43.72,19,8191,32,0,147,2,5.78954,205,26,217,0
304,2.32452,10,0,25,0,41.035,14,8191,25,0,138,1,5.62893,230,27,242,0
415,3.17317,24,0,0,0,51.065,24,8189,0,0,206,0,5.23123,230,27,242,0
371,2.83668,3,0,33,0,64.25,3,8162,33,0,159,3,4.77235,263,30,275,0
365,2.79078,23,0,0,0,50.207,23,8189,0,0,178,0,5.28477,263,30,275,0
377,2.88251,29,0,2,0,72.449,29,8190,2,0,167,2,5.75894,265,32,277,0
380,2.9054,34,0,4,0,58.343,34,8189,4,0,147,4,5.55245,269,36,281,0
412,3.15024,38,0,4,0,72.423,38,8189,4,0,156,4,5.97309,273,40,285,0
372,2.84446,42,0,6,0,82.367,42,8189,6,0,148,6,6.28666,279,46,291,0
416,3.18101,45,0,5,0,98.891,45,8189,5,0,132,5,5.22358,284,51,296,0
381,2.91311,47,0,6,0,98.71,47,8189,6,0,106,6,5.09357,290,57,302,0
380,2.90544,3,0,58,0,98.109,3,8141,58,0,119,8,3.73222,348,65,360,0
275,2.10266,13,0,29,0,46.527,13,8191,29,0,98,2,4.0305,377,67,389,0
372,2.84436,21,0,0,0,50.15,23,8189,0,0,187,0,3.8393,377,67,389,0
407,3.11183,30,0,1,0,62.252,30,8191,1,0,194,1,3.96166,378,68,390,0
410,3.13482,35,0,5,0,72.072,35,8190,5,0,162,5,4.83354,383,73,395,0
352,2.69142,22,0,39,0,45.46,22,8189,6,0,155,2,4.40525,389,75,434,0
