SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
7659,3.40517,145,0,0,0,23.635,489,8187,0,0,3756,0,15.465,0,0,0,0,0,-1599311437877933
8707,3.89969,409,0,0,0,51.675,710,8189,0,0,4145,0,17.761,0,0,0,0,0,2789839832
8659,3.87858,256,0,0,0,24.19,884,8189,0,0,4336,0,151.163,0,0,0,0,0,2806569727
8247,3.69399,423,0,0,0,41.764,1019,8190,0,0,4004,0,95.7958,0,0,0,0,0,2786974517
8886,3.98027,225,0,0,0,52.909,1147,8189,0,0,4332,0,8.4215,0,0,0,0,0,2797901410
7384,3.30746,235,0,0,0,24.389,1244,8191,0,0,3620,0,10.687,0,0,0,0,0,2792153032
8323,3.72755,210,0,0,0,19.398,1342,8187,0,0,3973,0,16.5388,0,0,0,0,0,2787551058
8913,3.99236,245,0,0,0,13.792,1441,8189,0,0,4291,0,12.6054,0,0,0,0,0,2800654360
9329,4.17868,388,0,525,0,43.415,1526,8191,525,0,3956,2,93.1065,525,2,525,0,0,2794022706
8631,3.86603,187,0,0,0,18.319,1613,8187,0,0,4255,0,120.648,525,2,525,0,0,2778723300
8442,3.77869,321,0,0,0,20.05,1693,8191,0,0,4141,0,116.646,525,2,525,0,0,2811881131
8287,3.71193,284,0,0,0,23.811,1770,8189,0,0,4163,0,63.4753,525,2,525,0,0,2793720244
9166,4.10567,278,0,0,0,32.066,1842,8189,0,0,4059,0,151.869,525,2,525,0,0,2792951123
7787,3.48809,101,0,0,0,22.212,1909,8189,0,0,3961,0,85.2463,525,2,525,0,0,2790492208
9088,4.07068,373,0,0,0,32.407,1981,8189,0,0,4394,0,131.179,525,2,525,0,0,2793284784
8622,3.86173,293,0,0,0,25.899,2047,8189,0,0,4152,0,152.148,525,2,525,0,0,2800007777
8004,3.58507,252,0,0,0,16.977,2099,8185,0,0,3378,0,100.343,525,2,525,0,0,2796608447
7817,3.50082,225,0,0,0,61.876,2157,8179,0,0,3858,0,96.6609,525,2,525,0,0,2796045498
8293,3.71415,251,0,0,0,29.427,2218,8189,0,0,4118,0,21.9332,525,2,525,0,0,2775670880
8309,3.72186,297,0,0,0,34.027,2276,8191,0,0,4111,0,15.8301,525,2,525,0,0,2800826956
8350,3.74026,303,0,0,0,47.738,2333,8189,0,0,4101,0,16.3771,525,2,525,0,0,2797714970
8758,3.92304,204,0,0,0,40.163,2393,8189,0,0,4429,0,123.409,525,2,525,0,0,2800819748
8642,3.87104,242,0,0,0,13.879,2449,8187,0,0,4209,0,149.412,525,2,525,0,0,2786231714
8038,3.60042,102,0,0,0,18.221,2502,8189,0,0,4090,0,32.1821,525,2,525,0,0,2790046048
9079,4.06678,323,0,0,0,29.455,2554,8191,0,0,4135,0,131.667,525,2,525,0,0,2802045046
8673,3.88491,320,0,0,0,41.83,2606,8187,0,0,4220,0,143.268,525,2,525,0,0,2798383684
8853,3.96549,286,0,0,0,20.24,2660,8189,0,0,4440,0,26.2886,525,2,525,0,0,2759535808
8409,3.76652,112,0,0,0,18.521,2710,8189,0,0,4194,0,20.3508,525,2,525,0,0,2828549900
8918,3.99469,374,0,0,0,64.734,2757,8187,0,0,3975,0,154.909,525,2,525,0,0,2793968592
8211,3.67795,232,0,0,0,26.721,2804,8189,0,0,4106,0,16.7875,525,2,525,0,0,2792491016
8192,3.66943,227,0,0,0,24.428,2850,8191,0,0,4100,0,114.506,525,2,525,0,0,2795781348
8341,3.73598,227,0,0,0,24.865,2897,8189,0,0,4150,0,44.3995,525,2,525,0,0,2791622386
8318,3.72584,246,0,0,0,23.228,2942,8187,0,0,4151,0,76.9982,525,2,525,0,0,2794573598
8462,3.79042,254,0,0,0,42.789,2984,8189,0,0,3916,0,14.3364,525,2,525,0,0,2795805135
9155,4.1008,158,0,1023,0,40.107,3025,8185,1023,0,3781,3,151.959,1548,5,1548,0,0,2793760233
8654,3.87626,362,0,0,0,39.02,3067,8181,0,0,4081,0,94.3524,1548,5,1548,0,0,2779173096
9162,4.10392,218,0,0,0,18.689,3112,8191,0,0,4333,0,99.0286,1548,5,1548,0,0,2805130888
8195,3.67062,122,0,0,0,25.712,3155,8189,0,0,4146,0,6.42253,1548,5,1548,0,0,2790591828
8751,3.91985,167,0,0,0,19.11,3198,8189,0,0,4306,0,8.93805,1548,5,1548,0,0,2799388988
9040,4.04925,141,0,588,0,14.566,3237,8185,588,0,3926,2,23.4058,2136,7,2136,0,0,2767871040
8369,3.74869,296,0,0,0,30.96,3277,8185,0,0,4084,0,18.5889,2136,7,2136,0,0,2821535870
8351,3.74072,259,0,0,0,15.9,3314,8187,0,0,3781,0,128.577,2136,7,2136,0,0,2794119338
8454,3.78678,152,0,0,0,21.104,3352,8189,0,0,3976,0,68.9992,2136,7,2136,0,0,2792676768
7111,3.18515,335,0,0,0,20.966,3383,8189,0,0,3221,0,83.8593,2136,7,2136,0,0,2781801896
8923,3.9967,326,0,0,0,34.455,3425,8189,0,0,4452,0,109.536,2136,7,2136,0,0,2791799634
8699,3.89652,297,0,0,0,23.207,3465,8189,0,0,4333,0,56,2136,7,2136,0,0,2807446470
8932,4.00066,366,0,0,0,51.099,3504,8189,0,0,4313,0,12.3756,2136,7,2136,0,0,2796809332
7837,3.51018,265,0,0,0,17.77,3540,8191,0,0,3972,0,9.47027,2136,7,2136,0,0,2793991950
8475,3.79606,363,0,0,0,54.557,3576,8189,0,0,4001,0,96.0122,2136,7,2136,0,0,2782944164
8211,3.67794,409,0,0,0,32.33,3610,8191,0,0,3802,0,19.6031,2136,7,2136,0,0,2797124406
8873,3.97442,461,0,0,0,34.764,3649,8189,0,0,4340,0,94.3345,2136,7,2136,0,0,2798107726
8716,3.90426,437,0,0,0,45.72,3678,8189,0,0,3416,0,105.934,2136,7,2136,0,0,2791777218
8304,3.71946,151,0,0,0,14.73,3713,8191,0,0,4014,0,74.8424,2136,7,2136,0,0,2778584574
8322,3.72749,302,0,0,0,13.026,3744,8187,0,0,3590,0,9.10739,2136,7,2136,0,0,2811196674
7938,3.55564,127,0,0,0,13.485,3778,8181,0,0,4058,0,12.5252,2136,7,2136,0,0,2797397422
8412,3.76805,312,0,0,0,40.476,3813,8189,0,0,4093,0,9.60915,2136,7,2136,0,0,2790036476
8717,3.90471,333,0,0,0,21.743,3849,8187,0,0,4334,0,5.7801,2136,7,2136,0,0,2796875244
8272,3.70528,344,0,0,0,39.27,3881,8189,0,0,3841,0,100.209,2136,7,2136,0,0,2791736420
8528,3.81979,110,0,0,0,11.625,3916,8189,0,0,4234,0,121.558,2136,7,2136,0,0,2795959008
8318,3.72579,352,0,0,0,47.189,3945,8187,0,0,3626,0,147.923,2136,7,2136,0,0,2788919080
7832,3.50797,135,0,0,0,36.229,3978,8191,0,0,4015,0,7.92691,2136,7,2136,0,0,2797025592
8390,3.75804,191,0,0,0,22.578,4011,8191,0,0,4167,0,5.00864,2136,7,2136,0,0,2793252424
8239,3.69059,348,0,0,0,33.219,4043,8187,0,0,3973,0,79.3883,2136,7,2136,0,0,2798904435
8119,3.63679,261,0,0,0,58.462,4073,8189,0,0,3821,0,16.8233,2136,7,2136,0,0,2792406030
8484,3.80017,236,0,0,0,35.279,4105,8189,0,0,4174,0,33.5041,2136,7,2136,0,0,2793353721
8224,3.68327,359,0,0,0,33.792,4136,8189,0,0,3996,0,64.9143,2136,7,2136,0,0,2777120598
8565,3.83637,274,0,0,0,24.678,4169,8189,0,0,4292,0,23.7194,2136,7,2136,0,0,2802171120
8243,3.6923,222,0,0,0,22.167,4201,8189,0,0,4148,0,155.639,2136,7,2136,0,0,2796708056
8156,3.65324,199,0,0,0,37.416,4232,8189,0,0,4047,0,13.8961,2136,7,2136,0,0,2801537926
8677,3.88662,183,0,0,0,20.946,4265,8189,0,0,4348,0,147.908,2136,7,2136,0,0,2793784462
8695,3.89459,94,0,0,0,12.211,4297,8187,0,0,4386,0,143.202,2136,7,2136,0,0,2793169102
8206,3.67579,387,0,0,0,59.137,4325,8189,0,0,3767,0,77.2616,2136,7,2136,0,0,2795766396
8471,3.79432,381,0,0,0,28.463,4356,8189,0,0,4164,0,134.939,2136,7,2136,0,0,2791477966
8613,3.85789,314,0,0,0,31.839,4384,8189,0,0,3842,0,12.6824,2136,7,2136,0,0,2793790542
8540,3.82522,238,0,0,0,20.367,4416,8189,0,0,4309,0,17.8761,2136,7,2136,0,0,2779905084
8779,3.9325,202,0,0,0,23.252,4447,8187,0,0,4322,0,25.7,2136,7,2136,0,0,2810377450
