SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
4509,1.85663,227,0,0,0,22.786,4350,8190,0,1,70,0,147.434,0,0,0,0,0,-1616573353362401
5179,2.31943,210,0,0,0,25.37,14058,8095,0,2.29103,79,0,149.627,0,0,0,0,0,2774727004
4871,2.18169,160,0,0,0,26.449,8857,8114,0,2.29067,81,0,70.7876,0,0,0,0,0,2873058748
4933,2.20951,151,0,0,0,25.967,20168,8191,0,2.29067,77,0,164.113,0,0,0,0,0,2779684166
5169,2.31465,124,0,0,0,26.463,7365,8127,0,2.28102,79,0,69.061,0,0,0,0,0,2806879222
5225,2.34029,262,0,0,0,22.276,6609,8162,0,2.28066,76,0,64.9604,0,0,0,0,0,2780632204
5401,2.4191,179,0,0,0,23.789,6476,8144,0,2.2803,82,0,80.3201,0,0,0,0,0,2809739506
5293,2.37071,169,0,0,0,22.001,5923,8191,0,2.2803,79,0,66.1526,0,0,0,0,0,2780672440
5006,2.24204,212,0,0,0,27.446,7225,8191,0,2.27994,79,0,74.4652,0,0,0,0,0,2783029466
5067,2.26943,181,0,0,0,25.188,7988,8169,0,2.27959,77,0,84.7638,0,0,0,0,0,2809789122
5094,2.28151,122,0,0,0,23.679,7001,8191,0,2.27923,76,0,64.9887,0,0,0,0,0,2782570994
5228,2.34152,188,0,0,0,27.911,6533,8175,0,2.27923,79,0,74.5436,0,0,0,0,0,2759132796
4938,2.21162,215,0,0,0,24.101,5979,8154,0,2.27887,79,0,71.3843,0,0,0,0,0,2848748896
5154,2.30838,150,0,0,0,26.828,7882,8191,0,2.27851,77,0,75.4813,0,0,0,0,0,2783221308
5002,2.24023,201,0,0,0,25.608,8139,8059,0,2.27816,75,0,77.905,0,0,0,0,0,2766426180
5103,2.28554,149,0,0,0,24.092,6361,8094,0,2.27816,80,0,73.4527,0,0,0,0,0,2822721300
4967,2.2247,192,0,0,0,23.753,6388,8191,0,2.2778,77,0,61.5194,0,0,0,0,0,2787455300
5000,2.23946,132,0,0,0,24.303,6684,8095,0,2.27744,76,0,80.972,0,0,0,0,0,2764358380
4941,2.21307,86,0,0,0,25.416,6469,8142,0,2.27744,77,0,70.7419,0,0,0,0,0,2837684640
4894,2.19194,196,0,0,0,30.553,8484,8108,0,2.27708,75,0,78.1841,0,0,0,0,0,2744529382
4790,2.14541,179,0,0,0,26.991,8602,8191,0,2.27673,75,0,69.5905,0,0,0,0,0,2833198256
5063,2.26775,154,0,0,0,22.683,7902,8148,0,2.27673,78,0,85.5084,0,0,0,0,0,2792919402
4864,2.17853,141,0,0,0,25.52,6776,8190,0,2.27637,77,0,62.3038,0,0,0,0,0,2797457726
5066,2.26892,218,0,0,0,24.843,7160,8191,0,2.27601,76,0,68.6529,0,0,0,0,0,2785650812
4962,2.22255,108,0,0,0,24.22,6632,8191,0,2.27565,79,0,77.5165,0,0,0,0,0,2819771682
4929,2.20767,153,0,0,0,24.763,7697,8191,0,2.27565,78,0,72.753,0,0,0,0,0,2751590870
5434,2.43381,221,0,1,0,22.525,6876,8191,1,3,75,1,85.0192,1,1,1,0,0,2803654784
5127,2.29629,255,0,0,0,30.17,8271,8147,0,2.99928,74,0,76.905,1,1,1,0,0,2754287536
4614,2.06656,126,0,0,0,27.847,8617,8191,0,2.99893,78,0,78.8928,1,1,1,0,0,2834132770
4989,2.23453,153,0,0,0,23.838,7746,8124,0,2.99857,75,0,71.5478,1,1,1,0,0,2825509512
5248,2.3506,217,0,0,0,25.289,8079,8127,0,2.99821,77,0,85.0434,1,1,1,0,0,2743650784
4982,2.23147,139,0,0,0,27.919,6286,8191,0,2.9975,78,0,77.1707,1,1,1,0,0,2844527462
5103,2.28562,177,0,0,0,23.551,7160,8191,0,2.99714,77,0,71.6339,1,1,1,0,0,2794611960
5261,2.35632,138,0,0,0,23.432,7037,7999,0,2.99678,77,0,68.7478,1,1,1,0,0,2765935284
4629,2.07336,180,0,0,0,27.456,7328,8168,0,2.99642,74,0,72.9725,1,1,1,0,0,2806673856
5323,2.38407,219,0,0,0,21.973,7206,8117,0,2.99607,80,0,78.3642,1,1,1,0,0,2785426182
5204,2.33076,236,0,0,0,23.783,6865,8127,0,2.99535,80,0,78.8216,1,1,1,0,0,2787113336
5357,2.39936,189,0,0,0,24.878,7368,8191,0,2.99499,78,0,81.2004,1,1,1,0,0,2815362368
5111,2.28911,180,0,0,0,25.303,6992,8063,0,2.99464,69,0,83.1255,1,1,1,0,0,2708884458
4876,2.18395,215,0,0,0,26.436,6637,8176,0,2.99428,80,0,71.6549,1,1,1,0,0,2857770286
