SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,usSndDuration
466,5.12763,78,0,14,0,105.161,99,8164,14,0,97,14,11.648,14,14,14,0,0,-1628884952983218
100,1.16448,104,0,13,0,103.232,104,8176,13,0,5,13,11.4733,27,27,27,0,0,488602002
244,2.84156,52,0,106,0,62.192,52,8189,96,0,53,2,11.4849,123,29,133,0,1,4721166422
407,4.7399,54,0,7,0,107.403,54,8189,7,0,107,7,10.9491,130,36,140,0,1,3171067858
437,5.08906,56,0,7,0,78.459,56,8191,7,0,147,7,9.98234,137,43,147,0,1,2791611046
126,1.46725,57,0,2,0,84.056,57,8190,2,0,38,2,9.6329,139,45,149,0,1,846164522
213,2.48043,29,0,57,0,70.598,29,8191,57,0,68,0,9.70278,196,45,206,0,2,4695664876
326,3.79632,33,0,4,0,77.485,33,8190,4,0,135,4,9.16698,200,49,210,0,2,2791266030
344,4.00617,36,0,5,0,87.422,36,8189,5,0,113,5,10.8093,205,54,215,0,2,2848737682
382,4.44864,40,0,4,0,72.783,40,8189,4,0,139,4,10.9608,209,58,219,0,2,2779782267
399,4.64658,43,0,4,0,90.798,43,8189,4,0,132,4,8.63117,213,62,223,0,2,2729292479
430,5.0074,47,0,4,0,87.105,47,8191,4,0,156,4,6.60442,217,66,227,0,2,2869572062
224,2.60855,48,0,5,0,90.683,48,8190,5,0,69,5,7.64109,222,71,232,0,2,1645856590
110,1.28099,24,0,49,0,63.288,24,8189,49,0,22,1,7.94394,271,72,281,0,3,3930806586
408,4.75132,30,0,2,0,58.314,30,8189,2,0,181,2,9.06214,273,74,283,0,3,2775296608
381,4.437,35,0,2,0,78.214,35,8189,2,0,176,2,10.9724,275,76,285,0,3,2758992906
396,4.61153,40,0,2,0,82.006,40,8191,2,0,172,2,12.6264,277,78,287,0,3,2617588758
386,4.495,43,0,3,0,83.928,43,8189,3,0,143,3,10.0173,280,81,290,0,3,3034830828
347,4.04081,46,0,8,0,104.458,46,8191,8,0,114,8,8.49139,288,89,298,0,3,2763888372
416,4.84461,49,0,8,0,97.064,49,8191,8,0,140,8,9.56301,296,97,306,0,3,2617011866
482,5.61325,52,0,6,0,108.597,52,8191,6,0,146,6,11.7528,302,103,312,0,3,3005779480
411,4.78653,54,0,6,0,109.216,54,8191,6,0,133,6,10.5065,308,109,318,0,3,2751709516
343,3.99416,56,0,6,0,130.892,56,8189,6,0,97,6,8.35162,314,115,324,0,3,2584332660
412,4.79779,57,0,6,0,111.526,57,8189,6,0,80,6,8.35162,320,121,330,0,3,3018022504
380,4.42505,59,0,6,0,82.226,59,8189,6,0,110,6,9.3184,326,127,336,0,3,2705126018
473,5.50809,62,0,6,0,92.87,62,8190,6,0,154,6,9.30675,332,133,342,0,3,2857319682
350,4.07576,63,0,6,0,133.365,63,8191,6,0,87,6,11.2636,338,139,348,0,3,2442565398
430,5.00734,65,0,7,0,117.763,65,8189,7,0,96,7,11.7295,345,146,355,0,3,3186916656
370,4.30871,64,0,10,0,136.096,66,8187,10,0,93,10,12.1023,355,156,365,0,3,2721975592
415,4.8329,67,0,8,0,109.34,67,8160,8,0,97,8,10.1338,363,164,373,0,3,2853271722
391,4.55309,69,0,8,0,150.14,69,8189,8,0,112,8,9.42323,371,172,381,0,3,2561107122
438,5.10049,71,0,7,0,93.086,71,8189,7,0,123,7,10.7628,378,179,388,0,3,3007202828
413,4.80942,72,0,10,0,113.687,72,8166,10,0,67,10,9.77267,388,189,398,0,3,2764618550
0,0,72,0,0,0,113.687,72,8166,0,0,0,0,9.77267,388,189,398,0,3,0
297,3.45857,37,0,73,0,68.535,37,8187,60,0,89,1,9.36499,448,190,471,0,4,5599911098
434,5.05398,41,0,4,0,76.59,41,8164,4,0,167,4,8.00218,452,194,475,0,4,2829350812
369,4.2973,44,0,4,0,96.039,44,8190,4,0,132,4,8.4448,456,198,479,0,4,2744660506
404,4.7049,47,0,5,0,93.375,47,8189,5,0,116,5,7.8624,461,203,484,0,4,2874117016
315,3.66854,48,0,8,0,105.476,48,8191,8,0,80,8,7.96723,469,211,492,0,4,2581848520
439,5.11238,51,0,5,0,96.268,51,8190,5,0,149,5,7.3033,474,216,497,0,4,2999456418
431,5.01914,52,0,4,0,113.365,54,8191,4,0,145,4,7.09363,478,220,501,0,4,2771054776
360,4.19219,56,0,6,0,99.138,56,8135,6,0,100,6,7.5945,484,226,507,0,4,2687446874
365,4.25038,58,0,7,0,131.781,58,8191,7,0,102,7,8.53798,491,233,514,0,4,2912572922
357,4.15723,59,0,6,0,104.328,59,8191,6,0,96,6,9.17862,497,239,520,0,4,2474005030
386,4.49498,61,0,9,0,118.119,61,8191,9,0,91,9,8.87578,506,248,529,0,4,2912492540
422,4.91424,62,0,9,0,120.706,62,8191,9,0,93,9,9.12038,515,257,538,0,4,2752472318
390,4.54158,62,0,5,0,124.213,64,8191,5,0,109,5,7.03539,520,262,543,0,4,2990648024
384,4.47175,64,0,7,0,119.466,65,8189,7,0,68,7,7.99053,527,269,550,0,4,2756931562
384,4.46752,66,0,7,0,119.325,67,8191,7,0,102,7,9.64454,534,276,557,0,4,2794703632
394,4.58814,68,0,11,0,116.474,68,8189,11,0,102,11,9.19027,545,287,568,0,4,2747565464
1,0.0116457,68,0,1,0,116.474,68,8189,1,0,0,1,9.19027,546,288,569,0,4,0
372,4.33225,36,0,71,0,70.204,36,8190,65,0,112,3,9.45818,611,291,640,0,5,5736504676
392,4.56487,39,0,4,0,69.989,39,8191,4,0,134,4,9.83091,615,295,644,0,5,2689704024
357,4.15742,42,0,4,0,88.944,42,8189,4,0,106,4,10.2502,619,299,648,0,5,2901245704
390,4.54161,45,0,7,0,70.158,45,8189,7,0,127,7,10.2386,626,306,655,0,5,2783364374
353,4.11098,47,0,6,0,84.492,47,8152,6,0,93,6,10.0289,632,312,661,0,5,2762401370
357,4.15747,49,0,4,0,88.706,49,8142,4,0,88,4,10.0522,636,316,665,0,5,2756107492
393,4.57651,51,0,5,0,108.303,51,8189,5,0,127,5,10.1454,641,321,670,0,5,2847990202
403,4.69288,53,0,7,0,99.089,53,8191,7,0,120,7,9.08544,648,328,677,0,5,2811915022
384,4.47169,56,0,5,0,120.33,56,8189,5,0,115,5,7.81581,653,333,682,0,5,2785198780
389,4.52993,56,0,7,0,95.604,58,8190,7,0,116,7,10.2153,660,340,689,0,5,2746008566
347,4.04084,59,0,5,0,117.376,59,8189,5,0,91,5,8.96896,665,345,694,0,5,2701087438
351,4.08741,61,0,5,0,120.895,61,8189,5,0,93,5,10.2735,670,350,699,0,5,2491999340
63,0.733636,3,0,61,0,120.781,3,8130,60,0,1,0,10.2619,730,350,760,0,6,3158509216
330,3.84282,33,0,2,0,64.181,33,8191,2,0,142,2,9.67949,732,352,762,0,6,2763661096
420,4.8907,38,0,1,0,70.802,38,8191,1,0,179,1,10.0872,733,353,763,0,6,2918826078
399,4.64657,42,0,4,0,62.117,42,8191,4,0,148,4,9.27181,737,357,767,0,6,2627241974
401,4.66989,45,0,6,0,98.186,45,8191,6,0,121,6,8.70106,743,363,773,0,6,2911377336
374,4.35542,47,0,7,0,81.175,47,8189,7,0,110,7,8.08371,750,370,780,0,6,2840427296
414,4.82096,50,0,6,0,97.605,50,8190,6,0,144,6,8.07206,756,376,786,0,6,2589969704
384,4.47183,52,0,7,0,91.064,52,8191,7,0,119,7,6.6743,763,383,793,0,6,2615434484
480,5.58998,54,0,6,0,97.428,54,8189,6,0,124,6,6.0919,769,389,799,0,6,3184433142
385,4.48337,57,0,7,0,111.978,57,8189,7,0,141,7,7.71098,776,396,806,0,6,2721723046
394,4.58818,59,0,7,0,135.97,59,8191,7,0,133,7,9.84256,783,403,813,0,6,2854681830
423,4.9258,61,0,7,0,130.111,61,8189,7,0,111,7,9.95904,790,410,820,0,6,2729064021
458,5.33373,63,0,8,0,117.058,63,8191,8,0,111,8,7.55955,798,418,828,0,6,2871524609
401,4.66974,60,0,6,0,113.987,65,8191,6,0,112,6,7.75757,804,424,834,0,6,2792175484
189,2.2009,66,0,4,0,101.648,66,8189,4,0,63,4,7.79251,808,428,838,0,6,1348381296
84,0.978202,11,0,66,0,136.053,11,8189,59,0,9,0,8.04877,867,428,904,0,7,4205874334
373,4.34362,35,0,4,0,71.698,35,8156,4,0,115,4,8.89907,871,432,908,0,7,2808357580
366,4.26207,39,0,4,0,76.094,39,8189,4,0,134,4,9.22522,875,436,912,0,7,2695036330
359,4.18057,42,0,2,0,66.287,42,8189,2,0,126,2,9.83091,877,438,914,0,7,2914735320
427,4.97242,45,0,5,0,82.841,45,8188,5,0,136,5,8.40986,882,443,919,0,7,2761382778
288,3.35368,47,0,6,0,103.543,47,8189,6,0,102,6,6.89562,888,449,925,0,7,2176055126
50,0.582274,3,0,47,0,103.814,3,8144,47,0,1,0,6.89562,935,449,972,0,8,3360928956
357,4.15734,28,0,1,0,56.41,28,8191,1,0,173,1,7.26835,936,450,973,0,8,2847050066
344,4.00599,33,0,2,0,62.621,33,8189,2,0,132,2,9.83091,938,452,975,0,8,2825742941
372,4.33251,37,0,4,0,79.779,37,8191,4,0,140,4,10.5764,942,456,979,0,8,2795806475
340,3.95946,39,0,4,0,78.019,39,8152,4,0,103,4,10.2153,946,460,983,0,8,2756855962
387,4.50683,43,0,5,0,76.342,43,8190,5,0,137,5,10.3085,951,465,988,0,8,2789714060
325,3.78466,45,0,6,0,100.148,45,8190,6,0,105,6,10.6929,957,471,994,0,8,2540499654
467,5.43825,49,0,2,0,74.356,49,8189,2,0,195,2,10.0639,959,473,996,0,8,3084007318
353,4.11085,51,0,6,0,94.745,51,8189,6,0,106,6,9.50477,965,479,1002,0,8,2791237076
324,3.77282,53,0,7,0,119.071,53,8190,7,0,88,7,8.33997,972,486,1009,0,8,2619419518
395,4.59948,55,0,5,0,140.763,55,8185,5,0,128,5,8.99226,977,491,1014,0,8,2933887978
408,4.75131,57,0,8,0,92.436,57,8189,8,0,125,8,7.67603,985,499,1022,0,8,2820663776
417,4.85563,53,0,9,0,121.609,60,8189,8,0,132,9,8.33997,993,508,1031,0,8,2705597482
403,4.69294,61,0,6,0,133.533,61,8158,7,0,101,6,7.93229,1000,514,1037,0,8,2856462924
423,4.92598,63,0,8,0,129.539,63,8189,8,0,111,8,8.92237,1008,522,1045,0,8,2820636329
400,4.65843,63,0,9,0,122.203,65,8191,9,0,111,9,10.4599,1017,531,1054,0,8,2723574301
443,5.159,56,0,8,0,116.618,67,8191,8,0,131,8,11.2986,1025,539,1062,0,8,2875294758
431,5.01933,68,0,12,0,109.644,68,8189,12,0,101,12,8.88742,1037,551,1074,0,8,2645879418
421,4.90253,70,0,4,0,118.215,70,8190,4,0,121,4,7.82746,1041,555,1078,0,8,2841089188
377,4.38991,71,0,10,0,138.641,71,8190,10,0,88,10,6.41805,1051,565,1088,0,8,2621580562
437,5.08919,72,0,10,0,127.488,72,8189,10,0,72,10,6.4297,1061,575,1098,0,8,3075884470
406,4.72831,74,0,4,0,134.44,74,8189,4,0,104,4,8.03712,1065,579,1102,0,8,2719849118
435,5.06556,75,0,9,0,141.257,75,8190,9,0,115,9,8.38656,1074,588,1111,0,8,2805652234
432,5.0306,74,0,5,0,151.608,77,8189,5,0,110,5,7.33824,1079,593,1116,0,8,2825153982
390,4.54158,77,0,12,0,131.409,78,8191,12,0,83,12,7.48966,1091,605,1128,0,8,2788904286
371,4.32028,73,0,10,0,157.345,79,8189,10,0,77,10,8.68941,1101,615,1138,0,8,2764085324
69,0.803478,79,0,5,0,140.056,79,8175,5,0,24,5,8.63117,1106,620,1143,0,8,881005230
266,3.09779,40,0,79,0,87.41,40,8189,59,0,88,0,8.64282,1165,620,1222,0,9,4766983452
385,4.48334,43,0,4,0,83.808,43,8191,4,0,138,4,8.50304,1169,624,1226,0,9,2755384394
400,4.65799,46,0,5,0,75.819,46,8191,5,0,141,5,6.76749,1174,629,1231,0,9,2819104778
288,3.35394,48,0,7,0,118.622,48,8191,7,0,95,7,7.41978,1181,636,1238,0,9,2432942302
53,0.617163,4,0,48,0,115.189,4,8190,48,0,2,0,7.51296,1229,636,1286,0,10,3165237306
305,3.552,28,0,2,0,60.454,28,8191,2,0,134,2,7.29165,1231,638,1288,0,10,2728369182
349,4.06441,33,0,1,0,80.64,33,8158,1,0,147,1,9.28346,1232,639,1289,0,10,2847316164
318,3.70324,36,0,3,0,101.166,36,8190,3,0,132,3,9.19027,1235,642,1292,0,10,2601660110
366,4.26213,39,0,5,0,82.518,39,8190,5,0,117,5,9.20192,1240,647,1297,0,10,2863289520
335,3.9011,42,0,3,0,81.476,42,8191,3,0,96,3,10.4948,1243,650,1300,0,10,2924948152
396,4.61169,44,0,6,0,93.774,44,8191,6,0,117,6,10.9841,1249,656,1306,0,10,2795458456
393,4.57679,47,0,7,0,100.493,47,8191,7,0,131,7,10.5647,1256,663,1313,0,10,2801714986
390,4.5415,50,0,5,0,92.386,50,8191,5,0,128,5,8.1769,1261,668,1318,0,10,2725361590
318,3.70312,51,0,8,0,97.234,51,8189,8,0,77,8,7.78086,1269,676,1326,0,10,2599267944
413,4.80938,53,0,5,0,108.518,53,8189,5,0,109,5,7.76922,1274,681,1331,0,10,2950944752
335,3.9011,55,0,6,0,121.328,55,8189,6,0,90,6,8.72435,1280,687,1337,0,10,2696484042
413,4.80938,57,0,10,0,115.155,57,8189,10,0,102,10,7.76922,1290,697,1347,0,10,2970620212
352,4.09908,58,0,11,0,114,58,8190,11,0,78,11,7.47802,1301,708,1358,0,10,2518748176
408,4.75117,60,0,5,0,93.326,60,8177,5,0,94,5,9.07379,1306,713,1363,0,10,2937489884
402,4.68142,62,0,6,0,114.111,62,8190,6,0,105,6,11.4849,1312,719,1369,0,10,2735511086
394,4.5883,63,0,11,0,123.729,63,8189,11,0,110,11,9.95904,1323,730,1380,0,10,2733270036
25,0.291129,63,0,0,0,125.717,63,8191,0,0,1,0,9.95904,1323,730,1380,0,10,428527750
312,3.63354,32,0,65,0,62.41,32,8191,61,0,87,2,8.4681,1384,732,1445,0,11,5416824098
391,4.55321,37,0,2,0,68.484,37,8189,2,0,166,2,11.4034,1386,734,1447,0,11,2809168314
368,4.28568,41,0,4,0,76.531,41,8190,4,0,152,4,12.3352,1390,738,1451,0,11,2564365418
