SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
466,2.31581,64,0,5,0,139.013,128,8189,5,0,126,5,5.20181,5,5,5,0,0,1,-1143954525757642
491,2.77223,153,0,37,0,129.503,153,8186,37,0,25,36,4.63136,42,41,42,0,0,1,2555480494
1,0.00564659,153,0,1,0,129.503,153,8191,1,0,0,1,4.63136,43,42,43,0,0,1,0
388,2.19085,59,0,158,0,75.737,76,8189,139,0,76,5,3.77851,182,47,201,0,1,1,5877498886
478,2.6992,72,0,7,0,127.717,77,8189,7,0,112,7,3.88018,189,54,208,0,1,1,2823172730
167,0.942956,78,0,6,0,126.117,78,8189,6,0,43,6,3.87453,195,60,214,0,1,1,1169499772
204,1.15192,39,0,78,0,62.649,39,8189,59,0,57,0,4.49581,254,60,292,0,2,1,4399864896
416,2.34908,43,0,6,0,80.704,43,8190,6,0,153,6,6.0829,260,66,298,0,2,1,2766857856
405,2.28691,46,0,4,0,85.796,46,8190,4,0,141,4,5.77226,264,70,302,0,2,1,2756881498
470,2.65388,49,0,5,0,97.08,49,8191,5,0,150,5,5.17357,269,75,307,0,2,1,2871677928
387,2.18519,51,0,4,0,85.782,51,8189,4,0,122,4,4.73867,273,79,311,0,2,1,2649804962
207,1.16881,52,0,4,0,101.692,52,8191,4,0,55,4,4.06091,277,83,315,0,2,1,1496103812
213,1.20271,27,0,52,0,45.389,27,8189,52,0,71,0,4.17387,329,83,367,0,3,1,4200959854
421,2.37716,33,0,2,0,80.163,33,8189,2,0,187,2,4.45062,331,85,369,0,3,1,2832179364
457,2.58044,38,0,5,0,63.66,38,8189,5,0,165,5,4.32072,336,90,374,0,3,1,2793180418
354,1.99889,41,0,4,0,76.717,41,8190,4,0,123,4,3.98749,340,94,378,0,3,1,2721497366
434,2.45058,45,0,5,0,80.909,45,8189,5,0,160,5,4.19082,345,99,383,0,3,1,2625161196
0,0,45,0,0,0,80.909,45,8189,0,0,0,0,4.19082,345,99,383,0,3,1,0
432,2.43932,28,0,46,0,49.73,28,8189,46,0,175,1,4.6709,391,100,429,0,4,1,5808536034
456,2.57479,34,0,2,0,55.026,34,8189,2,0,204,2,4.17952,393,102,431,0,4,1,2818470568
475,2.68217,39,0,4,0,63.865,39,8189,4,0,189,4,4.3885,397,106,435,0,4,1,2785971680
476,2.6878,43,0,6,0,66.376,43,8189,6,0,173,6,4.6596,403,112,441,0,4,1,2787225456
423,2.38858,47,0,6,0,86.659,47,8189,6,0,150,6,4.41109,409,118,447,0,4,1,2669840950
481,2.71611,50,0,4,0,87.084,50,8141,4,0,150,4,3.71074,413,122,451,0,4,1,2854887966
451,2.54653,52,0,7,0,84.311,52,8141,7,0,131,7,4.03267,420,129,458,0,4,1,2870625380
448,2.52966,55,0,4,0,114.245,55,8191,4,0,152,4,4.91941,424,133,462,0,4,1,2787717464
457,2.58045,57,0,6,0,101.555,57,8189,6,0,125,6,4.75562,430,139,468,0,4,1,2794175300
452,2.55226,57,0,7,0,101.464,60,8191,7,0,146,7,3.94795,437,146,475,0,4,1,2798844104
453,2.55787,62,0,4,0,127.462,62,8189,4,0,144,4,3.59778,441,150,479,0,4,1,2764944896
423,2.38862,64,0,7,0,106.661,64,8189,7,0,124,7,4.31507,448,157,486,0,4,1,2700829978
454,2.5635,53,0,10,0,103.232,66,8189,10,0,103,10,4.44498,458,167,496,0,4,1,2910977804
423,2.38847,67,0,9,0,116.363,67,8191,9,0,116,9,6.2241,467,176,505,0,4,1,2802484734
503,2.84015,70,0,10,0,91.161,70,8164,10,0,174,10,4.3772,477,186,515,0,4,1,2694373136
485,2.73854,71,0,8,0,116.336,71,8152,8,0,111,8,4.07786,485,194,523,0,4,1,2793511420
511,2.8853,71,0,7,0,129.359,73,8189,7,0,138,7,3.36056,492,201,530,0,4,1,2797646040
454,2.56348,75,0,10,0,123.686,75,8189,10,0,85,10,4.5184,502,211,540,0,4,1,2728320308
289,1.63178,76,0,5,0,116.815,76,8190,5,0,77,5,4.61442,507,216,545,0,4,1,1796390722
101,0.570317,17,0,76,0,94.376,17,8189,58,0,15,0,5.44467,565,216,621,0,5,1,3940030578
421,2.37729,40,0,5,0,84.142,40,8165,5,0,136,5,5.34301,570,221,626,0,5,1,2750026362
364,2.0554,43,0,4,0,85.974,43,8191,4,0,125,4,5.45597,574,225,630,0,5,1,2769059418
436,2.46208,47,0,5,0,86.371,47,8191,5,0,152,5,3.6599,579,230,635,0,5,1,2882438555
445,2.51273,50,0,4,0,82.179,50,8189,4,0,177,4,3.88018,583,234,639,0,5,1,2770462959
432,2.43928,53,0,7,0,88.287,53,8189,7,0,143,7,4.41674,590,241,646,0,5,1,2676906190
428,2.41682,55,0,4,0,111.815,56,8191,4,0,138,4,4.5297,594,245,650,0,5,1,2925311932
427,2.41108,57,0,8,0,93.501,58,8189,7,0,133,8,4.08915,601,253,658,0,5,1,2673463334
387,2.18519,59,0,6,0,100.522,59,8191,7,0,85,6,4.13998,608,259,664,0,5,1,2905574420
405,2.28682,61,0,8,0,118.147,61,8191,8,0,118,8,4.84034,616,267,672,0,5,1,2738220254
479,2.70457,63,0,7,0,112.688,63,8189,7,0,131,7,4.82904,623,274,679,0,5,1,2864255014
379,2.14004,64,0,4,0,113.559,65,8191,4,0,100,4,4.51275,627,278,683,0,5,1,2719676976
414,2.33763,66,0,7,0,102.967,66,8143,7,0,90,7,4.35461,634,285,690,0,5,1,2710187942
501,2.82889,65,0,8,0,108.024,68,8189,8,0,117,8,4.3885,642,293,698,0,5,1,2939877416
421,2.37714,70,0,7,0,98.892,70,8190,7,0,146,7,3.5413,649,300,705,0,5,1,2501169048
517,2.91923,58,0,12,0,123.374,72,8191,12,0,122,12,3.44528,661,312,717,0,5,1,3072525778
