SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
37,0.015592,1,0,2,0,61.594,2363,8189,2,32316.1,15,1,0.390656,2,1,2,0,0,0,-1115844799158311
54,0.0241849,6,0,0,0,32.486,46,8190,0,13709.1,29,0,0.450688,2,1,2,0,0,0,2773036322
106,0.0474748,7,0,0,0,27.046,19,8186,0,7877.47,48,0,0.45696,2,1,2,0,0,0,2798201784
169,0.0756917,14,0,0,0,30.684,21,8185,0,5306.61,52,0,0.4816,2,1,2,0,0,0,2851594004
237,0.106149,12,0,0,0,29.42,30,8187,0,3884.34,55,0,0.587328,2,1,2,0,0,0,2737646982
447,0.200201,42,0,0,0,29.881,5119,8158,0,651.914,51,0,34.7142,2,1,2,0,0,0,2855689452
4697,2.10368,135,0,0,0,24.506,7344,8127,0,15.2127,75,0,80.9375,2,1,2,0,0,0,2797926334
5363,2.40195,273,0,0,0,22.138,23800,8191,0,9.0429,76,0,210.564,2,1,2,0,0,0,2729201902
4999,2.23891,129,0,0,0,23.5,8664,8165,0,7.31605,81,0,87.8326,2,1,2,0,0,0,2868847982
5238,2.3459,160,0,0,0,24.459,8956,8191,0,6.9571,75,0,98.4682,2,1,2,0,0,0,2789763816
5207,2.33205,175,0,0,0,23.708,11186,8173,0,6.64498,79,0,103.773,2,1,2,0,0,0,2799599628
4922,2.20445,127,0,0,0,24.86,8695,8127,0,6.36432,77,0,71.4506,2,1,2,0,0,0,2773056440
5062,2.26716,164,0,0,0,23.729,6815,8191,0,6.2045,71,0,79.4456,2,1,2,0,0,0,2813300322
5252,2.35217,137,0,0,0,20.906,7208,8122,0,6.03361,79,0,73.9926,2,1,2,0,0,0,2786911260
4869,2.18068,136,0,0,0,22.868,6936,8074,0,5.93886,74,0,75.9338,2,1,2,0,0,0,2761407446
4763,2.13343,101,0,0,0,30.004,9611,8100,0,5.72256,73,0,91.5206,2,1,2,0,0,0,2829561969
5217,2.3368,133,0,0,0,24.372,7174,8134,0,5.67894,78,0,71.3095,2,1,2,0,0,0,2793535665
4791,2.14587,179,0,0,0,24.031,7297,8131,0,5.56704,77,0,93.1585,2,1,2,0,0,0,2771640984
5184,2.32181,234,0,0,0,27.571,11535,8116,0,5.53629,75,0,94.6588,2,1,2,0,0,0,2770998300
4951,2.21745,171,0,0,0,24.592,8532,8191,0,5.50197,73,0,71.262,2,1,2,0,0,0,2824162726
5203,2.3303,133,0,0,0,24.006,8039,8112,0,5.45835,79,0,91.7137,2,1,2,0,0,0,2815390858
5081,2.27567,142,0,0,0,25.05,9231,8100,0,5.31927,74,0,90.6322,2,1,2,0,0,0,2784938590
4938,2.21163,175,0,0,0,25.718,9965,8191,0,4.79407,75,0,98.5748,2,1,2,0,0,0,2805792738
5256,2.35405,139,0,0,0,22.769,6480,8127,0,4.79299,78,0,86.2203,2,1,2,0,0,0,2786042401
5019,2.24795,215,0,0,0,28.365,7726,8191,0,4.79192,74,0,76.6927,2,1,2,0,0,0,2775531113
5298,2.37285,165,0,0,0,25.094,7103,8125,0,4.79085,79,0,81.1247,2,1,2,0,0,0,2801974266
5251,2.3518,227,0,0,0,23.944,7653,8191,0,4.78942,75,0,85.236,2,1,2,0,0,0,2786282072
5229,2.34196,159,0,0,0,28.376,9413,8112,0,4.78548,81,0,95.7775,2,1,2,0,0,0,2822380204
5025,2.25069,169,0,0,0,27.394,7715,8121,0,4.77941,76,0,84.7526,2,1,2,0,0,0,2754603866
4952,2.21792,152,0,0,0,24.524,7387,8191,0,4.77762,75,0,87.9652,2,1,2,0,0,0,2814933912
5189,2.32412,207,0,0,0,22.686,10114,8114,0,4.77619,75,0,98.3862,2,1,2,0,0,0,2710302266
5062,2.26721,136,0,0,0,30.216,9028,8106,0,4.72757,73,0,94.7619,2,1,2,0,0,0,2876936636
5188,2.32365,155,0,0,0,24.947,9472,8191,0,4.72506,74,0,91.1407,2,1,2,0,0,0,2804560818
5261,2.35649,167,0,0,0,29.679,15697,8095,0,4.59421,76,0,152.717,2,1,2,0,0,0,2806822932
4901,2.19522,162,0,0,0,28.283,8669,8112,0,4.47622,70,0,86.8708,2,1,2,0,0,0,2793411446
5074,2.2726,241,0,0,0,26.723,7676,8096,0,4.47515,73,0,73.1611,2,1,2,0,0,0,2714965246
5199,2.32854,184,0,0,0,27.213,14725,8126,0,4.40651,79,0,142.664,2,1,2,0,0,0,2874853212
