SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
477,2.45276,60,0,4,0,139.114,91,8118,4,0,144,4,4.89117,4,4,4,0,0,1,-1131722305184097
182,1.02764,104,0,4,0,127.426,104,8151,4,0,41,4,4.942,8,8,8,0,0,1,791222194
359,2.02711,80,0,105,0,90.186,80,8190,60,0,115,1,5.11144,68,9,113,0,1,1,4794231484
633,3.57429,107,0,15,0,111.131,116,8176,15,0,111,15,6.41613,83,24,128,0,1,1,2784962068
373,2.10619,122,0,23,0,87.863,122,8178,23,0,21,23,6.52344,106,47,151,0,1,1,1376368602
147,0.830048,12,0,122,0,80.349,12,8189,122,0,10,0,6.16197,228,47,273,0,2,1,4245669876
564,3.18469,67,0,6,0,131.269,101,8189,6,0,163,6,5.68189,234,53,279,0,2,1,2802040010
470,2.65384,120,0,18,0,101.725,120,8174,18,0,66,18,5.57458,252,71,297,0,2,1,2122468894
66,0.372705,5,0,120,0,98.323,5,8189,58,0,3,0,5.66494,310,71,417,0,3,1,3386224576
565,3.19052,95,0,9,0,102.883,101,8191,9,0,171,9,6.28622,319,80,426,0,3,1,2869817580
633,3.57431,105,0,12,0,118.024,130,8164,12,0,104,12,5.99253,331,92,438,0,3,1,2756054994
255,1.43988,132,0,15,0,103.672,132,8191,15,0,9,14,5.91346,346,106,453,0,3,1,769898542
277,1.5641,65,0,132,0,63.578,65,8189,61,0,80,0,4.69349,407,106,585,0,4,1,4807445146
541,3.05481,103,0,21,0,94.826,103,8181,21,0,100,20,4.71043,428,126,606,0,4,1,2417861670
58,0.327503,103,0,103,0,94.826,2,8181,58,0,0,0,4.71043,486,126,709,0,5,1,0
454,2.56353,62,0,2,0,103.459,95,8191,20,0,155,2,6.01512,506,128,711,0,5,1,5973353064
658,3.71529,112,0,26,0,90.562,122,8183,26,0,91,26,4.93635,532,154,737,0,5,1,2836628060
105,0.592888,123,0,11,0,90.061,123,8191,11,0,6,11,4.68219,543,165,748,0,5,1,341561346
274,1.54716,62,0,124,0,53.187,62,8191,71,0,74,1,4.13998,614,166,872,0,6,1,5203624748
635,3.58556,105,0,11,0,96.684,105,8160,11,0,113,11,5.23005,625,177,883,0,6,1,2772255304
584,3.29749,122,0,35,0,91.85,122,8179,35,0,62,35,6.54038,660,212,918,0,6,1,2383298050
0,0,122,0,0,0,91.85,122,8179,0,0,0,0,6.54038,660,212,918,0,6,1,0
525,2.96444,79,0,124,0,116.086,92,8191,108,0,146,2,6.35965,768,214,1042,0,7,1,5935843900
616,3.47847,114,0,15,0,113.049,114,8173,15,0,72,15,6.29187,783,229,1057,0,7,1,2873175578
264,1.49073,120,0,12,0,89.13,120,8171,12,0,20,12,6.0716,795,241,1069,0,7,1,1042497904
308,1.73923,71,0,123,0,73.241,71,8190,63,0,92,3,6.19586,858,244,1192,0,8,1,4488704066
618,3.48978,107,0,16,0,114.317,107,8175,16,0,101,16,7.00917,874,260,1208,0,8,1,2897063540
13,0.0734055,107,0,1,0,114.21,107,8179,1,0,1,1,7.00917,875,261,1209,0,8,1,24841432
466,2.6312,86,0,114,0,86.98,86,8191,66,0,131,7,6.51214,941,268,1323,0,9,1,5429349940
607,3.42746,94,0,17,0,124.529,117,8159,17,0,99,17,5.58022,958,285,1340,0,9,1,2793726334
464,2.62002,125,0,42,0,88.757,125,8186,42,0,29,41,5.12838,1000,326,1382,0,9,1,1949527034
123,0.694531,6,0,125,0,90.058,6,8189,114,0,4,0,5.10579,1114,326,1507,0,10,1,3761720074
500,2.82329,95,0,7,0,106.579,95,8167,7,0,152,7,4.56923,1121,333,1514,0,10,1,2636619314
552,3.11691,97,0,17,0,142.058,123,8173,17,0,96,17,3.9649,1138,350,1531,0,10,1,2881697378
655,3.69847,133,0,22,0,89.336,141,8189,22,0,72,22,5.92475,1160,372,1553,0,10,1,2747057712
296,1.67131,152,0,17,0,201.667,152,8191,17,0,51,17,6.51214,1177,389,1570,0,10,1,1409170924
138,0.779231,24,0,153,0,80.437,24,8191,76,0,22,1,5.3656,1253,390,1723,0,11,1,4304880566
563,3.1793,97,0,5,0,106.977,108,8189,5,0,176,5,4.92506,1258,395,1728,0,11,1,2796120726
227,1.28179,114,0,8,0,122.213,114,8189,8,0,20,8,4.71043,1266,403,1736,0,11,1,827531642
219,1.23654,46,0,114,0,55.687,46,8189,87,0,47,0,4.25859,1353,403,1850,0,12,1,4723472600
578,3.26391,61,0,4,0,117.82,113,8189,4,0,168,4,3.55824,1357,407,1854,0,12,1,2842489468
671,3.78917,101,0,9,0,149.942,158,8124,9,0,192,9,3.78981,1366,416,1863,0,12,1,2589082776
125,0.705725,159,0,8,0,140.629,159,8191,8,0,3,8,3.99878,1374,424,1871,0,12,1,391658792
312,1.7617,71,0,161,0,76.008,71,8189,63,0,94,2,5.29218,1437,426,2032,0,13,1,5089475986
599,3.38231,90,0,12,0,139.094,124,8191,12,0,160,12,5.53504,1449,438,2044,0,13,1,2997988868
312,1.76167,127,0,20,0,110.161,127,8178,20,0,12,20,5.65365,1469,458,2064,0,13,1,1260833798
175,0.988139,33,0,127,0,45.69,33,8189,87,0,31,0,5.45597,1556,458,2191,0,14,1,4375633822
629,3.55166,105,0,9,0,115.877,106,8189,9,0,159,9,6.08854,1565,467,2200,0,14,1,2833446756
560,3.1622,130,0,12,0,170.096,133,8165,12,0,101,12,5.99253,1577,479,2212,0,14,1,2609204010
7,0.039525,133,0,4,0,170.096,133,8165,4,0,0,4,5.99253,1581,483,2216,0,14,1,0
464,2.62003,77,0,137,0,89.686,88,8191,63,0,135,4,4.35461,1644,487,2353,0,15,1,5791073778
321,1.81255,115,0,9,0,94.901,115,8191,9,0,87,9,4.86293,1653,496,2362,0,15,1,1223210926
196,1.10673,31,0,115,0,45.251,31,8191,115,0,29,0,5.85698,1768,496,2477,0,16,1,4357268328
612,3.45571,102,0,4,0,114.886,114,8189,4,0,190,4,6.82843,1772,500,2481,0,16,1,2802436686
347,1.95937,129,0,15,0,121.735,129,8191,15,0,55,15,6.24104,1787,515,2496,0,16,1,1477658546
92,0.519434,14,0,129,0,87.867,14,8189,59,0,12,0,5.84568,1846,515,2625,0,17,1,4004999740
567,3.20161,75,0,8,0,109.431,105,8187,8,0,176,8,6.2128,1854,523,2633,0,17,1,2799954192
337,1.90302,110,0,18,0,106.885,110,8191,18,0,14,18,5.0719,1872,541,2651,0,17,1,1537516344
